user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Yi Wen Chang ,https://www.google.com/maps/contrib/103120045590249916011/reviews?hl=zh-TW,4,True,38,"路過發現這間美式漢堡餐廳，也是充滿貓咪的溫馨空間，要小心貓咪會過來包包及外套搜身🤣
這次點綜合菇，套餐搭配的炸雞很好吃，沒有收服務費，適合一個人來用餐跟貓咪療癒，也適合和朋友聊天的舒適空間。

比較可惜的是訊號較不好，有提供wifi，雖然有捕蚊燈但還是滿多蚊子慢慢的…飛來飛去…"
 April Li ,https://www.google.com/maps/contrib/106964466732947270479/reviews?hl=zh-TW,5,True,611,"點了經典漢堡不錯吃洋蔥偏嗆XD
A套餐的薯條好喜歡！
有加起司粉的樣子整個超級加分😋
內用有四隻貓貓地下一樓有兩個大桌位子有網路一樓有廁所
價格合理免發票離捷運站不遠有機會願意再訪
（2022.02）"
 珊 ,https://www.google.com/maps/contrib/104098214165031166571/reviews?hl=zh-TW,5,True,196,評價五顆星送地瓜球(不好吃....有點硬)，薯條跟飲料要另外付費，蘑菇漢堡加薯條飲料共350左右，蘑菇吃不出調味，只有吃到起司味....漢堡肉薄薄的.....只值三顆星，另外2顆是看在貓咪份上給的。不推薦。
 GiGi Huang ,https://www.google.com/maps/contrib/102713430535371213175/reviews?hl=zh-TW,5,True,287,"餐點好吃😋（墨西哥辣肉醬漢堡）
辣度剛好，肉多汁，生菜新鮮，漢堡包本身也好吃。可能因為有養貓，剛進餐廳有股淡淡的貓咪味道，不過貓咪都乖又漂亮，還是給五顆星（然後我曬一堆貓咪照片😂）"
 Yi HSY ,https://www.google.com/maps/contrib/104237614994349640449/reviews?hl=zh-TW,5,True,70,近民權西路捷運站，置身巷弄中的美式咖啡餐館，完全沒做功課的我，以單純隨便找家咖啡廳磨時間的心態，一進到店內就被吧台上的店貓們驚喜到😻，貓咪們非常不怕生，很自然的在吧台上竄來竄去，使得整個用餐過程非常放鬆，點的提拉米蘇也很好吃呦，下一次會再帶朋友回訪，非常舒服的一次用餐經驗。
 妡只會吃而已 ,https://www.google.com/maps/contrib/104838239823551929248/reviews?hl=zh-TW,5,True,92,"吃漢堡還可以玩四隻貓咪！根本是人間天堂！

​​​​​​​​​特別注意！這裡不接待10歲以下兒童​（家長前往要注意）"
 林梵 ,https://www.google.com/maps/contrib/110396554755496026549/reviews?hl=zh-TW,4,True,146,"本來只是看評論來的
不知道裡面有貓
到門口後門還沒關好
一直被店員提醒說門要關好😅
最後點餐是拿菜單後
回到座位上點完後看要吃什麼在做過去點
是自助式的
最後點了一個堡和a套餐
覺得超級大超難塞進去嘴巴
麵包上整理覺得有點油
其實是還好
料也給的蠻多的很實在"
 蔡旻禎 ,https://www.google.com/maps/contrib/105918402517797950001/reviews?hl=zh-TW,5,False,8,"今天第一次到～看到有貓咪就決定來看看，一進門就看到可愛貓咪趴在吧檯上，就覺得心情很好

餐點還蠻好吃的，尤其是鮮奶茶我給滿分，很好喝，下次會再來☺️"
 chia wen Liu ,https://www.google.com/maps/contrib/104042383554156464326/reviews?hl=zh-TW,5,True,17,"超可愛療育貓貓☺☺☺
第一次來takeout
麵包跟韓式豬肉片超好吃的
還有季節限定的漢堡口味覺得很值得在回訪
店員也很親切店內佈置到處可看到貓的身影"
 林林 ,https://www.google.com/maps/contrib/101629128135502798340/reviews?hl=zh-TW,5,True,88,"手工漢堡口味選擇非常多，從美式經典漢堡，黑松露漢堡，酪梨漢堡，莎莎醬漢堡等口味都有
不吃牛肉的也有炸魚漢堡，雞腿堡，炸雞堡，薯餅漢堡等其餘餐點還有新鮮沙拉，炸物，甜點，飲料
驚艷度高上非常多！"
 Nicole Huang ,https://www.google.com/maps/contrib/102366683205893360783/reviews?hl=zh-TW,3,True,245,"喜歡貓咪的人會喜歡這間店，約有4隻。

餐點：

1.漢堡消費約250-300元，可搭配套餐，口味一般。
2.提拉米蘇不錯吃，沒有放酒，下層有餅乾
3.布朗尼屬於濕的那種"
 黃信源 ,https://www.google.com/maps/contrib/118160930972432374993/reviews?hl=zh-TW,5,True,97,點了黑松露漢堡(NT240)加A套餐(NT75)，松露的味道很明顯也有呈現出美式漢堡該有的爽感，套餐的薯條值得一試，店貓很可愛，店內用餐環境算舒適座位也不少，是這附近吃美式漢堡還不錯的地方。
 Andy Tsao ,https://www.google.com/maps/contrib/104030402243012908459/reviews?hl=zh-TW,5,True,409,超過預期的好吃😋！洋蔥圈非常大塊外皮酥脆內層洋蔥有肉多汁，非常清爽好吃.漢堡內容酪梨很多還有墨西哥辣椒.沙拉好吃也喜歡裡面的黑橄欖，玉米和麵包丁.
 IMSUESUEಇ ,https://www.google.com/maps/contrib/106875558831750643578/reviews?hl=zh-TW,5,True,732,"近捷運民權西路忘了哪個出口
走路不用5分鐘很快就到了
連鎖的貓貓漢堡店
漢堡很好吃👍🏻
有低消
口味眾多
還可以加點加料
有選擇障礙的人要注意😂😂
飲料好大一杯
不過裡面座位區訊號不好
可以連店家提供的wifi👌🏻"
 Jo Huang ,https://www.google.com/maps/contrib/111749094093940724035/reviews?hl=zh-TW,5,False,8,"認真說，真的很好吃!!!
還有三隻超乖的店貓療癒又給擼
Wifi和手機收訊不好
但剛好可以專心吃漢堡😂
推薦推薦"
 James Hoe ,https://www.google.com/maps/contrib/109076961910562953808/reviews?hl=zh-TW,5,True,50,"漢堡麵包用鐵板煎的，漢堡都有包生菜跟生洋蔥。
這次點了韓式炸雞跟莎莎醬牛肉漢堡，味道都很有水準。
主餐就是專門賣漢堡，種類很多，搭配套餐的羅勒炸雞有點像是鹹酥雞的風格，不過肌肉鮮嫩多汁，好吃。
店裡的貓很活潑，可以跟他們互動。
行動支付可以使用pi錢包。"
 Jay Chen ,https://www.google.com/maps/contrib/110587909508504992258/reviews?hl=zh-TW,5,True,231,漢堡相當美味，花生醬漢堡，絲滑順口，牛肉鮮嫩多汁。墨西哥辣椒美乃滋漢堡，香辣夠勁，美味！已成主顧，常常光顧！
 Yong Hsin Chang ,https://www.google.com/maps/contrib/110375840418155744965/reviews?hl=zh-TW,5,False,7,店裡有好多貓貓非常可愛，店裡漢堡的種類也很多、打卡還送雞軟骨有夠讚👍
 CC C ,https://www.google.com/maps/contrib/106130882261039136136/reviews?hl=zh-TW,3,True,167,"舒服放鬆的地方，有貓咪很紓壓！
但餐點偏貴，吃起來普通。
適合約朋友同事聚餐聊天！"
 kao yunfan ,https://www.google.com/maps/contrib/113182934923299884660/reviews?hl=zh-TW,5,False,12,剛好路過，看到門口有貓咪圖案，進來之後就出不去了，看到4隻非常可愛的貓咪，完全被吸引住，後來看菜單是美式漢堡，我們點了墨西哥辣肉醬和黑松露的漢堡，還有胡麻沙拉，加套餐搭配脆薯和羅勒炸雞，全部餐點都好吃，薯條又熱又酥脆，炸雞多汁好吃，漢堡更是沒話說，反正找不到可以挑剔的，下次還要再來!
