user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 劉Ruby ,https://www.google.com/maps/contrib/105570974616256179823/reviews?hl=zh-TW,4,True,369,"用會員卡買華堡套餐很便宜
漢堡很大，在速食店已經不多見了
好吃，又可以吃的很飽

裡面還有行動電源可以借
只是好像座位不多"
 妙音 ,https://www.google.com/maps/contrib/113583490765360161744/reviews?hl=zh-TW,4,True,"1,071",單奔牛肉堡跟雞塊好吃，買一送一，價格實惠，值得一訪，22/06/11。
 射手座惡魔 ,https://www.google.com/maps/contrib/103611698389743512634/reviews?hl=zh-TW,5,True,90,地方大，感覺就不擁擠(也可能是notrushhour^^)，
 huang Andy ,https://www.google.com/maps/contrib/102758015789010643956/reviews?hl=zh-TW,5,True,6,"東西好吃味道好，乾淨方便又整潔！
店員客氣服務好，餐餐安格沒煩惱！"
 Dave Leung ,https://www.google.com/maps/contrib/103382132730865663352/reviews?hl=zh-TW,2,True,352,薯條就好像放了幾天一樣，蕃茄醬也比它新鮮。
 Flora Huang ,https://www.google.com/maps/contrib/102013583929978213251/reviews?hl=zh-TW,5,True,93,超好吃的牛肉漢堡及起司薯條、薯球
 吳冠柔 ,https://www.google.com/maps/contrib/113772619564674910070/reviews?hl=zh-TW,1,True,21,線上預訂到店內跟我說前面的單還沒有做完所以我的單不會跑出來？_？服務態度又很差在店裡等了大概20分鐘比我晚來的客人都陸續走掉了，才有一位店員詢問我的號碼幾號，結果我的餐早就包好在那邊等了別人的時間都不是時間喔？反正是永遠不會來本店消費了：）
 Kidd Wang ,https://www.google.com/maps/contrib/117971653410345162981/reviews?hl=zh-TW,5,False,7,店員五星級的服務很棒適合中午午餐來吃。
 林詩倫（Mars） ,https://www.google.com/maps/contrib/100420043868898192418/reviews?hl=zh-TW,1,True,118,櫃檯點餐阿姨態度很差，效率很慢，完全沒有工作敬業的態度，和他一起工作的年輕人明顯很辛苦需要cover這位阿姨。第一次到漢堡王體驗那麼差勁的分店，不會想再次去用餐。
 Gaston C ,https://www.google.com/maps/contrib/113874412595099252990/reviews?hl=zh-TW,3,True,38,晚上七點來買，等點餐就等了10幾分鐘，真的以後趕時間不要來這家分店，去長春戲院那邊的會比較快
 Eric Lin ,https://www.google.com/maps/contrib/109164279641841212080/reviews?hl=zh-TW,2,True,193,"漢堡王食物的品質沒話說，三不五時就想吃。

可是這間店中午用餐時間只有一個櫃檯，結帳速度超慢，都已經排隊到門口，還是只有一個收銀在做。
建議錯開用餐時間再過來囉！"
 robin ,https://www.google.com/maps/contrib/115700374841337027640/reviews?hl=zh-TW,1,True,20,肉排太乾薯條烤焦😮‍💨
