user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 蕭苡婕 ,https://www.google.com/maps/contrib/115160541934548276046/reviews?hl=zh-TW,5,True,64,"整體概念菜品服務都不錯，但是如果有一些細節再注意會更好。和客人的互動服務部分都很不錯。第一次來看大家都點套餐，不過因為我們是單點所以有些推薦菜色沒吃到，肉都有醃製過，但是對我來說不夠鹹，有提供松露鹽和玫瑰鹽兩種可以視個人口味添加。泡菜是偏酸微微辣那種，
歐風卡帕丘生牛肉歐風沙拉，這款退冰不完全，所以有影響口感，這個個人不是很喜歡
和牛拼盤（板腱、牛小排、橫隔膜三種）板腱部分後來又加點一份，肉品有在水準內
燒SIDE呼飯飯是偏硬那種，表現中規中矩
肋眼牛排烤的部分有點過熟，可惜了，肉質是好的
澳洲和牛板腱清爽軟嫩，蔥鹽醬的調味很輕，可視個人口味加減
肉品大部分都薄切較多，可能是這次吃牛肉較多的關係吃完是飽的但是好像少了什麼、下次會再試試看雙人套餐，再另外加點。兩人食費大概六千上下"
 Elvi Huang ,https://www.google.com/maps/contrib/113603247776622064564/reviews?hl=zh-TW,5,False,5,"一家充滿活力與美味的燒肉餐廳

服務是絕對的五星
有專人烤肉，會先詢問是否有喜好的熟度，也可嘗試店員推薦的熟度
可以說他們很好的掌握了每一種肉最適合的熟嫩肉感
烤網常換，基本上看不到黑色的焦渣

食材新鮮
這次點了牛拼盤
份量適中肉品很好
若是沒有追求和牛豐富油花等級
或是選擇困難的人
可以嘗試看看燒牛三拼盤

熟食類
燒side飯很推
奶油酒蒸蛤蜊奶油味十足香甜的奶味基本上改過了酒味，蛤蜊爆滿鮮甜品質++

生食類
點了廣島生蠔
生蠔飽滿新鮮，但一點建議希望可以附上檸檬或是比較清爽的醬搭配食用，會更加分

酒
生啤就是生啤
也許可以多一點啤酒的選項
要是有精釀啤酒就更好了"
 Yuju Huang ,https://www.google.com/maps/contrib/114390482006036440625/reviews?hl=zh-TW,5,False,9,"一個月內二訪，燒side成了我內心吃燒肉的首選。食材新鮮好吃不在話下，更重要的是店員桌邊服務超級專業好吃！而且讓用餐氣氛活絡有趣，整體而言就是非常推薦給要聚餐（氣氛熱絡），或者挑戰獨自吃燒肉的人（專業陪烤）。

因為是二月壽星，被招待了店裡的招牌調酒（酒精濃度嘖嘖），還好有清醒著走回家。

大推燒side，一個無論何時想吃燒肉，都可以感到親切、美味、滿足，體驗用心的店家準備新鮮的食材，熱情的專業服務讓燒肉更好吃了。"
 Chang Tyler ,https://www.google.com/maps/contrib/103910478363302170726/reviews?hl=zh-TW,5,True,201,"賓至如歸，舒舒服服好好吃肉！

1.環境寬敞、乾淨舒適、服務熱情細心！

2.菜單有單點也有套餐，服務人員都會細心介紹。

3.桌邊服務都會幫你烤的好好的，好好享受菜色的美味！

4.廣島生蠔佐鮭魚卵，生蠔新鮮好吃、香氣充足，魚卵新鮮Q彈！

5.燒牛大拼盤、豬大腸頭，個人相當喜歡、強推給大家！不管搭配鹽、洋蔥、泡菜、辣味噌醬或是原味吃都很讚，真的就是大口吃肉、大口喝酒，相當滿足！

6.服務、食材品質、新鮮程度給五顆星很可以！"
 鄭茜文 ,https://www.google.com/maps/contrib/105119057358193820211/reviews?hl=zh-TW,5,True,35,第一次去點了雙人套餐，份量適中，有店員幫烤，果然專業烤94不一樣，軟硬適中，完全不會乾材，另外ㄧ提，橫隔膜真的是怎麼吃都不會失望，店員也十分有趣，服務非常周到，是會再二訪的店家。
 侯蕾蕾 ,https://www.google.com/maps/contrib/102341578898285327292/reviews?hl=zh-TW,3,True,676,"有專人代烤等吃就好👍🏻
份量精緻+服務快速
整個不到一小時就用餐完畢😂
套餐感覺很豐富可是我吃完只能說不餓但沒飽

然後套餐看起來不貴但裡面很多要加價的選項
最後兩個人吃快5千覺得沒這個價值"
 xin ,https://www.google.com/maps/contrib/116461788917104958061/reviews?hl=zh-TW,5,False,10,"牛舌的蔥鹽是當天切的
所以有點略苦但厚薄度跟熟度都適中
燒side呼飯可以吃吃看很讚
這間的食材是有調味過的
也有附玫瑰鹽及松露鹽自己調整
服務先給100分
剛開始營業的時間沒什麼客人
店員超級熱情迎接🥺
吃飯的過程很像跟朋友聊天一樣很輕鬆
食材也都有一定水準
這次點了
牛舌牛小排伊比利豬肋條雞腿肉草蝦干貝
兩個女生$3000左右
也有提供套餐的選項"
 vivi ,https://www.google.com/maps/contrib/117145103149478290076/reviews?hl=zh-TW,5,True,60,"我們點了四人套餐
食物好吃肉質也很嫩
甚至不用自己店員會直接在你面前烤好送上桌
完全可以專心的跟朋友聊天🤣
明太子山藥朋友覺得好吃
棉花糖起士地瓜整體吃起來是好吃的只是地瓜偏少
因爲是幫朋友慶生
店員很好心的幫我們擺盤了蛋糕😍
店員們都很熱情服務品質令人讚賞🤩
唯一小缺點蚊子好像不少
跟朋友一直輪流被叮
但不影響對這間燒烤店的喜歡程度"
 有一塊培根 ,https://www.google.com/maps/contrib/106105579830882778804/reviews?hl=zh-TW,5,False,12,"店裡氣氛很chill，配生啤大口吃肉太爽ㄌ啦！！！
肉的味道已經都調味過了，不多沾玫瑰鹽也很好吃💕💕還會再來啦！讚！"
 chang玉 ,https://www.google.com/maps/contrib/101782699138053591171/reviews?hl=zh-TW,5,False,14,今天點雙人套餐覺得肉可能少了一點點但整體都超棒環境乾淨明亮服務人員也都很親切自己覺得牛舌加蔥鹽最好吃烤的很剛好完全不會難咬其他肉也都不錯甜點也很好吃我們是選烤布朗尼擺的很漂亮可愛只後還會想去
