user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Arthur Song ,https://www.google.com/maps/contrib/111820662692754013908/reviews?hl=zh-TW,5,True,118,"豆干入味，切的很好，入口時很有口感、花干不死鹹。（要記得價錢）
水餃皮薄、餡飽滿，很有手工感，好吃。
乾拌麵麵條微粗，是傳統口感，加上澆頭一起吃更是棒。
是間好店！"
 陳宜東 ,https://www.google.com/maps/contrib/101613906319467347800/reviews?hl=zh-TW,5,True,"1,560","牛肉麵140元/小碗，他的湯頭好特別，不是清燉也不是紅燒，就是介於中間，第一次喝到這樣的湯頭，一整個濃醇好喝很上癮，而手工麵條的咬感不錯，且帶點Q彈，吃起來相當順口，主角牛肉厚度很實在，咬下去會吃到一絲一絲的口感，但還是能感受到其中的軟嫩，而且牛肉給的量是讓人滿意的，這碗我個人認為超棒的！喜歡～

小菜方面牛肚100元/份，量對四個人來說稍嫌不足，而且外觀顏色比較偏白，會讓人誤會不夠入味，沒想到咬下去口感很不錯，搭配辣油又把味道提升上去了！而花干30元/份，味道就中規中矩囉～

內用環境相當簡單明亮，桌與桌之間稍微比較近一些，醬料區有撥好的蒜頭，這點超加分的，老闆人很客氣有禮，而且還有加湯的服務，整體而言都非常好，大推一下囉～"
 chihweiwan ,https://www.google.com/maps/contrib/113037691852827086302/reviews?hl=zh-TW,4,True,20,"湯頭可以、肉質軟嫩，牛筋也燉煮的很柔軟，但吃完的尾韻有些微肉臭味，我覺得見仁見智，麵體普通；
切的滷味是豆皮和豬頭皮，份量和口味都一般，沾辣油不錯。"
 阿豪 ,https://www.google.com/maps/contrib/110077880381302907713/reviews?hl=zh-TW,4,True,144,"牛肉麵湯頭特別，不是紅燒也不是清湯
重點是牛肉塊(非牛鍵肉)，帶有淡淡牛香味，牛筋有透，不會咬不爛。
豆乾很普通，花乾可以
環境整潔明亮
為了湯頭與肉可以特地再來！"
 cheng han SIE ,https://www.google.com/maps/contrib/109072653477418649693/reviews?hl=zh-TW,4,True,195,"「追蹤我，帶你/妳吃美食」

這是牛肉麵大碗的150元
湯頭屬於清燉不死鹹型，好喝

水餃是高麗菜口味的，
屬於比較小顆水餃。

酸菜也不死鹹。
牛肉塊配上蒜頭，加一點醬油跟辣油
真的涮口。牛肉偏瘦比較會塞牙

好吃的牛肉店家👍"
 Zhou ,https://www.google.com/maps/contrib/117013116031361290722/reviews?hl=zh-TW,4,True,25,"不起眼的裝潢及招牌，但內容十分令人驚艷❗️

店裡冷氣非常強，不用怕越吃越熱🔥

✨半筋半肉牛肉麵

湯不會過鹹，而且不是常喝到的那種牛肉湯
非常建議嘗試
（也是必點的招牌，湯不夠可以走到廚房加湯）
Ex:建議加湯後立馬喝，不然冷氣太強溫度很快會下降

肉處理的剛好，不會過於難咀嚼
且筋十分的入口即化

麵條偏硬一點，吃起來口感十足，整體搭配非常完美🤍

✨高麗菜水餃🥟

拜託必點❗️❗️❗️

很難吃到這麼鮮甜的高麗菜，一口吃下，甚至連醬料都不必沾

比牛肉麵更令人驚艷✨✨✨

整體滿意，是會再來的店👌👌

吃完再一起結帳
車位較難找尋"
 Wesley Yang ,https://www.google.com/maps/contrib/110024753351333298365/reviews?hl=zh-TW,5,True,75,"牛肉湯餃(大)$100
因為中碗$90和大碗$100差距很小所以點了大碗，端上桌是兩種口味（高麗菜+韭菜）的水餃搭配很濃郁但非紅燒的牛肉湯頭。沒有特別去算共有多少顆但粗估有十來顆，每顆的餡料都非常紮實，從斷面可以看得出用料的實在度。水餃皮也是Q且具嚼勁，難怪到了用餐時間會高朋滿座😋"
 Megaman (加麵不用錢) ,https://www.google.com/maps/contrib/116511301131535632665/reviews?hl=zh-TW,5,True,80,"濃郁的清燉湯頭，麵條吸汁卻不軟爛，牛肉十分入味軟嫩。

滷味偏甜合我口味，美中不足的是滷蛋被切到連它媽都認不得了🤣"
 羅婉寧 ,https://www.google.com/maps/contrib/116496754920285699641/reviews?hl=zh-TW,5,True,57,"愛店之一~
菜單上的每品項都很好吃!!
帥氣老闆跟氣質老闆娘，親切有禮，服務非常好。
入座後，直接走進去廚房跟老闆點菜即可，
小菜直接跟小菜台的人員點即可，會直接送到座位上。
有提供內用餐具，用的是鋼筷跟陶瓷碗，是我們喜歡的原因之一，看得出店家對顧客用餐品質的用心。
另有提供化妝室，無兒童餐椅。

【榨菜肉絲麵】(小)NT.75
手工麵條Q彈有勁是飽口那種，肉絲有特別醃製，有特殊香氣不死鹹好吃，榨菜也是好吃不死鹹~不喜歡醃製菜的我都會吃光光。
【水餃】有高麗菜跟韭菜兩種，是老闆自包的，非常新鮮好吃。
【小菜部分】務必要點來吃看看，每一樣都很好吃。是我吃過最好吃的小菜了!!
🔍牛肉麵也是一品~~~
大力推荐~~一定要來光顧~"
 life enjoin ,https://www.google.com/maps/contrib/111700985953565745729/reviews?hl=zh-TW,3,False,16,"麵心不太熟，很硬，但可以吃！
牛肉味道不錯，酸菜偏辣偏酸，推薦扮在麵中一起食用"
 洪小小 ,https://www.google.com/maps/contrib/112114150435875006154/reviews?hl=zh-TW,5,False,23,"很喜歡的一間麵店
超喜歡吃乾麵很Q我個人很喜歡
配上一碗蛋花湯和小菜
我食量比較大很餓的話還會再點個水餃配著吃"
 Muta ,https://www.google.com/maps/contrib/106317384730678846744/reviews?hl=zh-TW,5,True,66,非常好吃，韭菜水餃夠味，高麗菜水餃清甜，豬耳朵膠質豐富，值得多次回訪😘
 夢奴金 ,https://www.google.com/maps/contrib/116002893067091154575/reviews?hl=zh-TW,5,True,171,"點了半筋半肉麵
牛肉入味
湯頭清燉但濃郁
麵條彈勁
充滿家庭感滋味

水餃也飽滿實在"
 Nic C. ,https://www.google.com/maps/contrib/102755991307526317661/reviews?hl=zh-TW,4,True,611,"牛肉湯頭濃郁、醇厚，介於紅燒及清燉之間，非常特別。拉麵麵條煮得偏軟，較無嚼勁。

多款可口的滷味小菜，內用外帶顧客皆甘願排隊，現點現切。

外場內場具極佳默契，上菜速度快。"
 Weichi Yeh ,https://www.google.com/maps/contrib/110194233027006892571/reviews?hl=zh-TW,4,True,392,"湯頭很讚～而且可以續湯在微涼的天氣下可以喝得很滿足😌只是上面會漂浮一點牛肥肉，雖然不影響什麼，就是算個小小缺點吧。
水餃偏小，要點大碗的才比較有飽足感。
滷味沾上辣油也很不錯，值得回訪。"
 Yuhuei Wang ,https://www.google.com/maps/contrib/110867822863500376205/reviews?hl=zh-TW,4,True,456,看評價高分就路過來吃，真的是蠻好吃的，牛肉湯是清燉的，湯頭有濃濃牛肉味，牛肉牛筋煮的十分軟，拉麵也有口感嚼勁，唯其水餃皮偏薄，個頭小，一口下去不太過癮。
 Irene ,https://www.google.com/maps/contrib/104100626953598855014/reviews?hl=zh-TW,4,True,"1,092","牛肉湯是清燉的口味蠻清淡
乾拌麵價格偏高
用餐環境尚可"
 Akemi Yoda ,https://www.google.com/maps/contrib/113349631858618516508/reviews?hl=zh-TW,4,True,232,"價格一般
麵條還可以
牛肉湯頭不錯
牛肉有些軟嫩有些柴
小菜也還可以
環境乾淨"
 金剛榮 ,https://www.google.com/maps/contrib/117324238103913361512/reviews?hl=zh-TW,5,True,78,湯頭類似金華街廖家牛肉麵我喜歡的那種可是老地方可以加湯👍麵條偏軟但都無所謂因為我是湯神只要湯對了就對了（重點可以加湯😂）
 劉建佑 ,https://www.google.com/maps/contrib/112908221067514894173/reviews?hl=zh-TW,5,True,77,湯頭介於清燉跟骨湯中間，很平衡好喝，有特色。肉給的也算大方，小菜也不錯，價位台北來說算適中，如果要挑惕什麼，應該是點餐收帳流程真的很隨性吧，第一次來可能會不知所措。
 Eric Chien ,https://www.google.com/maps/contrib/114929873866848530777/reviews?hl=zh-TW,5,True,161,"小菜樣式多又好吃
麵條口感清爽，牛肉塊肉質很有咬勁"
 Aaron Chang ,https://www.google.com/maps/contrib/107560235178208043195/reviews?hl=zh-TW,4,True,129,第一次去，服務態度很好，上菜速度快，有電視機，價格也算公道！滷味中上，因為我還吃過更好的，不過至少乾淨新鮮，有機會會再次光顧改其他類似牛肚、豬耳朵等今天沒點到的項目。水餃🥟，其實不如我的期待，可能之前被網友說得太好了，造成今天期待會吃到歷來最好吃的水餃，可惜了！
 GsLiKeR Le ,https://www.google.com/maps/contrib/104699894010940723882/reviews?hl=zh-TW,4,True,348,"湯清甜好喝
麵條是拉麵的偏我喜好
牛肉咬開一絲絲的有點卡牙

那個肉跟牛筋的量
180稍貴

要不是我這週
吃過其他家更多又便宜的

我大概會考慮
給這家店多一顆星吧"
 ying chun lai ,https://www.google.com/maps/contrib/103801734727128127679/reviews?hl=zh-TW,5,True,288,"牛肉麵的肉、麵、湯底都很優秀
高麗菜水餃鮮甜，小菜不會死鹹，難怪生意興隆"
 Robin Chang ,https://www.google.com/maps/contrib/112128706644339483218/reviews?hl=zh-TW,5,True,171,在地低調好店，客人絡繹不絕，用餐環境乾淨舒適，牛肉麵湯頭跟口感都行，推
 Ray X (Ling) ,https://www.google.com/maps/contrib/107061839737501406317/reviews?hl=zh-TW,4,True,39,半筋半肉牛肉麵偏清燉，湯體十分順口，也有必不可少的榨菜，整體令人滿意，價格稍高但仍可接受。
 Jiahe Gu ,https://www.google.com/maps/contrib/100913287948491383979/reviews?hl=zh-TW,5,True,234,"喜歡牛肉乾拌麵配牛蛋湯（蛋花湯+牛肉清湯）。
小菜必吃，隨便點都好吃"
 Ink ,https://www.google.com/maps/contrib/100736544647745372295/reviews?hl=zh-TW,5,True,"1,513","再訪；
半筋半肉麵：湯頭較初訪時有落差，湯頭偏鹹，沒有原本的濃郁肉味。

乾拌麵：味道普通，價格偏高。

高麗菜水餃：有股特殊香味，整體普通。

酸辣湯：酸味重，無辣味，還不錯。

小菜：豬頭皮、素雞跟豆皮，素雞跟豆皮一般，豬頭皮個人不愛。

初訪；
半筋半肉麵：清燉口味，牛筋比牛肉份量多，湯頭偏濁，入口滋味相當濃郁，有一種飽滿的肉感，可惜湯裡青蔥味道不足只有擺飾效果，不然可以讓湯頭再多些風味，麵條Q滑有勁，牛筋軟而不爛，吃得到黏口的膠質感，牛肉部分則稍弱，店家使用台灣本土黃牛肉，不過似乎不是牛腩部位，所以肉質纖維明顯，口感偏柴，吃完容易卡牙縫，但以整體滋味而言仍是一碗不錯的牛肉麵！"
 黃日泓 ,https://www.google.com/maps/contrib/116404710931363933701/reviews?hl=zh-TW,4,True,54,"湯頭好喝
滷蛋好吃
肉有點偏柴，但也可以接受
整體而言，還不錯吃"
 Tina Tseng ,https://www.google.com/maps/contrib/103677847818088996018/reviews?hl=zh-TW,5,True,241,乾拌麵Q彈好吃，小菜入味，店家態度也不錯！
 詹鎮宇 ,https://www.google.com/maps/contrib/105574250939559202082/reviews?hl=zh-TW,4,True,378,"牛肉湯感覺味道不太夠
小菜調味偏甜些
水餃倒是紮實好吃"
 Vega Melón ,https://www.google.com/maps/contrib/102151278208962841784/reviews?hl=zh-TW,5,True,37,"好喜歡！牛肉湯超棒！
想一想又餓了⋯
小菜花生好軟爛，真的讚！"
 po han Chen ,https://www.google.com/maps/contrib/117227537532138802088/reviews?hl=zh-TW,5,True,88,高麗菜水餃內餡十分紮實好吃，一顆6塊物有所值，牛肉麵肉軟嫩麵很有彈性湯很有牛大骨味，不是紅燒或清燉但很好喝
 Melody Wang ,https://www.google.com/maps/contrib/103207114754942327475/reviews?hl=zh-TW,5,False,24,韭菜水餃好好吃！點了10顆又忍不住再加10顆，半筋半肉麵和牛肉湯也很棒！湯頭甘甜，喝完嘴巴不會有奇怪的鹹味，兩個人分食剛剛好～
 張安基 ,https://www.google.com/maps/contrib/102895803319090690142/reviews?hl=zh-TW,3,True,55,"初訪，慕名前來，環境乾淨，服務人員有點急躁。
個人感受有點壓力，小菜豆皮與小魚乾不錯。
半筋半肉牛肉麵讓我沒有感動的感覺。
今日晚餐有點落寞。"
