user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Midnightsun ,https://www.google.com/maps/contrib/109402531728437433920/reviews?hl=zh-TW,5,True,57,"炒鴨肉醬料好吃帶甜不死鹹！還可以加50元有炒高麗菜！
烤鴨夾餅一包只有五片，建議可以加一包～
有附蔥和洋蔥可以包～
整體好吃推薦唷～"
 Yi Yin Chen ,https://www.google.com/maps/contrib/112801933104889984504/reviews?hl=zh-TW,5,False,3,"經過看到很多人在排隊就買一份回家嚐鮮
師傅動作很快骨頭也炒的很入味
值得推薦家人朋友吃的烤鴨👍"
 周敏玲 ,https://www.google.com/maps/contrib/112397525594750018417/reviews?hl=zh-TW,1,True,122,"實在是很大的驚嚇！當場跑去吐

因為常買老牌張豬腳都會順道買這家烤鴨
沒想到這次買了一隻烤鴨，回到家先吃完片鴨，再吃鴨架時感覺肉質很乾味道也不像片鴨般新鮮
一開始是蟑螂腳，接著蟑螂頭，然後是一節一節蟑螂的屍體讓我觸目驚心
每次看到用鐵盤事先裝好一盤盤的鴨架堆在一旁，而不是現場一支支剁，而且沒任何衛生措施，這次居然讓我吃到蟑螂了！

一開始以為眼花，吃到後來只好整盤倒掉
再也不敢來買了！"
 Shengshao Chen ,https://www.google.com/maps/contrib/101992261596470308557/reviews?hl=zh-TW,4,True,165,烤鴨也漲價了，每隻750！半隻420，生意很好，想預約的話電話要提前打，沒接通就乖乖來排隊吧～
 Belle KUO ,https://www.google.com/maps/contrib/100333336078923000731/reviews?hl=zh-TW,1,False,1,"下午提早預訂，晚上7點拿到的烤鴨，明顯就是早上烤好就放著的，肉質乾澀有苦味，毫無油光，顏色很奇怪，跟以前吃的差很多，打電話去反應，店家表示：「現在不可能現烤」，敢情是太早預訂了嗎？
吃了很多年，每次吃每次失望，以後不能吃了。"
 邱雅雅 ,https://www.google.com/maps/contrib/115959726290497525861/reviews?hl=zh-TW,4,True,135,買了好多次了！口味不錯，肉也好吃
 小明Ming ,https://www.google.com/maps/contrib/115378693548672980483/reviews?hl=zh-TW,3,True,61,餅皮換了另一種，不好吃，厚，沒彈性，超易破，粉感😭😭😭可以換回原本的嗎，原本的是我們吃過的第一名啊!!!買半隻，醬給一包，完全不夠啊😱😱😱，但是炒的口味沒變，還是很好吃的
 Lifen ,https://www.google.com/maps/contrib/109453666611987640390/reviews?hl=zh-TW,5,True,467,"➡️萬香烤鴨莊(大同店)一鴨四吃~鮮嫩切盤、夾吃餅皮、香辣快炒、拌高麗菜都很涮嘴，目前四間分店都只有在北部才吃得到。
整隻烤鴨750元(附2份鴨餅)，有附甜麵醬、蔥段、洋蔥。我最愛的，反倒是炒鴨肉，有請店家炒小辣，加上大量九層塔、蒜片、蔥末，重口味吃來非常過癮👍
想要多加一份鴨餅則是一份10元，一份有5片，再來就是加購炒高麗菜，每份50元。
原來有超多媒體採訪推薦呢！非凡大探索、草地狀元、食尚玩家等都可以看到，感覺就很厲害啊！"
 S.H Yang ,https://www.google.com/maps/contrib/108958229827617257179/reviews?hl=zh-TW,1,True,199,買隻鴨，一半勉強可以咬，另一半超硬又老又乾😠，價格又不便宜，其他懶的說了直接講最扯的事餅皮整個看起來是燒焦咖啡色硬死了，不要挑戰自己的底線
 張仲豪 ,https://www.google.com/maps/contrib/103082936352450962163/reviews?hl=zh-TW,5,True,62,半隻烤鴨，現在又漲價了半隻420，不過想吃沒關係
 uu Hsu ,https://www.google.com/maps/contrib/115557836513083833461/reviews?hl=zh-TW,1,True,47,"有夠難吃
鴨是焦的就算了還咬不動完全沒辦法當成食物
不知道是不是店家特色直接用橡皮筋捆洋蔥跟蔥隨意丟在塑膠袋裡"
 布萊恩 ,https://www.google.com/maps/contrib/111058956145576258502/reviews?hl=zh-TW,1,False,13,建議拿到餐之後檢查一下，買整隻結果這個肉量根本是半隻吧？我是禮拜日下午兩點半的收銀小哥幫我裝的，真的是買回家很不開心
 Anna Tien ,https://www.google.com/maps/contrib/100424035529191381868/reviews?hl=zh-TW,4,True,335,"口味偏甜但可以。鴨肉不會柴或太油
配料除了蔥段還有洋蔥片
炒鴨骨小辣不夠辣嗜辣朋友參考一下"
 Vivian Tseng ,https://www.google.com/maps/contrib/100179206202255031298/reviews?hl=zh-TW,5,True,50,"外帶一隻鴨回家吃
片鴨好吃😋
蔥有點乾可能天氣太熱吧
家人說鴨的口味炒的很好吃我個人覺得偏甜
服務態度好"
 蘇冠宇 ,https://www.google.com/maps/contrib/107561890999873292250/reviews?hl=zh-TW,1,False,42,裡面換師傅後就變很難吃。之前的鴨肉本來就有點材。但師傅很會抄所以好吃。吃肉的地方材還能接受。現在抄那什麼亂七八糟，麵皮也換了。總之無法用言語形容的難吃。
 廣 ,https://www.google.com/maps/contrib/104246244506323308228/reviews?hl=zh-TW,3,True,22,很久沒買萬香烤鴨了，之前都買板橋店跟永和店還不錯吃，這是第一次買大同店，烤鴨肉質不錯，但炒的不夠入味，鴨有騷味，另外麵皮超級超級難吃，不知道是不是萬香都改這種麵皮，還是只有大同店
 Hui Ting Wang ,https://www.google.com/maps/contrib/113562472827378646444/reviews?hl=zh-TW,3,False,2,"變好貴
餅皮換了不好吃以前的比較好吃
漲太多了
附的餅皮根本不夠一隻才附二包10片
要換家了"
 黃小祺 ,https://www.google.com/maps/contrib/109827557998255143520/reviews?hl=zh-TW,1,False,15,"今天買整隻回家發現居然比平常半隻肉還少…
而且還有烤焦的…
哈囉是怎麼了？你們的螺絲鬆了嗎？
買這麼多次第一次遇到一隻比半隻少…
太誇張了！🤬🤬🤬"
