user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 UbiQuiTousLy ,https://www.google.com/maps/contrib/104246833503747199140/reviews?hl=zh-TW,5,True,"1,610",20道+1道另外加點鮮蚵滑蛋，這家的菜色跟價位適合各式聚餐，口味大眾化，食材新鮮品質佳。前三道迎賓小菜很樸實，沒有不好吃，但無驚艷感。最大缺點就上菜時不介紹菜名。烤香腸，上桌時還是熱的，更軟更香，第一道菜印象超好。蔥油雞，雞肉不柴雖說是基本功，但這家入味又軟嫩也很適口。紅燒肉不付沾醬，自信之作。炸紫蘇葉蝦漿，內餡稍少可惜了。蒸紅條魚身還不錯，蒸醬汁偏鹹，接著拿魚汁去滑蛋就剛好。炸蚵捲，口感還行，味道整體弱了點。糖醋排骨，軟骨很喜歡。金沙蝦球粉裹得太厚，回炸油溫不夠高，外衣帶油膩口。菲力軟嫩滑口，搭配美生菜也是想來碗白飯配。豬腳滷花生，豬蹄滷得夠軟，彈性十足，花生香氣濃郁，真的想多吃，但後面還有菜會吃不下。黑胡椒羊排跟菲力味道相似，奶油味增香，羊排每隻超大，軟嫩有嚼感，我超喜歡這道味道復古誠意十足。絲瓜選材極佳，甜度極高。烏魚子炒飯是金包銀作法，米粒上沾附著蛋香，烏魚子切的太小塊所以炸過頭硬了點。剝皮辣椒雞湯，白胡椒下手過重，大夥辣嗆得發熱，剝皮辣椒香氣都被蓋住了。甜點跟水果盤都不雷。整體會有意願回訪，但會選不同菜色吃。
 盧美妏 ,https://www.google.com/maps/contrib/102549272461241546125/reviews?hl=zh-TW,5,True,67,"【食在台北：隱食家Inns+】

工作室附近的餐廳，很難形容是什麼風格。

裝潢有點像餐酒館，也有提供酒，
但菜色是精緻的阿嬤手路菜。
（就是我阿嬤做的菜的精緻版本。）

看起來就很像商務洽談隨便找的附近餐廳，
卻意外的美味！！！

#蔥油雞像阿嬤做的，配上特製辣醬更在地；
#老皮嫩肉是炸豆腐，炸功了得，醬汁也很獨特；
#金沙鮮魷看起來跟普通海產熱炒店差不多，
吃起來麵衣薄薄的酥沾著金沙鹹蛋黃，
配上軟絲還是透抽的鮮甜，一口接一口。

#紅糟肉是彭老師的最愛，醃製入味；
#醃椒蒸當日鮮魚應該算是剁椒魚，
魚肉鮮嫩，剁椒滋味豐富，不算重口味那種，
口味不重比較清爽，也不太油膩。

兩道壓軸主食一言難盡。

#炒米粉跟#炒烏龍都是常見的菜，
隱食家卻做的異常好吃！！！

米粉Q彈爽口，調味比較清新，
但該有的阿嬤味道都有（比較不油是真的）。

烏龍麵這種每家居酒屋都有的芭樂菜，
原來可以這麼好吃～我以前都誤會這道菜了？
麵條很Q不軟爛，調味也精準集中。

結尾還可以點甜點#手工布丁，
雖然焦糖沒有煮到苦（我愛苦焦糖），
布丁本身濃醇美味，也很推薦喔！

結帳金額也讓我嚇一跳，比我想像中便宜。
舒適的用餐環境、美味的餐廳，
很適合請客吃飯或聚餐哦哦哦！

等解封以後就可以加入招待海外友人清單啦～"
 Timmy Chi-Chun Chou ,https://www.google.com/maps/contrib/109434720778962915774/reviews?hl=zh-TW,4,True,291,"工業風的精緻臺菜！

隱食家真的算是隱藏在中山區中，旁邊甚至直接與一個小民宿合併～整體而言，隱食家的食物都滿好吃的，價錢上也合宜不會貴，因此吃的滿開心！這邊想特別讚美他的油蔥雞、滑蛋鮮蚵跟老皮嫩肉！油蔥雞雞腿非常之嫩，淋上夠味不會過鹹的油蔥醬之後，更是一絕！滑蛋鮮蚵則看蛋的色澤就知道處理合宜，蚵仔本身也很肥嫩大顆～老皮嫩肉則是處理的精華～外皮煎剛好然後裡面嫩翻天～其他菜色則是都不錯吃但記憶點還好～

同樣的，我們也有點他們的素食套餐，以其價位而言不太值得，不建議嘗試，主要就是一班菜色但是已過高價格收取～最後有一點是關於整體油煙一開始餐廳好多，說了兩次後才稍微減少，滿美中不足頗可惜！

總而言之，隱食家滿值得一嚐，推薦大家可以來試試"
 yasuike Q ,https://www.google.com/maps/contrib/106783384668658551517/reviews?hl=zh-TW,5,True,"1,020","👉招牌蔥油雞：十分好吃，雞肉熟度剛好，醬汁也十分香甜下飯。
👉東石鮮蚵芙蓉蛋：蚵仔沒有外面那種水水腥腥的味道，還略帶咬勁，不錯。
👉土鍋現煮白米飯：覺得剛上來的時候還有一點溼氣，需要自己翻一下或是開蓋待水氣蒸發，也是真的很好吃，飯吃起來有點Q度，且粒粒分明。
👉高粱酒香腸：有淡淡的酒香，主要有細緻的絞肉構成，偶而會吃得出大塊肥肉交錯在其中，喜歡。
👉隱食家現炸紅糟肉：略有調味過的五花肉，酥炸後十分美味，油脂多汁，肉香四溢。
👉醃椒蒸石狗公：很喜歡，醃椒很有勁，石狗公也很鮮嫩，最後剩餘的醬汁，可以叫一份麵線，一起拌勻，根本天作之合。
👉手工秘制炸蚵卷：很喜歡這種薄麵衣的炸物，清爽好吃。
👉咖哩大蝦粉絲煲：咖哩有點點南洋口味，大蝦新鮮肥美暴力，不錯。
👉鮮香燙口排骨酥：不施胭脂，直接裸炸的排骨酥，軟骨特多，吃得卡茲卡茲響。
👉黑胡椒羊排：羊排醃漬到十分軟嫩，經典的台式黑胡椒肉排。煮得不錯，不過這道本身就不是我的菜，從根本上否定了。
👉干貝燴小玉絲瓜：除了絲瓜不夠軟之外，我覺得一切安好，有干貝絲提香，些許勾芡，味道清爽好入口。
👉金華火腿燉全雞湯：不錯的雞湯，香菇味道份量抓的很剛好，是清爽好喝的清雞湯。
👉魷魚螺肉蒜：經典臺菜，很甜佐以黑胡椒香，料也不錯豐富，還蠻喜歡的。
👉古法台式炒米粉：儘管我不愛吃米粉，可是我得說他炒的真不錯，米粉吃起來口感爽脆，醋香滿滿，不錯吃。"
 Chun-Ming Chang ,https://www.google.com/maps/contrib/103728390737120615711/reviews?hl=zh-TW,5,True,"2,734","2022.07.12=★★★★✪
◉推薦：黑胡椒羊排、金沙鮮魷、古法台式炒米粉、隱食家現炸紅糟肉。
◉簡評：飲酒超級友善餐廳!!酒水自帶杯子，不收洗杯費。😁餐點好吃，內用環境舒適，這價位下無可挑剔了。😋😋
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
米其林必比登之【隱食家Inns+】，今日來試試。坐落在很小的雙城街巷弄裡。內部裝潢十分的西式，桌數不多，用餐空間都環境都讓人感受到舒服，還沒開始用餐就有預感是滿意的一頓。酒水自帶杯子，不收洗杯費。

☑高粱酒香腸💰150=蒜頭太過於辛辣，香腸吃起來感受並不強烈，4.5分。

☑藥膳活醉蝦💰250=小份...五隻，這太少啦!!😱蝦子新鮮有彈性，醉蝦的藥膳湯讓人忍不住端盤喝掉，6分。

☑手工秘製炸蚵捲💰180=外皮比較偏硬，內部蚵肥味鮮，5.5分。

☑黑胡椒羊排💰420=前三盤小菜份量超少，從羊排，份量看起來就正常了點。一入口，這...實在是口感太鮮嫩了!!羊排做得好，真的是一間餐廳功夫到不到位的指標，7分。😋

☑隱食家現炸紅糟肉💰320=外酥，內部瘦肉極有彈性跟鮮味；油脂部分Q彈不油膩，好吃，6分。😋

☑古法台式炒米粉💰320=外觀看起來就...很普通炒米粉，320太貴了吧?蹈入黑醋，唉唷唷，嚐起來米粉偏硬，和著如湯的黑醋一起吸入口，那種口感十分微妙，難以形容，停不下來，6分。😋

☑金沙鮮魷💰420=外皮酥且鹹蛋黃風味很棒，在嘴裡迷泛著香氣；內部先由感覺小小隻的，但至少Q，彈牙，好吃，7分。😋

☑蓮藕杏仁排骨湯💰480=太小一碗了吧...肉燉到入口即化又不老，蓮藕跟杏仁香氣，搭配起來不怎麼討我喜歡，5分。

❖InstagramID：chun.pig❖"
 Elena Tsai ,https://www.google.com/maps/contrib/108717415531694440319/reviews?hl=zh-TW,4,True,318,"預約制巷弄巷台菜餐廳，簡約工業風裝潢、桌數不多，當天用餐氣氛較嘈雜偏熱炒店，讓人印象最深刻的是特製蒜蓉辣椒，用餐過程續了無數次，連不喜歡的淡菜搭配後，直接變燒酒螺風味，果然不對味的菜色加辣就對了。
⠀
整體海鮮新鮮，菜色調味也不錯，魷魚軟嫩、蚵仔很大顆、紹興豆苗很甘甜，但骰子牛是牛柳條的口感滿奇怪，而想吃處女蟳會有更適合的店家，淡菜也不太值得點（24顆$1800很貴……訂餐友人想吃點的)若是扣掉處女蟳和淡菜價格，一人不到$1000蠻值得造訪。

最後招待的甜點提拉米蘇，加入的Rum和Whiskey分配不均，明顯一半像吃酒精、一半份量就很剛好，對於這餐的結尾來說滿可惜的。"
 Y J CC ,https://www.google.com/maps/contrib/101571254882307644169/reviews?hl=zh-TW,5,True,45,"慕名而來果然讓人很滿意
桌數不多加上週日不營業
隔了一陣子才終於品嚐到
需要支付一人五百的訂金
有些菜色需要預定，因為有選擇障礙，所幸就吃無菜單，讓店家推出自己自傲的菜餚。

最讓我驚艷的是魚汁炒蛋，超下飯！
花生豬腳，豬腳處理的很乾淨！燉的軟爛化開～
淡菜更是打趴我歐洲吃的另外一家～

唯一小失望的是螺肉蒜調味好甜"
 田志中 ,https://www.google.com/maps/contrib/116158925119247709018/reviews?hl=zh-TW,5,True,439,好吃，環境非常乾乾，服務不錯，菜單介紹不認真，一直說這要看各人是唯一缺點。後來的應該是老闆娘就很專業。炒米粉跟紅槽肉驚艷。主食是最後上的，第一次來吃還傻傻的等到上齊才開動。
 Ringo Lin ,https://www.google.com/maps/contrib/113349872764934825361/reviews?hl=zh-TW,3,True,42,"用的食材品質優良，料理手法也純熟，菜色都有相當的水準，可以點紅白酒搭配餐食且housewine價格還算合理，並且自帶酒類的收費也不高昂，對我來說是吃飯一定要喝酒的一大吸引力，酒類友善店家。

但服務就真的有點奇怪，當天臨時起意撥電話詢問位子，幸運的有位子，於是滿懷期待去用餐，到了餐廳發現有私人活動在演奏，我認為這應該可以在電話內就告知。再者，因為隔壁桌（演奏家們）氣氛非常熱絡，整個用餐環境非常吵雜，很難與同桌友人聊天，並且服務人員來介紹點菜的當下，是請我們協助放低音量因為有人在演奏？那後續他們演奏完了的巨大音量沒有人提醒他們需要稍微注意以免影響其他用餐客人嗎？

建議餐廳若有這種活動，以後可以直接不接受散客或事先告知來訪的客人，以免因為期待不同造成不好的體驗。"
 游yoyo ,https://www.google.com/maps/contrib/112237588143377058794/reviews?hl=zh-TW,5,True,118,"不能說極度美味，但必比登推介是合理的。

每道菜都讓人會點點頭，但不到會響起小當家音樂的程度；菜品的份量都剛剛好，CP值不算太高，但不會讓你吃不飽。

我最喜歡蚵捲，不用蘸醬就很好吃，炸完仍然多汁不會乾。"
