user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jenny Chu ,https://www.google.com/maps/contrib/111215653813094976618/reviews?hl=zh-TW,4,False,113,"環境舒適氣氛佳不限時，飲料提供第二杯回沖半價優惠，與朋友聚會聊天蠻適合的！這次就與朋友約這裡吃早餐，聊了很久才離開。本次點3種起司鐵板厚夾蛋餅80+setc套餐150（紅茶拿鐵+熔岩布朗尼佐香草冰淇淋）。

蛋餅基本上就是拿蔥抓餅來當蛋餅皮所以才厚，跟我原先想像的手桿厚餅皮不太一樣，不過蔥抓餅煎得滿酥脆的所以還不錯，裡面起司很飽滿，趁熱吃還會牽絲～～加了店內自製蛋餅辣醬（要自己去醬料區拿來加）搭配飲料，比較不會吃到後面覺得蛋餅太乾太膩。

告白一下我點的紅茶拿鐵，我覺得很好喝！差點想加錢續杯～～

然後布朗尼的蛋糕大小跟蘿絲瑪莉的一樣，只差在沒有像蘿絲瑪莉的切開會有巧克力醬流出，飯後上桌還熱熱的，巧克力味道很濃郁口感扎實，我覺得用套餐加點蠻值得的。

倒是不會特別為了蛋餅再訪，但若有朋友約吃早餐又想有個舒適的地方暢快聊天，那我會再來的！"
 Yu-hsuan Chen ,https://www.google.com/maps/contrib/109815234247930136518/reviews?hl=zh-TW,3,True,150,"週末早午餐來吃
點了德式香腸蛋餅跟三種起司蛋餅
餅皮酥脆有蔥抓餅的香氣
送上來沒有到很燙但是是熱的
整體有點偏乾
可是味道很不錯
應該加點店家的醬會很加分唷！
義式薯塊跟炸雞都超乾不推薦
飲料表現不錯唷～～
可可拿鐵很讚讚不膩的熱巧克力
紅茶拿鐵不會太甜中規中矩偏淡

整體環境舒服也工業風
美式風格晚上好像是酒吧
很酷滿舒服的感覺
服務也都很好👍🏻"
 小諭兒 ,https://www.google.com/maps/contrib/111917733634144994170/reviews?hl=zh-TW,5,True,42,"飲料🥤
焦糖瑪奇朵感覺是正常發揮的好喝
可可酒精拿鐵說真的沒有太多酒味，但可可的香味真的跟牛奶很搭，推薦喜歡巧克力的人可以點點看👍

經典早午餐🥣
裡面的蔬菜水果吃起來都很新鮮，但整個餐盤來說沒有太大的特色，很規矩、基本的料理

鐵鍋蛋餅🥞
三種起司蛋餅，餅皮酥脆好吃😋但起司一冷掉凝固後味道相對沒有熱騰騰那麼熱烈，雖然還是有牽絲～～但下次會想點有肉肉的試試看😆

炸雞🍗
毋庸置疑，來了一定要試！！！多汁酥脆超！好！吃！而且不會有奇奇怪怪的雞味

整體店面環境都非常舒服，很適合和朋友一起來放鬆，吃東西，而且可以盡情暢談，超棒👍"
 Becky Chen ,https://www.google.com/maps/contrib/107867449609900651235/reviews?hl=zh-TW,4,True,525,"點餐結帳都可以使用線上服務
非常方便喔！付款方式也很多元～推薦

用餐環境很舒服
位置也很舒適

鐵鍋火烤牛肉加起司蛋餅真的蠻香的，只是鐵鍋應該是裝飾用啦～蛋餅皮煎的很酥脆，且不會太油膩
蛋餅份量跟外面早餐店的份量差不多～不過單價還是偏高（如果跟外面比）

義式風味羅勒培根帕尼尼的份量就很足夠
內餡的肉量也還算可以～調味是比較重的

蒜烤五花肉，就是一般鹹豬肉口味
如果是晚餐來吃，是蠻好的下酒菜

草莓牛奶也滿不錯的
可以喝到草莓果粒，也不會太甜

整體來說，價格稍微偏高
餐點口味中上，如果剛好在附近，會回訪"
 林逢霖 ,https://www.google.com/maps/contrib/107919716888373733729/reviews?hl=zh-TW,3,True,85,"雖然才中午卻很像晚上餐酒館的氣氛
室外座位區有很多盆栽和爬藤
冬天稍微享受一點陽光很舒服
/
點了火烤牛肉蛋餅和三種起司蛋餅
加了有附炸雞塊、飲料的B套餐

覺得蛋餅吃起來並沒有看起來那麼令人驚艷
整體偏乾肉的份量也不多
三種起司吃起來比較濕潤
但如果沒有炸雞一起交替搭配
可能也是有點膩感
炸雞部分覺得中規中矩調味不錯
鹹香鹹香的肉的部分辣味比較明顯

和朋友吃完之後都覺得很飽
甚至到晚上都不太覺得餓哈哈"
 張庭瑋 ,https://www.google.com/maps/contrib/107939113515019679235/reviews?hl=zh-TW,5,True,"1,098",吃過guruhouse的西門跟四號公園店，這次第一次喝它的酒，有部分店員也不知道基酒是什麼的是已經調好的🤣另一杯ginbase的茉莉花尼斯就還不錯，整體很安靜適合小聚的地方～
 上官鳶 ,https://www.google.com/maps/contrib/102179595794179537093/reviews?hl=zh-TW,5,False,59,"很喜歡店內的裝潢，店外的小庭院也很適合拍照
低消是一杯飲料🍹
這次和朋友點了蛋餅和吐司，擺盤好看，味道也出乎意料的好吃！對一般女生來說，份量應該是很足夠的，甚至有點飽的程度。飲料的部分，這次我是加A套餐選了美食咖啡，是我喜歡到味道，尾韻不會太酸也不會太苦，而且很大杯～
日後有機會會再回訪！"
 Hunter ,https://www.google.com/maps/contrib/103279840400911201886/reviews?hl=zh-TW,4,True,29,"20221022早上用餐
整體環境還不錯
餐點部分帕尼尼的外皮烤得太乾，焦味很重，內餡牛肉也是醃漬過的，說真的不合本人口味
蛋餅也沒想像的美味
加點的飲料尚可
薯條不錯

以上僅代表個人口味及看法"
 阿璟（Jing） ,https://www.google.com/maps/contrib/112684258572269012534/reviews?hl=zh-TW,4,True,85,"環境舒適，起司蛋餅的起司還算濃郁但沒有什麼特色，馬鈴薯塊也很普通。蔓越莓汁酸度剛好。冰淇淋布朗尼在正常水準。

週日中午因客滿，用餐結束後跟朋友轉移至戶外空間暢聊，整體感受還行。"
 Cici Rosa ,https://www.google.com/maps/contrib/116625921441451573518/reviews?hl=zh-TW,4,True,141,"很有氛圍的早午餐店

點了兩份鐵板蛋餅
BBQ燒肉鐵板蛋餅很好吃
鐵板牛肉厚夾蛋餅也不錯牛肉其實還是蠻薄
特別推薦蛋餅醬料，微辣跟蛋餅非常搭

飲料部分
紅茶就是一般的紅茶沒什麼特別
但檸檬冰茶超好喝上層是冰沙，泡沫綿密細緻，口感口味兼具的飲料☺️"
