user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chien Wei Lee ,https://www.google.com/maps/contrib/114956833131546874613/reviews?hl=zh-TW,5,True,73,"餐點口味都很不錯，鹹淡適中，在多元的調味中仍不失食材的原味。這次到訪點了四人套餐，份量很夠，其中黑美人烤雞最為驚豔，沙拉也是非常新鮮可口。

餐廳裝潢的很用心，燈光美、氣氛佳，搭配非常友善的服務，是個很讓人放鬆的用餐環境。"
 Dino Chen ,https://www.google.com/maps/contrib/110102323401411297467/reviews?hl=zh-TW,4,True,334,"3個人，點一份雙人套餐+義大利麵跟一個甜點，坦白說，剛喝到主廚濃湯時，我們是完全失望的，濃湯淡而無味，後來的沙拉讓我們稍微有點希望，接下來的義大利麵味道很好，份量也夠，但是海鮮燉飯的份量就太少了，估計胃口小的女孩子可能很勉強夠，德國豬腳我們很喜歡，至少我覺得比貳樓的豬腳好吃份量也足夠，套餐的飲料還不錯，最後加點的布朗尼好吃，獲得一致的好評。

第一次的經驗，主廚濃湯失敗，海鮮燉飯量太少了，其他的都不錯，也許下次會試試大家PO的雞~"
 Yuan Chi Liao ,https://www.google.com/maps/contrib/117991400513688588554/reviews?hl=zh-TW,3,True,238,"訂位很方便，餐廳的氣氛、服務也都不錯。桌上的開水是有加蝶豆花和果乾的，顏色是浪漫的淡紫色，味道甜甜的很特別。松露野菇烘蛋的表面是松露美乃滋，每一口都吃得到菇類；煙花女義大利麵有一整隻中卷，不過吃起來有點硬，牙口不好的人可能比較不適合，麵體是扁麵，配料有蕃茄丁、酸豆、辣椒、橄欖等等，配色很漂亮，但口味比較鹹、小辣；金沙鴨胸筆管麵據說是店裡最熱門的品項，鴨胸是醃漬過的，偏鹹，筆管麵都有沾附到鹹蛋，店員有提醒這道要趁熱吃，果然稍微冷掉之後就變得比較乾硬；地中海漁夫茄汁燉飯有扇貝、蝦子、中卷，飯吃起來是一般的茄汁飯，海鮮感覺是冷凍過的比較沒有味道，這道是今天的主餐中比較不那麼鹹的一道了。加100元的套餐我們選擇兩份沙拉和火龍果蘋果汁，果汁據說是沒有額外加糖的，喝起來不會太淡，顏色也滿漂亮的。
今天吃的幾樣菜色，整體口味都偏鹹，義大利麵比較乾硬，燉飯也是偏乾的米飯，醬汁不多，食材的新鮮度和口感普通。雖然餐點的口味一般，不過店裡聚餐的氣氛很不錯，擺盤和配色也滿好看的，適合拍照。"
 Y “Irene” ,https://www.google.com/maps/contrib/114216152226792604687/reviews?hl=zh-TW,5,False,14,"★餐點美味★
好處的餐點都是以在地新鮮食材入菜，店裡還有一幅食材地圖呢。今天點了聖誕節雙人套餐加上一些單點，三人分享很滿足！因為算是第一批客人，出餐速度很快，點完餐小聊一下，熱騰騰的料理就陸續上桌，每道都很精緻，搭配恰到好處的調味，讓料理既保有食材原味，又不失層次感。其中很推薦黑美人烤雞，外皮薄脆，肉質鮮嫩，還有雞汁燉飯(包在烤雞裡)，是很有特色的一道主食！另外紹興酒香煎鴨胸金沙義大利麵也大推，中西式味蕾一次滿足！

★服務暖心★
真心要給好處的服務滿滿的五星肯定！很周到，很暖心，又不會太超過，是那種讓人覺得來到好朋友家裡聚餐的自在溫暖。同時，也真的很認同店家的理念，人與人之間互相尊重善待，就能夠一起創造一段段充滿溫度的用餐體驗。

★甜點驚艷★
不誇張！甜點系列厲害到自己出道開一家店都絕對會大受歡迎。來之前就看到滿多評論推薦好處的甜點，今天果然被驚艷到，很推薦布朗尼(溫熱的蛋糕搭配苦甜巧克力粉，香濃不膩口)和紅茶巴斯克(清爽的茶香乳酪蛋糕完美搭配著微鹹鮮奶油，如果來用餐請不要錯過)！

★環境舒適★
店內空間感很棒，暖色系燈光搭配木質裝潢，加上落地窗帶入的大片自然光，一走進來就覺得有股讓人心情放鬆的氣氛，即使接近客滿時，也不會覺得吵雜，整體環境可以感受到店家用心營造出的舒適氛圍，讓用餐體驗很加分！"
 Awind Tseng ,https://www.google.com/maps/contrib/103798011019568895567/reviews?hl=zh-TW,5,True,8,"還好有訂到位置的聖誕大餐，7個大人被餵食到超級滿足！
主菜排餐四道菜色既上相又美味，份量超大又營養平衡(超多蔬菜跟水果)
聖誕限定的剝皮辣椒雞翅外酥內嫩，配上微辣的辣椒醬超級好吃😋私心希望店長能放進日常菜單中(下次不知道什麼時候才能吃得到😭)
整隻中卷的義大利麵被光速掃盤，還有超「邪惡」的松露薯條跟松露野菇烘蛋，松露奶醬涮嘴到爆炸，即使熱量會炸表還是難以抗拒。
感謝用生命提供優質服務與美食的好處團隊！
推薦大家一定要來試試！"
 恬恬 ,https://www.google.com/maps/contrib/116785432746217921191/reviews?hl=zh-TW,5,True,34,"超級推推這家，有氣氛、好吃、份量多、免服務費～若喜愛排餐類，推雙人套餐，吃完巨飽！！

#開水
是不是想問
為啥連水都要介紹🤣
因為連一開始的水
就讓我驚艷不已
有添加蝶豆花、迷迭香、天然果乾
好看又好喝～少女心滿滿❤️

#套餐沙拉
份量滿滿
水果蘋果芭樂都超甜
沙拉醬也是酸酸甜甜的

#套餐湯品
簡單的蔬菜蕃茄湯
清爽的風味
剛好消除水果沙拉的甜膩感

#那不勒斯煙花女義大利麵
算是重口味的海鮮麵
酸豆、鯷魚、黑橄欖、番茄
整個醬汁融為一體
再加上烤的恰當好處的中卷
海洋跟田園風味衝擊著味蕾
這是我吃過
最好吃的煙花女義大利麵👍🏻

#炭烤脆皮豬肋排
沒想到份量意外的多
肋排烤的不會過老
非常容易咬入口
一定要加上附贈的檸檬片
超級解膩！！
但我覺得最好吃的是
旁邊那小球的薯泥
充滿著奶油香
有非常滑順的口感
一口肉肉一口薯泥
ユージーン🥰

#副餐飲料
茶跟黑咖啡二選一
推美式咖啡
非常順口好喝不酸"
 張晏榕 ,https://www.google.com/maps/contrib/110958235005125462431/reviews?hl=zh-TW,4,True,12,餐點現做，不是特別愛義式料裡的我也能接受。有時不管吃任何義大利麵或燉飯容易覺得膩，但這家不會喔～打⭐️都是店家推薦料理，可以來嘗試
 ChiaChen Chao ,https://www.google.com/maps/contrib/108291148791363059692/reviews?hl=zh-TW,3,True,301,店裡裝潢很好看，平日中午人不多，用餐很愜意，適合悠閒用餐。提供的蝶豆花水果水很特別，有自然的微甜味。主餐加價100元升級套餐，會有湯、沙拉、飲料，沙拉表現得很棒，但湯普通，另外補差額的海鹽奶茶也不錯。主餐奶油白醬鮭魚義大利麵好吃，推薦。不過另外再加價100元的檸檬塔，稍硬的塔皮配上切開後會流出的檸檬醬，不是我喜歡的類型。
 Zih ci Yu ,https://www.google.com/maps/contrib/110535002812060948301/reviews?hl=zh-TW,5,True,237,"下午茶時段甜點+飲料$200
超級划算的呀～～～
甜點完全不輸外面的甜點專賣店！
黑衣人炸雞很特別也很多汁好吃😋
熱海鹽仙女奶茶第一口喝下去很驚艷！
甜鹹的奶泡配上花瓣跟奶茶超級搭
好看又好喝😍"
 天生立值（Liccy.z） ,https://www.google.com/maps/contrib/111747623890751639255/reviews?hl=zh-TW,5,True,66,"餐點以在地新鮮食材入菜，來歷都在店內的牆上，用地圖的方式呈現。而且口味都很不錯，鹹淡適中，在多元的調味中仍不失食材的原味。
「水是藍色的」非常特別，是自家特製的蝶豆花水～喝起來甜甜的～

餐點推薦
海鹽仙女奶茶($130)先喝一口原味，再把上面奶蓋與奶茶攪拌在一起，更好喝👍🏻

好處炸物三寶($560)
（黑衣人炸雞、松露薯條、秘制雞翅）
好處的炸物拼盤是三種炸物分別上來，不是每份來一點“拼”在一起
*雞翅就有10隻！完全物超所值！旁邊還有附沙拉。
*薯條脆而軟，一定要配松露醬一起吃，大推👍🏻
*店員說黑色炸雞是用墨魚醬製作而成

紹興酒香煎鴨胸金沙起司麵($320)
中西合併的特色餐點，上面沾有麻油，吃之前先拌均勻～醬汁和麵條混再一起吃，金沙其實是碎鹹蛋，味道也特別重

（+100=套餐今日濃湯+沙拉
唯一比較失望的是主廚濃湯，淡而無味，幸好沙拉有加一點分數回來，但其實也不影響其他餐點。

服務🟡🟡🟡🟡🟡
服務人員都會細心的介紹餐點，也太方給我們餐點上的建議，也會時不時注意與詢問餐點上是無問題，貼心滿分。

衛生🟡🟡🟡🟡🟡
餐廳空間非常大！從裝潢看得出來非常用心！暖色系燈光搭配木質裝潢，一走進來就覺得有股讓人心情放鬆的氣氛，是個很讓人放鬆的用餐環境。"
