user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Yun Lae ,https://www.google.com/maps/contrib/102951004447487298100/reviews?hl=zh-TW,4,False,3,"2022/3/2718:30用餐
幸運的入內就有座位！服務人員很親切，我們選擇甜鹹各一口味，其中一份加140升級成套餐，多一杯飲料、一碗濃湯以及一份甜點。
甜「夏娃的誘惑」：蘋果與肉桂的基本款甜披薩口味，肉桂香清淡，蘋果還是吃得到清脆感。
鹹「早安卜派」：是由菠菜和豐富的起司組成，最上面還有一顆半熟蛋，賣相極佳，不過菠菜存在感不大，餅皮也沒有特別調味，令人記憶不深。
由於坐在冷氣口附近，披薩很快被吹涼，所以披薩外皮後來有點硬，比較難以下嚥。
濃湯非常淡，喝不出來是什麼口味，可能最後湯底有點馬鈴薯。
最令人驚艷的是甜點「焦糖奶酪」：超級好吃！奶酪的部份綿密不會太甜，搭配苦甜苦甜的焦糖醬，完全是大人口味的甜點🍮超級推👍"
 chia lien hung ,https://www.google.com/maps/contrib/118193377649375704417/reviews?hl=zh-TW,4,True,248,"披薩口味分為紅白醬，選擇多元，四個人點了兩個披薩，水牛城雞翅跟油炸兄弟會。鄉村俱樂部有起司馬鈴薯的風味，非常好吃，最愛瑪莉珍的青醬口味突出，吃起來偏鹹。油炸兄弟會有兩種薯條跟洋蔥圈，配上塔塔醬跟番茄醬組合，不會出錯的分食選擇。
水牛城雞翅酸味太過，吃不出辣味，吃完很渴。
餐廳環境氣氛很好，音樂跟營造的氛圍輕鬆舒適，適合朋友多人聚餐，服務人員態度很好，收空盤很勤快，另外，廁所外就有洗手台，很方便。"
 Mosi Pig (摸西豬) ,https://www.google.com/maps/contrib/106245212225877778145/reviews?hl=zh-TW,5,True,56,薄皮的披薩吃起來比較不那麼容易膩，而且不像吃大魚大肉後胃不舒服，這間的披薩很像輕食的用餐經驗，吃飽後滿舒服的（不知該怎麼形容XD）；另外推薦焗烤燉飯，起司非常濃厚，燉飯是稍微粒硬心的口感，但意外地和起司非常搭！服務人員滿熱心的，會主動幫忙移位子或是很及時的來撤餐盤！推薦跟朋友們一起來聊八卦吃披薩！
 Sasa Liu ,https://www.google.com/maps/contrib/101900118019697598756/reviews?hl=zh-TW,3,True,634,"外帶早安卜派披薩

記得多年前在師大瑪莉珍吃到這道非常驚艷!
大概2年前在師大吃一道起司馬鈴薯，料少吃不飽又沒味道。

所以這次換台大店試試看，餅皮是我喜歡的薄脆，又帶有嚼勁和麵香味，雖然不想吃太多澱粉但還是一直吃餅皮，真的好吃!

但料就遜色很多，菠菜沒味道也烤得很乾，照理說菠菜算是菜味蠻重的菜，不曉得怎麼會弄得沒味道，這道最大的特色就是半熟蛋.可是…但要平均分配可能有點困難，但這也弄得太歪了吧….要不然就打2顆蛋不行嗎….有一半的披薩都沒吃到蛋阿.

餡料好像還有培根?蛋不管是什麼料，一概都沒味道…感覺除了塗底部的醬汁外，其他食材就是擺上去都沒再做調味，要自己再加鹽巴、辣粉、起司粉才有味道，真的是不懂怎麼兩家分店都不做調味…"
 邱靖佳 ,https://www.google.com/maps/contrib/107209591507979083999/reviews?hl=zh-TW,5,True,153,"披薩口味眾多好吃！
很容易就吃飽了
所以對我來說份量很多🥰
我吃的是有菠菜口味半熟蛋的
還有有香菜醬口味的披薩"
 Yao Sean ,https://www.google.com/maps/contrib/106529233616665675336/reviews?hl=zh-TW,4,True,13,"這次點的是鯷魚口味的Pizza，西西里。披薩的餅皮香、酥、脆得恰到好處。清淡爽脆的沙拉則剛好平衡了鯷魚的鹹味。服務人員親切有禮。
有機會會再來嘗試其他口味。"
 Arthur Hsu ,https://www.google.com/maps/contrib/111530193713759359315/reviews?hl=zh-TW,5,True,246,臺大側門新生南路另一側巷弄內的pizza專賣店，店內走美式風格，主要賣pizza有紅醬跟白醬，此外也有一些炸物、前菜、沙拉可以搭配，口味還不錯，且餅皮的麵粉香很讚。
 Jenny Chu ,https://www.google.com/maps/contrib/111215653813094976618/reviews?hl=zh-TW,5,False,113,"這次吃下來最喜歡「紐約起司」、「霸王別雞」跟「漿果夢夢」，炸物表現也都很令人滿意，我們是6個人點了6種披薩跟兩種炸物一起分，外加每人加購飲料，然後披薩的大小是6吋，跟菜單一樣大。

*「紐約起司」口味可能因為配料比較單純，起司味相對凸顯，所以吃起來我覺得很好吃。
*「霸王別雞」則是因為他的配料跟其他種口味比較沒重複，又都不太會味道互相被蓋掉，所以雞肉跟一塊費達起司一起，又同時有青醬跟紅醬的味道，太豐富了所以很喜歡。
*「漿果夢夢」我們是把它當甜點吃，莓果醬跟蜂蜜的存在感超高！在吃的時候還一直被上面點綴的草莓香到，喜歡吃甜食的螞蟻人們應該會很愛！btw，這個口味偏甜，但我超愛吃甜所以我非常可以。
*炸物部分我們點了「油炸兄弟會」跟「海鮮炸物」，海鮮炸物的鱈魚條很讚～油炸兄弟會的洋蔥圈也是～炸得很好吃！楔形薯條是不去皮的馬鈴薯塊我也很喜歡。

用餐日期：2022.07.14"
 Tiffany Wang ,https://www.google.com/maps/contrib/107337885315837371989/reviews?hl=zh-TW,4,True,23,"環境：可能疫情關係人沒有到很多，不吵雜很舒適
食物：披薩餅皮Q彈有嚼勁，披薩配料正常發揮，不過我們覺得自己組合的披薩好像更好吃？！炸物也是正常發揮，附上照片不多描述~
服務：服務態度優，中午時段用餐完也不會急著趕客人，上餐收餐速度很ok!
推薦：適合較熟識的好友相聚聊天~多點人一起去可以吃的很多不同口味還可以一起討論配料，看要走地獄路線還是享受路線喔！如果是多人的聚會就交給別人決定就好了~
2022.2.6×°×"
 Charlie Lin ,https://www.google.com/maps/contrib/102850569597813759913/reviews?hl=zh-TW,5,True,77,"【溫州街無雷披薩愛店】
種類超多，素食、蛋奶素都可以在這裡找到無肉蔬食品項，五辛也都可詢問店家。

🍕·瑪麗珍$260
🍕·早安卜派$280
🍎·夏娃的誘惑$180

/
📍營業時間：11:00-19:30
📍交通：捷運公館站，走路約15分鐘。公車可搭到台大、台大體育館站，走路約10分鐘。"
