user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 伊恩食客 ,https://www.google.com/maps/contrib/104025811949918672671/reviews?hl=zh-TW,3,True,445,"牛肉炒飯$210
牛肉幾乎沒存在感，應該叫芝麻柴魚炒飯

明太子雞翅$170
吃不到明太子味，被辣油蓋過去

唐揚雞$160
外皮像鹹酥雞，裡面肉像雞塊肉，配蜂蜜芥末醬，還可以

明太子薯條$140
帶皮薯條配明太子醬，不差

明太子雞肉串$140
還可以

醬燒豬舌$210
厚切，有豬騷味，外表焦味稍重

鹽烤松阪豬$150
口感不錯但肉質乾乾的

鹽烤橫隔膜$270
牛肉味道有出來，但一樣的問題，焦味有點過重

一夜干鯖魚$280
本身不愛吃魚，覺得還好，肉算蠻多的，刺也很多

炸布朗尼$100
出乎意料，可能是最滿意而且CP最高的一道，有淋煉乳

一成服務費
2022.8到訪
可用APPLEPAY

結論:
食物還好，環境偏壅擠
男生吃飽人均1000價位偏高
服務生撞到人不會說抱歉

五星評論送酒，估狗分數參考價值可能失真
本身剛好不喝酒，仍然忠於自身感覺評論

個人給星標準:
一星:完全不是我的菜
二星:食物表現不好，或是品質/CP值未達期待，不太可能再訪
三星:味道/CP值綜合起來算普通
四星:有些品項好吃，或CP偏高，有可能再訪
五星:有品項非常好吃或CP爆高，或整體用餐感覺很好，極大可能再訪"
 Neo Kung ,https://www.google.com/maps/contrib/101038651735695220081/reviews?hl=zh-TW,5,True,953,"很好吃的居酒屋
週日晚上來之前有先訂位
還好，當天是全滿，至少要等30-60分鐘
才有位子，用餐不限時！

全滿的情況下，店家有通知出餐會比較慢
的確稍微慢了一點，但大概只等了15分鐘
其實算是可以接受的情況，
後面就陸陸續續出，可以接受
最後有一個水蓮吃不下
還沒有下去做也是可以請店家取消
對整體的服務態度是很滿意的

餐點品質好，可惜當天牛舌、魚下巴都賣完
「醬燒雞肉串」、「明太子雞肉串」
都很好吃！
大推明太子，這家明太子相關的都好吃
「一夜干-鯖魚」也很讚！

人均吃下來大概750左右，
是個可以接受的價格
離西門町捷運站有點距離，
大概要走10-15分鐘
不過附近蠻好逛的，應該還好

店內位子不少，
但一個桌子的空間並不是很大
水要自取"
 Gray Syu ,https://www.google.com/maps/contrib/111842033204596485262/reviews?hl=zh-TW,3,True,450,"※附近收費機車格很多，汽車的話要停在收費停車場比較方便。

用餐時間：12/24(星期四)
用餐金額：1280元

※環境：老宅改建，日式風格的感覺，位子我個人覺得有點擠，以疫情期間來說，其實還滿緊繃的，我覺得不是很舒適。

※餐點：

-可樂：60元，真的很小瓶，我瞭解這是居酒屋要賺的酒水錢，但真的很扯的小，目測應該只有250ML。

-鳳螺：胡椒味很重，有點辣口，我個人不是很喜歡。

-明太子雞翅：吃起來沒什麼調味，味道一般，沒什麼驚豔感。

-豬舌：我沒吃過豬舌，第一次吃覺得不錯吃，吃起來口感很好，很脆！滿JUICE的，整個晚上最滿意的就是這個，我個人推薦這個。

-蔥豬肉串：還OK，一般水準。

-中卷：也很一般…吃起來也不是特別鮮甜…甚至覺得有點乾。

此次吃飯沒喝酒，所以酒的部份不評論。
不知道是不是點錯餐點，還是沒吃到招牌，整體吃起來是覺得普通。
但網路評價卻有4點多顆星
但也不算是踩雷
整體來說，我個人不會再訪。"
 MM M ,https://www.google.com/maps/contrib/117969025413153757769/reviews?hl=zh-TW,1,False,25,"優點
他們家東西真的好吃
點了好幾道都沒有雷
店內很日式的氛圍

缺點
服務生訓練不足
後續餐點等了許久沒上
提醒了他們我們還有哪些菜沒上到
其中一樣雞心服務生一頭霧水
問我雞心沒上嗎？
我說沒上
之後還特地來問雞心真的沒吃到嗎？
雖然服務生態度很客氣
但這句話給人的感覺實在不是很好
我們不會去騙你110元兩串的雞心沒上，沒有就是沒有
最後還是上了雞心
但是大家對於這間店的感覺已經不是很好了
不過有一說一，雞心很美味

最後要結帳，告知服務生要結帳
他說會給我們明細
我以為是桌前買單
繼續回去坐著等帳單
結果先生到結帳台前面結帳
才知道原來有結帳台啊？
我想知道的是哪裡買單
給我明細幹嘛？

今天唯一覺得普通的就是清酒蛤蜊湯
其他餐點在水準之上
服務人員的細心度待加強

照片順序最下面是先上的餐點"
 Chia-Yu Tu ,https://www.google.com/maps/contrib/117940418552377248219/reviews?hl=zh-TW,3,True,90,"建議先訂位，假日六點來的時候還沒滿，但大多都是有保留給訂位的
山葵雞胸肉沒有很搭，烤松阪豬串份量有點少
炒拉麵很Q好吃！雞皮好吃(不會含油)！"
 Pin-Ying Yang ,https://www.google.com/maps/contrib/113955673431859672293/reviews?hl=zh-TW,5,True,68,"非常棒的日式居酒屋！氣氛極好，在日式建築裡享用道地的串燒炸物和美酒，人生一大享受，已經來訪超過四次的真情推薦❤來了會愛上，真的！

本日餐點：
明太子炸薯條
明太子雞肉串
烤櫛瓜
烤帶皮玉蜀黍
日式炸麻糬
燒肉組合
天空之月梅酒
清酒"
 迷途小書僮 ,https://www.google.com/maps/contrib/100636757628570494576/reviews?hl=zh-TW,4,True,25,"很居酒屋的居酒屋，連結帳檯都很認真，氣氛很好。
芥末也很認真的辣，明明只有一點卻很上頭。但是芥末雞肉串的肉太乾了，差評。一樣是雞肉，明太子雞肉串卻意外的好吃，不論是明太子或是雞肉都算恰到好處。豬舌很彈，沒吃過的人可以試看看。
桃子梅酒真的只有momo味，拿來騙妹子說是桃子果汁可能會成功。
綜合來說不是特別驚艷的店，但裝潢跟服務都算用心，給4星。"
 Joan ,https://www.google.com/maps/contrib/105109401983815422360/reviews?hl=zh-TW,3,True,331,"用餐位置偏小但不至於擁擠
只是整體店內空氣感覺偏悶不流通

餐點的部分
明太子的都蠻好吃的
炒麵炒飯也拿捏剛好
滷大腸也入味不錯吃
但有幾種烤物偏鹹

價位偏稍微高
可以先墊墊肚子再來喝酒吃菜

希望之後吃素的客人都客製點餐了
上面有什麼配料要先確認一下
柴魚不是魚這樣的解釋不能接受
其他方面的服務都很好（上菜速度、清潔等⋯）"
 Fish Yu ,https://www.google.com/maps/contrib/118289873373227192638/reviews?hl=zh-TW,5,True,178,古早日式建築風味的居酒屋，店內的陳設走懷舊風格，加上木造的房屋還可以看見屋梁，頗有一番風情；人多可以吃得更過癮，居酒屋果然是人多最好吃的地方。
 白涯 ,https://www.google.com/maps/contrib/104821283455808016595/reviews?hl=zh-TW,5,False,44,"來吃過好幾次，服務人員非常親切又可愛，氣氛超好。
每次來西門町招待朋友居酒屋必來~燒烤非常好吃、尤愛明太子肌雞肉串、塔塔琳酥蠔，酒水也很棒！
大村武萬歲//"
 Ni Chen ,https://www.google.com/maps/contrib/117317304082240241951/reviews?hl=zh-TW,5,True,218,"氣氛超有日本風情🇯🇵
從門口開始走到店裡都好喜歡
很適合下課、下班後和朋友們聚在一起小酌一番

店員有幾個都很客氣
餐點也都好吃無雷😋
明太子雞肉串！必點！上面的明太子醬一入口直接幸福滿滿呀❣️
松阪豬炒水蓮！很推！有加酒，湯汁很鮮
調酒類也很好喝～4入一組可以喝到不同口味

兩個人吃掉2千多，小貴，適合偶爾奢侈"
 84B鄭伊廷 ,https://www.google.com/maps/contrib/101360884329040106769/reviews?hl=zh-TW,5,True,157,"二訪的好吃日式居酒屋

建議可以先訂位，平日來吃晚餐也很多人，常常都是滿座的狀態。
喜歡烏龍麵和松阪豬炒水蓮，布朗尼也蠻特別的，酒的話喜歡蜂蜜梅酒，酒味不會太重，很清爽的味道"
 菲比 ,https://www.google.com/maps/contrib/116577435409153594839/reviews?hl=zh-TW,5,True,184,"2022.1.15
有夠好吃⁝(ᵒ̴̶̷̥́௰ᵒ̴̶̷̣̥̀ )⁝🌸
必點🌟：橫隔膜、明太子雞肉串、鹽烤干貝、鹽蔥豬五花、濃醇梅酒🍸❤️
可試試看⭕️：明太子山藥
覺得還好🤷🏻‍♀️：菲力牛有點筋不太好咬、玉子燒有起司但覺得沒特別推、烤午魚

來這裡好開心！用餐氣氛也很溫馨～
晚上下榻在二十輪飯店，飽餐後散步在東區街頭，也挺好的🥰"
 李明燦 ,https://www.google.com/maps/contrib/112774807409825768513/reviews?hl=zh-TW,5,False,6,"今日初訪

博多炒拉麵：很Q很好吃

醬燒猪舌：香Q帶勁也是必點

明太子雞翅：非常特別，將明太子包在雞翅肉裡，不是塗在雞翅上

明太子薯條：光是薯條就酥脆好吃，但薯條剛上時，薯條味會搶走明太子醬的風采，可以等薯條稍微冷卻後再沾

其它菜色的味道跟一般居酒屋差不多，有機會會再訪。"
 Yv. P ,https://www.google.com/maps/contrib/117096791677755424883/reviews?hl=zh-TW,5,True,484,"柳葉魚很大氣，烤的恰到好處，玉米筍份量少了一點，明太子山藥的山藥外皮有點驚悚但是味道是好的。
酒類有599可選四杯180元的梅酒，很不錯！
松阪豬也很好吃！
元氣的醬炒豬有點鹹，可能再調整一下會更好，或菜多給一些。

整體而言推薦！"
 theta Hsu ,https://www.google.com/maps/contrib/101133711276991663067/reviews?hl=zh-TW,5,True,76,"串燒類豬舌厚度夠，內部不乾柴有水分，咀嚼下有嚼勁的口感帶來跟牛舌不一樣的享受。
牛橫膈整體軟嫩有厚度，但與牛肋條建議點一種就好。
蔥鹽雞肉串其雞肉肥厚且水分十足，可惜雞皮焦香味不太夠。
烤香菇最失敗的是裹的醬料，選用太甜的醬料讓人無法接受。杏鮑菇水份十足、櫛瓜內部軟嫩但覺得厚度不足。
辛炒拉麵辣度較高，建議敢吃辣再點、炒水蓮搭配香菇及松阪豬，增加不一樣的口感及層次。
鯖魚雖然價格稍高但是肉質肥美。明太子山藥及蛤蜊湯就蠻普通且空虛。
整體食物及梅酒種類多，價格稍高，內用環境油煙味重、假日人很多建議訂位，目前評論5星就送小菜or酒，快來評論。"
