user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Allen Chien ,https://www.google.com/maps/contrib/108256479781760994112/reviews?hl=zh-TW,4,True,"1,873","在公館商圈想要吃飽飽，又不傷荷包，小飯館兒絕對是選擇之一！
這裡的白飯、飲料、小菜都是由客人自取，吃多少拿多少，保證吃到飽，所以千萬別浪費喔。
從師大夜市營業時，就開始光顧，料多味美又經濟實惠，是附近學生族的最愛，搬遷至公館商圈後，仍保留原有的特色，讓餐廳依舊是眾多學生族群的最愛！
我們點了五花肉燒烤、石鍋拌飯、海鮮煎餅等常見的韓式料理，這裡的餐點其實已經變成台式風味，跟一些正宗韓式餐廳的口味還是有差。
依小菜來說，泡菜不酸不辣，其餘的海帶、醃黃瓜等都屬台式風味，因為可以自取續盤，光這一優點就很滿足了。
石鍋拌飯和海鮮煎餅的味道很一般，說不上特別好吃；烤五花肉配上佐料和生菜，還比較有韓式料理的感覺，生菜和清爽可以中和五花肉的油膩，吃起來爽口不膩。
經過十多年後的小飯館兒，吃的是之前的回憶、品的是過往的氛圍，儘管現在韓式餐廳很多，小飯館兒帶給我的回憶依舊是那麼鮮明和經濟實惠。"
 林怡安 ,https://www.google.com/maps/contrib/101886810973189854109/reviews?hl=zh-TW,3,False,9,"想省錢的話
可以去吃吃看的韓式料理

⭐️優點：平價、小菜白飯飲料可以自己裝
⭐️小菜：普通，2層樓的小菜不大一樣
（想吃需自行上下樓去裝）
⭐️餐點：春川炒雞（加購起司年糕）、人蔘雞湯

春川炒雞還可以👌
裡面本來就有年糕，但如果想多吃年糕可以加購
乾的速度滿快的，但是沒辦法加高湯，只能自己去裝水來加，預防燒焦，建議加起司🧀️

人蔘雞湯（個人覺得完全不是那個味道..）
第一次看到人蔘雞湯裡面放小白菜
雞的腥味很重，也完全沒看到人蔘
只有2顆枸杞跟1顆紅棗在湯裡面漂浮
肉咬下去粉紅色還滿明顯的
湯的味道一言難盡…."
 zaiyu huang ,https://www.google.com/maps/contrib/107326230496580055025/reviews?hl=zh-TW,4,False,16,海鮮煎餅是外酥內軟，厚的那種，搭配的醬料好吃。餐點的份量都算蠻多的，小菜是自助夾，喜歡涼拌冬粉。餐點的風味感覺比較偏台式。客人很多，店員很客氣。
 伍玖玖 ,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=zh-TW,3,True,458,"水土不服，吃完回家拉肚子。點2人烤肉牛/羊，有高麗菜金針菇感覺健康，小菜白飯可以吃到飽，還有開水跟冬瓜茶，烤肉盤調味很重有點鹹。

一樓跟二樓小菜不太一樣，可以上樓裝。口味中規中矩肉量多可以吃很飽。店內空間小，與隔桌距離近，烤肉沒有吸油煙機器較易沾染味道。"
 Play Eat & ,https://www.google.com/maps/contrib/115691884382715735056/reviews?hl=zh-TW,4,True,57,"小飯館兒是公館的平價韓式料理，來用餐的幾乎都是年輕人，只要到吃飯時間通常是一位難求，要早點來排隊。
可以點單人份的定食，配上吃到飽的小菜，黃豆芽、泡菜、海帶、冬粉、甜不辣，飲料有冬瓜茶和開水，推薦韓式泡菜很道地新鮮，不會過於酸鹹酸鹹，台灣人可以接受的口味。
推薦韓式自助鐵板，有2人份或3人份，大份量的牛羊/豬雞/麻辣章魚，滿滿的肉盤和2種青菜，加熱煮成有湯汁的鐵板燒，醬汁、肉汁和蔬菜組合成剛剛好的鹹甜，配上白飯，一口接一口停不下來。"
 Benbentao ,https://www.google.com/maps/contrib/112741110390819374658/reviews?hl=zh-TW,3,True,35,"這間店以前開在師大的時候，念師大的好友帶我去吃過，時隔多年，已經搬到台大這邊。

點了麻辣小章魚+牛五花，小菜自取，但現在疫情期間，總覺得有點害怕，希望放小菜的地方可以加個蓋子…

人很多，味道不差，適合學生來吃，可以吃得很飽，我就來吃個回憶就好…"
 L Gina. ,https://www.google.com/maps/contrib/116815156227539204627/reviews?hl=zh-TW,4,True,146,"內用低消每人NT$100（一人一份餐點）
尖峰時段生意很好，用餐限時90分鐘⏰

台大公館夜市附近的韓式料理
親民的價格，加上內用可無限續的白飯、冬瓜茶及小菜，是學生們的韓式餐廳首選👍🏻

小菜一樓跟二樓都會放三種
有些會重複有些不會
可以去不同樓層取用

韓式部隊鍋NT$400（兩人份）
印象中以前是加起司片，這次改成起司絲
裡面有三片年糕、很多豬肉片、青菜、豆芽菜、豆腐、火腿片、培根
部隊鍋裡面竟然沒有德式香腸或鑫鑫腸
小失望🙍

一鍋很大，兩人吃很飽，但也蠻容易膩的
偶爾可以來回味一下"
 張康寧 ,https://www.google.com/maps/contrib/106877575935399525019/reviews?hl=zh-TW,5,True,43,"5年沒吃了還是很好吃,客人一樣多,麻辣排骨鍋是我的最愛到目前為止還沒在別家吃過一樣的鍋,泡菜鍋跟海鮮煎餅也好吃"
 Kelly ,https://www.google.com/maps/contrib/102717250935513817412/reviews?hl=zh-TW,4,True,14,"小菜、白飯、飲品（冬瓜茶）可以無限自取
不要浪費沒吃完會酌收$50
環境照不能拍攝只能攝影桌上自己點的食物
不小心拍了幾張被老闆制止只放我們點的食物
環境還不錯！不用擁擠動線也是順暢的
點了海鮮煎餅麵糊味稍重不是我喜歡的辣種
2人份（牛肉）烤肉份量很多加泡麵不適合偏乾
整體喜歡😘下次想再來吃吃看部隊鍋"
 PonPon ,https://www.google.com/maps/contrib/109059797270773424202/reviews?hl=zh-TW,4,True,138,"➰韓式鐵板燒#牛肉(2人份)$350
推薦程度：🌕🌕🌕🌗🌑
➰海鮮煎餅$170
推薦程度：🌕🌕🌕🌕🌗
➰三鮮炸醬麵$140
推薦程度：🌕🌕🌕🌑🌑
➰辣炒年糕$100
推薦程度：🌕🌕🌕🌑🌑
-
韓式烤牛肉雙人份只要$350，加上白飯、飲料、韓式小菜無限供應，不到$200就可以吃到飽🙌🏻兩人吃還差點吃不完！

簡單整理幾個重點給大家！
💫CP值滿分，真的是平價又大碗。
💫整體口味偏「台灣」，不會有道地韓式的感覺呦～
💫最推薦必點的是#海鮮煎餅厚度足夠，海鮮也算豐富，搭配的醬汁能增添清爽度。
💫以前吃比較好吃，感覺得到品質有些下降。但CP值還是很不錯的。"
 Christina Wu ,https://www.google.com/maps/contrib/104745611583928593966/reviews?hl=zh-TW,5,True,56,"🦐海鮮煎餅$170
🥘韓式自助鐵板-牛肉$390
🧀起司$40

-自助鐵板的CP值很高！菜跟肉都給蠻多的，雖然調味是沒有很韓式🤣

-海鮮煎餅好吃耶！裡面的蝦子跟菜很多，必點😍"
 Carrie Jenq ,https://www.google.com/maps/contrib/101131235867722500290/reviews?hl=zh-TW,2,True,141,服務很好且小菜是吃到飽的，但可惜石鍋拌飯的飯有點軟然後肉也有一種味道，另外海鮮煎包也沒什麼料。但是至少用餐時不會感到不好～
 Kyle ,https://www.google.com/maps/contrib/103701126443469655111/reviews?hl=zh-TW,3,True,19,小菜好吃且可以吃到飽，牛肉定食非常之普通，可能你媽煮的都比較美味，以這價位不值得花時間排隊吃，若是沒人排隊想嘗鮮的可以試試
 達 ,https://www.google.com/maps/contrib/109338494997273666297/reviews?hl=zh-TW,4,True,653,"外帶有打折
辣牛肉湯
夠味
麻而不辣-優！
肉嫩，份多，唯一稍弱是湯的顏色。

白飯和三樣小菜是多餘配色，可有可無
沒有泡菜的小菜，比較遺憾。"
 YP Shih ,https://www.google.com/maps/contrib/110147575770276291751/reviews?hl=zh-TW,4,True,118,"用餐時段總是大排長龍
但店家會在排隊時先幫你點餐，一入座餐點馬上就端上來了，算是節省一點等待時間
難得的是再忙店家態度都還不錯不會不耐煩

白飯跟小菜無限自取，可以吃很飽
以前都點烤肉居多，這次點麻辣排骨湯肉給的算多，但馬鈴薯只吃到一塊有點小失望😢
辣炒年糕分量不多，很Q不錯吃

扣一星是因為座位實在太擁擠包包都沒地方放，期待有一天能搬到較寬敞舒適的環境"
