user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Zoe ,https://www.google.com/maps/contrib/105720951993522223963/reviews?hl=zh-TW,4,True,374,"接近西門捷運站6號出口步行約10分鐘以上～
位置有點小偏僻
肉品海鮮甜點都是用QRcode掃碼點餐
上餐速度蠻快的服務人員收盤子也很快～
湯底是自助的～
湯底都偏鹹牛奶鍋很濃郁👍
麻辣鍋很麻很香不過湯底的豆腐超級鹹
海鮮的部分都蠻新鮮的蚵仔蠻大顆的
蛤蠣很鮮甜～蝦蝦好吃
自助吧的蔬菜種類有點少竟然沒有玉米筍😢
玉米是冷凍的吃起來口感真的有差
肉類的話牛舌有點太薄吃起來還好
其他牛肉雖然服務人員上餐時都有說明是什麼肉不過我還是忘記了😅大致上不要涮太久都蠻好吃的～
豬肉我沒吃不過友人認為普通～
飲料種類蠻多的
冰淇淋是coldstone旁邊還有冰棒
甜點普通～
Google5星評價可以得到一顆生食級干貝因為是冷凍的所以我還是放進去煮了還不錯吃～
-
以一個人768來看（已包含一成）
Cp值其實還好不過還是大推這裡的牛奶鍋只是真的有點鹹～
桌面上的碗有點小&沒有油渣濾網（可能需要跟店員要但是後來想說自己用湯勺撈就好所以沒問～
濕紙巾在蠻後面店員才遞上不是一開始就放在桌上有點奇怪🤔
然後桌上沒有垃圾桶🤔🤔🤔
然後冷氣超強👍"
 黃品潔 ,https://www.google.com/maps/contrib/101762258193698113873/reviews?hl=zh-TW,5,True,170,"✿✿✿IG：ypj__0316
-
#平日晚餐ᴺᵀ⁶⁹⁸

腦子裡裝不下的東西就用肚子來裝🤤
一年四季都愛吃鍋的我當然不能錯過
西門心心麻辣鍋🫰🏻頂級和牛海陸吃到飽！
光是肉品種類就有10多種能選擇
還有生猛海鮮🦞、手打鮮滑、私房滷味
海鮮🈶️阿根廷天使紅蝦、野生藍鑽蝦、鮮嫩巴沙魚
鯛魚片、北海扇貝🐚、船釣小卷、鮮蚵、蛤蜊
手工花枝漿、草蝦漿也推薦🙌🏻
湯頭部分選擇起司牛奶鍋🥛加購牛奶小熊🐻‍❄️
濃郁順口的鮮乳搭配艾曼起司混合而成口感香醇濃郁齒頰
另一種是極鮮百菇鍋10多種菌菇研磨
混入基底熬煮出天然的鮮甜
最讓我印象深刻的是七龍珠🐲超級氣派！
滿滿的膠原蛋白外型好吸睛🥹
一天限量一份當月壽星才有要先打電話預定
除了菜單上東西任點外也有自助火鍋料區、冰淇淋、飲料
飯後還有甜點我直接全點一輪😍
整體用餐感覺良好CP值超高啊！

-
#心心麻辣鍋#心心麻辣鍋西門店
#西門町麻辣火鍋吃到飽#西門町美食
#西門火鍋#西門町火鍋#西門美食
#西門火鍋吃到飽#火鍋吃到飽
#台北西門#台北西門町#台北火鍋
#台北美食#台北吃到飽#西門吃到飽
#食記#相機先食#手機先食
────────────────────"
 rita lin ,https://www.google.com/maps/contrib/117387773419706526392/reviews?hl=zh-TW,5,True,272,"今日來位於西門的⭐心心麻辣鍋⭐品嚐美味的火鍋囉！😘

順便來此慶祝我家lisa寶貝榮獲教育部教育署授獎的『網紅就是你』影片競賽中奪得獎項，今晚一定要品嚐美食，好好慶祝一下。

『心心麻辣鍋』評價超好肉品餐點都是吃到飽的，重點是當月壽星提前預訂免費贈送七龍珠乙份喲！💯💯
慶生來『心心麻辣鍋』可是大大的滿足呀！☺
心心麻辣鍋是吃到飽的，菜單上選擇超多元的，各式各樣的牛、豬、雞、羊、各式海鮮等應有盡有呀！

整桌滿滿的高檔食材，全都是吃到飽無限加點的，我們點選了麻辣湯底搭配起司牛奶鍋，而且我們還另外加購了起司牛奶小熊，牛奶熊超可愛，萌炸了！😍😍

看到小熊在湯底內泡湯太可愛了，超級療癒人心，重點是麻辣鍋內的鴨血與豆腐都可以續加，肉品放入麻辣鍋內光單吃就超級夠味了！推。

除了肉品外，還有各式海鮮，以及誘人之極的花枝漿和粉色草蝦漿，放入鍋中涮涮就可品嚐了，用料超級實在呢！👌

店內自助吧和飲料吧的選擇也很多元，冰櫃內也有各式罐裝汽水可以飲用，而且店內提供的是高價位酷聖石冰淇淋，一旁冰櫃內還有紅豆雪糕和各式冰棒，很大方完全不怕客人吃呢！😘

餐後還有還有美味甜點，濃郁綿密的蛋糕與泡芙也太吸引人了，更是好吃到不行，甜點控一定要來嚐嚐，這麼棒的用餐體驗一定要分享大家呀！👍"
 紫騫 ,https://www.google.com/maps/contrib/113535252238275818653/reviews?hl=zh-TW,4,True,107,"因為吃不到附近皇家帝國的麻辣鍋，臨時在附近晃找到這一家麻辣鍋店，因為評價還蠻高的所以就進去嚐嚐看，是屬於吃到飽的店，最高價大概是七百多，提供醬料還有蔬菜自動挾取的服務，飲料的樣式沒有很多但是也還算足夠，還有附上冰淇淋，關於肉的部分我覺得他的品質比較普通有可能是因為我們只有兩個人所以他切的份量都比較剛好也比較薄但是肉的品質吃起來沒有說太高級，海鮮也都還算尚可不錯鴨血也還不錯，唯一覺得真的很讚的是現在很少吃到真的會辣的麻辣鍋了，麻辣的部分有放非常多的花椒所以吃起來是真的會麻的。

服務的話也還蠻快速的，觀察了一下來用餐的客人有的是附近的居民有的真的是比較偏年輕，如果真的很要求食材的品質的話這裡或許不會是最好的選擇但是整體吃完下來也沒有不滿意，但如果和馬辣比的話可能會選馬辣還是比較好一點吧，食材比較高檔一點點價格也跟他差不多。

可以在肉的品質上面再提升一點點，我想競爭力會比較強。"
 誠實吃貨家 ,https://www.google.com/maps/contrib/105103325095439517080/reviews?hl=zh-TW,5,True,353,"這家真的有夠澎湃，肉一次擺出來嚇到
外帶火鍋還限定5折！最低$149起🙌🏻

❶平日午餐$598晚餐$698
❷升級黑松露牛奶鍋$198
❸加購牛奶小熊$88

之前就看過這家超紅的七龍珠！可入鍋煮的膠原蛋白，超吸睛！但壽星ONLY!記得要先預約訂位說有壽星才有唷！加入鍋讓我們家夠的黑松露牛奶鍋更濃郁，每喝一口就多漂亮一天，真的是一舉數得～💕

🦐🦑🐟來吃到飽想必是要點爆肉品與海鮮才划算！是吧？
一字排開有13種肉盤，最高級的澳洲M9Plus黑毛和牛＆美國安格斯無骨牛小排一定要點！也同時是晚餐ONLY!所以要豪吃這兩款，務必要預約晚餐喔！

店內當然也有海鮮類組合，新鮮度也蠻夠的，必須說店家都十分用心，衛生度也超高！一旁還有蔬食的自助吧＆COLDSTONE冰櫃，與滿滿飲品，豐富度超高🤤"
 黃怡婷Yi-ting ,https://www.google.com/maps/contrib/103038136368139233571/reviews?hl=zh-TW,1,True,292,空有潮店設計卻非常雷的鍋物，第一次吃到不想涮辣鍋，把肉直接往白鍋裡丟/可見麻辣湯頭多麼沒有層次豬血也不夠軟Q，只有辣度，牛肉肉質沒有一種不柴唯一能入口只有牛小排，服務生除了送菜之外完全跟客人不眼神接觸，送完即閃的一種叫不到人狀態，一開始APP點餐其他都來，就只有肉品沒來，過了20分鐘催促提醒後才馬上送-吃到飽限2小時原本擔心會很趕，但過了一小時候已吃到乏善可陳，就開始聊天，但冷氣超強風口對到，大到上面排煙管都像地震搖晃著，一樣尋覓服務生許久才能反應請他調弱。Google高分評價是因為有打卡送的活動，千萬慎入。ㄧ顆心是給白鍋和牛小排^_^
 Umama ,https://www.google.com/maps/contrib/109890645587667615419/reviews?hl=zh-TW,4,True,75,"點牛肉類都是冰凍切片，所以一下鍋就直接黑柴，就算是和牛5秒一樣黑柴。
唯一松阪豬表現不錯。
海鮮也是一般般，蝦子肉紮實淡淡的蝦味。
蔬菜處理的不錯，乾乾淨淨都有片片撥好。
醬料區域裝好裝滿，湯匙大支且挖槽深，醬料一下子就盛好了，不像有些火鍋店的醬料匙霹靂無敵小，又不是喝咖啡。
座位區非常寬敞，兩個人用餐跟隔壁可以有安全的社交距離，安心！
服務人員親切有禮貌，常常來收空盤和加湯，一成服務費很有感。
整體來說，用餐氣氛是愉悅的，希望肉類的部分能改善，會更完美～"
 Sylvia F ,https://www.google.com/maps/contrib/108441374631762877171/reviews?hl=zh-TW,3,True,77,"建議688價位的就可以了
選最高價位但肉的品質表現卻不太好
加價的A5和牛勉強好一點
只是部位吃起來沒有入口即化的感覺

天使紅蝦意外的有記憶點
不會軟爛也蠻甜的

但
應該還是列為一次店"
 徐麻糬 ,https://www.google.com/maps/contrib/117133873242961142912/reviews?hl=zh-TW,4,True,16,"可刷卡，近西門站6號出口

晚餐價位668收服務費
用餐時間120分鐘

手機點餐，一次最多選20樣
但有隔六分鐘的限制，
上菜速度頗快，服務員服務不錯
肉品海鮮手機點餐，
蔬菜醬料飲料冰淇淋加湯自取

鍋底《選擇》蔬菜昆布，麻辣鍋底＋100
鴨血嫩，豆腐普普

肉類主攻牛肉
不過個人一半一半，種類滿多
有的口感不錯有的普普【點個兩三輪有】

海鮮蝦子新鮮迷你蛤仔蚵仔新鮮

飲料為軟性飲料，酒類單點

甜點提拉米蘇檸檬塔泡芙，甜點推
來不及點最後一輪過時間😅😅😅
服務員還來問說用餐時間還剩下15分鐘
你們沒點到甜點，要吃嗎？我們說好🥰🥰

冰品有個不常看到珍珠奶茶冰😆😆
濃厚好吃

位子為狹長行，裡面的人會不好出入"
 EMMA CHIEN ,https://www.google.com/maps/contrib/106694699476553878027/reviews?hl=zh-TW,5,True,89,看評論很多人五顆星特地來朝聖，湯頭可以，肉類很嫩很好吃，松阪豬特好吃，青菜麵食類都不錯，麻辣湯頭煮久後變鹹，環境清潔與桌邊服務真的都挺好的，不會特別打擾，用餐環境舒服，冰品飲料選擇多，值得再來。
