user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Hunger ,https://www.google.com/maps/contrib/103269125394433157417/reviews?hl=zh-TW,5,True,121,"店內放著嘻哈音樂,頭會跟著點,東西都不錯吃,但就是炸物有點炸老的感覺,表皮有點硬"
 Travel肉球 ,https://www.google.com/maps/contrib/114990347617499866884/reviews?hl=zh-TW,4,True,225,Cp值還不錯，店內氣氛充滿嘻哈及饒舌，餐點味道蠻有特色的，是個宵夜好去處👍
 王碧珠 ,https://www.google.com/maps/contrib/113021178555902994425/reviews?hl=zh-TW,5,False,10,超讚ㄉ早餐宵夜店！店內氣氛很好👍🏻價格又平價有多種選擇可以吃ㄉ超飽！服務親切☺️推墨西哥卷！薯餅塔🤤都好吃😋闆娘很可愛ㄛ！
 forward jo ,https://www.google.com/maps/contrib/102661911566727525297/reviews?hl=zh-TW,1,False,12,我喝了一口錫蘭奶茶，結果滿口異物，倒出來看整杯奶茶都是黑色一點一點的異物，超級噁心，我不會再點這家店，你也不應該來
 JC fu ,https://www.google.com/maps/contrib/108061480523307456344/reviews?hl=zh-TW,5,True,450,"年輕人經營～～值得鼓勵！
為之驚艷的夜宵另類選擇！
好吃推薦～鮪魚玉米起司蛋餅、起司蛋乳酪餅、
金磚法式吐司！
深夜想吃早餐的好地方！
態度很好、高CP值的餐點！"
 蔡奕佳 ,https://www.google.com/maps/contrib/115516137959277476153/reviews?hl=zh-TW,5,False,19,"餐點好吃平價美食墨西哥捲推推！
很適合下班跟朋友小聚聊天的地方
生意很好老闆娘漂亮親切👍"
 Tommy ,https://www.google.com/maps/contrib/111204314645120534398/reviews?hl=zh-TW,3,True,"2,562","就一般早餐店改成宵夜開
晚上沒東西選擇所以生意自然不會太差
幾乎都是年輕人用餐居多
鮮奶茶是伯爵紅茶的味道
鮪魚蛋餅鮪魚有美乃滋混上玉米
餅皮比較厚
牛肉漢堡牛肉比較鬆沒牛肉味
煎餃一般"
 康鐔 ,https://www.google.com/maps/contrib/106038250289681378742/reviews?hl=zh-TW,3,True,58,"漢堡不好吃，沒有無糖豆漿，
其他的東西很棒，宵夜的好去處
所以3顆星"
 Gus Dou Hong ,https://www.google.com/maps/contrib/102894238417343536843/reviews?hl=zh-TW,4,True,31,"喜歡這種半夜還可以吃的到早餐類型的感覺，雖說叫早午餐，可是營業時間是完全相反，小心別來錯時段哦！

餐點的價格來說算是很合理，出餐時間排隊也不算太久，員工態度和氣

餐點口味好吃，味道罪惡肥美、有起司的每一種都蠻推的，麵類餐點也不錯👍🏼

建議點套餐的時候飲料再另加大，因為很常就喝光了。"
 蔡璨鴻 ,https://www.google.com/maps/contrib/112221640244833301819/reviews?hl=zh-TW,5,True,18,"餐點都很好吃😋
廁所看起來髒髒的但很香，很有特色，👍"
 黃小瑜 ,https://www.google.com/maps/contrib/112252724026389150839/reviews?hl=zh-TW,5,False,2,餐點好吃！店內氣氛超好～絕對是下班吃宵夜的首選！推推
 戴榕萱 ,https://www.google.com/maps/contrib/114246124856037843251/reviews?hl=zh-TW,4,True,63,餐點還不錯，漢堡薯條好吃，鐵板麵就普通，服務員很親切，裝潢的也很愜意，宵夜來吃非常的放鬆！
 Dan ,https://www.google.com/maps/contrib/100453398448494596168/reviews?hl=zh-TW,1,False,51,"以前很常吃沒想到現在久久一吃差這麼多
那個你們的豆漿已經酸掉了你們知道嗎？"
 rimo Hsu ,https://www.google.com/maps/contrib/101199736837649233601/reviews?hl=zh-TW,1,False,11,用熊貓訂餐點了香烤雞腿漢堡，雞腿肉比半個漢堡皮還小就算了，把雞腿煎到焦黑夾在漢堡裡以為沒人會發現嗎，誰能接受吞得下去這鬼東西呢?罪惡感在哪咧!!!
 Wells Huang ,https://www.google.com/maps/contrib/114949501803618626273/reviews?hl=zh-TW,5,True,606,"20181222-初訪
點了宮保雞丁麵
花生醬辣味卡拉堡
辣味卡拉墨西哥捲

調味都很讚，好吃
墨西哥捲跟卡拉堡口味有點像，
紅茶好喝
最近有跟Gomajii合作點餐很划算"
 Alice Chen ,https://www.google.com/maps/contrib/116976963623744197073/reviews?hl=zh-TW,5,True,32,"法式吐司很讚!其他點心類也都很好吃
店裡面風格很酷、空間也大坐起來很舒服
而且有開宵夜時段，很適合晚上來吃點東西~"
 AARON ,https://www.google.com/maps/contrib/111681522236029681689/reviews?hl=zh-TW,4,True,256,宮保麵不錯吃
 Yi Ting Lee ,https://www.google.com/maps/contrib/106271156918015972275/reviews?hl=zh-TW,4,True,46,"價錢普普
食物還可以
店員有個性
音樂美賣
如果冷氣能強一點
再賣點酒精飲料會更好🤩"
 毛慶立 ,https://www.google.com/maps/contrib/106478892540265267936/reviews?hl=zh-TW,5,False,32,"半夜偶然經過，發現內用蠻多人的，門口又有熊貓等候，不囉嗦~馬上迴轉來嚐嚐…
辣味燒肉蛋餅雖然不辣，但是整體口味不難吃；雞塊的火侯很讚，熟度和酥脆的口感很好，不是那種難吃的雞塊；鮪魚蛋吐司低調樸實，是我喜歡的口感；奶茶也很OK，不是難喝的奶茶，而且喝完舌後不會酸澀。加分！
整體而言，用餐的氣氛表現著店家想要呈現的風格，初次消費也沒有踩到地雷，再加上合理的價位，我一定會再來的！說不定就是明天…"
 陳定揚 ,https://www.google.com/maps/contrib/103270773268716819981/reviews?hl=zh-TW,5,False,9,東西好吃吃飯氣氛佳
 Leo ,https://www.google.com/maps/contrib/111626384500710110802/reviews?hl=zh-TW,1,False,7,是怎樣特地跑來還沒營業沒開不會更改時間嗎！？
 陳阿光 ,https://www.google.com/maps/contrib/105798561924964014673/reviews?hl=zh-TW,3,True,704,夜間的早餐店，餐點內容實在豐富，味道也不錯，推薦。
 marsa Wong (Marsa) ,https://www.google.com/maps/contrib/107660121978220451564/reviews?hl=zh-TW,4,True,3,"2022/9/16
老闆炸物的油
一個禮拜可以換一次ㄇ
我很喜歡吃你們的薯餅蛋塔
可是你們ㄉ油感覺都沒在換⋯
我怕吃一個心肌梗塞
但我還想繼續吃你們的蛋塔

啊可以固定禮拜四換油ㄇ
因為我那天固定晚班
下班通常都會去吃
謝謝

先扣一顆🌟
有換油的話
再幫你改五顆🌟

—-

2022/8/23
老闆肯定有嗑藥或打針
我他媽一個禮拜來吃三天
這個月我還真的沒碰到閉門羹
老闆整個人都積極起來營業
太神辣

而且員工的態度都超好
尤其兩個戴眼鏡的男生
建議加薪

以前的我：要先打電話確認有開ㄇ？
現在的我：誰跟你打電話，我都直接去！

幫你改回五顆星🌟
保持初衷
莫忘中出

—-

2021/04/27
老闆重新振作開店了
不要又一直沒開

—-

2021/04/03
已倒閉
有點可惜
宵夜少一個選擇

—-

營業時間常常只是參考用
我一個禮拜來三次的常客
真的很受不了這種工作態度"
 江隼倫 ,https://www.google.com/maps/contrib/102304118647395839985/reviews?hl=zh-TW,5,True,23,"宵夜的好選擇，不用等到早上就有早餐可以吃了
推極惡熔岩起司雙牛堡、宮保雞丁麵"
 尼克尼克 ,https://www.google.com/maps/contrib/113358545358625442616/reviews?hl=zh-TW,4,True,387,東西很新鮮，餐不錯，環境乾淨空間舒適。
 James Gui ,https://www.google.com/maps/contrib/117624276656104446446/reviews?hl=zh-TW,1,False,7,"經常無故不營業，但Google顯示是營業中。
真是浪費時間"
 王叡可 ,https://www.google.com/maps/contrib/112139444891571839429/reviews?hl=zh-TW,5,True,46,"吃了好幾次每次總是人潮
但又覺得很好吃
在晚上時段想吃鐵板麵的人一定要來嘗試"
 Google 使用者 ,https://www.google.com/maps/contrib/113245050066471845788/reviews?hl=zh-TW,5,False,17,吃宵夜是一件很嘻哈ㄉ事.天亮了才說晚安
 Guagua Ga ,https://www.google.com/maps/contrib/100256823577140153267/reviews?hl=zh-TW,4,False,44,"裝潢是工業風（應該吧）
半夜去氛圍像酒吧

餐點算有特色
不過有些餐漲了10塊
備料似乎不足改了二次單

餐具太油了"
 LJ里歐 ,https://www.google.com/maps/contrib/109187331163571197579/reviews?hl=zh-TW,4,True,13,"好罪惡，好爽。

但

室內有點悶熱，待不久。

建議做個簾子，室內涼爽、減少油煙味。"
 Beau Li ,https://www.google.com/maps/contrib/115794323247402196297/reviews?hl=zh-TW,4,True,25,音樂播的有點大聲；餐點還可
