user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Dragon Red ,https://www.google.com/maps/contrib/100514071278724015758/reviews?hl=zh-TW,4,True,186,"上次吃金雞園大概是十年前，那時覺得小籠包皮薄餡多湯汁鮮甜所以一直有很好的印象。

這次點了小籠包、鮮蝦燒賣、炸排骨、牛肉湯、油豆腐細粉、鮮肉酥

不得不說這次用餐心得與十年前有些落差🥲

小籠包一樣皮薄餡多，值得嘉獎，但是湯汁真的太油膩了，口感太厚重連半籠都吃不完。

鮮蝦燒賣有跟小籠包一樣的問題，為什麼會這麼油膩呢？

鮮肉酥的肉餡不錯，外皮卻油膩過於濕潤而沒有酥脆感，這是今天最失望的一道，從店面上樓時看到廚房的鮮肉酥就很心動，實際吃到後失望的成分居多。

牛肉湯有四大塊牛肉，湯頭平均值以上；油豆腐細粉很推！裡面有一個豆皮包著肉餡的肉丸？很好吃！

炸排骨普通。"
 Monchi Yang ,https://www.google.com/maps/contrib/101690471905962555709/reviews?hl=zh-TW,3,True,62,本店位於藍家掛包隔壁，店內僅可使用現金支付，推薦油豆腐細粉～清淡但用料實在，三鮮湯也很美味，至於湯包可能見仁見智，個人覺得還算普通～
 Angel ,https://www.google.com/maps/contrib/107200905516413319450/reviews?hl=zh-TW,4,True,119,"排骨飯還可以
芝麻餅圍鹹蠻特別的～不是甜的
細粉還不錯，湯算清爽
八寶芋泥帶一點粉的口感，好像不是全芋泥🤭"
 Carol Hsueh ,https://www.google.com/maps/contrib/105100053646413458715/reviews?hl=zh-TW,2,True,90,看評論點的小籠包、豆腐冬粉還不錯，但cp值不高。鮮肉酥餃一言難盡！鮮肉酥餃2個60元竟然是常溫的，有油耗味！！朋友吃雞腿麵也覺得味道不太能接受⋯⋯第一次來吃一定要看評論再點餐，免得浪費錢！
 cynthia lin ,https://www.google.com/maps/contrib/109689763474831659011/reviews?hl=zh-TW,5,True,29,"1963年創店，近五十年歷史，每次經過都覺得滿坑滿谷的酥餅在叫我吃它們😀，重酥蔥餅，底皮金黃油脆，豆沙酥餅，沙泥細緻，外皮酥脆，蓮子銀耳大推👍，每一顆蓮子的口感都非常糯口，打破我對蓮子的印象，搭配燉煮濃稠的銀耳甜湯，是一道精緻的甜品。八寶芋泥甜而不膩，不過我有一點點在意芋泥多了一些粉料。

如果不考慮健康的話，真想把每種酥餅都外帶回家，用氣炸鍋加熱食用…。"
 李奇軒 ,https://www.google.com/maps/contrib/101175198101411996874/reviews?hl=zh-TW,5,True,77,服務態度良好，蝦肉蒸餃非常鮮甜，雞腿飯份量充足且美味，海鮮粥、燙青菜、蛋花湯都非常好吃，非常推薦，價格稍高一點點
 Sandy Yan ,https://www.google.com/maps/contrib/114880543006226192566/reviews?hl=zh-TW,5,True,209,"喜歡金雞園的中式蒸籠點心
菜肉蒸餃
餃子皮偏厚實
內餡吃起來有青江菜的清香
還有豬肉的鮮味
重酥蔥餅NT$30元
鮮肉酥餃NT$30元
芝麻酥餅NT$30元

重酥蔥餅上面灑滿的芝麻
入口有芝麻的香氣
餅皮超酥的
我最愛芝麻酥餅
濃郁芝麻香氣撲鼻
內餡的芝麻綿密細緻
且甜中略帶鹹味
細緻又不甜膩
吃了還想再吃直接打包回家"
 ghost night ,https://www.google.com/maps/contrib/102423003460784856651/reviews?hl=zh-TW,5,True,85,今天點了油豆腐細粉蝦餃酥餅等等～～我覺得都很好吃！蝦餃配上醬油醋和薑絲很搭，油豆腐細粉的湯頭一樣很棒。
 Jing Yeh ,https://www.google.com/maps/contrib/105173338801277241240/reviews?hl=zh-TW,3,True,"1,143","整體份量讓人大吃一驚。
湯包類肉質鮮嫩、皮也很薄。八寶芋泥的芋泥比較粗，整體比較不甜。
紅豆鬆糕的內餡算綿但是有點甜，鬆糕外層有點硬。"
 邱郁珽 ,https://www.google.com/maps/contrib/105016245118910193549/reviews?hl=zh-TW,3,False,192,"在學校附近還蠻有歷史的店
油豆腐細粉80元，口味清爽，油豆腐吸滿湯汁，腐皮絞肉也很搭，不錯。
小籠包子70元，只有五顆偏貴，豬肉夠，皮適中，還行。
惟環境較為擁擠與紊亂，考量到長遠的歷史痕跡，老闆可能要考慮重新裝潢了"
 蔣小蝶 ,https://www.google.com/maps/contrib/111103553551181930093/reviews?hl=zh-TW,5,True,739,菜肉蒸餃爽口鮮香，鮮蝦燒賣、排骨麵、雞腿麵、油豆腐細粉，紅豆酥餅、八寶芋泥，都沒有踩到雷，真是絕了，難怪可以開近50年！
 周玆琳 ,https://www.google.com/maps/contrib/109323660400313026918/reviews?hl=zh-TW,3,True,71,"點心種類豐富⋯
重酥蔥餅，不錯吃，但如果是熱的會更好！
油豆腐細粉，湯頭清甜爽口！
蟹黃湯包，一籠5個/80元，表現中規中矩，有吃到一丁點的蟹黃⋯
有機會下次再試試其他點心！"
 Rita Huang ,https://www.google.com/maps/contrib/113435742146896057044/reviews?hl=zh-TW,3,True,544,"普通耶
湯包的優點大概是湯汁都有在裡面
但是味道蠻普通的蟹黃沒有蟹黃感
亮點大概是甜糕點的芋頭八寶不錯"
 莊荃宇 ,https://www.google.com/maps/contrib/107154269722699436470/reviews?hl=zh-TW,5,True,15,"鮮肉酥餃酥酥香香的，覺得不夠鹹的話加醬油也很提味~
重酥蔥餅超級好吃，蔥香味濃厚，大推~
油豆腐細粉非常解膩，在吃餅覺得油膩之際，有一碗清淡的細粉中和了油膩感~"
 Jenny Chu ,https://www.google.com/maps/contrib/111215653813094976618/reviews?hl=zh-TW,3,False,113,"ㄟ…還行，還算好吃但不是特別令人驚豔的味道
然後蒸餃跟湯包蠻大顆的！
餡料飽滿皮有點厚度。
豆沙餅裡面是紅豆餡，甜度適中～
蟹黃湯包吃不太到蟹黃的味道。
最喜歡的應該是炸排骨，其次是蝦肉蒸餃，它裡面都會放一塊蝦仁。

2022.01.24，初訪"
 侯阿丁 ,https://www.google.com/maps/contrib/116220231144774763668/reviews?hl=zh-TW,4,True,339,"門口的餅看起來很誘人，下次想試試看。
油豆腐細粉清清淡淡，身為油豆腐愛好者希望豆腐份量可以多點😂
紅豆鬆糕不會甜膩，只是沒有想像中的鬆軟。"
