user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 年糕 ,https://www.google.com/maps/contrib/115628721908262020583/reviews?hl=zh-TW,2,True,171,"想說很久沒吃了，受朋友邀約來吃吃看
結果哇塞，點了一碗雞排起司咖哩，真的就還只有雞排跟起司跟咖哩，然後就這樣賣250？？？
加100g的飯就還要再加30，加蔬菜那些的也是另外加錢，同樣貴桑桑，你們敢賣我還吃的有點心虛
外面這樣頂多也180左右
炸物普普通通，份量也不多
不過咖喱味道確實還不錯，但也是不比外面很多家咖哩店好吃，都連鎖店了價格還把客人當盤子，真的很糟糕餒～"
 張家蓉 ,https://www.google.com/maps/contrib/101274986124836657497/reviews?hl=zh-TW,4,True,161,飯量、辣度都可自行調整，點餐用手機掃QRcode很方便，套餐A（主餐+62）可選飲料/湯/甜點/沙拉（4選2），配菜也可以自行加點，組合成你想吃的餐盤
 90% off ,https://www.google.com/maps/contrib/114262634613780795294/reviews?hl=zh-TW,2,True,402,"第一次吃竟然是跑來台北吃哈哈哈哈
服務態度真的好原來是有服務費
線上點餐飯後結帳

咖哩價格貴貴貴
我點牛肉咖喱肉吃起來乾乾的
對面的是豬排咖哩豬排吃起來也乾乾的⋯
吃到後面咖哩飯好乾覺得咖哩醬真的太少了
但是加醬要錢還是默默吞下去

薯條吃起來太標準了沒什麼味道
方方正正就像薯條三兄弟那樣的感覺
路邊攤薯條跟麥當勞直接完勝
弱弱建議不要點但其實沒有單點薯條

起司條讚讚可以牽很長絲
德式香腸也還🉑️以

總結我以為他咖哩很好吃QQ"
 周于捷 ,https://www.google.com/maps/contrib/102965633540670519552/reviews?hl=zh-TW,5,True,6,這裡的咖哩可以加茄子，實在是讓我太驚艷了，身為一個大大的茄子愛好者，一定會加很多分！這邊的餐點都是線上點，可以按照自己的喜好加菜，但是我覺得很可惜的是，這邊並沒有「海鮮歐姆蛋咖哩飯」，這是我最愛的咖哩，但在這邊要搭配要加不少錢呢…總體來說還是很喜歡，值得再訪！
 Uu Hsieh ,https://www.google.com/maps/contrib/100545856699449215428/reviews?hl=zh-TW,1,False,6,咖哩飯的重點—咖哩醬沒有任何應有的香氣，嚐起來只有鹹味及辣味，漢堡肉似乎是微波食品（表面濕軟），和幾年前的體驗相差甚遠。
 Mindy Pai ,https://www.google.com/maps/contrib/101731419477528411176/reviews?hl=zh-TW,2,True,43,"想吃牛肉也想吃蔬菜於是點牛肉咖哩飯➕60元
蔬菜上來的蔬菜量讓我非常驚訝
在這萬物皆漲時代這一點蔬菜要價60元
飢腸轆轆的我只好邊吃邊滴血🩸我的荷包～哭"
 Trista ,https://www.google.com/maps/contrib/109489206535389588178/reviews?hl=zh-TW,5,True,51,"味道及上菜速度都很ok份量也能自由選擇
有維持住日本連鎖店的味道
想吃日式咖喱又不想踩雷的依舊推薦來coco吃👍"
 曾羿閔 ,https://www.google.com/maps/contrib/106077988771736556189/reviews?hl=zh-TW,3,True,43,"東西很好吃不過價格有點高
且人很多店員不夠多
沒被服務到還要被收服務費
感覺很虧"
 林林 ,https://www.google.com/maps/contrib/111436710929284851722/reviews?hl=zh-TW,1,False,1,最近兩次來吃這家一次內用一次外帶，咖喱都很稀，第二次有跟店家反應說會注意還是一樣，有點可惜以前吃都不會這樣，跟圖片差太多了。
 陳伊 ,https://www.google.com/maps/contrib/112524906957160249575/reviews?hl=zh-TW,1,False,20,"兩份雞塊只有這樣....滿令人傻眼的
兩份加上服務費要160左右了耶
而且每塊還很小塊，這是雞丁吧
在徐匯廣場吃都很正常
偶爾來西門吃一次
就遇到這種的
真的不知道該說些什麼了"
 勁 ,https://www.google.com/maps/contrib/117984774529531780385/reviews?hl=zh-TW,4,True,190,"上餐速度蠻快的但是小辣吃起來還是偏鹹
價格套餐價位四百也是不便宜真的只適合很‘’偶爾”吃吃"
 Chris W ,https://www.google.com/maps/contrib/110151875729780610520/reviews?hl=zh-TW,5,True,35,"咖哩的鹹度很剛好
咖哩醬搭配白飯入口即化
還有套餐甜點
價格實惠
完美的商業午餐"
 Eric S ,https://www.google.com/maps/contrib/111870623921386898831/reviews?hl=zh-TW,1,True,66,"咖哩味道和日本的有很一些相似，但是炸豬排太可惡了。脆皮都掉下來，肉太硬了，要不斷。

可能可以試試蔬菜或漢堡肉咖哩吧。服務還不錯，有給濕紙巾

價格比日本貴，另外還收10%服務費"
 七Mr.Seven ,https://www.google.com/maps/contrib/116221886738318032760/reviews?hl=zh-TW,3,False,11,"一樣的餐點
雞排大小跟厚度差一半
什麼意思"
 Casper Lin ,https://www.google.com/maps/contrib/101525585660818485680/reviews?hl=zh-TW,3,False,9,"味道：不錯
價格：偏貴（10%服務）
分量：普通
一般份量吃不飽"
 Love and Peace ,https://www.google.com/maps/contrib/113682878839162899991/reviews?hl=zh-TW,2,True,60,炸雞排麵衣好硬偏深色飯很多（正常飯量）醬的份量很少吃到最後配桌上的醃漬菜才勉強吃完大概吃到一半就涼掉了最後半盤是硬吞下肚才吃完的😥店內座位多太擁擠了很不舒服一盤只有雞排和醬的咖哩加完服務費快300元覺得CP值真的不高....（防疫期間客人吃完飯閒聊一直説話還有小孩不停尖叫都沒戴口罩整個好恐慌😱）
 Anna ,https://www.google.com/maps/contrib/117186900746917183194/reviews?hl=zh-TW,1,True,20,"去年來吃過一次覺得水喝起來很生怪怪的（同行友人也覺得水質不太對）
今天想說再來試一次看看結果水杯超髒手在杯內上緣輕摸一下居然就髒了QQ
下次真的不敢來了....
好幾次在北車店和中壢前站的用餐環境都不錯說...感覺是這間分店的問題....北車店好像倒了真的很可惜😥
除了衛生的部分
我是點豬排蛋包咖哩飯豬排真的不好吃很難咬然後飯很稠的感覺蛋包也沒蓋滿飯飯上面一看就有很大的範圍沒有被蛋包到...下次來西門我可能會選擇另一間日式咖哩店😥"
 朱建治 ,https://www.google.com/maps/contrib/111178945209373095337/reviews?hl=zh-TW,5,False,5,"我點的是豬排有花椰菜的咖喱飯辣度調到好像2辛有加飯
飲品泰奶加沙拉
咖喱飯辣度不錯給我感覺很剛好的辣
份量是真的吃到我很撐覺得物超所值
泰奶雖然味道感受不是很正宗
但是也是很好喝
沙拉吃起來也很清爽"
 無用途 ,https://www.google.com/maps/contrib/108687294870506704113/reviews?hl=zh-TW,1,False,1,就這樣還敢收服務費？！送來的杯子髒就算了，水裡面還漂著不明物體，真的有氣到，連吃飯的胃口都沒了，真的很影響心情，要吃的人絕對不要來這家！！！！
 王書華 ,https://www.google.com/maps/contrib/103784603674179001620/reviews?hl=zh-TW,1,False,1,水杯有很臭的味道吃到一半覺得肚子不舒服跑去拉肚子以為是自己太敏感結果同行的友人吃完不到十分鐘肚子痛到沒辦法走路價格和整體體驗下來覺得嚴重不符
 蘇啾啾 ,https://www.google.com/maps/contrib/100542510685270521594/reviews?hl=zh-TW,1,True,210,"貴又難吃
一個咖哩飯只有醬、白飯、一塊超小的雞排，給我賣200多，還要10%服務費"
 Yang Marienn ,https://www.google.com/maps/contrib/113975379728627805120/reviews?hl=zh-TW,3,True,639,"其實我是覺得不錯吃的，點小辣蠻有味道，但這價錢CP值真的偏低，牛肉咖喱飯大概五小塊...不如吃外面牛肉麵，有收服務費，服務就一直來問要不要水而已，也蠻煩人的，已經有說過不用了😓
餐點等蠻久，位子小，但其他網友抱怨的音樂我倒是沒注意到，兩份基本咖喱，一個人就快$350，有更多選擇可以挑。
對了，可爾必思味道蠻怪的哈哈哈哈😂"
 李馥安 ,https://www.google.com/maps/contrib/112795544014061827943/reviews?hl=zh-TW,2,False,6,價格不低又難吃飯口感偏差豬排跟雞肉吃起來都像學校營養午餐還敢賣2300塊
 粘漢 ,https://www.google.com/maps/contrib/101755301386257766690/reviews?hl=zh-TW,3,True,212,"咖哩沒有特別好吃，炸雞品質不一有幾塊嫩有幾塊老。日式牛肉燴飯還不錯但是沒有到特別好吃。
會收服務費價格偏高但是服務員也拿不到服務費所以也沒什麼服務。"
 0907 ad ,https://www.google.com/maps/contrib/101386247285112861680/reviews?hl=zh-TW,3,True,13,點了歐姆蛋豬排咖哩，餐點一般，豬排偏薄，用餐環境油煙味比較重。
 郭芷妤 ,https://www.google.com/maps/contrib/103243734097072985489/reviews?hl=zh-TW,1,True,76,"份量越來越小…
服務生叫了好幾次都不來
要收10%服務費啊服務勒？"
 Ya chin Chiang ,https://www.google.com/maps/contrib/105953578351792749183/reviews?hl=zh-TW,1,False,4,今天晚餐到現場點了菠菜咖哩加起司，人比較多跟朋友等了一會兒，餐點送來後，發現盤子放下來咖哩整個很水，有點像咖哩泡飯，跟店員反應後，給我的回應是廠商的問題，我有點不開心，想說算了，吃第一口更不開心，連菠菜都不是熱的，溫溫的，一頓飯吃的很不悅，附圖，可以知道咖哩是多麼水了。但服務員態度很好，是廠商的問題，不然我不會留一顆星。
 陳依依 ,https://www.google.com/maps/contrib/105978872995930326872/reviews?hl=zh-TW,1,False,7,服務差，有的客人可以在裡面等位子，我就要被趕到外面等，還想先帶裡面的客人先帶位
 Bapy Yu ,https://www.google.com/maps/contrib/117879783021424784653/reviews?hl=zh-TW,3,True,65,店在2樓，餐廳為狹長形的空間設計，遇到人多時，必須在門外的樓梯間等待。服務人員態度OK，餐點多樣，當天的餐點炸豬排歐姆蛋咖哩飯+炸雞排咖哩飯+A套餐組合選了每日例湯跟可爾必思去冰+可樂餅1份。餐點現做都要等一下下，豬排跟雞排炸的有點過焦，咖哩醬還可以，湯品也尚可，飲料超級甜，有可能是去冰的原因，總之太甜了。可樂餅1份100元2顆，外皮炸的也是有點硬，裡面就薯泥，所以也沒有特別的特色。2人用餐消費700元有找。(以上純屬個人用餐經驗分享)
 李潔心 ,https://www.google.com/maps/contrib/107099847740870954798/reviews?hl=zh-TW,4,True,100,第一次在此用餐，配合防疫的措施，如~測體溫、消毒手部都有做到，餐點上整體而言，就是基本款的咖哩，吃起來平實，但不能説是有太驚艷的感覺~~
 王旖暄 ,https://www.google.com/maps/contrib/107387766083669208550/reviews?hl=zh-TW,5,True,93,"歐姆蛋包飯系列真的很推！
蛋很滑嫩咖哩醬好吃而且可以調辣度
不愛吃辣的也可以很滿足
我個人愛點的口味是奶油綜合菇
比較便宜而且加了奶油很特別"
 陳俊銘 ,https://www.google.com/maps/contrib/106980385137696834208/reviews?hl=zh-TW,3,True,189,"咖哩口味多、
主菜也可組合搭配。

飯量及辣度可調整依個人喜好。
還可搭配套餐。

假日人潮多、座位顯得不夠。"
 kenny bear ,https://www.google.com/maps/contrib/112331162459058291868/reviews?hl=zh-TW,4,True,622,很適合親子來吃，種類多，份量足，飯量還可以加，有提供畫圖紙及蠟筆給小孩
 林辰 ,https://www.google.com/maps/contrib/109692810208599221815/reviews?hl=zh-TW,4,True,181,位於西門的徒步區裡，店家在二樓｡咖哩飯好吃，飯量和辣度都可以調整，薯條和起司條也都很好吃｡玉米湯和沙拉就中規中矩｡建議店員服務時的細心程度可以再稍微提升一些，因為吃飯時桌上沒有餐巾紙，沒有主動補上，開口要了後，補上來的紙是沾了些咖哩醬的｡但因為基本上服務態度都還不錯，所以還算瑕不掩瑜｡下次如果想再吃咖哩的話，我一樣願意會再考慮前往消費！
 TENG ,https://www.google.com/maps/contrib/106737842578642616703/reviews?hl=zh-TW,3,True,138,"價錢以這口味來說偏貴，沒什麼特色主食又少
收服務費但服務也沒特別好"
 Lingyu Lo ,https://www.google.com/maps/contrib/103375112085231478647/reviews?hl=zh-TW,4,True,580,從西門捷運6號出口出來，步行5分鐘就到了。還滿好找的。雖在二樓但生意還是很好。是我喜歡的日式咖哩，和公館分店風味一樣。美味。不過價位感覺還是高了點。炸豬排吃起來普通，加點一份要120，還要加一成服務費，CP值稍低。歐姆飯類不能改飯量有點可惜。
 Cora Cora ,https://www.google.com/maps/contrib/111190603135527849900/reviews?hl=zh-TW,4,True,71,色香味俱全！可以單點咖喱飯就好，不一定要套餐。
 豬豬 ,https://www.google.com/maps/contrib/112789552992113901202/reviews?hl=zh-TW,4,True,192,餐廳在二樓，出入口較為狹窄，可選擇飯量辣度及多種配餐，咖哩滿濃厚的，價格小高，整體而言還不錯
 Nate Lin ,https://www.google.com/maps/contrib/100209591798571238608/reviews?hl=zh-TW,5,True,653,"可以選辣度、飯量及加點
還有套餐價格
還不錯吃"
 Mary ,https://www.google.com/maps/contrib/117477164061105829927/reviews?hl=zh-TW,2,False,3,"現在都改成QRCode點餐，卻還是依照慣例收1成的服務費會不會太不合理了..從頭到尾不就只倒一杯水而已
多年前跟現在的口味實在差太多了很久沒去吃了豬排竟然也縮水了..300多元其實有更豐盛的選擇！"
