user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 宏勳許 ,https://www.google.com/maps/contrib/104045289942616914890/reviews?hl=zh-TW,1,False,1,燒焦已經第四次了，今天三份都大量燒焦，不是用餐時間買給小孩子當點心，還能焦成這樣，我老婆光剪燒焦就把我罵到臭頭，這種東西小孩子能吃的健康好吃？離家再近都不會再買
 Neo Kung ,https://www.google.com/maps/contrib/101038651735695220081/reviews?hl=zh-TW,4,True,953,"韓式辣味鍋貼好吃
抄手味道也很夠
店內看起來位子很多，
算是比較大家的八月雲集

服務態度還ok
發票沒有載具是個缺點，還是傳統紙本

住附近的應該都會來買，品質口味穩定"
 ying chun lai ,https://www.google.com/maps/contrib/103801734727128127679/reviews?hl=zh-TW,4,True,290,"這間是有一般水平的八方雲集
有些店員很熱情，但也不太理人的
整體來說還ok"
 Mark Chen ,https://www.google.com/maps/contrib/104517233462233143674/reviews?hl=zh-TW,1,False,7,"點了湯餃，店員A沒給我號碼單跟發票就趕著煮東西，等了很久終於拿到號碼單時，才被告知湯餃已經沒了
原本以為會讓我取消重點，但店員B來說要我點等值的水餃，再選一碗湯送我
她講到一半開始跟另一位男店員起爭執，開始大吵、罵三字經還摔東西
店員A急忙過來幫我點餐，問我吃不吃鮮蝦水餃然後幫我湊餐點，我平常不吃鮮蝦但想說店員在大吵、他們又要送湯，就趕快配合點一點好了
結果店員幫我湊的餐根本不到湯餃的價錢，要不是我算數快有馬上反應可能就被吃錢了，雖然才幾塊錢但整體感覺實在不太好，然後也沒給我選湯
雖然取餐時有多送一杯豆漿，但我是想喝湯才來的，也根本不喝有糖豆漿啊⋯

以前對這家的印象就是有些店員態度差，但經過這次真的被雷爆，以後不會再來了"
 Lin Jerry ,https://www.google.com/maps/contrib/100850669228350372116/reviews?hl=zh-TW,1,True,104,"手機載具在面前刷了至少兩次，我載耳機都清楚聽到畢聲，還一直說沒刷到。如果不會操作機器請換個人，後來我說直接印出來，還要求我再刷載具，才成功。是把客人當練習嗎！不予苟同
星等全部評論上面所說，其他食物不在此評"
 Wei Reverie ,https://www.google.com/maps/contrib/108975954487997683068/reviews?hl=zh-TW,4,False,56,"店員人很好東西也好吃
食物3星🌟🌟🌟
服務4星🌟🌟🌟🌟
（插曲：沒有支援ApplePay"
 T-cat Express ,https://www.google.com/maps/contrib/117574580287112652918/reviews?hl=zh-TW,1,False,14,"貴陽街這家不是直營店，只是加盟店。
早年還是開紙本發票的時候，客人不主動索取，就不給客人發票。

服務態度非常差。之前看我媽媽是70多歲老人家，我媽付了500元，等找錢，硬說我媽媽付的是100元。我自己也有幾次很不好的經驗，無論男女員工，口氣都很差，還怪罪客人。

在西門這一帶的話，可考慮去漢口街的八方雲集，那家是直營店，態度好，員工親切有活力。顧客沒有必要看貴陽街這家的臉色、跟受氣。"
 Cheston Tsai ,https://www.google.com/maps/contrib/110033131386949540894/reviews?hl=zh-TW,4,True,153,還行，鍋貼有點軟
 Mia C. ,https://www.google.com/maps/contrib/102498545671757565434/reviews?hl=zh-TW,1,False,11,"沒有尊重客人意願
買單之後，才說辣味少一顆，直接用原味來補
以後不會再買"
 守誠茹 ,https://www.google.com/maps/contrib/106663951454354242138/reviews?hl=zh-TW,5,True,93,讚啊！空間寬敞涼爽餐點速度快喔！讚
