user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Goya Wang ,https://www.google.com/maps/contrib/114095126050504241233/reviews?hl=zh-TW,5,True,66,"雖然是湯包店，但是意外發現燙青菜滷肉做的很好吃，可以想像得到他的滷肉飯跟麵食也會很好吃🤤，店內環境簡單乾淨，非常舒服，餐具也在消毒箱烘的熱呼呼的，讓人感覺很放心。
湯包跟蒸餃的味道很足，不需要再沾醬也好吃。
炒手的辣度很夠，喜歡吃辣的不要錯過"
 YOWAY LIN ,https://www.google.com/maps/contrib/111559696100246596319/reviews?hl=zh-TW,4,True,76,"室內空間明亮，年輕老闆的服務態度非常好。
餐點部分湯包吃起來🐷豬癬味比較重一些，如果對味道比較敏感的消費者來說大扣分，蒸餃的內線料豐實在。"
 91 0 ,https://www.google.com/maps/contrib/116213023168630734667/reviews?hl=zh-TW,4,True,17,"雲吞麵的份量剛剛好，女生來說配碗湯就會剛好，麵體口感滿Q的，搭配綠色蔬菜好吃，味道是偏甜的，就看個人喜好了。

奶黃包麵皮鬆軟，內餡雖不至於爆漿出來，但以45元三個，是可以接受的小點心。

小籠湯包個人不偏好，豬肉帶有股腥味，還好內用有很多薑絲可以自取搭配著吃。

店內環境整潔，而且態度相當良好。"
 湯明珠 ,https://www.google.com/maps/contrib/101549109173397172475/reviews?hl=zh-TW,5,False,17,環境非常乾淨，連醬料罐都很乾淨；服務人員2位帥哥，態度親切；滷肉飯、綜合羹飯、炒手、雙菜蒸餃、小菜小魚乾都好吃😋！會再回訪！
 羅偉晉 ,https://www.google.com/maps/contrib/113706109141171538661/reviews?hl=zh-TW,5,True,44,價格平價但卻美味豐盛，是來西門町的好選擇！湯包跟炒手都很好吃，特別羹湯更是一定要點！非常道地南部風味，好吃😋服務態度👍
 鱷魚的黃眼睛 ,https://www.google.com/maps/contrib/110999019937028609102/reviews?hl=zh-TW,4,True,132,"👉家傳滷肉飯55元
份量十足口感很特別，滷蛋滷的剛剛好不會很老，扁花干？也很多汁

👉麻香炒手85元
炒手很好吃，肉很鮮嫩，不過醬料和炒手沒有很搭，有種炒手是炒手，醬是醬

👉古早味紅茶30元
小時候的味道沒有錯比較甜一點

整體評價：環境非常乾淨，老闆也會用酒清消毒桌面"
 川頁貿 ,https://www.google.com/maps/contrib/100920792586545150361/reviews?hl=zh-TW,4,True,479,"本次品嘗餐點為海陸綜合羹飯，湯頭普通好喝，料意外的多，有很種魚漿物，和小魷魚，吃起來口感豐富不太容易膩，份量足夠，能夠填飽肚子。
店員服務態度良好，會注意小細節，詢問顧客需不需要分開裝，非常值得鼓勵。
湯包看起來很好吃，有機會再來品嘗。位置偏紅樓附近，這次中午時間去，人並不多，不用等。店面明亮，
目前有集點卡活動，100元一點，集滿10點換40元小菜，20點可以換湯包，供大家參考以上資訊，希望能幫助大家更了解這間店~~"
 Areyou Chen ,https://www.google.com/maps/contrib/111263977228551417630/reviews?hl=zh-TW,4,True,"1,430","《有go百吃-湯包樂》
☆一家不只湯包好吃，滷肉也特香的小吃店！
餐點不錯，用餐環境非常整潔，而且防疫消毒也做得很好。
點了家傳滷肉飯和海陸羹湯，最愛吃滷肉飯的我，覺得滷肉香也別於一般市面上的，至於羹湯，肉、魷魚、蝦仁都還不錯，但羹湯就一般，而且不能加湯。
現在店有活動，會送飲料，記得要参加……
有行動支付街口。
老闆是年輕人，服務態度很好。
湯包也是這招牌餐點，下次再來品嚐看看……
再訪點了鮮肉湯包，真的還不錯。時蔬淋上滷肉也很好吃……"
 Amy Kao ,https://www.google.com/maps/contrib/101448061919918093534/reviews?hl=zh-TW,5,True,59,"回訪超過五次，店員很暖，也很熱情！
從外送平台吃到內用，成為忠實粉絲～
湯包好吃！奶黃包、雲吞麵也好吃！！"
 X III ,https://www.google.com/maps/contrib/114819994828158126228/reviews?hl=zh-TW,1,True,65,號稱手工現做，結果桿麵棍放一旁全都不用，拿現成工廠湯包，來豪洨，以前喝幸福堂飲料已經被雷過了，沒可能在上當一次，不可能會買的
 Riza ,https://www.google.com/maps/contrib/104791569409584795360/reviews?hl=zh-TW,5,False,25,絲瓜湯包味鮮有湯汁、抄手的醬是像XO醬的感覺，蠻特別的！上桌時說不小心煮破一顆，還幫我們另外再補上，真的是很感人！古早味紅茶很好喝，甜度剛好！兩位老闆的態度、服務一級棒，會想再來，也希望您們生意興隆！
 天選之舌 ,https://www.google.com/maps/contrib/102324692089946960732/reviews?hl=zh-TW,4,True,790,"滷肉飯：
採用肉燥瘦肉為主，味道簡單，但有不錯的香氣，以清淡口味來講是好吃的滷肉飯。

紅油抄手：
外皮薄而Q，內餡紮實，醬汁微辣偏麻香，好吃，清淡且功力不錯"
