user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lilibet ,https://www.google.com/maps/contrib/105169700581967750994/reviews?hl=zh-TW,4,True,193,"碧綠絲瓜
吻仔魚
可加價配料
環境乾淨"
 Jessamine Hsieh ,https://www.google.com/maps/contrib/103944704889963539081/reviews?hl=zh-TW,3,True,109,今天是除夕，台灣除夕當天很多店家不營業或提早休息，老闆告知只營業到晚上6點，點了廣東粥，老闆問油條或辣蘿蔔要那一個？我選油條，店內有電視但是無提供廁所，廣東粥有豬肝瘦肉蝦仁等，料多口味適中，來一碗熱粥暖身。
 cha yao ,https://www.google.com/maps/contrib/111065636597741139670/reviews?hl=zh-TW,5,True,91,粥店在西門町老天祿滷味旁的小巷弄內，一碗90-100元左右，料很豐富多元、料給的很多，口味較清淡。
 ally ,https://www.google.com/maps/contrib/110570863619670998582/reviews?hl=zh-TW,5,True,410,"外送餐點有貼上封條，避免運送途中被偷吃，值得嘉許。
油條也是另外包裝，料多味美，送餐迅速，讚！"
 Nainai Wong ,https://www.google.com/maps/contrib/114653854308650019549/reviews?hl=zh-TW,4,True,247,"∣皮蛋瘦肉粥$70∣
真正的粥，皮蛋給的很多，味道很不錯

∣環境∣
內用座位有點小，但還算舒適，有開放冷氣，在小巷子裡所以可能要稍微找一下"
 Ra Ca ,https://www.google.com/maps/contrib/110068946383195955660/reviews?hl=zh-TW,1,True,147,"真的很誇張！粥裡面吃到一根斷掉的筷子！
差點噎到我，品質是不是要注意⚠️"
 Rosalind Lee ,https://www.google.com/maps/contrib/110046156252367351651/reviews?hl=zh-TW,3,True,692,味道還行，就是中規中矩，但不建議趕時間的時候來吃，有時候要等上一陣。
 Eeyore Chen ,https://www.google.com/maps/contrib/114131275929323200362/reviews?hl=zh-TW,4,True,778,用量蠻多的，等待時間短，很適合急用餐的人購買
 Seicho Huang ,https://www.google.com/maps/contrib/114026365913827066184/reviews?hl=zh-TW,1,False,15,吃布拉魚粥吃到一截電線，原本還以為是碎骨之類的，仔細一看是有軸心的白色電線，超噁心🤮
 YW Lin ,https://www.google.com/maps/contrib/114312437162055165474/reviews?hl=zh-TW,3,True,257,出餐很快，現在皮瘦粥有優惠便宜五塊錢。
 Dorothy H ,https://www.google.com/maps/contrib/109988027880616549203/reviews?hl=zh-TW,5,True,107,老闆娘很親切，店內用餐環境乾淨！
 Min Tang ,https://www.google.com/maps/contrib/110354777144122114616/reviews?hl=zh-TW,5,True,80,"寶寶藻不錯吃！
下午有營業非常方便～"
 Pei Chun Liu ,https://www.google.com/maps/contrib/103796891102244692648/reviews?hl=zh-TW,4,False,20,在西門巷弄中，粥品的味道不錯，配料很多
 tiffany Syu ,https://www.google.com/maps/contrib/108745791924731026667/reviews?hl=zh-TW,3,True,49,"地圖標示不清害我白跑一趟
真的很討厭欸"
 陳家儀 ,https://www.google.com/maps/contrib/103761100035462552834/reviews?hl=zh-TW,1,True,169,從來不會對魚肉過敏點了魚片粥魚片有很重的腥味然後下午馬上大過敏
 吳翊瑋 ,https://www.google.com/maps/contrib/114127592695716368525/reviews?hl=zh-TW,2,True,79,我還蠻喜歡吃源士林，但這家是我吃過最糟的源士林，飯超硬，油條油耗味超重。
 valleyking77 ,https://www.google.com/maps/contrib/115604368996550448452/reviews?hl=zh-TW,4,True,277,大哥大雞絲麵還好粥比較好吃
 墨羽琴蹤御仙風 ,https://www.google.com/maps/contrib/107086265363854762459/reviews?hl=zh-TW,5,True,167,"老闆動作很快
可用街口支付
餐點口味個人覺得還行
粥的口點不會是飯湯那種的樣子
是我喜歡的那種比較軟爛的口感
給4.5顆，但四捨五入就五顆吧"
 程彥銘 ,https://www.google.com/maps/contrib/106018556317830248673/reviews?hl=zh-TW,5,True,19,老闆人好，粥也好吃！
 蔡翔惠 ,https://www.google.com/maps/contrib/108966731417948048382/reviews?hl=zh-TW,4,True,166,好吃^^料很豐富！！內用有冷氣，宵夜肚子餓這家也有營業，老闆認真經營的一家店，只是粥可能把飯煮得比較軟爛，適合不想吃這麼飽的成人或是小孩、老人食用，用料尚可，沒有到料多，但是多種料都有煮入粥內，算是很營養了！
 Banana ,https://www.google.com/maps/contrib/112271072487806400545/reviews?hl=zh-TW,5,True,159,"非常好吃的粥店但就是位置非常的少，大部分的人都，會買外帶比較多，因為老闆只有一個人在煮所以幾乎都要等蠻久的。一到中午就會客滿了

老闆不太愛講話看起來酷酷的，這間店離捷運站有一點遠需要10到15分鐘"
 黃家儀 ,https://www.google.com/maps/contrib/116848437990236790576/reviews?hl=zh-TW,4,True,18,"當粥端上來的時候，我還覺得有一點稀，因為個人喜歡吃較稠的粥，可是後來拌著拌著就開始覺得有越變越稠了
粥的味道很特別
而且材料都很足，一點也不吝嗇
推~"
 Sandra Yu ,https://www.google.com/maps/contrib/109467765767568071698/reviews?hl=zh-TW,5,True,106,好吃！精緻的粥品餐點，大推！👍
 Cheng Chou ,https://www.google.com/maps/contrib/116685613165757541911/reviews?hl=zh-TW,4,True,129,空間不大但味道不錯選項也蠻多的
 Joshua ,https://www.google.com/maps/contrib/114077335585504423002/reviews?hl=zh-TW,1,True,132,2021年9月10日晚上六點多！裡面有個女的態度超差的，老闆戴著口罩說話沒有很清楚，請老闆再說一次，結果那個女的在那邊口氣不曉得差什麼，有情緒話的字眼，賣東西有必要這樣嗎？修養真差！！
 Cindy Lu ,https://www.google.com/maps/contrib/106759500975761188800/reviews?hl=zh-TW,5,True,62,店面雖小，但空間很舒適不會太擁擠，粥品料多實在，看似很小碗，但份量十足，喜歡清淡口味的人不妨來嚐嚐，位於西門町內的小巷子。
 端木哀 ,https://www.google.com/maps/contrib/113126592034642409817/reviews?hl=zh-TW,2,False,23,"是個播放台視的店家呢。
出餐快，食物還行。"
 DD o ,https://www.google.com/maps/contrib/114021599581137295214/reviews?hl=zh-TW,4,True,37,餐點還不錯，可惜的就是服務生都戴口罩了，主廚沒有戴，在這個敏感的時期店家更要謹慎。
 湯美華 ,https://www.google.com/maps/contrib/106996986624831828149/reviews?hl=zh-TW,5,False,15,"超好吃的粥😋😋，跟別家比起來，老闆加的料好多欸,CP值高"
 Toshi Zhan ,https://www.google.com/maps/contrib/114074073772700437246/reviews?hl=zh-TW,5,True,28,用料實在吃了很飽
 Oli C ,https://www.google.com/maps/contrib/101908348998804109430/reviews?hl=zh-TW,3,True,298,"老闆臉看起來很臭但態度還好
皮瘦粥比其他店便宜5元
但是烹煮衛生有待加強..."
 藍佳韻 ,https://www.google.com/maps/contrib/100018021087940392359/reviews?hl=zh-TW,5,True,64,料好實在美味的粥品，服務人員很親切，中午正值用餐時刻，客人爆多，不會因為我們一大一小只點了一碗粥坐了兩個位置而有差別待遇，還主動為我們準備小碗，很舒服的用餐感受。
 ke cheng bin ,https://www.google.com/maps/contrib/107519647400637298913/reviews?hl=zh-TW,3,True,31,我覺得他的東西普通，沒有到特別好吃，豬肉有個很噁心的味道，不知道是不是放太久
 何承益 ,https://www.google.com/maps/contrib/102346249367250295127/reviews?hl=zh-TW,5,True,14,111年3月價目表更新
 Alex Chu ,https://www.google.com/maps/contrib/115268144535907224431/reviews?hl=zh-TW,5,True,9,從小吃到大的粥品，好吃美味無負擔。
 Jenny Lu ,https://www.google.com/maps/contrib/102007304978103585999/reviews?hl=zh-TW,1,False,4,Itdoesn’tthattastegoodasthecommentsbelow!Don’tbelievethosecomments!廣東粥是應該爛的，而不是好像米飯那樣！我完全放棄了！我完全吃不了，很難吃！好像在吃湯米飯。
 Vinix Wu ,https://www.google.com/maps/contrib/108339733782050854413/reviews?hl=zh-TW,4,True,175,現點現煮，端上桌時甚至還在冒泡。有許多口味可選。有時可能會煮太快導致米偏硬，喜歡吃軟的建議先跟老闆講。
 06-林文怡 ,https://www.google.com/maps/contrib/102332828171835292497/reviews?hl=zh-TW,2,True,92,寶寶藻裡面小魚腥味有點重
 屏喬喬 ,https://www.google.com/maps/contrib/102261759055669256279/reviews?hl=zh-TW,1,False,7,吃一碗寶寶粥，廁所第三天，真的是減肥好店
 rain ,https://www.google.com/maps/contrib/108437337398230829045/reviews?hl=zh-TW,5,True,13,環境乾淨，粥又好吃，幾乎每週都會吃一次！
 阮晉爵 ,https://www.google.com/maps/contrib/104008769561518141758/reviews?hl=zh-TW,4,True,216,服務親切，口感一致的粥品店，走到哪裡都記得的味道
 mo mo ,https://www.google.com/maps/contrib/112472117876018229927/reviews?hl=zh-TW,2,False,138,老闆臉很臭這不是服務業該有的態度
 MI ANG ,https://www.google.com/maps/contrib/113346707751127068019/reviews?hl=zh-TW,3,True,155,"隱藏在西門巷弄口味還不錯推香雞粥
用餐區則是室內座位稍微小"
 HOOP ,https://www.google.com/maps/contrib/114240417921752020459/reviews?hl=zh-TW,5,True,700,店內乾淨，粥現點現做，辣椒是乾辣椒，便宜美味。
 晏竹 ,https://www.google.com/maps/contrib/110204439644738603155/reviews?hl=zh-TW,5,True,19,用料實在，也有內用座位，可以看電視，好吃！
 彭小斌 ,https://www.google.com/maps/contrib/100860323703675151211/reviews?hl=zh-TW,4,True,60,雖然是小巷內不好找，但還不錯吃！
 Vegilie Hsueh ,https://www.google.com/maps/contrib/101341112635187775796/reviews?hl=zh-TW,5,True,76,真材實料又美味，有機會一定會再去！
 Mia Nian ,https://www.google.com/maps/contrib/103860339584124788041/reviews?hl=zh-TW,4,True,263,就是一般源士林粥的水準，中午用餐時間人多需等待
 Peace Tea ,https://www.google.com/maps/contrib/118267161756814603313/reviews?hl=zh-TW,2,True,273,飯超硬的，口味也很淡，好像在吃湯泡飯
 丁年初 ,https://www.google.com/maps/contrib/108214233527116960544/reviews?hl=zh-TW,5,True,540,"大碗好吃口味多
味道也很夠
尤其是加辣椒吃更是好吃"
 陳俊樺 ,https://www.google.com/maps/contrib/104555616113383704349/reviews?hl=zh-TW,5,True,150,粥品好吃，不過在巷子裡，要找一下
 Sta Ch ,https://www.google.com/maps/contrib/104567483265258067470/reviews?hl=zh-TW,1,False,58,今天公司晚餐訂的世源士林的粥，你們的粥真的....不好聞....(捏鼻)
 陳巧育 ,https://www.google.com/maps/contrib/115828658079499029397/reviews?hl=zh-TW,3,True,305,口味上覺得偏鹹，但料蠻多的
 曾文鴻 ,https://www.google.com/maps/contrib/117887889443483920645/reviews?hl=zh-TW,3,True,894,還不錯吃，每次都點粥霸。
 Juju Wa ,https://www.google.com/maps/contrib/112583861436873324059/reviews?hl=zh-TW,2,True,473,感覺像是把飯泡進湯水裡加料煮了一下。
 黃子芸 ,https://www.google.com/maps/contrib/106761863261310313478/reviews?hl=zh-TW,3,False,18,粥滿稀的而且味道有點淡普通
 Leon Chiang ,https://www.google.com/maps/contrib/114369970707915430228/reviews?hl=zh-TW,5,False,55,SoSOOOGood.SuperGood料也很多！絕對值得
 陳經緯 ,https://www.google.com/maps/contrib/104631186018113728407/reviews?hl=zh-TW,5,True,13,從學生時代吃到現在，轉眼竟然快20年了
