user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 zhiting hsiao ,https://www.google.com/maps/contrib/103939167963365219075/reviews?hl=zh-TW,5,False,3,"今天中午四人家庭聚餐
主餐吃鰻魚飯跟綜合生魚片丼飯
小菜都很好吃
是會再回訪的店

🔸鰻魚飯
鰻魚飯要提前預定今天吃到超級驚艷的入口滿滿鰻魚的鮮味不會腥醬的味道不會搶掉鰻魚的味道同時又很下飯連我平時很少吃也不太愛吃魚的人都覺得很好吃以往吃過的鰻魚飯是醬的味道會蓋過鰻魚的鮮味第一次知道鰻魚這麼好吃

🔸綜合生魚片丼飯
每種魚肉都超厚實的又新鮮
爸爸說吃起來很滿足還有超級大的干貝

🔸日本鰤魚
魚肉很甜又好吃沒有腥味
我平時因為腥味都超怕吃魚
師傅選用非常新鮮的食材
讓我破例吃了一大塊擠上檸檬的滋味更是鮮
美

🔸午仔魚蛤蜊豆腐湯
湯頭鮮美蛤蜊很大顆午仔魚肉很飽滿細緻油質豐富
最近天氣比較涼喝一碗全身都暖呼呼的很舒服

🔸奶油烤干貝
烤過的干貝滑嫩彈牙同時又鮮美多汁

🔸炸明蝦
外層酥脆裡面明蝦Q彈

🔸紅豆湯
平常飲料喝1～3分糖覺得紅豆湯甜度剛好
紅豆粒粒分明作為一餐的收尾非常完美"
 Wish us good life ,https://www.google.com/maps/contrib/103555157472622656687/reviews?hl=zh-TW,3,True,392,經過的時候看到外面的便當。涼拌龍鬚菜100元、綜合壽司100元、玉子燒150元。店員服務態度好，但食物口味對我來說太鹹，而且問了店家龍鬚菜有沒有麻油，對方說沒有可是回家打開後是有麻油的味道。家人對麻油過敏，這會鬧出人命。希望店家可以多注意。疫情間大家都辛苦了。
 柯彥禎 ,https://www.google.com/maps/contrib/108716994580635755676/reviews?hl=zh-TW,5,True,27,"來這家店用餐，必須先轉換心態。

「純粹要吃好手藝，先不管環境與裝潢。」

如果這個心態轉換做得到，其實熊二是收費公道的美食餐廳。

它不是來吃CP值的，是來吃手藝的。"
 Aaron Soup ,https://www.google.com/maps/contrib/100826685990262801027/reviews?hl=zh-TW,5,False,14,位在西門町邊陲的老店，生意不算太好，今天路過想說就來試試看。沒想到師傅手藝精湛，用料實在，不論生食熟食都洽到好處，今天母親節大餐吃得非常滿足，是間讓人想二訪的好店，值得推薦！
 王Andrew ,https://www.google.com/maps/contrib/104601567479530920707/reviews?hl=zh-TW,3,True,175,點的是無菜單料理，感覺CP值不是很高，不能說不好吃，但也沒有特別好吃，以色香味來說，色絕對是低分，不是精緻的日本料理。
 Hui-Ling Lee ,https://www.google.com/maps/contrib/101963585963878905643/reviews?hl=zh-TW,1,False,14,"外帶壽司，剛好現場沒有要現做，問一下壽司的份量跟價格，買1盒。居然回我：只買1盒也要問。
我怎麼知道店家的份量夠不夠吃飽，態度也太差了！"
 liyang hsieh ,https://www.google.com/maps/contrib/112863917988629189169/reviews?hl=zh-TW,5,True,"1,319",40年的二代日式料理傳承好店，用餐環境寬敞有多間包廂，與三五好友聚會好地點，套餐多道料理新鮮又好吃，大推。
 吳承穎 ,https://www.google.com/maps/contrib/114761251851959768536/reviews?hl=zh-TW,1,True,122,"《１分：仍然有相～當～大～的進步空間》
【味道：２分】
【價格：１分】
【環境服務：１分】
【再訪意願：１分】
※比較對象：銀座日本料理、89海鮮
※味道評分詳細如下：

※開胃小菜(1/5)：
醃蘿蔔超～鹹、超～酸
核桃小魚有種菜市場的感覺
擺盤食物下面太水，感覺不用心

※海藻山藥(3/5)：
普通，今天少數還可以的料理

※綜合生魚片(1/5)
不新鮮，吃起來軟爛
鮪魚還有血水?基紅蛋白?沾黏在蘿蔔絲上

※鮪魚丼飯(2/5)
飯太熱

※蒸魚(3/5)
普通，今天少數還可以的料理

※杏鮑菇排骨湯(1/5)
雜質太多，感覺很隨便
杏鮑菇切的隨便
豆腐刀工超初學，感覺一般民眾水準

※烤帝王蟹腳(2/5)
不新鮮、很乾、沒香味

※紅豆湯&水果(2/5)
比自己煮的還難喝，單純很～甜

※服務&環境(1/5)：
１.入店等快３分鐘老闆(兼服務生)送餐時看到，才來招待我入座。
２.上菜只有介紹到海藻山藥，後面只是端上來。
３.移動的時候腳拖地板的聲音很讓人煩躁。

※日本料理感覺除了餐點本身的味道外，接待客人、食物的擺盤應該也是很重要的，但是我感覺３點都沒有做到。

※部落客寫評論推薦的那位70多歲日本人老師傅已經不在了，現在的老闆是他兒子，建議前往用餐前先看看近期的評價再決定。

※附帶一提，只收現金，不收服務費。

用餐日期：2019.06.05"
 Lin Yi-hsuan ,https://www.google.com/maps/contrib/114056106766210643495/reviews?hl=zh-TW,5,True,16,"很實在的老闆,食物非常美味,
從定食到無菜單,可感受老闆對日本料理的堅持,
可嘗到費工且食材大方的美味料理,
雖然只有老闆一人,料理費時,
不過值得等待!"
 30 03 ,https://www.google.com/maps/contrib/113117116541061445042/reviews?hl=zh-TW,5,False,2,"很偶然的來到這間小店
但吃得十分盡興
菜式精緻用料新鮮
老闆手藝很好人也很樸實
有機會還會再訪！"
