user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Rola Hun ,https://www.google.com/maps/contrib/107366387996957752427/reviews?hl=zh-TW,5,True,35,"品項豐富！
比我原本想像的好吃太多～
以牛肉、豬肉的品質都很不錯
尤其大推薦秘制無骨牛小排
辣味脆腸也很棒👍🏻👍🏻👍🏻（是大腸）
海鮮部分尚可，唯獨大小有點小
不過後來店家推薦特別吃法加入烤蛋裡，這大小就變的很剛好😆

小菜提供8種，不得不說真的都很好吃
熟食有炸雞、年糕、泡菜豬，不得不說也都很好吃
真的逼死人了

冰淇淋有哈根+酷聖石，很給力～

總結肉倉CP值真心很高！！
好吃種類多還有酒跟小遊戲
很適合朋友聚會一起來🫶🏻

主要我莫名其妙竟然玩到免費一杯飲品
🤣🤣🤣🎉太幸運了"
 曉冷 ,https://www.google.com/maps/contrib/103495228309715783887/reviews?hl=zh-TW,5,True,32,"西門町鬧區裡的韓式燒肉
菜單品項多種!!!除燒烤的食材
基本肉盤牛豬雞還有海鮮、蔬菜、韓式熟食料理、韓式小菜、啤酒、飲料吧、哈根達斯冰淇淋…🤤
從主食到飲品、小菜、甜品…全部都是吃到飽!!!🤩
而且每份肉片都比我的臉還大😍

推推大家一定要必點🤩『起司烘蛋』!!!!
烘蛋的熟度可以自己控制我更喜歡半熟狀態!
可以直接沾各式肉品或小菜吃~~~😍

點餐的部分既好玩又可愛~😝
是使用QR-Code點餐後就能看見小機器人左一步、右一步來座位旁送餐😆
超科技感又可愛~~~

吧檯區有八種配合時令的正統韓式小吃及韓式熟食料理
韓式小吃搭配火烤燒肉超多種創意吃法🤩
還有飲料吧及啤酒喝到飽!!!🥳

有酒有肉的氣氛下店內的音樂更是一首首的韓國熱曲
用餐氣氛真的嗨到爆~超像一秒到韓國的感覺~
非常適合多人好友的聚餐、聚會~❤️❤️❤️"
 Anita Lee ,https://www.google.com/maps/contrib/103190459134527587076/reviews?hl=zh-TW,5,True,34,"更多美食請看👉🏻IG:picky_couple.food
-
🍴小菜有八樣，有泡菜、涼拌豆芽菜、涼拌菠菜、茄子、豆乾小魚乾、辣拌甜不辣、涼拌海帶芽跟涼拌干絲，我們都覺得小菜都蠻好吃的，調味也都剛剛好👍🏻

🥘旁邊還有炸雞、辣炒年糕、泡菜炒豬肉，菜單上也還可以點有醬料的韓式炸雞，湯鍋的部分我們點泡菜豬肉鍋，我覺得辣度大概在小辣跟中辣之間，沒有泡菜的酸味，但湯煮的很濃，完全不用擔心是稀釋到很淡很難吃的那種，推薦來的話一定要點一個湯鍋😊

🍜爸爸很喜歡他們的炸醬麵，麵的硬度剛剛好，調味對吃比較清淡的人來說會比較重，但我們家的人都覺得很好吃，爸爸甚至還想再點一碗～

🍖來韓式烤肉真的要點豬肉，這邊更推薦有醃過的肉品，這次吃下來很喜歡蜜制豬小排、辣味五花肉跟松阪豬，雖然有醬料的肉會容易讓烤網焦，但這邊的服務生烤網都換的很勤，完全不太需要舉手說要換烤網🤣也一定要點鍋邊的起司蛋，嫩嫩香香又有起司的鹹～

🧋飲料的部分比較多人有興趣的應該是啤酒喝到飽，有台啤跟Cass兩樣喝到飽，不喝酒的人也有其他種類可以選擇

🍦冰有兩種品牌，哈根達斯跟ColdStone，大家記得吃到最後要留點胃吃冰"
 Kaichi ,https://www.google.com/maps/contrib/105245500163166115162/reviews?hl=zh-TW,5,True,32,"對於韓式吃到飽來說，這家cp值真的高！
牛雞豬海鮮酒飲小菜炸物，通通任你點，吃到飽
價位約699-799元，依平、假日午晚餐價格不同
週五晚上用餐店內大客滿！

首先掃桌上QRCODE線上點餐，必點起司烤蛋
烤爐配置關係，一次限點兩份起司烤蛋，起司超香濃
更有機器人艾咪送餐，搭配音樂提醒餐點到嚕～敲可愛！

必點超乎我意外好吃の原味無骨牛小排，續點好多次
肉質軟嫩、很好入口，更沒有任何腥味，無骨就是優秀
小菜區的小菜有韓式泡菜、海帶、豆芽、青菜等
還有鹹酥雞，和辣炒年糕，滿多種選擇，記得拿適量就好
甜點區有酷聖石、哈根達斯，飲品有可爾必思、酒類等
每樣都吃一點就能都品嚐到～🤤

“更多台北韓式烤肉🔍IG｜kaichi.food
🔍FB｜kaichi|台北花蓮台南美食·住宿“"
 郭妙 ,https://www.google.com/maps/contrib/103757820063377504017/reviews?hl=zh-TW,5,True,34,"肉片都超厚
原味跟調味的都好吃
下顎需要很有力！

骰子活動蠻有趣的
但骰到3倍量3倍價😂"
 Manman Sun ,https://www.google.com/maps/contrib/113778395138726074113/reviews?hl=zh-TW,5,True,19,"第一次來吃感覺還不錯！海鮮都很新鮮，肉肉特別推薦松阪豬、豬肋排，釜山護心肉，還有無骨牛小排。

一定要點生菜，包肉＋小菜＋大蒜洋蔥及調味料超好吃！"
 Jamie chiu ,https://www.google.com/maps/contrib/106208186241570357260/reviews?hl=zh-TW,2,True,173,"初訪吃到飽燒肉,但一半的人沒吃飽。
用餐2小時,點餐90分鐘,入座時服務生說,點餐時間快到時會來提醒,我們當中有一位比較晚到,也不清楚點餐規則,等要加點時,才發現已經無法點餐了,本來說好會來提醒的最後加點也沒提醒。
但在快90分鐘時口頭加點,費用另計的酒倒是有幫忙點,結果最後半小時只剩滿滿的酒,無法烤肉,只能配小菜跟少少的2種熟食。

有google5星活動,評論分數確不到4分,也真的是難怪了。"
 黃士鳴 ,https://www.google.com/maps/contrib/110001545119902190988/reviews?hl=zh-TW,4,True,436,餐點好吃，韓式烤肉味道不錯。服務好。吃到飽價位中上約800/人。肉、海鮮盤、飯、湯、都有。點到飽APP點餐，機器人送餐。小菜、飲料、冰淇淋都有。
 李徐林 ,https://www.google.com/maps/contrib/110263927517752473427/reviews?hl=zh-TW,4,True,327,肉品種類多，海鮮偏小，小菜、飲料、冰淇淋都無限供應，價格在西門町這算是公道的，唯機器人送餐好玩但也雞肋。
 毓 ,https://www.google.com/maps/contrib/110066064942391574286/reviews?hl=zh-TW,5,True,143,"推薦的韓式燒肉！
送餐是由機器人送蠻有趣的！
部分啤酒是免費供應的！
推薦起司蛋！推建議第一稐輪就要點！
不然等它熟要很久~"
 paul ku ,https://www.google.com/maps/contrib/100685620778756175681/reviews?hl=zh-TW,4,True,324,吃到飽的韓式烤肉，加服務費後一人大概$1000元，cp值偏低，肉質尚可，用炭火燒肉比較香氣十足，海鮮蔬菜種類篇少，但view很好👌邊吃飯邊俯視西門稀來稀往的人潮很棒！
