user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Debbie Chuang ,https://www.google.com/maps/contrib/117081071060795375523/reviews?hl=zh-TW,4,True,64,"111/7月
之前都是外帶壽司回家吃，這次內用想點其他品項試試看。假日午餐時間來，需要稍等一下，因為內用位子不多，大約6~8位，空間稍狹窄。
等待的時間，可以先拿菜單填寫。
面前有好幾位廚師在料理，填好菜單可以交給站最右邊的廚師，吃飽後再結帳。
原本想點味噌魚頭湯，但還需要等半小時所以放棄。
蝦蘆筍手捲:蝦子和蘆筍新鮮好吃，好像有加魚鬆之類的，吃起來口感清爽。
鮮魚湯:是用生魚片切下的邊邊魚肉去煮，湯頭算清淡鮮甜，但感覺更喜歡多加些薑絲煮出來的魚湯。
味噌湯:湯頭調味不錯，以20元來說湯裡還看到的料-魚肉/豆腐/海帶芽，很佛心的湯。
花壽司:好吃，飯和料的份量算多，醋飯的醋味不重。
玉子燒壽司:喜歡上面的玉子燒。
鮮蝦壽司:蝦子新鮮，還不錯。
山葵章魚壽司:山葵味吃不太出來，調味的醬稍鹹。
海蜇皮:感覺份量較少，調味偏鹹，陪著生菜吃比較清爽。"
 eleven lin (俊小宇) ,https://www.google.com/maps/contrib/116347900108014328128/reviews?hl=zh-TW,4,True,452,"六點即開始營業，目前有開放內用
座位偏少，在市場內的環境算是乾淨
不過還是有看到小小強出現

品項眾多
在牆上還有套餐組合提供快速點餐
唯獨湯品不會在開店時供應
需要時間熬煮準備吧

醋飯徧黏，稱不上粒粒分明
也有提供素食壽司"
 徐翊堯 Hsu ,https://www.google.com/maps/contrib/104866774109968485219/reviews?hl=zh-TW,5,True,34,"目前台北最愛的壽司🤤
前一個禮拜吃完念念不忘，隔一週又跑來吃
剛好升柔道黑帶初段，跟學弟來慶祝！
學弟原本不相信有這麼好吃😳
吃完後就懂原因了🤣
原本想點40號，但學弟阻止了我，說兩個人吃不完，最後才點39號，好可惜🤣"
 yijiun ,https://www.google.com/maps/contrib/109293260128056617383/reviews?hl=zh-TW,5,True,296,"非常新鮮佛心價的日式壽司
在乾淨的三水街市場
小而狹長的店面
裏面有好幾位師傅現做壽司

門口排了許多人
海苔壽司10個80元
豆皮壽司5個10元豆皮多汁飯分明好吃
蝦壽司6個120元
花壽司5顆75元"
 王安森 ,https://www.google.com/maps/contrib/102468787871694358301/reviews?hl=zh-TW,5,True,287,"性價比很高，今天點第36號餐340元，份量很多夠二個人吃，但一個人吃完，滿好吃。
還有很多菜色下次想嚐試。"
 TC Gopher ,https://www.google.com/maps/contrib/112597480660124702567/reviews?hl=zh-TW,5,True,12,雖處傳統市場內，空間較狹小，但內用環境乾淨。工作人員很和善，注重手部衛生，處理食物的師傅與收錢的人分開。看了牆上貼的餐點照片，點了#20號餐綜合握壽司（在點菜單綜合握壽司下的空白欄填入#20，$180），魚肉厚實新鮮彈牙，醋飯也捏得不錯，甜蝦握壽司尤其令人驚艷。同一套餐我點了兩份、吃得很過癮。味噌湯要另外點，一碗$20。整體來說味美實惠，絕對會再回訪！
 陳月霞 ,https://www.google.com/maps/contrib/113788994846407630953/reviews?hl=zh-TW,5,True,161,巿場內的高級日式壽司，生魚片新鮮、甜美，價格不貴，大推魚頭味噌湯，裡面滿滿的魚頭，卻只要80元，但要碰運氣，晚來就沒啦～鮮魚湯也不錯，清淡搭壽司剛好
 地獄貓 ,https://www.google.com/maps/contrib/108270410785560756702/reviews?hl=zh-TW,3,True,775,"在市場裡的小壽司店
握壽司料豐味美,壽司飯真的不行,
不過看在價格上,就不要太挑剔的
小菜味道也不錯,海鮮粥的口味清淡好入口,料給的也不少
店內略嫌狹窄,不過乾乾淨淨的...
便宜好吃的小食堂~~"
 Bonnie Huang ,https://www.google.com/maps/contrib/113691405105098662486/reviews?hl=zh-TW,3,True,319,"110/1/20初訪
慕名而來，早上買了一盒綜合壽司（花壽司/海苔壽司/豆皮壽司），愛吃壽司的我吃起來有點無感捏….覺得很一般，沒覺得特別好吃，下次再來買生魚片和握壽司試試."
 JianYi Dong ,https://www.google.com/maps/contrib/103035050084969415819/reviews?hl=zh-TW,4,True,49,"上個禮拜剛好有事到萬華處理，便就近到新富市場買中餐。由於夏天炎熱，又是選擇外帶，所以只點一些熟食類的花壽司跟手卷，而不敢點生魚片類的。

花壽司味道不錯，但差別不大，主要僅外皮的不同；手卷則蠻酥脆可口的。

壽司有基本的水準，價格也算合理，這家｢金和壽司｣，算是一個不錯的餐點選擇。😋"
 Taichi Yamamoto ,https://www.google.com/maps/contrib/100198718910506070486/reviews?hl=zh-TW,5,True,38,"金和壽司，以口味跟創意料理來說，沒有比隔壁的三味食堂走的更前面，但用力打底的基本功，讓壽司更加具有說服力

鮭魚，擺盤及油花分配量，讓每一口厚切鮭魚都有不同的層次感且不膩口（1貫30元）

玉子燒，簡單的食物看得出來不簡單，不加水的作法，讓每一口進入口腔都是飽滿及扎實（一貫10元）

干貝，一口入魂的快感，真的要來嚐嚐，天然海味帶點微鹹的口感，搭配上尾韻自然的回甘，真的鮮啦（一貫50元）

整潔★★★
美味★★★★★
服務★★★
新鮮★★★★★
價錢★★★★★

4.2顆星，推啦
ig:taieattt歡迎大家來討論分享美食"
 selena song ,https://www.google.com/maps/contrib/112978041247351100639/reviews?hl=zh-TW,1,True,19,"5月底的周日第一次吃到金和，買了$250綜合生魚片覺得新鮮又大塊超好吃
今天一大早特地帶媽媽去買$400生魚片，結果令人傻眼每塊超級小好像給小朋友吃也不是什麼高級的魚肉，覺得好丟臉原本覺得好吃
結果又跑去中和知名壽司店一樣價錢，品質天壤之別。
到底是負責師傅的關係還是品質變差了，，，"
 John Du ,https://www.google.com/maps/contrib/103890212706503848312/reviews?hl=zh-TW,5,True,426,吃了那麼多年竟然沒評過真失禮，市場內平價好吃的日本料理，只要假日有來三水市場都會吃，然後外帶兩盒壽司走，雖是市場內環境，但桌面整潔什麼的都保持得很不錯。
 Johnson Chiu ,https://www.google.com/maps/contrib/109514369275548131412/reviews?hl=zh-TW,5,True,44,CP值很高的店，食材新鮮，會讓人有想把整個菜單吃過一遍的慾望
 La vie est belle ,https://www.google.com/maps/contrib/102194627889162864954/reviews?hl=zh-TW,4,True,242,菜市場內的台式日料店。壽司的米有點乾硬，但同行的友人覺得還好。透抽薄薄幾片、墊一點黃瓜絲、配了一點醃薑片，給了一個空碟，沒有任何醬料，大概是沾桌上的醬油吧？
