user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 李立文 ,https://www.google.com/maps/contrib/115346254398261014433/reviews?hl=zh-TW,5,False,97,物超所值！佛心的價位，食物品質遠遠超出預期，如果在我家隔壁，一定天天光顧。餛飩湯才20元，顆數超多，一定都不馬虎。紅燒湯香辣可口。烤餅類也是紮紮實實，尤其是伍仁口味，多種堅果，感覺把健康都吃進肚子裡了！
 a chan ,https://www.google.com/maps/contrib/108518996270172443429/reviews?hl=zh-TW,4,True,99,糕餅店及小吃結合的素食館，台北少數餐店，蘿蔔糕好吃，其他餐點沒有有吃過。有機會在來吃其他餐點～
 Oi Huang ,https://www.google.com/maps/contrib/108054151423123464446/reviews?hl=zh-TW,5,True,62,"桌上「香椿辣油」店家自製，不太辣，很香微麻一定要淋！

讓我每天都能吃到6-70元的菜飯店家，好吃每天吃。
必點茄子🍆，豆腐好吃
一個菜、豆腐十元，五穀紫米飯20元

蛋黃粽有整顆蛋黃調味也不錯，餛飩湯好喝！"
 Teresa ,https://www.google.com/maps/contrib/107985504910049111822/reviews?hl=zh-TW,5,True,119,"炒米粉是這家素食店，我覺得好吃的，加上他們店內辣油，讚👍
價格也合理，這份餐60元，覺得還Ok，想吃素炒麵或米粉，可來這尋食。"
 ivy lin ,https://www.google.com/maps/contrib/100383467554437003993/reviews?hl=zh-TW,4,False,119,阿姨好親切，四道青菜，半碗五穀飯只要50元，好吃又營養。
 Z L ,https://www.google.com/maps/contrib/110635283011757228656/reviews?hl=zh-TW,5,True,118,便宜、乾淨、衛生、量多又好吃
 Joyce Su ,https://www.google.com/maps/contrib/106468335177717171784/reviews?hl=zh-TW,5,False,10,"超好吃的！！！
點了蘿蔔糕麻醬麵餛飩湯燙青菜蚵仔煎素魯飯結帳竟然只要195
因為帶小朋友老闆還很貼心的把麵煮軟一點，還是非常好吃。
店裡還賣很多酥餅漢堡真是太棒了。
生意興隆。"
 小蕎 ,https://www.google.com/maps/contrib/113509303318557204137/reviews?hl=zh-TW,5,True,82,"懷念的好滋味呀🤤🤤🤤
紅燒麵超讚👍👍👍
辣椒更讚🤗"
 Rachel Lu ,https://www.google.com/maps/contrib/101316847013137667796/reviews?hl=zh-TW,5,False,4,蘿蔔糕很推薦!一吃就愛上!蛋炒飯是傳統的美味!CP值很高!
 摩天輪（Judy Chang） ,https://www.google.com/maps/contrib/104331339465142536500/reviews?hl=zh-TW,4,True,50,"這是一家傳統的複合式早、午、晚餐店
全店素食及蛋奶素，有三明治、漢堡、中西式的餐點及麵食，點餐時要有耐心點因為裡面都是很可愛的長青長輩們
餐點都不錯吃"
 wei Ella ,https://www.google.com/maps/contrib/102906986418475487919/reviews?hl=zh-TW,5,True,159,"外帶便當ft.五穀飯
（豆豉青龍炒豆乾、鹵麵筋炒筍絲、炒芥蘭菜和滷素肚）大推這裡的五穀飯，有薏仁和紅豆，一點都不無聊
難得在西門町外圍找到傳統的素麵小吃店，店員清一色阿媽等級，說不上親切卻有當自己家的隨性。菜單上還有素滷飯（自動升級五穀飯）、蘿蔔糕、水餃、素蚵仔煎（草菇+海苔）、各種麵類，就是平常晚餐不想動腦的口袋名單啊～
Btw店內還販售大餅系列和簡單的早餐選擇（蛋餅、三明治、漢堡包..）"
 毛小咖 ,https://www.google.com/maps/contrib/117868033525595453514/reviews?hl=zh-TW,4,True,37,紅燒湯味道濃厚，芋粿巧也好吃，如果碰上現煎的就更美味。便當口味則普通。
 咖小乖 ,https://www.google.com/maps/contrib/112347013978600863674/reviews?hl=zh-TW,4,True,125,紅燒湯頭好，餛飩湯料多便宜，麻醬麵也好吃，便當普通，蘿蔔糕、芋粿巧讚！
 施阿忠 ,https://www.google.com/maps/contrib/113800831962658949084/reviews?hl=zh-TW,5,False,39,阿姨很親切，謝謝招待
 Jeanie Wang ,https://www.google.com/maps/contrib/115384043759555328901/reviews?hl=zh-TW,5,True,71,"超好吃新鮮又便宜的素食。
可以便當（四菜一飯）加素魚，這樣才65元！
CP值破表！推一個～
想多吃青菜的便當也很推薦來吃，健康又好吃😋
Yummyvegetarianlunchboxordinnerboxrestaurant,youcanalsogetvegetarianfriedriceordumplingshere!Priceissupergoodallaround50-70Taiwanesedollars"
 Sakurs Wu ,https://www.google.com/maps/contrib/111037718347414210343/reviews?hl=zh-TW,5,True,297,"糕餅和素食的結合
五穀飯便當好吃
下次來買餅"
 Hsi ,https://www.google.com/maps/contrib/116505092675114193063/reviews?hl=zh-TW,4,True,71,"蚵仔煎$50
麵粉的部分有點厚
口感不是很好
沒有很好吃
以上只是個人觀感"
 施小胖 ,https://www.google.com/maps/contrib/115884131014244349670/reviews?hl=zh-TW,3,True,469,"西門地區吃素食去處
這談不上物美但價廉
這西門町一帶不到100解決一餐"
 annalise陳 ,https://www.google.com/maps/contrib/106766971801055041379/reviews?hl=zh-TW,5,False,3,阿姨們每個都很溫柔，也很可愛❤️我最愛餛飩麵和蛋餅惹，然後糕點類綠豆椪也很好吃餒
 蕭兆瑩 ,https://www.google.com/maps/contrib/117660626855176174693/reviews?hl=zh-TW,4,True,98,便當菜的口味偏油、鹹，十穀米飯很好吃，給菜時不夠大方，放入便當裡的菜，馬上又夾出一兩片，這來回的小動作~可惜了！
 Jensen Xiao ,https://www.google.com/maps/contrib/107840775002029210405/reviews?hl=zh-TW,5,True,55,便宜美味，便當到現在還是只要50元！
 Jade C ,https://www.google.com/maps/contrib/106465110537541742961/reviews?hl=zh-TW,4,True,138,第一次來這兒買東西，素火腿蛋漢堡25元，口味家常不錯吃又好便宜。伍仁口味西餅有點乾，比較適合喜歡少油低糖的人。店裏阿嬤很和藹，感覺很像家人長輩
 CC C ,https://www.google.com/maps/contrib/113961793531094164382/reviews?hl=zh-TW,5,True,131,西門的小素食店家，蘿蔔糕好吃！也喜歡他的綠豆椪
 Egg ,https://www.google.com/maps/contrib/102778024836734638670/reviews?hl=zh-TW,4,True,120,環境雖然狹小老舊但是店員服務很親切素蚵仔真的很好吃又便宜
 Pei ,https://www.google.com/maps/contrib/102188087123521944432/reviews?hl=zh-TW,5,False,6,五穀飯超好吃(˶‾᷄⁻̫‾᷅˵)
 Angela Chou ,https://www.google.com/maps/contrib/109169101689531140092/reviews?hl=zh-TW,5,True,233,紅燒麵真的很香～菜式多且不貴！會讓人想念的口味～
 小胖小胖 ,https://www.google.com/maps/contrib/108454982882384824709/reviews?hl=zh-TW,5,False,7,紅燒麵超好吃店裡面賣的素食漢堡好吃又便宜離捷運西門站很近讚
 terri ,https://www.google.com/maps/contrib/106197670849215574347/reviews?hl=zh-TW,5,True,43,"這樣只要70元！佛心價而且口味實在😇
（右）素蚵仔煎👍"
 hsin hua lin ,https://www.google.com/maps/contrib/112024257188888984588/reviews?hl=zh-TW,4,True,126,吃素的好所在，恰恰蘿蔔糕👍
 吳chun ,https://www.google.com/maps/contrib/109633129949156073197/reviews?hl=zh-TW,2,False,44,打開來每個餅都烤焦了不好吃，媽媽說要上來給你們建議一下，希望你們改善品質出貨前也要檢查一下…
 許可 ,https://www.google.com/maps/contrib/111913117187793761961/reviews?hl=zh-TW,3,True,18,壽桃好吃，但要事先定
 羅傑 ,https://www.google.com/maps/contrib/104229651807327780946/reviews?hl=zh-TW,5,True,28,人情味的食品，多種選擇，更喜歡她們的《綠豆椪》
 吳沂蓁 ,https://www.google.com/maps/contrib/107027844531153316258/reviews?hl=zh-TW,4,True,62,店內販賣品項不少，除了傳統素餅以外(全素、蛋奶素都有)，也有很多熱食，像是便當、麵食、粽子、蘿蔔糕、素蚵仔煎(可不加蛋)、蛋餅等等，早上還有賣漢堡和三明治可以當早餐。素魯飯很好吃，香椿和素燥的味道讓人每每必點。小小店面，座位不多，阿姨都很親切，建議去外帶的時候可以自備餐盒或塑膠袋。
 黃寶蓮 ,https://www.google.com/maps/contrib/102942464207591081006/reviews?hl=zh-TW,5,False,6,營養美味的菜色，除了素餅，麵包、早餐、自助餐、麵、炒飯、素的蚵仔煎，也有賣素料，多元經營，離西門捷運1號出口不遠，價錢公道，服務員雖然都是大齡女子，但很親切，上菜動作快，CP值超高的啦！
 正字 ,https://www.google.com/maps/contrib/101509009100092229028/reviews?hl=zh-TW,5,False,7,"阿媽的口味及愛心，在台北可以吃到這樣親切，好吃的料理，完全被融化～
推介蘿蔔糕，炸豆包，炸豆腐，紅燒麵，小菜都很好吃～"
 一切安好 ,https://www.google.com/maps/contrib/100411549574914391102/reviews?hl=zh-TW,5,False,10,素食者的最佳用餐地點
 16李韻華 ,https://www.google.com/maps/contrib/114435967356345171635/reviews?hl=zh-TW,4,True,57,素食很好吃口味稍重，素餅很好吃，有豆沙白鳳豆沙等口味，價錢適中。
 QB ,https://www.google.com/maps/contrib/117385907109238306712/reviews?hl=zh-TW,5,True,67,"好吃😋便宜CP值高的素食店
水餃50$
燙青菜（地瓜葉）30$
素蚵煎40$
蛋花湯20$

而且阿姨們都很親切
食材新鮮又好吃"
 廖小姐 ,https://www.google.com/maps/contrib/117773661061630101772/reviews?hl=zh-TW,4,True,71,素食自助餐有古早味，素餅很有名，特殊的魯蛋，口感不一樣
 Charlie Wu ,https://www.google.com/maps/contrib/106922053769265365220/reviews?hl=zh-TW,5,False,26,"Friedriceandsteamedricedumplingwereok,butwhatIlikeaboutcomingtothisshopisthat,thepeoplearefriendlyandlovetochatwithyou.炒飯和素粽嚐起來還好，但是最喜歡的是來到店裡，店員們很友善而且喜歡和你聊天"
 白白 ,https://www.google.com/maps/contrib/110641108719000890221/reviews?hl=zh-TW,5,True,90,食物便宜又吃的飽，湯才20元，服務也很親切
 沈惠芳 ,https://www.google.com/maps/contrib/106267988293394299191/reviews?hl=zh-TW,4,True,29,附設素食餐點，價格親民。
 Vincent Kang ,https://www.google.com/maps/contrib/103306901818794787722/reviews?hl=zh-TW,5,True,421,餅店內有美味的素食餐點，不同於一般充滿香油味的素食餐，有麵有飯，價格實惠，大推
 David Chen ,https://www.google.com/maps/contrib/118017809711023446517/reviews?hl=zh-TW,4,False,18,"素滷飯很有家鄉味餛飩湯很實在
價格在西門町非常的親民我吃五十元就飽了"
 Gress ,https://www.google.com/maps/contrib/106950269244021677552/reviews?hl=zh-TW,5,True,28,"好吃，不貴，老闆友善，如果空間規劃能改善會更好。
平日中午生意很好，人特別多。"
 Betty zhang ,https://www.google.com/maps/contrib/110634406983902121207/reviews?hl=zh-TW,4,True,95,素食餐點選擇性多、價格實在、適合少數人用餐、有素食餅可供訂購
 Jing ,https://www.google.com/maps/contrib/114119439767168224446/reviews?hl=zh-TW,5,True,85,最愛紅燒麵～真的好吃😋👍🏼
 Tsung Hui Hung ,https://www.google.com/maps/contrib/108554098560371474143/reviews?hl=zh-TW,5,True,20,非常喜歡這家的素蚵仔煎
 H Sophi ,https://www.google.com/maps/contrib/113897532492191518574/reviews?hl=zh-TW,5,False,14,價格實惠有不錯吃，但是有時去吃菜是冷的
 Love蕾妮 ,https://www.google.com/maps/contrib/111511552680245668288/reviews?hl=zh-TW,5,True,196,好吃，平價
 曉齡 ,https://www.google.com/maps/contrib/113454560448374266016/reviews?hl=zh-TW,4,True,169,水餃不錯吃，阿姨們人都很好態度親切，價格實惠
 Milly Ou ,https://www.google.com/maps/contrib/101896304423954622218/reviews?hl=zh-TW,4,True,"1,416",環境比較狹小老舊，但價格實惠，蚵仔煎蠻好吃的。
 yanyan pan ,https://www.google.com/maps/contrib/117827333278805217996/reviews?hl=zh-TW,5,True,101,東西好吃又平價😋
 張紫婷 ,https://www.google.com/maps/contrib/102322440758593319031/reviews?hl=zh-TW,5,True,82,餐點及素食糕餅類，美味又便宜
 Hong Ping Lin ,https://www.google.com/maps/contrib/104860959231978840336/reviews?hl=zh-TW,5,True,99,經典做餅老店，我喜歡他的蘿蔔糕。
 李小斌 ,https://www.google.com/maps/contrib/113357557494638006644/reviews?hl=zh-TW,4,True,59,平價餐點
 Susu CHUNG ,https://www.google.com/maps/contrib/100199754403817562779/reviews?hl=zh-TW,5,True,26,蘿蔔糕超級好吃～吃得到蘿蔔絲～
 321 123 ,https://www.google.com/maps/contrib/104729333769131290444/reviews?hl=zh-TW,5,False,90,小而巧的店，素食多樣。推。
 Alex ,https://www.google.com/maps/contrib/117570945445357445661/reviews?hl=zh-TW,5,True,59,CP值超高！芋頭糕+蘿蔔糕=cp值超高！
 簡美美 ,https://www.google.com/maps/contrib/110904259640142060671/reviews?hl=zh-TW,4,False,154,平價素食餐回到從前感
 張瑞芬 ,https://www.google.com/maps/contrib/106930530383557179622/reviews?hl=zh-TW,5,True,88,有賣平價便當麵飯粽等等很多樣
 en-lin Xiao ,https://www.google.com/maps/contrib/108057045489838471775/reviews?hl=zh-TW,4,True,17,CP值高價格合理用料實在老闆娘親切
 SC ,https://www.google.com/maps/contrib/103560487210009612336/reviews?hl=zh-TW,5,True,33,便宜，種類多，又美味，有阿嬤的味道！
 Morgan Chuang ,https://www.google.com/maps/contrib/103005378744008218484/reviews?hl=zh-TW,4,False,42,便宜，味道不錯。位子很少。
 鄭瑞獅 ,https://www.google.com/maps/contrib/115832450998036798710/reviews?hl=zh-TW,4,True,26,一元堂的素餅真材實料真好吃以眾不同
 hermen goh ,https://www.google.com/maps/contrib/111463012883761258179/reviews?hl=zh-TW,4,True,346,一流的素餅!也有賣素餐點!
 林文生 ,https://www.google.com/maps/contrib/113089860336956679398/reviews?hl=zh-TW,4,True,11,"服務人員都很熱誠的幫客戶服務.
而且價錢合理公道°"
 簡毛毛 ,https://www.google.com/maps/contrib/111641355062241584737/reviews?hl=zh-TW,5,True,18,有素食蚵仔煎很厲害
 曾俊欽 ,https://www.google.com/maps/contrib/113234228060726092214/reviews?hl=zh-TW,5,False,12,素食之家，南部口味，有熱麵食
 Tony Y ,https://www.google.com/maps/contrib/109937401106434749326/reviews?hl=zh-TW,5,False,37,"好吃，又便宜
有阿嬤的味道"
 Wei Chang ,https://www.google.com/maps/contrib/109381810693816823794/reviews?hl=zh-TW,5,True,87,素菜飯便宜實惠
 吳振維 ,https://www.google.com/maps/contrib/108248809792127716626/reviews?hl=zh-TW,5,True,17,不錯蠻好吃的阿姨親切
 蘇采慧 ,https://www.google.com/maps/contrib/102841024206132688067/reviews?hl=zh-TW,4,False,7,香菇素餅和素蚵仔煎真棒！
 王定聞 ,https://www.google.com/maps/contrib/104441467643033310933/reviews?hl=zh-TW,3,True,61,平價素食餐及點心。
 慧君江 ,https://www.google.com/maps/contrib/109174615895771891737/reviews?hl=zh-TW,5,True,85,平價素食美食～
 nicole lee ,https://www.google.com/maps/contrib/100654868747694779680/reviews?hl=zh-TW,4,True,27,傳統實在的日常食
 簡文瑞 ,https://www.google.com/maps/contrib/113321772221150609195/reviews?hl=zh-TW,5,False,20,態度親切熱誠
 劉沛緹 ,https://www.google.com/maps/contrib/117473557786724547969/reviews?hl=zh-TW,2,True,473,好好吃，中式，麵食
 陳岩郁 ,https://www.google.com/maps/contrib/110237975722509368212/reviews?hl=zh-TW,4,True,120,東西便宜好吃人親切
