user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Hoshi Yama ,https://www.google.com/maps/contrib/101610378691505711027/reviews?hl=zh-TW,5,False,66,"爸爸從小帶我來拜拜都會吃的店
但他不知道我叫個便當是這麼便宜他都用夾的有70元和方便的cp值"
 Jenny H ,https://www.google.com/maps/contrib/101647776232977860388/reviews?hl=zh-TW,5,True,297,"要給老闆夾的才是$60便當
（自己夾會被算昂貴的自助餐價位）

但$60真的超划算
三配菜+一主菜
菜量多排骨好吃
還可以裝湯
大滿足"
 剉冰王 ,https://www.google.com/maps/contrib/115688906124689491320/reviews?hl=zh-TW,4,False,32,外帶便當比較划算，一片排骨（厚度有一公分左右）三樣配菜60元，由店家製作不能自選，CP值很高，同樣的菜色自己選擇可能會80-90元左右。12/10又去外帶排骨便當，由店家配菜，主菜是排骨、另有三樣配菜，才60元。一模一樣的份量如果自己配菜可能會要80-90元左右，所以了解店家販售的規則很重要。
 丘筱熒 ,https://www.google.com/maps/contrib/109213111990581141346/reviews?hl=zh-TW,5,True,54,便宜又好吃，老闆真的超客氣的，每次看中醫一定會到這裡吃一下晚餐！
 薛睿彬 ,https://www.google.com/maps/contrib/106407052576068818672/reviews?hl=zh-TW,1,False,2,2支滷的小雞腿2塊小鱈魚2碗白飯要240真是傻眼有夠貴的
 yoyo LIU ,https://www.google.com/maps/contrib/114991276672664621066/reviews?hl=zh-TW,1,True,44,"這樣110元？！
貴又超油！口味普通，很不健康的食物！
附近環境又髒亂！
不值得去！"
 Marty Sun ,https://www.google.com/maps/contrib/110490783521029328876/reviews?hl=zh-TW,1,True,584,價格非常驚人，讓我受到不小的驚嚇
 Yh Lee ,https://www.google.com/maps/contrib/104975641517739197536/reviews?hl=zh-TW,1,False,4,漫天喊價的剝削店，夾了三樣蔬菜說100，問怎麼算錢的老闆就支支吾吾說好像有點多，再問老闆每一樣分別是多少錢？就說不賣叫我趕緊走，建議消保處來稽查
 許立仁 ,https://www.google.com/maps/contrib/107777737404841347164/reviews?hl=zh-TW,1,True,156,"這樣90
菜還是冷的
坑人的店"
 BECK WANG ,https://www.google.com/maps/contrib/117354376335256941209/reviews?hl=zh-TW,1,True,29,"菜價真的有點貴，還是針對我呢？
130😂，真的不便宜。"
 昂的我怒你 ,https://www.google.com/maps/contrib/109841940853903055580/reviews?hl=zh-TW,1,False,3,東西難吃繼續關顧會把自己吃死
 2026旅遊購物 ,https://www.google.com/maps/contrib/109667202384601120785/reviews?hl=zh-TW,1,False,77,這間價格會讓人以為在東區用餐，我外帶3樣綠色青菜90元（很驚人），都可以去別的地方買排骨便當了。味道很普通很油，環境髒髒的。
 Yuan Liu ,https://www.google.com/maps/contrib/113200042929119979889/reviews?hl=zh-TW,1,True,120,四菜一飯，沒肉，70元，貴得不得了，果然惡名遠播，名不虛傳。
 JOJO ,https://www.google.com/maps/contrib/115991767195370192686/reviews?hl=zh-TW,4,True,65,"不知道其他人為什麼評價給很低，但至少我到訪的三次印象都滿好的。三次算錢的都是一位中年男子，可能要找對人才不會被收貴。
買過控肉便當和糖醋排骨便當，60塊的價錢還可以自己選三樣配菜我覺得很棒，給的配菜量也很多。
自己夾菜的話價錢會比較貴，但也在接受的範圍。
中午時間菜的選擇種類少，晚上選擇多。
總結晚上去買定價好的便當，cp值超高。"
 Cute Princess ,https://www.google.com/maps/contrib/111872285469908882425/reviews?hl=zh-TW,2,True,129,"自選3樣菜（A菜）（芹菜豆干）（蒸蛋）
外帶，居然要價120，是不是真的是有點貴！？😱
那如果再加主菜跟白飯，不就要180了！"
 Pan Peter ,https://www.google.com/maps/contrib/109816367394075545890/reviews?hl=zh-TW,1,True,17,"環境算了，味道一般，價格誇張
90😨😨"
 lily yang ,https://www.google.com/maps/contrib/103126076184537489658/reviews?hl=zh-TW,1,True,294,點單方式不清不楚，牆上只有便當的價錢，在門口看到便當價格看起來挺合理就進去了，問門口的店員我要便當要跟誰點，店員拿了個空便當盒叫我自己夾想吃的菜，我夾了一個肉.三個菜:番茄炒蛋.炒芹菜.炒絲瓜結帳的時候要價$170，傻眼，要花這價錢我還吃什麼便當根本可以吃更好的，又不是說超美味吃了驚為天人(以為自己是小當家喔，有本事你給我出現背景立體字『美味』兩個字我就花錢花的心甘情願XDDD我很少給1顆星的，這間令我很不滿意，
 Chang Erica ,https://www.google.com/maps/contrib/111284647056369058054/reviews?hl=zh-TW,1,False,15,單純路過看到進去買，付錢時很傻眼，五樣菜完全沒肉一碗飯，要一百。買便當也沒這麼貴
 陳泳蓉 ,https://www.google.com/maps/contrib/117817223836808876528/reviews?hl=zh-TW,2,True,625,"這樣要110$…………………有點嚇到嗚嗚
好像是要一種菜夾多一點？？？？？"
 陳可陳 ,https://www.google.com/maps/contrib/110508538671032491637/reviews?hl=zh-TW,1,True,202,"防疫破口！

打包的時候手一直去摸到餐盒內的菜

手也去摸到餐盒蓋子內側

荷包蛋稍微凸出餐盒外，竟然也赤手去撥動調整位置！！

你的手才剛摸完零錢跟鈔票耶！

我現在不知道該不該吃😭😭😭"
 張心怡 ,https://www.google.com/maps/contrib/115186562532077530639/reviews?hl=zh-TW,5,True,185,菜色多樣，好吃的
 chiao ni ,https://www.google.com/maps/contrib/105010067010380474828/reviews?hl=zh-TW,3,True,63,基本上沒有夾肉的話三菜可以50以下，大家可以先把飯裝裡面一起夾菜會比較便宜，不然阿姨都會隨便看看就給一個很不固定的價格，另外，菜有點太油。
 山杉 ,https://www.google.com/maps/contrib/115852414912641612233/reviews?hl=zh-TW,2,True,273,味道還可以，但價錢真的貴，一條魚就要80起跳，動不動聽到客人詢問老闆到底自己拿的菜多少錢…
 周筱婾 ,https://www.google.com/maps/contrib/111448260622440827049/reviews?hl=zh-TW,4,True,186,萬華廣州街跟康定街口附近，便宜方便一直到晚上九點還有東西吃菜色非常多給他們配菜60元到70元不會亂配有不吃的可以跟配菜阿姨說自己配是時價呦落差會很大，老闆，阿姨人都很好，非常照顧老人家來著是客所以那邊老人很多，也有遊民請不要另眼相待，環境明亮有需要的朋友可以去試試味道不錯。
 林水清 ,https://www.google.com/maps/contrib/114089716579266956737/reviews?hl=zh-TW,2,True,38,菜色种類雖很多，用餐環境普通，自己配菜的話價格會稍貴些，若按照招牌上的种類誏店家幫您打菜就必須按照他的指定给你打一些你不想吃的菜也没辦法，不知道為什麼會這樣，令人有不适的感覺，整体上就是一家態度不是很好，但是台湾百姓原則上還消费的起為了吃飽飯而必需选擇的地方。
