user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Dominic Tseng ,https://www.google.com/maps/contrib/104525640892505422303/reviews?hl=zh-TW,1,True,273,"已經不是第一次來此店用餐了，真要說味道的話其實還可以，就是偶爾會來吃一下，至於給一星的理由則是因為店家態度。一天晚上與朋友兩人前往用餐，跟老闆點了兩碗麵，後面又來一個客人點了一碗麵，結果最後我們兩碗麵送上來時後面的客人才說啊我點的麵呢？結果老闆就說他聽錯以為我們只點一碗，然後就把我的麵拿走給後面來的那個客人，中間因為老闆急著打烊在洗各種鍋具，然後我的麵拿走就說一句他聽錯，我就沒東西吃了？從頭到尾就只說一句拍謝拍謝而已，這是店家營業該有的態度嗎？最後只做兩碗麵是店家的事不是客人的問題，那為什麼是我的麵拿給後面來的客人，不是最後來的客人餓肚子？對於這樣做生意的心態及態度個人是完全不能接受。
東西並不是說美味到非吃不可，很抱歉，未來並不會再光顧，同時也會告誡大家此店的服務態度，是否前往享用就看大家自己的意願。"
 C D ,https://www.google.com/maps/contrib/106516963986719987735/reviews?hl=zh-TW,3,True,698,海鮮拉麵還行，料有鮮，但煮太久肉有點縮，湯頭不錯
 樺哥 ,https://www.google.com/maps/contrib/114388901256050183068/reviews?hl=zh-TW,5,False,41,好吃、大約在20年前、在這附近上班就來吃了、後來換了工作、有時間也會來吃、只是想問原本的老闆娘呢
 Jenny Wu ,https://www.google.com/maps/contrib/106713266423831905192/reviews?hl=zh-TW,4,True,78,"海鮮拉麵湯頭不錯，海鮮料較簡單，新鮮度尚可，老闆和老闆娘親切，會跟你說蕭敬騰都坐哪個位子😂
喜歡吃辣的可以加特製辣椒油，真的滿辣也滿香的"
 YCheng Liu ,https://www.google.com/maps/contrib/115749414502915111339/reviews?hl=zh-TW,4,True,125,坐在這［獅子🦁️合唱團］主唱「蕭敬騰」曾坐過的位置吃麵，別有一番味道
 王冠西 ,https://www.google.com/maps/contrib/118228203634723379378/reviews?hl=zh-TW,5,False,9,好吃！因為旁邊鹹酥雞等了一個多小時，以為麵會爛爛的，沒想到還是吃起來QQ，厲害
 Dennis Lo ,https://www.google.com/maps/contrib/116230022780840288870/reviews?hl=zh-TW,5,True,12,"再次解鎖，
天王蕭敬騰常常吃，
美味料實在的海鲜拉麵～
十多年不變的好味道"
 王俊傑 ,https://www.google.com/maps/contrib/118388275285447359986/reviews?hl=zh-TW,4,True,20,海鮮拉麵🍜80元附沾醬，豐富配料含蝦🦐，丸子，高麗菜，魷魚片🦑，豬肉絲🐖，豬肝🐷，帆立貝，魚板🐟。只是用餐在戶外要忍受🌬風吹日曬🌡
 蔡翔惠 ,https://www.google.com/maps/contrib/108966731417948048382/reviews?hl=zh-TW,5,True,166,"湯頭好喝，料新鮮實在，出餐速度快
有海鮮拉麵、海鮮冬粉、海鮮粥皆80元
麵、冬粉會附上沙茶沾醬可以沾海鮮吃"
 Tina Chen ,https://www.google.com/maps/contrib/114191800769102357362/reviews?hl=zh-TW,5,True,85,海鮮料多👍2尾蝦蛤蠣就4個了cp值算高的
 Elvis Huang ,https://www.google.com/maps/contrib/106215702919455658247/reviews?hl=zh-TW,5,True,40,"來吃聞名的中原市場＂蕭敬騰御用【萬華海鮮拉麵】＂～
前幾天看到報導，傳說中老蕭愛吃的美食，前兩天下班趕去，結果售完收攤，今天去看華山文創園區的咖啡文化展後再趕去終於吃到，果真料好實在，能吃到滿滿的海鮮味道，值得大家去吃^^"
 Pogo Wu ,https://www.google.com/maps/contrib/103112663445637186864/reviews?hl=zh-TW,5,False,15,真的很厲害的台式拉麵～而且獨門辣椒很讚😛
 maggie huang ,https://www.google.com/maps/contrib/105003564140766960731/reviews?hl=zh-TW,5,True,149,海鮮冬粉~湯頭鮮甜，海鮮夠鮮，連辣椒醬都好吃。
 Zen Yang ,https://www.google.com/maps/contrib/108471277933173576786/reviews?hl=zh-TW,3,True,340,"傳說中的老蕭拉麵
料沒有很多不過湯頭還不錯
還ok值得一試"
 Jasper T ,https://www.google.com/maps/contrib/108166516502293933600/reviews?hl=zh-TW,4,True,543,口味還不錯可是夏天來內用實在太熱啦
 Ren Ara ,https://www.google.com/maps/contrib/108402944673559324650/reviews?hl=zh-TW,5,True,60,"中原市場老字號店家
海鮮新鮮料多豐富又大碗
價位合理甚至算便宜
從小吃到大的好味道👍"
 Wen ,https://www.google.com/maps/contrib/113144477754874780333/reviews?hl=zh-TW,5,True,164,什麼叫好吃？剩一半時將3/4的沾醬倒進去叫好吃到靠北
 Bryan Yu (忠信) ,https://www.google.com/maps/contrib/112356929312394389772/reviews?hl=zh-TW,5,True,207,湯鮮麵Q，還有三隻蝦跟扇貝，超值
 Dai ,https://www.google.com/maps/contrib/110917705314144976727/reviews?hl=zh-TW,5,True,15,料好實在，很喜歡湯頭跟Q彈的麵條☺️
 road chen ,https://www.google.com/maps/contrib/105887144816867758859/reviews?hl=zh-TW,5,True,39,從國中吃到出社會的好滋味讚
 烏琪 ,https://www.google.com/maps/contrib/110233682051951465144/reviews?hl=zh-TW,2,True,79,湯頭是清淡沒有錯，喝不出有海鮮的味道，讓我懷疑蕭敬騰吃過的海鮮拉麵是這種味道嗎？價錢90不是很親民，吃過一次不會在去了
 藍天雲 ,https://www.google.com/maps/contrib/108376732971431768453/reviews?hl=zh-TW,5,True,86,超好吃的拉麵~平價料多又美味•
 渡也 ,https://www.google.com/maps/contrib/112158859887327119051/reviews?hl=zh-TW,4,False,150,還不錯吃，但加蛋要另外加錢，這樣就變得有點貴了。
