user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 YenL C ,https://www.google.com/maps/contrib/103898023891727112015/reviews?hl=zh-TW,3,True,112,北部價格稍貴，紙碗裝的份量較少，用餐時間沒開空調or電扇不太ok，可用街口支付&LinePay
 Rachel Lai ,https://www.google.com/maps/contrib/102788666627864679957/reviews?hl=zh-TW,3,True,637,"水餃跟鍋貼煮得不錯。

但是店內用餐使用免洗餐具，小菜也是用塑膠盒裝的，都已經降成二級警戒三個月以上了，這不應該是一直製造垃圾的理由。

後來，因為我自己的頭髮掉到醬料碟裡，店員看到後堅持要收走，結果他的手碰到我手上夾著的水餃，這樣那一顆我就不能吃了…..再加上店內用免洗餐具感覺很像在吃路邊攤，讓我心情很糟。"
 呂瑞芬 ,https://www.google.com/maps/contrib/102628099559156762707/reviews?hl=zh-TW,4,False,14,"位於公車站牌旁，用餐時應該不少客人外帶，我選擇下午2:00多用餐，
不曉得是疫情關係，還是這家八方雲集小菜超級少樣，沒得選，乾脆不點了，只有吃鮮蝦水餃，泡菜水餃，旗魚丸湯，裡面還蠻乾淨，洗手間也很清潔，靜靜吃著，不受打擾，也不錯!"
 jenny Wang ,https://www.google.com/maps/contrib/117856156631394483182/reviews?hl=zh-TW,5,True,95,"用餐時已經超過一般用餐時段，但是服務人員態度很好。
水餃與餛飩熟度很適中，店內環境乾淨整齊，會再訪。

餐點：鮮蝦水餃10顆，珍珠餛飩湯。"
 江江 ,https://www.google.com/maps/contrib/105462783375916309113/reviews?hl=zh-TW,1,False,9,我知道你們店家今天2022年10月9日接到教會大訂單很忙，但，請不要把紅色橡皮筋混入餐點煮！吃到一半看到很生氣！
 力明 ,https://www.google.com/maps/contrib/109056120529633689297/reviews?hl=zh-TW,1,False,14,接到單店家說十分鐘，號碼在我後面的也早就拿走食物，兩樣東西傻等了半小時，真的很想飆髒話，已經列為黑名單
 陳Chen ,https://www.google.com/maps/contrib/115635062456121137647/reviews?hl=zh-TW,1,False,8,"水餃裡面有這麼大的骨頭是怎樣
想噎死人說不是"
 簡渝庭 ,https://www.google.com/maps/contrib/107756244923933563492/reviews?hl=zh-TW,1,False,1,打電話去說十分鐘，十分鐘後到，食物已好，也說是打電話、叫了什麼，店員說好也收錢，結果在那等又等了十分鐘還是我自己去問才給我的。號碼在我後面的也早就拿走食物。
 Mary ,https://www.google.com/maps/contrib/105560867435405444781/reviews?hl=zh-TW,5,True,367,"鍋貼都是現煎，又熱又新鮮；
皮薄料多，底部有煎出微焦香；
高麗菜及韭菜都保有菜的脆度及香氣；很好吃！"
 Lin微粒 ,https://www.google.com/maps/contrib/104970310912150000454/reviews?hl=zh-TW,2,True,44,回家才發現皮蛋豆腐沒有醬油甚至連個蔥花或柴魚都沒有
