user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 E特先生 MR.Eatlife ,https://www.google.com/maps/contrib/109772333848706102865/reviews?hl=zh-TW,4,True,194,"媽媽生日來吃家宴中
上次開會來這
媽看到人家有烤鴨
就想說有機會能來
然後我們這次就來了😅
本想說要帶媽媽漢來名人坊
只能再找時間了
從事前聯繫到上菜我覺得很棒!
菜品上我覺得表現還不錯
服務不錯、都會詢問上菜的節奏
烤鴨的部分還是宜蘭紅樓中表現最好~~
這裡比較普普通通、不過一樣有片鴨能看~~

但是
最後打包時有點混亂😵‍💫
說白了就是亂包
A桌B桌包起來混在一起
還讓家人朋友們等了蠻久的
不過覺得這是小事情
但位男服務員
說話感覺有點輕浮
打包也不專業
覺得這餐吃下來有點虎頭蛇尾🤣😂"
 羅雅汶 ,https://www.google.com/maps/contrib/106941353062341477487/reviews?hl=zh-TW,4,True,264,"脆皮豬腳皮脆肉彈，酥酥脆脆的口感真的很讚！

豪皇虎掌扒烏參，虎掌有入味，烏參沒入味有點可惜！

金蒜銀蒜蒸明蝦，蝦子大也Q彈，好吃👍👍

服務人員很親切👍👍

🌟有特約停車場🅿️"
 Liu Sylvia ,https://www.google.com/maps/contrib/112347835407781936414/reviews?hl=zh-TW,5,True,99,"喜歡餐廳擺設的氣氛
加上餐廳的服務人員感覺有年資，但是！還是非常熱誠非常親切，感覺是到了家裡吃飯，沒有隔閡感（非常喜歡），年輕的服務人員也非常熱心介紹環境
這次大多點港式點心，用料非常實在也很好吃，覺得物超所值
值得推薦。"
 Chiann Liu ,https://www.google.com/maps/contrib/110207216945268592834/reviews?hl=zh-TW,5,True,135,今天第一次來，每一道菜都好吃。大家吃飽飽了！還有打包。
 tinya _ ,https://www.google.com/maps/contrib/112101854327141770339/reviews?hl=zh-TW,5,True,76,很常來吃～有時候會微改菜單忘記拍剛上菜的照片了推薦乾炒牛肉河粉、素齋炒麵、奶黃包真的都很好吃～環境也很乾淨唯一缺點應該是桌子太矮然後沒有腳放的地方（桌底）腳無處安放哈哈哈
 Rae Liu ,https://www.google.com/maps/contrib/110750183989611463989/reviews?hl=zh-TW,2,False,2,"本以為餐點擺盤跟環境舒適以及餐點都還算不錯，但今日至貴餐廳用餐結束時有問服務人員沒有結帳單如何至櫃檯結帳，服務人員告知直接去櫃檯即可，殊不知結完帳後已下手扶梯至一樓路上，櫃檯小姐衝出來告知我們的結帳錯誤，結到其他桌的帳，帶了幾句不好意思就請我們回去重結重刷，試問為何當下不給點餐項目清單？讓客人自行去櫃檯結帳未告知點餐項目，等到第二次回去重結時才給看餐點項目，而且這樣的結帳品質真的很不好，第一次到這餐廳用餐原本帶著很開心的心情，卻在最後結帳出了錯也並未有什麼道歉的行為，希望貴公司往後能改善，用服務人員用耳麥告知如何確保工作人員沒有講錯桌號的機制？
還有，有問櫃檯人員飲茶不是會有推車服務讓客人選餐點，櫃檯人員告知今日餐點推車服務已售完？我們用餐時間是晚上六點至七點，根本沒看到餐車，怎麼就售完了？"
 Yang-Ming Huang ,https://www.google.com/maps/contrib/116132481025124307565/reviews?hl=zh-TW,5,True,81,很多有特色的料理及港點，蘿蔔絲餅果真好吃，還有粉色腸粉，裡面有油條和蝦漿，非常好吃
 Judy Liang ,https://www.google.com/maps/contrib/107748877786981111447/reviews?hl=zh-TW,5,False,5,"我們萬華也有聚餐、請客的好地方了
週六中午和家人用餐，訂了凱達香蟹六人合菜-4,600元。
用餐環境很好，豬腳很讚，目前是我心中的第一名，燻魚和雞湯是我的愛，其他的菜也在水準之上，餐點CP值高，物超所值，更重要的是，現在使用振興券消費1000贈送300抵用券，非常的划算。"
 Fay Chen ,https://www.google.com/maps/contrib/100577974373967236686/reviews?hl=zh-TW,5,True,140,近期吃過相當好吃的婚宴餐廳，在火車站上方，偶爾會有彷彿土石流的震動和聲音（特快車經過吧），但不覺得是缺點，反而是特別的體驗。好吃，主廚是誰啊！！！
 lily chen ,https://www.google.com/maps/contrib/104235255848337039544/reviews?hl=zh-TW,4,True,114,"螃蟹季節～避風塘炒蟹👍
瑤柱絲瓜👍👍
味道非常優秀的乾炒牛河（好吃到忘記拍照📷）👍👍👍"
