user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Circle chuang ,https://www.google.com/maps/contrib/108282203673751521600/reviews?hl=zh-TW,4,True,119,"台北小資族的天堂、月底救星！
兩個人$95元有麵有肉吃飽飽，週末去沒有等太久，上餐速度也算快！份量也不算太大所以也可以很快吃完且吃得滿足！味道的部分就是還可以接受不算特別，畢竟價格便宜，以這樣的價位來說算不錯了！可能是客人多的關係，店員服務態度都滿急躁的。

黑白切$30
粿仔$20
油麵$20
陽春麵$20
乾麵$20
麻醬麵$25
青菜$30
米苔目$20
米粉湯$20
大腸湯$30
粉腸湯$30
乾漣湯$30
豬心湯$30
貢丸湯$20
豆腐兩個$17
花干兩個$17
豆乾兩個$10"
 kenny chen ,https://www.google.com/maps/contrib/106786868082415727002/reviews?hl=zh-TW,4,True,93,初訪。這價格與食物品質沒啥好挑的，可以視同一般傳統市場內的小吃店，型態就大概如此，服務態度上阿桑們的確不是很和善，但也不至於到不能接受。25元的麻醬麵CP值極高，口味是水準之上，油豆腐17元，這是我最愛的油豆腐類型，超讚，黑白切30元爽度爆表，我是覺得太介意用餐環境與服務態度的朋友們就再斟酌一下，我個人是真心覺得都尚能接受，這裡是離我有點遠，不然一定三天兩頭來報到。
 Vincent Wang ,https://www.google.com/maps/contrib/101569233770694906087/reviews?hl=zh-TW,3,True,246,"非常便宜的價格，麻醬麵一碗25元，麻醬挺香的。乾麵的醬油膏我覺得太甜了，不喜歡，嘴邊肉煮的很軟，好吃。一份30元
價格便宜，客人也多，用餐環境就比較難維持…."
 薛建安 ,https://www.google.com/maps/contrib/102203962223102992391/reviews?hl=zh-TW,2,True,282,"之前網路影片有介紹過這間麵店
身為麵控的我
怎麼能不來吃看看
這次是專程來嚐鮮的

這邊的麵量真的不是開玩笑的
點大碗的目測應該有3～4坨麵
上來的時候我有點傻眼
沒有想到份量這麼多～
連我這種食量大的
都感覺有點吃力...

麵的口味算不錯的
油蔥酥淋上醬油膏
還可以撒點胡椒粉會更對味
美中不足的地方是...
店家可能因為客人絡繹不絕...
加上人手不夠
所以煮麵水更換次數太少
或是根本不換的

整鍋水已經煮成麵粉水...
還有點黃黃的...
所以麵體吃起來都黏在一起
麵沒有煮爛煮的時間剛剛好
但是口感吃起來是糊糊的
拌麵的時候也不是很好拌開來...
也或者是這裡的特殊口味也不一定

小菜吃起來就一般大眾口味
不過薑絲整坨水...
也不清脆整坨黏在一起...
這種薑絲感覺有點恐怖
所以我直接夾到旁邊不敢用

店內用餐環境不是很乾淨
地板有點黏黏的
在外面有很多小吃店
整潔也是做的很好
所以這個不是我在挑剔

店內沒有冷氣
天氣太熱在吃的時候
要有心理準備

這次來的時候大約下午兩點左右
已經過了用餐時間
過了用餐時間
附近會變得很好停車
很容易就可以找到車位
雖然叫做南機場夜市
其實這裡很多店家
從中午就開始營業了

這裡餐點的cp值蠻高的
但是用餐環境
讓我沒有回訪的動力...
沒吃過的朋友可以來吃看看
對環境不太挑剔的朋友
這裡的cp值
應該還是不會讓人失望的

⸜(*॑꒳॑*)⸝"
 Hannah Lin ,https://www.google.com/maps/contrib/107492848539098334559/reviews?hl=zh-TW,5,True,191,"榮登大台北地區最經濟實惠的麵店✨
CP值爆衝阿姨可愛服務又親切非常在地化
小資族學生族夜貓族的福音呐(๑ᵔ⌔ᵔ๑)੭

🔸湯粄條$20
🔸麻醬麵（小）$25
🔸粉腸湯$30

可以加湯呦
在台北真的找不到好吃又便宜的麵店
無論是跑山還是夜生活結束
都還可以來吃
哈哈真的推推推超級讚的辣🥰"
 Yutai Chen ,https://www.google.com/maps/contrib/108965488559652925609/reviews?hl=zh-TW,4,True,331,"佛心來著⋯超CP值麵店
1碗＄20，份量可沒少，還比一般的多
2小菜,2麵…才＄105
推～小資族的首選用餐，每日不同麵…"
 C L ,https://www.google.com/maps/contrib/107880129795523553828/reviews?hl=zh-TW,5,True,263,"禮拜六晚上七點半來吃
生意非常好要排隊
不論內用外帶一律排隊點餐
麵類跟小菜類要分開點
東西非常便宜
難怪一堆人來吃
米苔目一碗20元
是我吃過份量最多的👍"
 Eva Wang ,https://www.google.com/maps/contrib/108303173088817325599/reviews?hl=zh-TW,3,True,776,價格非常有競爭優勢，黑白切算新鮮，陽春麵滿快爛，醬油鹹味很明顯，環境算是滿沒競爭優勢
 夏筱夢 ,https://www.google.com/maps/contrib/109014024895369108441/reviews?hl=zh-TW,4,True,50,從單菜到送餐全程自己來，擔仔麵跟小菜都好吃又便宜，用餐環境尚可！
 Areyou Chen ,https://www.google.com/maps/contrib/111263977228551417630/reviews?hl=zh-TW,3,True,"1,430","平價便宜是店最大的特色。
一碗麵才20元，黑白切也很便宜，但嘴邊肉肉質有點軟，不是很喜歡。湯頭也是普普……
但辣椒醬是很不錯的。
沒有行動支付。飯後付款。"
