user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 侯彥宇 ,https://www.google.com/maps/contrib/112205102126209909984/reviews?hl=zh-TW,5,True,29,"老闆服務熱情親切，餐點料好實在，俗閣大碗。
最貼心的是老闆有注意到做餐時間，不會因為點焗烤就要乾等看著點意大利麵的先吃。同時上餐且都熱騰騰的。可見老闆之用心。
一定會再度光顧！"
 Clio Tsai ,https://www.google.com/maps/contrib/115485619847175652942/reviews?hl=zh-TW,5,True,152,平價義大利麵以這個價位來說無可挑剔老闆和服務人員也都滿親切的很溫馨有家的感覺是適合親子的餐廳！
 昕（愛吃喝的肥宅） ,https://www.google.com/maps/contrib/116212339353238200603/reviews?hl=zh-TW,5,True,370,"環境乾淨明亮可linepay

#匈牙利紅酒牛肉義大利麵+焗烤190
份量剛剛好不會過多過少味道也不錯酸度剛剛好牛肉意外嫩不會咬不斷有點牛肋條的感覺

+套餐$70選麵包跟義式海鮮湯
麵包外層微酥裡面塗的奶酥極好吃😂一下就把麵包吃完了，海鮮湯也好喝鮮甜美味～～"
 Mabel Yang ,https://www.google.com/maps/contrib/116239868003647340975/reviews?hl=zh-TW,5,True,26,"平價、乾淨、可愛的義大利麵店
阿姨也都很親切，這年頭敢把起司粉放著隨便你撒的店家真的很厲害👍🏻"
 宅貓咪 ,https://www.google.com/maps/contrib/115746421880204925096/reviews?hl=zh-TW,4,True,113,"燻鴨細扁麵

鹹香的燻鴨配上香濃白醬，男友很喜歡吃這道，我也覺得蠻好吃的。灑上旁邊的起司粉，味道更濃郁。

焗烤紅酒牛肉飯

焗烤一直是我的最愛，飯並沒有不好吃，但也沒特別好吃。相較之下我比較想把男友的那盤吃光，但是我不能這麼做。加了起司粉的話吃起來會更香一點，但下次不會想點飯。

紅茶喝起來不會太甜，但是蠻淡的。

以單點來說價格蠻佛心的，裝潢也溫馨舒適，很多可愛的摩艾石像。

附近蠻多停車格，但是北部好不好停車很不一定，剛好今天很幸運，到哪都有停車格。但是很多想吃的東西缺貨或沒開🥲"
 Carlos Chen ,https://www.google.com/maps/contrib/111697724717298764379/reviews?hl=zh-TW,3,True,345,"去過幾次，整體還行，環節乾淨氣氛好，餐點口味還行，配料偏少
舉例
原味辣海鮮麵140
兩條蝦子，四顆蛤蜊，幾根花枝"
 fungi rainy ,https://www.google.com/maps/contrib/108999578762721568034/reviews?hl=zh-TW,4,False,29,"平價好吃舒適。濃湯可選兩種，玉米濃湯好喝不會太濃是我喜歡的程度！麵包好吃而且給2個抹醬,一個蒜味一個奶油，配上濃湯絕配！辣味海鮮麵調味很像沙茶味有點驚奇到，家人點番茄海鮮說好吃。紅茶跟開水免費自取。總體是會再光顧的店！"
 Yang Jeff ,https://www.google.com/maps/contrib/108016779613851067531/reviews?hl=zh-TW,5,True,97,快速道路下來就到了，非常方便附近也有停車場，加購套餐有麵包跟湯很超值，義式蕃茄湯超級好喝！非常推薦！
 cncn cncn ,https://www.google.com/maps/contrib/104051757484602005283/reviews?hl=zh-TW,5,True,713,"用料太實在了⋯⋯
老闆真的要算一算成本🤣
口味也蠻好的
值得來試試"
 小肆 ,https://www.google.com/maps/contrib/117534112658302760579/reviews?hl=zh-TW,5,False,12,茄汁海鮮義大利麵🍝真的很好吃特別會從外地來吃這家茄汁一點都不膩味道很好！
 台北西門-emma ,https://www.google.com/maps/contrib/111509653716236051371/reviews?hl=zh-TW,4,True,524,"❤️一對老夫妻的店,價格平價!海鮮焗烤燉飯180元,加70元可多加選兩樣(沙拉or湯or麵包)🥤飲料自助(有紅茶跟冰水)選了鮪魚沙拉,淋在上面白色的沙拉醬是偏酸的口感,湯有玉米濃湯跟海鮮濃湯~我點海鮮濃湯~是沒勾芡的蕃茄味海鮮湯!
💝旁邊就是南機場夜市,若沒吃飽，夜市還可以填飽😆附近也有一個🅿️平面停車場~停車方便🫶"
 beauty Chao ,https://www.google.com/maps/contrib/103060077675369621709/reviews?hl=zh-TW,5,True,76,"平價的消費也可以吃義大利麵套餐
湯份量不小義大利麵也好吃"
