user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 采馨黃 ,https://www.google.com/maps/contrib/103775678995848790994/reviews?hl=zh-TW,5,True,79,這裡的每樣早餐都很好吃喔！傳統又美味，大家多來吃早餐。
 賴妍曲 ,https://www.google.com/maps/contrib/114772263067371667552/reviews?hl=zh-TW,1,True,64,大老遠從蘆洲跑來買，己經在菜單上畫了鐵板麵，但想加蛋、起司、排類﹐發現臘筆很粗不好寫，想改口頭叫餐，用了一張衛生紙擦掉讓下一位客人能繼續用，但櫃檯小姐一直糾正我寫了還擦掉，為什麼不能擦？那如果是我想改吃別的也不能擦？吃的心情都沒了，這裡離我家有距離，特地來遇到像是早上上班心情不好的櫃檯小姐，浪費我上班時間
 YARUO LIANG ,https://www.google.com/maps/contrib/113256758668217815896/reviews?hl=zh-TW,4,True,893,"很少吃到素食早餐店，煎餃感覺可以再熟一點，並且在煎脆一點，裡面的菜菜不是特別熟。
蘿蔔糕有熟，但是比較像蒸的，也是煎久一點比較好吃😋
薯餅好吃
鐵板麵真的是吃素食以來第一次吃不錯吃～
飲料是內用杯，可幫忙溫熱"
 Linda Chen ,https://www.google.com/maps/contrib/102067122563447250556/reviews?hl=zh-TW,5,True,29,老闆娘在櫃台放了保溫袋，讓做好的餐點不會冷掉，回到家時食物還是溫度真貼心。
 0303 aretha ,https://www.google.com/maps/contrib/111752035139618763257/reviews?hl=zh-TW,4,True,56,"店內空間約可容納十幾人用餐，環境乾淨明亮，櫃檯只有老闆娘一人，感覺是家庭經營式的早午餐店，但也因此服務特別親切。
餐點選擇種類不少，可單點主食跟飲料，也可直接選擇套餐（主食有總匯三明治，排堡，鐵板麵，法式吐司，蘿蔔糕等，飲料可紅茶，豆漿，奶茶，豆漿紅茶任選）。點了鮪魚總匯三明治套餐，餐點分量中等，三明治頗有賣相，味道也不錯，選擇豆漿（無糖的）作為搭配飲料，喝了一口滿訝異的，比一般豆漿店的豆漿都還濃郁好喝！
內用的話，所有餐具杯盤皆非一次性使用餐具，很環保！而且，櫃台前還有個迷你書櫃，有一些雜誌漫畫可以在侯餐的時候打發時間！唯一缺點是，店內雖同時開了好幾座風扇，但仍顯得很悶熱。夏天時還滿建議外帶回家吃的。（後來外帶了素鮪魚漢堡，個頭頗大，味道也好！）
難得有專賣素食的早午餐店，餐點種類繁多，值得來支持一下！（闆娘說，通常每月只店休一天，大多挑選每月最後一個星期二）"
 David Yang ,https://www.google.com/maps/contrib/103175855557133304992/reviews?hl=zh-TW,5,True,61,兒子說這裡早午餐口感很棒
 吳國棟 ,https://www.google.com/maps/contrib/100218409840580319581/reviews?hl=zh-TW,5,False,2,老闆娘親切，一個月來一次老闆娘都記得之前吃什麼，早餐好吃價格也相對便宜。
 wei chen ,https://www.google.com/maps/contrib/113932906095438190109/reviews?hl=zh-TW,4,True,221,"鐵板麵口味偏淡，加蕃茄醬後剛好
（口味重？）
蘿蔔糕一般
環境乾淨，餐具乾淨
服務態度很好！
素食就是要推薦！哈哈😄"
 陳依荿 ,https://www.google.com/maps/contrib/111823687515351499964/reviews?hl=zh-TW,5,True,32,"CP值超高
可以吃到這麼多不同口味的蔬食早餐
真是太幸福了😍😍

吃葷的朋友也覺得餐點口味很棒👏👏"
 Chien er ,https://www.google.com/maps/contrib/109229756491681087951/reviews?hl=zh-TW,5,True,61,難得的素食早餐店，菜色也特別多！吃到想吃的早餐特別感人∼∼
