user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 徐昀 ,https://www.google.com/maps/contrib/100303216405523747107/reviews?hl=zh-TW,4,True,68,"經典的泡沫紅茶店
簡餐我們每次都點香煎鮮魚飯
還不錯吃
會附飲料（紅茶或綠茶）也可以折40元換其他飲料
附近有青年公園，吃完可以到公園走走"
 邱愛行 ,https://www.google.com/maps/contrib/110554013354583965770/reviews?hl=zh-TW,4,True,207,"首訪
80年代復古的感覺
泡沫紅茶盛行的年代
平日中午用餐人還蠻多的
還可順遊青年公園
還不錯

套餐附一杯飲料
3種小菜
一個湯品
烤靖魚套餐現烤的要等下還不錯吃
懷舊排骨套餐中規
原以為吃不完
結果居然完勝
很飽"
 楊淳如 Rebecca ,https://www.google.com/maps/contrib/100794240187298317777/reviews?hl=zh-TW,1,False,8,"吃雞排飯的時候發現有一根頭髮
跟店家反應後，店家表示可以補一塊給我（試想，吃到有問題的雞排，誰還會想再吃一塊？）
我問有沒有別的方式可以補救，店家說只能打9折
我問折扣不能多一些嗎？
今天有問題的是你們，不是我欸
他說最多就只能9折

後來跟我說雞排飯幫我打8折
結果總價只差3元

第一次看到做錯事還態度這麼差的店家"
 蔡旻芬 ,https://www.google.com/maps/contrib/113661797768052010916/reviews?hl=zh-TW,4,True,136,價錢實惠，餐點不錯喔～
 Monteir L ,https://www.google.com/maps/contrib/112289133923712619149/reviews?hl=zh-TW,3,True,172,料理普普通通，單純吃情懷的店。木頭地板桌位真的很怕別桌白痴在隨音樂打拍子，一直敲是腦子有問題還是怎樣？
 周怡 ,https://www.google.com/maps/contrib/103779958720588841018/reviews?hl=zh-TW,1,False,17,餐品普普，衛生環境也不好，和定價不成正比，吃頓飯被蚊子叮了三個包🥲
 Loreta Ma ,https://www.google.com/maps/contrib/102548078431086015801/reviews?hl=zh-TW,5,True,61,和朋友聊天聚餐的好地方，餐點品質和份量都ok，平日用餐聊天也不會趕人，也是天氣熱避暑的去處。
 candy huang ,https://www.google.com/maps/contrib/114127041028425616070/reviews?hl=zh-TW,3,True,285,"館內氣氛還不錯，但是冷氣不夠強，感覺有點悶熱。
餐點普通，價格為中價位。
廁所還算乾淨。
門口有停車位。"
 M. Chen ,https://www.google.com/maps/contrib/100740507503802974077/reviews?hl=zh-TW,3,True,800,"簡餐品質不錯，口味佳份量偏少，價錢包含2.5小時的座位費，所以如果單看餐點而言會覺得稍微偏高。
小點豆乾不太Ok。火鍋隔壁的比較好吃。
懷舊風情的泡沫紅茶簡餐店。
Wifi速度不錯。"
 selina chen ,https://www.google.com/maps/contrib/117080306938580801929/reviews?hl=zh-TW,5,True,91,跟朋友聊天的好地方，有提醒免費的Wife，用餐時間2.5hr，如果不忙不會趕人哦，服務算親切。宮保雞丁朋友推薦好吃，熱的水果茶好喝，可自行加熱回沖，毛豆就還好，可能冰的時間比較久吧！整體是很不錯的地方哦。
