user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Vincent Tang ,https://www.google.com/maps/contrib/112782392603803634501/reviews?hl=zh-TW,3,True,55,"調味偏淡，牛肚羶味較重，如果愛吃較原味牛肉和湯頭的或許可考慮，否則不建議，連可以提味的酸菜也吃不出什麼味道
小菜份量不多，口味一般
唯一可以稱許的是家常麵條口感不錯，辣油算香"
 Mimicwpe Stan ,https://www.google.com/maps/contrib/101455315613049142826/reviews?hl=zh-TW,5,True,155,第一次來吃牛肉麵，清燉湯頭味道足、牛肉大塊又多，家常麵很Q彈可口，我會再回訪的好店。
 Murfy Liang ,https://www.google.com/maps/contrib/105147346755271843817/reviews?hl=zh-TW,5,True,186,"麵條Q彈有嚼勁牛肉湯頭很棒
小菜也很不錯個人很喜歡地瓜葉

內用空間乾淨但較小有洗手間

從小吃到大的店
南機場牛肉麵只推這間
圖片為湯麵+家人點的牛肉及小菜"
 你在不在 ,https://www.google.com/maps/contrib/111341625753728176755/reviews?hl=zh-TW,4,True,560,牛肉的確大塊但麵的口感普通湯頭尚可不會太鹹
 O ,https://www.google.com/maps/contrib/103039803341230707988/reviews?hl=zh-TW,5,False,74,"南機場牛肉麵PK
左邊是胖媽，右邊是山東
我喜歡胖媽的醇厚清燉，老公喜歡山東的藥膳醬燒"
 selina52746 ,https://www.google.com/maps/contrib/102033696081876027240/reviews?hl=zh-TW,2,False,12,"最近搬到附近，上網查美食來到這間麵店，當天下雨外帶回家吃，點了牛肉湯麵、麻醬麵，跟一些小菜，跟評論說的清淡完全不一樣⋯麻醬麵跟小菜鹹到爆炸，超級死鹹難以下嚥的那種，牛肉湯麵倒還可以，雖然不是紅燒湯頭，清燉類型的，但鹹度也是滿夠的。
平常不是吃超清淡的我都還覺得超鹹的，不知道是因為外帶所以做的很走針嗎⋯只能說不會再回訪了"
 洪文貴 ,https://www.google.com/maps/contrib/114848371317129062348/reviews?hl=zh-TW,4,False,1,"真正的澳洲牛肉肉大塊又厚，一碗120元在台北大慨找不到第二家了，貨真價實，物超所值。滷菜三寶不錯吃（滷蛋，豆乾，海帶）,還有泡菜，小魚辣椒，自製辣椒油很香。"
 李冀 ,https://www.google.com/maps/contrib/109312547030616923474/reviews?hl=zh-TW,5,True,113,"店家人員都十分客氣；初次造訪時已將近休息時間，仍然親切接待。店內不大，憑記憶大約二十個座位上下。自取點餐單就座，確定餐點後拿給工作人員，可以用餐後現金結帳。餐具、醬料自取。
店家湯麵類的選項較多；因是初次造訪，但是又想多方嘗試，所以最後選擇了小的牛三寶麵。雖然店內牆上公告麵類烹煮需要時間，實際上沒有想像中那麼曠日費時；不過我選用的陽春麵（店家麵體由粗到細是家常、陽春、拉麵）吃起來確實煮得很透，又仍保有一絲咬勁。牛肚、牛筋、牛肉一如店名很大塊，數量也很豐富。湯頭甘醇而不會過於重口味，反而顯得牛三寶味道更重了些；但是牛三寶尤其牛肚軟嫩而入味，牛肉的部分還都帶有牛筋，實在令人印象深刻。"
 一塊錢 ,https://www.google.com/maps/contrib/101960479434852271998/reviews?hl=zh-TW,4,True,30,10月12號跟朋友第一次去品嚐，點了2碗牛肉麵，發現肉特別大塊像牛排一樣，大碗有4塊像牛排一樣的肉，小菜也不錯吃，只是湯有點鹹而已。（昨天忘記拍照，今天在去吃一次，湯頭今天剛剛好。）
 CinCin ,https://www.google.com/maps/contrib/112361794949656096967/reviews?hl=zh-TW,3,True,"1,746","半肉半肚細拉麵$110：這家是屬於帶著淡淡中藥味的原汁清燉牛肉麵，牛肉牛肚雖然軟嫩，但味道過於清淡‼️建議平常偏好豆瓣醬重醬香味的饕客，直接pass🔚💣💣💣💣

✖酸菜：💥現成批來的，味道極差，完全不建議提供食用💣"
 柔柔 ,https://www.google.com/maps/contrib/112633205523189173675/reviews?hl=zh-TW,1,False,14,"回覆您的回應
第一，我不是今天去用餐的，可能今天也有客人不開心讓您們誤以為是今天的客人？況且保持良好態度面對客人不是常態嗎？怎會有「今天」態度很好的問題。第二，如果要調監視器您們隨意，我沒有說話小聲所以那個客人並不是我，監視器裝在您們店裡，您們要調不用告知我。

東西不難吃就普通。
看了其他留言我知道貴店不賣服務，回覆其他留言他們沒收服務費，我也沒有要奢求什麼服務，但那個胖胖女的態度真的是有夠差，連吃飯的心情都沒有，不知道欠了她多少錢，不會再訪。"
 光頭比燈亮 ,https://www.google.com/maps/contrib/112504827726588917580/reviews?hl=zh-TW,5,True,32,湯頭比較清淡，可以全部喝完，面很Q彈，肉嫩好吃，是我最愛的牛肚麵。
 Una ,https://www.google.com/maps/contrib/107298728104359013577/reviews?hl=zh-TW,4,True,91,"有一天不知道吃甚麼，隨便找了一家結果意外的很棒✨
胖媽原本叫雙和牛肉麵，也開業好幾年了，算是一家老店，但後來換了招牌看起來很新我還以為是新的XD
-
-
🔹牛肉麵$大120　*小100
麵條都可以選家常、拉麵、陽春、冬粉
我們選了拉麵！麵條滿Q的，湯頭清甜不膩，直接喝很順口，據說牛肉湯頭是以數十種中藥材下去熬煮的😀牛肉口感軟嫩又大塊😍
另外這一碗也太大碗了吧！怕吃不飽點了大的上桌後很驚訝哈🤤🤤
-
🔹麻醬麵$小50　*大70
麻醬麵的醬不會很多，但是香氣有出來，也滿足夠的，美中不足的是沒有鹹度😅有點難形容，就像一塊美味的牛排原味也很香很好吃，但是撒上鹽會更提味，大概是這個意思，不知道為何沒甚麼鹹度，應該不是我吃重口味😂😂"
 楊武憲 ,https://www.google.com/maps/contrib/112970315634633755676/reviews?hl=zh-TW,5,True,145,"有一段時間沒有光顧，實在太想吃了。
牛肉乾拌麵家常麵條，美味！滷味讚！超級推薦。"
 Polly Feng ,https://www.google.com/maps/contrib/112625451091367933625/reviews?hl=zh-TW,5,True,192,超便宜的！而且牛肉大塊又多～牛肚也非常入味！湯頭也夠濃郁～麵條彈牙，整碗麵好吃的沒話說～這個價錢和品質，我只能說老闆超佛心！
 Darren H. ,https://www.google.com/maps/contrib/102373368782419461319/reviews?hl=zh-TW,3,True,775,"🛂🛂價錢實惠，肉份量也不錯，肉也煮到軟嫩，但是麵口感偏軟糊，個人不愛，湯頭是清淡那種，不是濃郁款，我加辣椒了個人還是偏淡

🕉️testh01"
 陳震丞 ,https://www.google.com/maps/contrib/104646472700684139295/reviews?hl=zh-TW,4,True,81,拉麵細條大碗/$130，牛肉軟飪入味，湯頭濃郁，用餐空間較小.
 郭彥廷 ,https://www.google.com/maps/contrib/107975985554009247976/reviews?hl=zh-TW,5,True,542,夠辣夠好吃，沒內用過不確定環境如何，上次叫ubereats竟然還送小菜
 嘎嘎烏拉拉 ,https://www.google.com/maps/contrib/118297499041492030187/reviews?hl=zh-TW,5,True,"1,011",蔬果湯頭，偏向清燉帶一點紅燒的湯頭，半筋半肉120元，其實在台北市已經非常少見。非常喜歡店家把蒜頭撥好，蒜頭辣味十足。自製辣椒也非常夠味。湯頭可能為了健康取向所以減鹽了，但還是希望可以調回原本的鹹度。
 mikity Li ,https://www.google.com/maps/contrib/113546022141303000943/reviews?hl=zh-TW,5,False,3,每個人的口味不同，喜歡與否取決於個人，餐點評論參考就好，實際走一遭最正確！看了很多人的評價，決定親自來試試看，牛肉大塊、牛筋軟嫩、牛肚Q彈！第一次吃三寶真的剛剛好！麵條也有3種選擇，比一些麵店統一來的多種口感，小菜便宜份量的，店員老闆也都很親切，小店經營不易，有時候大家的評論是會影響一間店的！有機會再造訪！
 liyi Chang ,https://www.google.com/maps/contrib/108179441997916054105/reviews?hl=zh-TW,4,True,53,"換碗裝麵，變得有質感多了
家常麵很Q
牛肉是有帶筋的
湯也很好喝"
 Michael Chen ,https://www.google.com/maps/contrib/100910706864396283838/reviews?hl=zh-TW,4,True,173,小碗意外滿飽的肉也還算多整體還不錯
 M. Chen ,https://www.google.com/maps/contrib/100740507503802974077/reviews?hl=zh-TW,3,True,800,夏日南機場夜市的好選擇，麵份量十足。店內乾淨有冷氣。唯一可惜的是炸醬風味不足。
