user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Chun-Ming Chang ,https://www.google.com/maps/contrib/103728390737120615711/reviews?hl=zh-TW,3,True,"2,733","2022.07.09=★★★☆☆
◉推薦：米苔目冰。
◉簡評：40元一碗米苔目冰，加上一大匙紅豆，大顆冰粒咬起來咖啦咖啦，消暑。😁
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【阿伯阿嬤湯圓】，冬天賣湯圓，夏天賣冰。今天吃了拿坡里的八塊炸雞桶，嘴裡黏膜乾痛，趕緊來找碗冰吃，退退火。

☑米苔目冰💰40+紅豆=價目表看不太懂，就說米苔目冰加紅豆，紅豆也是挖了一大湯匙給我，沒有加價，就是40元。冰粒是大顆剉冰，在這大熱天咬起來咖啦咖拉，消暑；紅豆量多，紅豆有煮軟；米苔目，看起來像是手工篩的??有點硬Q有彈性，咬起來不會易斷；糖水無過份甜膩，4.5分，以40元單價，可以了。"
 Megaman (加麵不用錢) ,https://www.google.com/maps/contrib/116511301131535632665/reviews?hl=zh-TW,3,True,80,說是豆花但是接近洋菜的口感，應該是洋菜粉加太多了，湯不會太甜但也可以說是沒味道，薏仁還ok，雖然以豆花的角度來說不及格，但是整體還是不錯的消暑甜品，不要當豆花看就好。
 P P ,https://www.google.com/maps/contrib/112632888041070510333/reviews?hl=zh-TW,5,True,44,"第一眼看到完全沒有其他色系只是一團白的湯圓時有點擔心，結果咬下小湯圓的第一口就被驚艷了！
軟糯卻又Q彈，搭上不知道怎麼煮出來甜而不膩的甜湯，真的覺得好幸福😘"
 Fun Fun ,https://www.google.com/maps/contrib/117464584028902703962/reviews?hl=zh-TW,2,True,953,不是傳統的芋圓、蕃薯圓，這間的是蕃薯粉比例偏高的圓，吃起來很軟，紅豆湯是很甜水水的那種，在台北吃過的紅豆湯，這間真的不是很好吃花了我50塊😭
 陳JR ,https://www.google.com/maps/contrib/104029425692807492373/reviews?hl=zh-TW,5,False,57,好吃的米台目跟植物園高中附近的不一樣很有家鄉的味道小時候在鄉下常吃因此有路過我總會停下來吃一碗
 楊蔥 ,https://www.google.com/maps/contrib/115641830016256970560/reviews?hl=zh-TW,2,True,52,湯圓大的四顆，甜湯只有給半碗不到，價錢偏貴，老闆娘直接用他找錢的手撥熱湯圓到客人外帶紙碗內，看到我頭皮發麻，所以只給兩顆星
 WU DAVID ,https://www.google.com/maps/contrib/104430242486663930821/reviews?hl=zh-TW,5,False,14,無論鹹的、甜的都值得一嚐.甜的可以選擇綜合湯加芝麻湯圓！綜合湯就是紅豆湯+花生湯=實在太強了！
 CoolRu Chen ,https://www.google.com/maps/contrib/111684087423010956273/reviews?hl=zh-TW,3,True,523,"冰豆花40元很大一碗
會加花生
可惜豆花較沒有豆香味
口感偏紮實
花生也是偏硬"
 葉綠素 ,https://www.google.com/maps/contrib/101386692702418844863/reviews?hl=zh-TW,4,True,66,這家湯圓是整個萬華地區最好吃的湯圓，茼蒿菜都是最新鮮，其湯圓都是當天現包加獨家配料是非常好吃。
 M. Chen ,https://www.google.com/maps/contrib/100740507503802974077/reviews?hl=zh-TW,3,True,800,"紅豆湯不錯。
朋友說小湯圓很Q彈，也見到客人直接買未煮的小湯圓，應該是很好吃吧！

比較不滿意的是熱湯用塑膠湯匙，如果再去吃會用自己的餐具。"
 April Lee ,https://www.google.com/maps/contrib/102854186008367157769/reviews?hl=zh-TW,4,True,536,"藏在巷口沒多遠的攤販
阿嬤一個人再賣
阿嬤說品項都是她自己每天現煮的
點了一個米苔目冰
本來不想加其他的
阿嬤說只吃米苔目太無味
我就讓阿嬤隨便加🤣
阿嬤加了紅豆給我
送上來米苔目本身已經不少了
加上紅豆女生一個人吃太多了😂😂😂
糖水本身不死甜吃起來讓人負擔沒那麼重

米苔目雖然沒有新竹市場的那麼Q
但至少還是有彈性
紅豆不是綿密的那種
是有顆粒感覺的
這一碗40元
各人覺得cp值還不錯
至少都是手工熬煮
而且甜度不高
適合夏天來上一碗"
