user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 阿智 ,https://www.google.com/maps/contrib/102796770568112145860/reviews?hl=zh-TW,5,True,317,"看過一個人吃火鍋
沒看過一個人吃薑母鴨
很好吃
點的料會直接加進鍋裡
滾一下就能吃
炭火很旺"
 Vincent Wang ,https://www.google.com/maps/contrib/101569233770694906087/reviews?hl=zh-TW,4,True,246,天冷補補身體的好選擇，而且室外座位是用炭火，吃了身體都暖了，感覺很棒！
 Valiant Lee ,https://www.google.com/maps/contrib/113426943184447828580/reviews?hl=zh-TW,5,True,46,炭火薑母鴨，整瓶米酒加下去，超甜的...
 李煌生 ,https://www.google.com/maps/contrib/116378227034932874714/reviews?hl=zh-TW,5,True,285,"炭火湯頭就是特別香甜,鴨肉軟嫩好吃,多種配料可以選擇."
 剛硬喇叭花 ,https://www.google.com/maps/contrib/115186146225447317393/reviews?hl=zh-TW,5,False,14,"老闆親切，薑母鴨更是好吃！
還跟我們五個大學生聊了不少！
謝謝老闆！"
 liu Kiki ,https://www.google.com/maps/contrib/113837302514508291708/reviews?hl=zh-TW,1,True,166,"這是負的一顆星
六人用餐，點了一份鴨肉和很多加點
（加點點到兩輪）
東西陸續上來真的很傻眼！六人用餐竟然給一個很像兩人在吃的小鍋！（看到附近四人在吃的鍋子都比我們的大）因為點很多料鍋子小到料都要跑出來了而且非常難撈！中途詢問老闆可不可以換大一點的鍋子？老闆說「不行！」
吃到一半真的覺得這樣很難撈再次詢問如果再加點一份鴨肉可以給我們換大一點的鍋子嗎？老闆一樣說「不行！」
不太明白為何六人用餐，點一份鴨肉點很多料必須要用一個那麼小的鍋子在吃？！
這絕對是我們很糟的一次用餐

服務態度：負一顆星
美味程度：說是「薑」母鴨但比較其他薑母鴨店的味道！這家薑味相對比較弱"
 Carrie Tsai ,https://www.google.com/maps/contrib/109757677121009257455/reviews?hl=zh-TW,4,True,118,炭火薑母鴨。料的選擇比三重總店多多了，而且還是炭火（總店是瓦斯爐），不用到總店，吃這間就可以了
 Chen Morgan ,https://www.google.com/maps/contrib/115454986831761790105/reviews?hl=zh-TW,5,True,19,可惜店外露天區域客滿
 oanchin Li ,https://www.google.com/maps/contrib/113737592695895403393/reviews?hl=zh-TW,5,True,32,"不小心把菜撥掉到地上，老闆直接幫我換一盤新的。
服務好，東西也新鮮好吃。"
 李泓德 ,https://www.google.com/maps/contrib/118147261708867068748/reviews?hl=zh-TW,5,False,5,老闆人很好！！湯一直加...
 林傑 ,https://www.google.com/maps/contrib/112542420916955540119/reviews?hl=zh-TW,4,True,912,"口味不錯，服務親切。
騎樓座位區，光線受隔壁店家影響，近路口，聲響混雜。
大小團體聚會推薦。"
 JoJo Lakshmi ,https://www.google.com/maps/contrib/101180595619489737420/reviews?hl=zh-TW,4,True,61,現場排位有點混亂，太忙了………
