user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 JC fu ,https://www.google.com/maps/contrib/108061480523307456344/reviews?hl=zh-TW,5,True,450,"1.食物口味佳，物超所值，學生及年輕人一定划算，因為老闆佛心的飯吃到飽；飲料多到不行（茶包有八種、豆漿、咖啡、好多好多）！
2.員工穿制服載口罩，服務態度很好！
3.店裡環境好、座位多、提供無線網路，手機用到沒電，跟老闆借充電線～～免費！免費ㄟ！廁所乾淨有提供洗手乳，很棒！
4.景美捷運站二號出口正對面，停車場附近有景華公園地下室停車場，機車位也很多！
5.總而言之，高CP值，太棒了，提供朋友小聚的好地方，用餐後可以好好喝飲料聊天！"
" 一個人的顧客旅程,有時還有老公 ",https://www.google.com/maps/contrib/114415606790656520583/reviews?hl=zh-TW,5,True,128,"2022.02.19
路過聽到不斷播放的語音宣傳本以為很雷，一查評論發現還滿高分的，於是就進來體驗看看。

雖是第一次來，但櫃檯負責接待的老闆很親切的介紹（講重點而非背稿），且菜單上也有標示消費方式與點餐步驟，不難進入狀況。

劃好單到櫃檯結帳，老闆再度詳細說明取餐方式、可以趁等餐時做的事，最後附上一句有溫度的「祝您用餐愉快」，根本不是一般連鎖店的服務品質能相比的。

內用提供一整排冷熱飲品，我向來專攻熱飲。有注意到咖啡機用的是UCC豆，喝起來明顯超越連鎖餐飲店的自助式咖啡；而就算不喝咖啡的人，也有馬玉山的風味飲品可供選擇。

停留期間注意到老闆不斷留意醬料冰品區的消耗狀況並適時補充，飲品機台有任何問題也都會立即處理，難怪即使非一般用餐時間，店內還是高朋滿座。

下次絕對會再來的～"
 Kurt Huang ,https://www.google.com/maps/contrib/115396633524578368299/reviews?hl=zh-TW,1,True,40,"跟家人去用餐，想說跟錢x差不多價錢的火鍋，
評價看起來不錯然後人又很多應該不會雷到哪去，
感謝打臉，臉真痛。

家人點餐後，第一鍋送上來的火鍋居然忘了加湯，
火鍋沒有湯是要煮甚麼火鍋，
我以為火鍋是瓦斯爐上的火，原來是顧客的怒火。

肉片跟菜盤沒甚麼好說的，畢竟價位很低，不講求甚麼。
飲料也沒甚麼好挑剔，選擇算是很多。
冰淇淋的部分就讓我很疑惑，
火鍋店的冰淇淋通常都難挖到辛酸，
這家的冰淇淋往另外一個方向發展，
軟到我懷疑他們冰箱是不是有破洞還是甚麼。

醬料區，印象最深刻的莫過於蒜泥只有水跟蒜汁，
泥在哪裡我真的不清楚。

其實如果只有以上幾件事情，
200以內的價格其實是可以忍受有這樣的用餐體驗，
我也頂多給個3星或2星，
但詳見圖片二，就會看到在回收台區，也就是廚房門口，
有蟑螂爬來爬去，
我看了真的是非常不擔心我的食品安全，
本想說用完餐後接下來幾天看看有沒有拉肚子之類的情況，
若是沒有就不擔心了，
好死不死，
吃完的接下來幾天腸胃都相當精彩。

不說了，想去用餐自己斟酌，
貪小便宜的朋友加油。"
 李粉圓 ,https://www.google.com/maps/contrib/111377454664288569704/reviews?hl=zh-TW,5,True,178,"看到fb社團上的廣告有介紹，從捷運站出口就看到店家，有人剛好肚子餓，就決定給他一次機會試試。
裝潢應該是沿用之前的美式餐廳風格，看到菜單是小火鍋確實有那麽點違和感，但還是覺得有些特別。
算是自助式的方式，點餐後就給你一個候餐機及飲料杯，逼逼響及震動時就自行到櫃檯取餐，餐具也是自行拿取，飲料種類很多，咖啡、奶茶、碳酸飲料、水果茶都有，都是可以自行取用，醬料跟冰淇淋也都是自行取用，蛋糕櫃上有標註要費用。
肉加量……但覺得沒有加量的感覺啊～
再點了起司丸及豆皮，再一份王子麵，共254元，如果為了飲料跟冰淇淋應該覺得可以，但若單純想吃鍋，這鍋內容跟價格稍微空虛了點。
用餐完畢也是自助的要拿回置放區，要自行歸類鍋碗瓢盆，座位區都有插座，可以用usb或插頭，對於現在手機使用者來說相當方便，"
 SHARIE GUO ,https://www.google.com/maps/contrib/114532815538961818291/reviews?hl=zh-TW,5,False,8,本人於本月週末假日三訪i99~真的誠心推薦大家一定要來造訪~點一份鍋物$149起(新人享五張$10折價券)~還有無限量的滷肉飯/冰淇淋/各式各樣很棒的冷熱飲~重點是店家備插座/免費WiFi/“不限時”~是不是超“佛心”耶^^
 黃毓庭 ,https://www.google.com/maps/contrib/114573878898834822446/reviews?hl=zh-TW,5,True,501,"CP值非常高的一間火鍋店
不限時間飲料滷肉飯冰淇淋隨你吃
環境衛生整齊空間大非常舒適
化妝室在2樓唷~

一進門老闆就非常熱情地招呼
主動介紹用餐流程及區域
親切感十足還幫忙找位置💯
選好餐點後至櫃檯點餐結帳
老闆會給你牌子震動後再去櫃檯取餐
吃飽後再把餐盤拿去櫃檯右手邊有一個餐盤回收去做回收碗盤要自行分類好

精品鍋只要$149
超級無敵划算而且給的料品質也是很可以不會因為便宜就亂給
總結這間店真的很棒👍💯"
 Nova宇宙人 ,https://www.google.com/maps/contrib/107547048428364425933/reviews?hl=zh-TW,5,True,100,店面漂亮且乾淨整齊，防疫措施也做得很好～小火鍋用料豐富，飲料吧種類很多，滷肉飯、冰淇淋…重點是價格實惠～大力推薦！
 Noëlle Carmina ,https://www.google.com/maps/contrib/100673821950642161960/reviews?hl=zh-TW,2,True,543,"個人對文青什麼的做作宣傳詞有點感冒，但在googlemap上意外高分，跟家人某天不想開伙時決定試試看。
沿用大部分前發福漢堡的裝潢，改成附有自助飲料吧的小火鍋店，感覺跟漲價前的某些直營店錢都有點像，不過座位寬敞+有插頭+提供穩定wifi，雖然冷氣不夠涼但算CP值滿好了。
火鍋份量偏少，尤其肉只有四片，以景美林立且價位相近的小火鍋而言內容物不夠豐富，雖然是有自助吧的豬油拌飯但個人沒習慣配飯吃。選了麻辣，意外地辣度算高，感覺很適合滷鴨血的那種而且有點混濁。藥膳只有一開始聞起來像，整鍋偏酸到了什麼食材撈起來都是酸的，只好配蔥花醬油吃完。湯頭就很平凡乏味。
看到不到一個月前其他客人的配菜有附蛋？這個沒有拿到喔，是變相調漲了嗎？
賣點除了可久坐外主要還是飲料吧的豐富性，冷熱飲咖啡機都有，還有珍珠和兩款冰淇淋，是沒什麼類似價位會供應到這麼多，不過自己是來用餐而不是打算喝到飽。
服務採自助式，自己去櫃檯點餐後可拿到杯子，震鈴取餐，但意外的是用餐完不是拿到回收台就好，還要分杯子、爐子、鍋子、筷子湯匙、碗盤、垃圾、廚餘etc自行分類放置，老實說還真沒碰過這麼麻煩的，尤其項目分很細，一般自助餐根本沒這麼瑣碎，到我覺得還是自己在家煮好了。而且櫃檯內員工只是喊人回來卻不說清楚是要客人一一分類，實在尷尬。
覺得這間店很看顧客需求是否合拍，單論火鍋部分個人覺得不怎麼好吃，如果是不在意食物想要聚會聚餐、輕鬆坐上半天、讀書辦公，那這邊滿值得考慮的，消費門檻有機會比咖啡店低。
客人不少，感覺聊得非常開心的長輩掛和學生群是主力。"
 瑋瑋到來 ,https://www.google.com/maps/contrib/114658508744489374286/reviews?hl=zh-TW,5,True,73,"在景美捷運站2號出口一出來就到，出入口不是太起眼但進來別有洞天！
沿用之前美式漢堡店的裝潢，吃小火鍋的氣氛不錯，一整排各式的飲料、冰淇淋、滷肉飯隨意吃，每個座位也都有插座可以使用，整體真的非常物超所值，CP值很高！
炸物拼盤選三樣才100元，很不錯的地方！還會再來的！"
 Caesar Tsai ,https://www.google.com/maps/contrib/101237379123532361706/reviews?hl=zh-TW,5,False,10,位在景美捷運站2號出口旁巷口，是家溫馨、悠閒、適合朋友與家人聚餐的好地方，飲料與冰淇淋可以無限暢飲，價錢又不會太貴，平常客人就不少，到了假日更是客朋滿坐，非常值得推薦給第一次到訪的人，一來成主顧呢。
