user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Evangelin Fang ,https://www.google.com/maps/contrib/116703310462742901194/reviews?hl=zh-TW,4,True,167,"空間很舒適，都有依照防疫規範安排座位
單價比一般早餐店高一點
🔴德式香腸很juicy
🔴蛋餅個人不喜歡，切的很大塊，不方便一口吃；餅皮吃起來不像傳統蛋餅那樣會脆脆的，感覺是墨西哥餅皮的口感
🔴免洗筷很精緻
🔴紅茶拿鐵的味道很“特別”，不是飲料店那種味道，真的不知道怎麼形容ಠ~ಠ"
 法蘭克阿倫 ,https://www.google.com/maps/contrib/112038943685670850495/reviews?hl=zh-TW,1,True,171,我幫三個同事買早餐卻只願送一杯紅茶我說我拆成兩或四單結帳，卻打死不肯。算了甘脆都不要了，去對面711買早餐！作推廣活動卻得到客戶反效果，就是失敗的活動
 Cheese Omelet ,https://www.google.com/maps/contrib/103687118098584622571/reviews?hl=zh-TW,4,True,135,為什麼玄米煎茶小杯只能做溫的大杯只能做冰的？
 張詩佳 ,https://www.google.com/maps/contrib/110660168516032416696/reviews?hl=zh-TW,5,False,11,"超超超好吃的早午餐😋
麵類漢堡蛋餅都超讚～
薯條也是那種很酥脆的！
我最愛芋泥起司蛋餅💛"
 Lilian ,https://www.google.com/maps/contrib/115020215518013557359/reviews?hl=zh-TW,1,True,408,"玉米看起來皺皺怪怪的
一入口是發酸黏稠趕緊吐出來
仔細一看
原來這是放很久的生菜沙拉!
生菜邊緣黑爛
高麗菜絲乾的且邊緣發黑
小黃瓜切面非常乾皺且發黃
第一次訂這家
没想到這樣處理外送訂單
一個95元的沙拉
帶著期待的心要品嚐
表面還可以內容嚇到我了!

另外
打拋帕尼尼味道根本不打拋……"
 Hwang Sabrina ,https://www.google.com/maps/contrib/116679203838471833213/reviews?hl=zh-TW,1,False,4,"訂了外送然後拿到一片焦的肉
打電話反應老闆還說那不是焦
吃到後面才發現下面的德腸也是焦的
太誇張了吧訂一個漢堡90還什麼都是焦的
第一次反應老闆也沒有打算處理後來打去問有什麼補救方式嗎才說可以重做一個要我過去拿
如果我有辦法過去拿就不會叫外送了：）"
 Stacy Liu ,https://www.google.com/maps/contrib/111319081696511671646/reviews?hl=zh-TW,2,False,8,點了巧克力湯種、海味蝦排堡與照片有落差，肉鬆芋泥湯種，芋泥少的可憐，吃起來只有肉鬆味，整體性價比低，只能說店家用料非常節省，不會再回購
 莊美惠 ,https://www.google.com/maps/contrib/108657291431536540605/reviews?hl=zh-TW,1,False,4,"外帶鮪魚三明治真的難吃...
打開商品品嘗時，
根本像是做起來放了等人來買一樣的東西~
只吃到芥末醬幾乎沒看到鮪魚，
還把吐司掀開看到底是有沒有鮪魚~
真的是從來沒吃過這麼難吃的三明治，
吃了幾口就不想繼續吃了~
下次不會再光顧了……"
 LEO ,https://www.google.com/maps/contrib/110290082122636774245/reviews?hl=zh-TW,2,False,17,"點了一個套餐內用，等個半個小時超過
現場三組..
以前至少會先上飲料，堡都開吃了還要三催四請才把飲料給我..吃到火氣都上來了
還沒吃等到飲料送上來整整35分鐘👏"
 Lilia Tian ,https://www.google.com/maps/contrib/108393822866074641266/reviews?hl=zh-TW,2,False,4,"蛋餅等了十五分鐘，有夠慢
而且比我們晚進來的客人都拿到餐在吃了
也沒有提供醬油膏"
 Pasuya Chen ,https://www.google.com/maps/contrib/111631640008095553556/reviews?hl=zh-TW,1,True,42,雖然一開始很客氣的表明因為人手不足，所以會等比較久，但是整個錯估形勢，把等候時間講得太樂觀，比我們晚到的都已經全部上齊，我們還在傻傻的等，好不容易等到了，卻是做錯的，真的只有慘可以形容，還不如區斜對面的呷尚飽
 Vivian Hsu ,https://www.google.com/maps/contrib/103429436837842961367/reviews?hl=zh-TW,3,True,31,"雞肉沙拉裝盤用這個尺寸的盤子非常難以取食…應該要用大一點或是邊緣較高的盤子吧
然後加點荷包蛋竟然就直接放在冷盤沙拉上…點餐的時候店員也沒詢問是否可以放一起"
 許芯寧 ,https://www.google.com/maps/contrib/105313895429960719598/reviews?hl=zh-TW,1,False,6,"座位較擁擠，價位偏高，量少
附近許多間早餐店
價位跟食物份量真的差很多

重新裝潢後，廚房改到外面靠左，用餐區在右邊，不過沒有窗戶，沒通風也沒裝電扇，這次去用餐時因為沒人內用所以冷氣沒開放，裡面實在悶到不行，漢堡很小，根本兒童的量，價錢卻快百元（漢堡+紅茶）😂"
 高偉綸Lun ,https://www.google.com/maps/contrib/101938703309089007325/reviews?hl=zh-TW,3,False,10,"建議外送單應該將食物包裝好
疫情期間觀感很不佳"
 郭程建 ,https://www.google.com/maps/contrib/108797220120120872406/reviews?hl=zh-TW,1,False,101,非常慢，組合餐可以搞半個小時，真的厲害，我雀斑願稱你為：最慢
 Bon ,https://www.google.com/maps/contrib/116315651770142958541/reviews?hl=zh-TW,2,True,23,"動作真的超級超級慢🫠
人不多但外帶還是可以等20分鐘：）"
 林廷聿 ,https://www.google.com/maps/contrib/106224785438116852956/reviews?hl=zh-TW,5,False,1,服務親切.東西好吃.確實是一分錢一分獲.還有定期活動.值得一推
 姜大吉 ,https://www.google.com/maps/contrib/113025024419170548497/reviews?hl=zh-TW,1,False,4,點冰送熱真貼心34度的天還擔心我會太冷真是優質
 Winnie yu ,https://www.google.com/maps/contrib/101391906442962901592/reviews?hl=zh-TW,1,False,22,天啊等了二十分鐘一個鱈魚起司漢堡60塊長這樣小小的沒東西我真的有生氣到
 Luna Jiang ,https://www.google.com/maps/contrib/103549785401116342811/reviews?hl=zh-TW,2,False,10,早上去外帶一個起司厚牛漢堡，看了美美的菜單圖片想說今天單點65元的漢堡，難得吃好一點，結果等餐花了11分鐘，拿到餐覺得手感有點輕，打開之後更是覺得這個漢堡慘不忍睹，有夠小就算了，也許店家走的是精緻路線，可是生菜這麼一咪咪、番茄片半片，看得我好傷心⋯短短一條路上有6家早餐店，拉亞加油好嗎⋯⋯
 Jia Xu ,https://www.google.com/maps/contrib/118235055414900283600/reviews?hl=zh-TW,1,False,3,現場動線不佳，外帶飲料吸管還放在漢堡袋裡⋯現場不是真的忙不過來，多注意還是能避免的吧？
 李泰舜 ,https://www.google.com/maps/contrib/114767314974632739377/reviews?hl=zh-TW,4,False,172,"服務態度相當的親切環境整潔
餐點：豬肉三明治裡的豬肉筋蠻多的（或許是剛好我拿的是囉嘻嘻）
紅茶還不錯"
 Kuan Wan ,https://www.google.com/maps/contrib/103292377819733285339/reviews?hl=zh-TW,5,False,2,老闆人很好，店員服務很親切
 Steven Wang ,https://www.google.com/maps/contrib/109003406323039235793/reviews?hl=zh-TW,1,True,18,"1.蛋餅只用紙包裝
2.漢堡非常小且料不多
3.帕尼尼皮占90%料10%
CP值非常低不會再回購"
 YiHsiu Lai ,https://www.google.com/maps/contrib/115001746970123801426/reviews?hl=zh-TW,1,True,61,點了外送，玉米蛋餅超鹹，菇菇帕尼尼吃了三四口都還是皮，裡面料也很少，大雷
 Teresa Chang ,https://www.google.com/maps/contrib/105446044553172150655/reviews?hl=zh-TW,1,False,7,點餐人員真的是不知道在幹嘛，一早心情直接被他的點餐態度給破壞掉，自己點餐沒有確認好還在那邊對我嘆氣，你本來就該做好自己分內的工作，不是我去問你的時候一副怪我的態度，請好好的檢討自家員工的工作流程與內容。
 女王 ,https://www.google.com/maps/contrib/103967933697382963315/reviews?hl=zh-TW,1,False,17,剛剛去點了2份餐點等了40-50分、號碼排拿了也沒聽到櫃檯人員喊號、結果⋯竟然把我的餐點給了熊貓拿走了、還好我不就有去問，不然我不就白白在那裡一直等下去🤬🤬上禮拜點熊貓結果送來的餐點也是錯的，代表你這家的櫃檯人員訓練不足、應該好好加強訓練一下吧！大熱天讓人家一直在那等也沒喊號⋯是有什麼問題嗎？爛到爆🤬🤬🤬🤬🤬🤬🤬🤬🤬
