user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 吳意晴Doris ,https://www.google.com/maps/contrib/113115451375704615788/reviews?hl=zh-TW,5,False,30,"如果怕辣可以點微辣就好！
乾麵非常好吃，有獨門醬料
湯頭香辣，卻不會死辣，鹹淡適中🙌🏻
老闆也很貼心，看到我點太辣
主動問我要不要加湯（降低辣度）
店狗會在店裡走來走去，超級可愛（大加分）"
 Yuwei Chu ,https://www.google.com/maps/contrib/113201866173474097558/reviews?hl=zh-TW,5,True,126,老闆人很親切！東西好吃，很夠味又不會太辣，場地很乾淨，大推！
 A. T. ,https://www.google.com/maps/contrib/107943704455824890342/reviews?hl=zh-TW,5,False,40,好好吃～～～湯頭濃郁有質感有層次，另外一個重點：料多！我點的是麻辣三寶，肉片有厚度，給滿多塊的，臭豆腐和鴨血也不馬虎（還送我豆芽菜😭🙏）跟我之前買過70元麻辣臭豆腐卻只有三塊豆腐的比起來有雲泥之別。不枉費我搭車走路過來買，下次還會再來的
 tim chen ,https://www.google.com/maps/contrib/101615300434407893966/reviews?hl=zh-TW,5,True,324,湯頭很棒，喜歡這種椒香濃厚的湯底，不過似乎吃不太到花椒味，僅有白黑胡椒的香味，但味道對了給推。
 Jay Lin ,https://www.google.com/maps/contrib/101018624056320379989/reviews?hl=zh-TW,5,False,26,"味道層次豐富，愛吃辣的，可以中辣起跳，
完全打趴外面麻辣燙！份量價位也很實惠！"
 Ching Lin ,https://www.google.com/maps/contrib/111016579026417435099/reviews?hl=zh-TW,5,False,8,"好吃😍😍
平常吃中辣這邊吃小辣剛剛好🥹
還好老闆最後幫我做小辣
下次會再回訪"
 猫松子 ,https://www.google.com/maps/contrib/101311514652692533363/reviews?hl=zh-TW,5,True,143,"超級愛！本人非常愛吃麻辣燙，吃過超多家～真的沒在浮誇！吃了一百次今天才來評論
食材新鮮！環境乾淨！味道最好！推到爆！
推！推！推！
不說這麼多了啦，自己來吃就知道。
反正走過，路過，千萬不要錯過！！！！！"
 繽紛樂 ,https://www.google.com/maps/contrib/103804966339985435270/reviews?hl=zh-TW,5,True,67,"屢屢經過
總是被香氣給佇足
今天停下腳步前進店內
但因為不是很餓（宵夜時間）
點了就要簡單東西吃

不得了一上桌就被香氣所鎮住哈哈
椒麻香氣一入口真的太喜歡了💕"
 Noëlle Carmina ,https://www.google.com/maps/contrib/100673821950642161960/reviews?hl=zh-TW,5,True,543,"個人認為是這一帶最美味的滷味店。原本是開幕不久路過時覺得很香，試過一次後就沒再買過其他間了，家人定期會想吃。
湯頭獨特，辣度偏高可以調整，喜歡香料味明顯而不是純粹的辣椒或辣油調味，有深度很多。麵條、蔬菜的種類都很豐富，我還是第一次在滷味店看到有提供春菊的。最推薦的是馬鈴薯煮久一點，年糕和魚豆腐也很美味，還有少見的多利魚。
內用環境乾淨整潔，店員大多都滿親切的，結帳用電腦點單價目數量一清二楚。
唯一可惜的大概是店面有點深，內用網路訊號不太好，其他都是優點。"
 Queena ,https://www.google.com/maps/contrib/114730486777744609273/reviews?hl=zh-TW,3,False,3,價格偏高但口味不錯只是外帶了四次都有特別說麵要硬一點結果四次都還是爛到不行有點失望所以今日上來留評論
 Huang Joyce ,https://www.google.com/maps/contrib/112425906339076024452/reviews?hl=zh-TW,5,False,1,"湯頭非常特別，喜歡麻辣的人會愛的，超級推薦！從在萬芳醫院附近吃到現在，感受的到老闆在每個食材上，一直都很用心。

最喜歡入味的鴨血，還有其他地方吃不到蘋果馬鈴薯，肉類的部分，很推薦雞腿肉跟霜降牛肉。整個都是會讓人念念不忘的獨特口味😋"
