user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 葉阿銘（小葉） ,https://www.google.com/maps/contrib/110686042520274942015/reviews?hl=zh-TW,5,True,73,想當初12、13歲時只能買豆乾、甜不辣，現在38了沒想到還在，還是一樣好吃，而且客人變很多，價格很實在，值得推薦，讚👍。
 伍玖玖 ,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=zh-TW,5,True,458,之前路過看到生意很好一直沒買，今天時間晚了終於沒很多人，店員熱情招呼，噴酒精消毒手，實名制，店員會準備夾子跟盤子自己夾要的東西，店員會告訴我號碼，拿到烤完的食物後，再付款就好，各品項價格都還蠻便宜，推豆乾、豬血糕。
 winnie hung ,https://www.google.com/maps/contrib/101678781544711902540/reviews?hl=zh-TW,5,True,58,"非常非常好吃！！所有肉品都不會乾柴，咬下依然保有肉汁，濃濃的炭火香也超棒
豆乾也非常優秀，炸過再烤的口感跟香氣都很棒，後悔沒有再買三串🥰🥰🥰
一整條厚厚的五花肉炒洋蔥也是又罪惡又好吃，真的很棒！
唯一缺點是等超久，18:40去排隊點餐，就要等50分鐘才能拿，後面甚至越來越久，打電話也太忙不會接，建議早一點去現場排、或是點完去附近晃晃"
 歐道紘 ,https://www.google.com/maps/contrib/111668924727731971274/reviews?hl=zh-TW,5,False,8,在吃到這家的鹹酥雞前會，看評論我就想：不過是烤肉個鹹酥雞分數這麼高會不會太誇張了？不過是個烤肉鹹酥雞而已，再好吃不就那樣，是能多好吃？吃了之後完全驚艷，史上最好吃，即使搬離萬芳醫院附近還是會特別跑回去吃，真的就是這麼好吃！
 Monica Wang ,https://www.google.com/maps/contrib/104780499890037856694/reviews?hl=zh-TW,5,True,16,雞頭烤肉先炸再烤，把肉汁鎖在裡面，吃起來非常juicy。中辣吃起來更過癮，唯一缺點……生意太好了啦！每次等好久喔喔喔！😂😂😂
 ABIGAËLLE CHEN ,https://www.google.com/maps/contrib/103823020193756001273/reviews?hl=zh-TW,5,True,334,"建議先打電話預定，每次想吃燒烤這是前三必吃燒烤店之一，很愛他們家的口味～

IG:abicfoodie"
 W W ,https://www.google.com/maps/contrib/117864586231449239849/reviews?hl=zh-TW,5,True,281,文山區最好吃烤肉，必點米血糕、雞腿，老闆先炸後烤沾醬刷嘴。一定要先打電話預約，不然碰運氣適當天人潮。辣椒可另外裝，可多買不可少買的店～來文山區別說你沒吃過的烤肉。建議天冷自備保溫袋回家熱熱吃～
 Freda Hung ,https://www.google.com/maps/contrib/115602919128371790278/reviews?hl=zh-TW,5,True,345,小週末的熱門晚餐，常常要等半個小時∼招牌鹽酥雞是必點，先醃製入味又不死鹹，由於食材都是先炸再烤，先鎖住食材風味，再經由燒烤塗上醬料，整體組合可謂絕配！
 Kuren W ,https://www.google.com/maps/contrib/102234739945593912077/reviews?hl=zh-TW,5,False,8,"雞皮外酥內嫩，搭配醬汁，必點。
豆干綿密厚實，搭配醬汁，必點。
肉串多汁軟嫩，搭配醬汁，必點。"
 haohao ,https://www.google.com/maps/contrib/110239995229132095236/reviews?hl=zh-TW,5,False,17,"老闆你豬血糕好吃的跟鬼一樣要先說啊
其他蔥肉串還是什麼雞心雞皮鹽酥雞咻咻咻的一下就沒了會不會太扯
如果最近諸事不順建議你來這邊買個烤串回家（記得先電話不然你會更不順遂）配個啤酒人生又可以繼續了
加油各位一串烤物幸福ㄧ生
-"
 david liu ,https://www.google.com/maps/contrib/111363979171574379746/reviews?hl=zh-TW,5,True,413,吃過那麼多間鹹酥雞烤肉，就屬這間最好吃
 Erica Ku ,https://www.google.com/maps/contrib/105426373593844422623/reviews?hl=zh-TW,5,True,258,路過很難抗拒的邪惡攤位，大家都學聰明了，電話先點餐才是行家。碳烤的豆干，甜不辣是必點～
 Chuhen Chi ,https://www.google.com/maps/contrib/107785163634194160612/reviews?hl=zh-TW,5,True,53,"我是路過的結果看到他們的食材是冰在冰箱裡就決定買,然後我也沒注意旁邊已經等一堆人.....
不管炸的烤的都超級無敵好吃,尤其豆干實在太驚豔,本來實在不想上來給5星因為已經等夠久了...."
 Ang Hua Lee ,https://www.google.com/maps/contrib/118067805833652463550/reviews?hl=zh-TW,5,True,41,東西很好吃，不過鹹酥雞不是無骨的。
 小饅頭 ,https://www.google.com/maps/contrib/105432143714387185303/reviews?hl=zh-TW,5,True,46,肉串類都超好吃的👍尤其金針菇肉串👍👍鹹酥雞也不錯~
 葡萄柚地球 ,https://www.google.com/maps/contrib/102811307861502085068/reviews?hl=zh-TW,5,True,118,"沒什麼特別的看起來好像也髒髒的
但是店家很認真
一直到現在都還徹底執行噴酒精

味道雖然不特別卻恰到好處
鹹度味道都不錯
在平庸的外表下
有蠻不錯的表現"
 鹿迪 ,https://www.google.com/maps/contrib/106130655309178107127/reviews?hl=zh-TW,1,False,1,又焦又苦，第二次買就這樣的體驗有點傻眼
 橘小育 ,https://www.google.com/maps/contrib/108478035349969529000/reviews?hl=zh-TW,4,True,91,又炸又烤，甜不辣豬血糕意外的軟嫩，而且烤肉醬不死鹹，雞心沒有腥臊味，很喜歡，只是真的要等很久，雖然老闆速度很快，但人真的太多，要有耐心才吃的到。可以先打電話來訂，之後再來拿。
 Hill Liao ,https://www.google.com/maps/contrib/114402282706021330654/reviews?hl=zh-TW,5,False,11,東西好吃😋，服務態度又好
 jan james ,https://www.google.com/maps/contrib/115711697808631381460/reviews?hl=zh-TW,4,True,498,鹽酥雞不錯，蔥肉串好吃便宜。
 小杜 ,https://www.google.com/maps/contrib/102456518614977870975/reviews?hl=zh-TW,5,False,11,非常驚艷！碳烤味十足，醬十分夠味，甜不辣兩片只要十元，配上燒烤醬真的便宜又好吃
 咕嚕大魔法 ,https://www.google.com/maps/contrib/107512304877163521897/reviews?hl=zh-TW,5,False,22,好吃價格合理最喜歡豬血糕糯米腸雞皮但每次去豬血糕都沒了不知道是不是太熱銷好還是我去太晚了
 Steve Hung ,https://www.google.com/maps/contrib/114749504720818747531/reviews?hl=zh-TW,5,True,47,"烤肉好吃，鹹酥雞也好吃
超過30年的老店"
 爸爸 ,https://www.google.com/maps/contrib/104596130320315864682/reviews?hl=zh-TW,5,False,2,吃好幾年了依然這樣好吃，最近發現福興路新開一家串燒也好吃，重點現在知道的人不多免排隊
