user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Snw ,https://www.google.com/maps/contrib/110996844649206161268/reviews?hl=zh-TW,3,True,47,"環境還算舒適，選擇蠻多的，出餐速度蠻快的👍很幸運沒訂位直接來現場候位一下就有了。

但⋯口味上就很一般普普，青醬偏淡、奶油焗烤飯尚可、披薩還行、泰式奶茶完全不行根本糖水加一點點香味而已

不過整體上就是⋯⋯單純填飽肚子的地方"
 Terry Chiang ,https://www.google.com/maps/contrib/109053335007001422325/reviews?hl=zh-TW,4,True,463,朋友住附近，特別來吃吃看，味道還不錯，裝潢上有點像早餐店的佈置。
 Windy Yap ,https://www.google.com/maps/contrib/103888438715067643624/reviews?hl=zh-TW,4,True,21,"奶油蛤蜊義大利麵還不錯，吃了爽口不會膩
吃完後店員會主動收拾，等了一回兒另一個店員主動詢問是否上甜點
整體環境和食物還不錯

扣了一顆星是不確定甜點是否要主動告知什麼時候上，最初招待的店員心情似乎沒有很好，放餐點在位置上發出「砰」的一聲，頭也不回就離開，收拾主餐後以為會上甜點，等了一回兒卻是另一個店員來詢問"
 CPC Hale ,https://www.google.com/maps/contrib/100561150012757750986/reviews?hl=zh-TW,4,True,179,"性價比高，環境整潔。主要是義大利麵、披薩、燉飯；麵條加量、換筆管麵略加價。選擇眾多，加55另選兩種套餐。
地點就在麥當勞隔壁二樓。最近疫情緩解，人潮變多；店家人手略顯不足；因此徵足人手前，1940就停止點餐，2020就收拾了。
附近路邊、巷弄停車不易，斜對面考試院地下停車場較方便。"
 Wan-Ting Su ,https://www.google.com/maps/contrib/108268350729206729755/reviews?hl=zh-TW,5,True,24,綜合野菇pizza、清炒檸檬鮭魚麵、奶油嫩雞燉飯三樣都很不錯，口味清爽不膩！
 YUAN ,https://www.google.com/maps/contrib/112019593644169619485/reviews?hl=zh-TW,1,True,270,本身很愛吃鮭魚，看到評價來點了檸檬鮭魚義大利麵，結果鮭魚很腥…臭到會噁心想吐，最後把麵吃完走人，希望只是我運氣不好萬中選一吃到臭掉的魚…
 張文玨 ,https://www.google.com/maps/contrib/100701620447659845881/reviews?hl=zh-TW,1,False,3,"店家這麼厭惡小孩就不要開在小學旁邊，明顯情緒管理有問題就不要出來開服務業，奧客很多沒錯，但整天批評他人小孩，還把帶小孩哭鬧父親難堪的事件，貼到網路去公審讓人霸凌，這種店家不去也罷。建議店門口直接貼上""不歡迎小孩入內用餐""比較乾脆"
 陳白 ,https://www.google.com/maps/contrib/100486834268655296901/reviews?hl=zh-TW,4,True,291,用料實在，價格合理，在學區一帶算是CP值很高的義大利麵餐廳，推推～來吃了好幾次，都沒有吃到太雷的👍👍
 Wayne Lee 偉霆 (Wayne) ,https://www.google.com/maps/contrib/104586486810246319123/reviews?hl=zh-TW,2,True,55,"食物味道蠻普通的
但份量不小
想吃飽是可以的
就是一般學校旁CP高但味道不怎樣的餐廳"
 Lai子御 ,https://www.google.com/maps/contrib/113978464125612912369/reviews?hl=zh-TW,5,True,49,環境舒適，價格不高，而且麵跟披薩都蠻好吃的！有機會還想吃
 z Cindy ,https://www.google.com/maps/contrib/102605441760858181152/reviews?hl=zh-TW,2,False,18,"味道方面個人覺得普通，但價格實惠~
當天去的時候有聽到廚房傳出很兇的罵人聲！"
 Ela ,https://www.google.com/maps/contrib/109076326179983855414/reviews?hl=zh-TW,5,True,18,"奶油培根黑珍珠義大利麵超級酷！珍珠吃起來完全不會衝突，而且是好吃很有嚼勁的珍珠♡第一次吃到這種義大利麵～
清炒口味的辣度剛剛好～都好吃！"
 冰室紫 ,https://www.google.com/maps/contrib/110199696534926464782/reviews?hl=zh-TW,5,True,51,"已經是文山區老店、營業很久了，菜單也改版過很多次
是台式義大利麵的味道🤣
附近的公司行號和學校有優惠，可以多多利用一下打折優惠🤣"
