user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Tracy Wu ,https://www.google.com/maps/contrib/110452211329687281566/reviews?hl=zh-TW,5,True,512,"便宜好吃，喜歡豬排蛋吐司！奶茶跟玉米濃湯都好喝🤤
今年每項商品加五元（含飲料），疫情期間也只能外帶唷！"
 6480 wh ,https://www.google.com/maps/contrib/109855517391204792137/reviews?hl=zh-TW,5,True,93,起司蛋餅+玉米濃湯👍，蛋餅的份量感覺比其他早餐店少一點點，玉米濃湯要冬天才有販售，還不錯喝，蛋餅的醬油還蠻香甜的，值得一試
 Darren H. ,https://www.google.com/maps/contrib/102373368782419461319/reviews?hl=zh-TW,5,True,782,"🛂🛂疫情期間只能外帶

🈴㊙️🉐蛋餅餅皮有手桿的嚼勁，煎到焦酥的表層，豐厚的口感，搭配微甜調味醬汁，這蛋餅真的很可以😘😘阿姨用心妳吃的開開心心🤣🤣

🈶🈴紅茶也順口大杯"
 CH Purple ,https://www.google.com/maps/contrib/117539107636847481714/reviews?hl=zh-TW,5,True,186,"在地內行人才會知道的傳統早餐店👍🏻

⭐️蛋餅超級好吃，我都吃起司蛋餅，它跟外面早餐店餅皮不一樣，雖然現在不能內用沒有現場吃，但依舊美味，現場吃應該餅皮會更酥脆，搭配甜甜的醬油膏，好吃爆💜

⭐️🐷排蛋土司，非常多人點的豬排蛋是招牌，豬排是有沾麵粉炸過的肉排，搭配高麗菜絲，不過美奶滋的味道沒那麽重

⭐️總匯土司，最常吃總匯土司，有漢堡肉、高麗菜絲、肉鬆、火腿片，是非常傳統的口味，份量很滿足！

⭐️紅茶好喝"
 小姐姐 ,https://www.google.com/maps/contrib/115384640683176807522/reviews?hl=zh-TW,4,True,254,"來戲曲學院瑋兒帶我來比較不一樣的早餐店吃看看，店內用早餐是不用畫單（叫老闆或員工來他們會寫下叫的餐）送餐速度真的非常迅速👍🏻👍🏻👍🏻很厲害，不用等很久那種（速度給餐😄）
瑋瑋最推薦蛋餅，看起來也很好吃（吃起來也還行😄）
我食量較大，一個人吃了蛋餅.巧克力吐司.玉米濃湯大杯的（濃湯溫溫的能熱一點會更好😏）.特大杯鴛鴦奶茶😝哈哈！（兩位小弟弟只叫一點點很弱喔！）
飲料推薦的有鴛鴦奶茶跟花生牛奶（花生牛奶很容易銷售一空😂）
夏一跳的名字蠻酷的😆"
 Miya ,https://www.google.com/maps/contrib/105169472475549524432/reviews?hl=zh-TW,5,True,239,"懶人包：意外的好吃

店面髒髒舊舊的，看起來是比較傳統的西式早餐，店內沒有冷氣只有電風扇，夏天應該會熱。餐點價位都蠻便宜的，蛋餅大概20-30，土司漢堡30-50。假日來客數意外的多，客人絡繹不絕，但送餐速度沒有因此變慢。

我點了起司蛋餅跟香雞蛋堡，蛋餅意外的好吃，餅片偏薄、起司很濃郁，最特別的是裡面的醬汁，不是一般的醬油，醬汁偏甜而不膩，配上蛋餅根本絕配。相較之下，漢堡就顯的比較普通，漢堡本身好像也沒烤，吃起來冷冷的。蠻多客人有點吐司，也許吐司才是招牌。

整體來說，口味還不錯，若是店面能重新改裝肯定能吸引更多人。未來會再訪。"
 李妍儒 ,https://www.google.com/maps/contrib/105814766222827292020/reviews?hl=zh-TW,4,True,30,"因為看了網路推薦所以慕名而來
店面雖然看起來舊舊的但東西真的好吃
我們點了豬排蛋餅跟豬排蛋吐司
豬排蛋吐司內含有美乃滋而且豬排是用炸的
跟一般早餐店的豬排不一樣，吃起來很特別
蛋餅就比吐司還普通一點
飲料點的則是紅茶及花生牛奶
花生牛奶是一般早餐店喝不到的
這兩樣東西融合在一起說不上特別好喝
但味道很新奇，是來此店必試的品項！"
 Max Ling ,https://www.google.com/maps/contrib/106857045782899250173/reviews?hl=zh-TW,4,True,438,生意爆棚的早餐店，有名的是豬排蛋，飲料也很不錯，推
 L ß ,https://www.google.com/maps/contrib/117396246551695785220/reviews?hl=zh-TW,5,True,492,"素火腿漢堡料很多，加蛋5元總共才35
巧克力吐司的醬也多到流出來。

店內人手挺多的，各司其職，態度都很好，
滿分💯

內用沒規定先付後付，
沒什麼裝潢，桌子看似油油的實際上很乾淨，
早上接近7點去時外帶的人比較多，
另外，可能因為沒時間洗餐具所以耗材方面比較不環保些"
 Chienyou Lee ,https://www.google.com/maps/contrib/108532926455231889431/reviews?hl=zh-TW,5,True,22,"每天早上都是滿滿人潮，在地傳統早餐店！
這裡的早餐便宜又好吃，出菜速度也很快。
大推很厲害的蛋餅類，很有口感而且份量剛好。
漢堡的部分也很不錯，傳統漢堡皮配上各式的料，是木柵地區早餐的好選擇。
不過店面較為髒亂，內用的話需要注意衛生。"
