user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 XAVIERA Chiou ,https://www.google.com/maps/contrib/106110378816618381578/reviews?hl=zh-TW,2,True,144,"雖然知道臺北物價比較高，但住臺北這麼多年以來這還是第一次吃到這麼貴的鹽水雞，就這些要價170，雞肉也沒有比較嫩，柴柴的
檸檬的調味倒是還可以所以勉強給兩星"
 Krystal T ,https://www.google.com/maps/contrib/108390052621528318442/reviews?hl=zh-TW,1,True,15,"買了2份雞皮結果有菜瓜布抹布的味道
超噁心🤮
而且還超鹹
連吃重鹹的老公都覺得很鹹......

以前很好吃現在都走鐘了"
 吳小瀧Alan ,https://www.google.com/maps/contrib/114113079888297258482/reviews?hl=zh-TW,4,True,636,天氣熱買點鹽水雞當配菜也不錯，最常吃雞冠，生腸，蛋黃，三包才50元也不貴
 Will Huang ,https://www.google.com/maps/contrib/117220388675005235378/reviews?hl=zh-TW,1,True,21,"好吃！從1998吃到現在快25年，本來留評論四顆星，但今天忍不住更新！

第一
天氣熱戴口罩難免8號、18號，說不清或聽不清，沒必要對顧客說教：“不是你別亂回”

第二
對我說小辣嗎？說再加十元拿一個小菜，然後包裝的阿姨跟你老闆娘示意弄錯，再對著我說是跟下一個客人說的，再補一槍：“不是你別亂回”。

兩次說教內容，如果可兌換這幾年才開始你們弄錯的小菜或該去骨沒去骨，倒還划算，雖然我是笑笑的回：這不是我的問題！

但這真的不是顧客的問題，老闆娘！

喔對了！今天依舊忘記去骨（笑）"
 Hank Wu ,https://www.google.com/maps/contrib/113013925826098115882/reviews?hl=zh-TW,1,True,15,動作慢到爆，明明有三個人員，負責切肉出菜的人一直去忙別的事，一下找抹布一下聊天一下補雞肉一下結帳，其他兩個人到底在旁邊幹嘛？所有出餐就塞在那邊，也不指引排隊，製作的順序亂排，等到天荒地老。
 min Lin ,https://www.google.com/maps/contrib/104264044793194103314/reviews?hl=zh-TW,2,False,59,"每次經過都排超多人，還以為很好吃，雞腿肉又硬又柴，有些東西超鹹有些東西沒味道，真的大開眼界，其他店都倒光了嗎…
老闆也不客氣，明明今天人也不多啊"
 Arvin ,https://www.google.com/maps/contrib/106138032431644760191/reviews?hl=zh-TW,4,True,184,在景美夜市存在很久的鹹水雞，雖沒價目表，但大概就是3樣菜$50、雞腿$40、雞翅$10，大部分菜都有塑膠袋裝好分量，好不好吃見仁見智囉。
 台灣雲豹 ,https://www.google.com/maps/contrib/118148217448933264362/reviews?hl=zh-TW,3,True,94,景美夜市的老店了，重口味的鹹水雞，雞腿肉有點貴，通常都是買雞架子的肉，但是就都是啃骨頭而已肉不太多，此外還有雞睪等內藏類都不錯吃，至於其他青菜類或玉米筍則不推鑑應該沒必要多花錢，蔥味調味醬鹹水很鹹，大概都是愛吃重鹹的人才會來買，旁邊要停車很不方便，只有對面國小有地下停車場，但是要從堤防方向進入停車場，平常也有很多警察會四處巡開單，下車買要相當小心，否則因小失大就不好了，鹹水雞隔壁就是有名的豆花冰，也可以順道去吃看看
 Jean ,https://www.google.com/maps/contrib/116756362460577382364/reviews?hl=zh-TW,5,True,55,到景美夜市會吃的店家
 Jeffrey Kao ,https://www.google.com/maps/contrib/109904520325441754420/reviews?hl=zh-TW,2,True,642,"也是排隊名店，沒吃過試試，沒
沒有標示價格夾起來怪怪的。點了雞心，粉腸，四季豆，只有雞心還不錯，其他都沒有很好吃尤其是四季豆又硬又無味！可能是人多阿姨很不耐煩口氣很差…價格還好但是份量很少，還有不會很鹹，不過是不會再光顧的店。"
 Rebecca Hsieh ,https://www.google.com/maps/contrib/106208971941488463099/reviews?hl=zh-TW,1,True,42,每次經過都在排隊所以買買看，結果付錢時，切肉的人用戴著手套扶雞肉的那隻手裝袋子，我們袋子拿到手上還有雞肉的湯汁.......這麼髒如果很好吃的話就算了，結果吃起來口味就是很一般的胡椒鹽味，小菜一份20六樣一百，雞胸沒去骨，肉還跟橡皮筋一樣咬不斷，早知道就相信估狗地圖的評價，下次不會再來買了！
 愷祤 ,https://www.google.com/maps/contrib/116394234167594260861/reviews?hl=zh-TW,5,False,583,"老板娘頭家人是非常好且親切的人
每次來感覺都很好就算沒消費也會熱情聊天

請的外籍阿姨我覺得算有一定水準
雖然因為講求效率有些讓人感覺態度差臭臉
可是也相當專業而且問東問西也不會不耐煩
食物有小要求和些細部處理也都不會抱怨不耐

表面上覺得粗俗態度不好
可是真的買下來我覺得只是文化上的不同
也沒真的態度差隨便
我覺得其實她們人也蠻好
只是因為工作蠻於做事沒笑容而已
但也不會把工作煩躁遷於客人

東西非常好吃食材新鮮又不貴量又大
店家商品常特價買到更划算
整體CP值非常高超愛

最愛的鹽水雞來景美必吃"
 王儚儚 ,https://www.google.com/maps/contrib/112778891546643522409/reviews?hl=zh-TW,5,True,26,"還不錯菜3小包50可惜菜真的不多樣
四季豆超脆棒
去骨肉有雞胸塑膠袋包好跟雞腿去骨都50
但如果沒吃完隔夜吃也不錯就是味道變鹹了"
 王暉翔 ,https://www.google.com/maps/contrib/113659376536051054226/reviews?hl=zh-TW,4,True,559,市場內的鹽水雞攤，各種蔬菜擺滿檯面供大家夾取，雞肉各部位也是看來整理的很好，他們家的鹽水不會有那種死鹹味，吃了很順口，價格算起來還蠻便宜的，不過沒有去骨動作，衛生環境畢竟在市場，稍嫌不佳，就是儘速夾完外帶回去吃，雞肉不會太乾柴好入口咀嚼的。
 Maso Lin ,https://www.google.com/maps/contrib/116315572642673927311/reviews?hl=zh-TW,5,True,74,加辣之後好吃很多，價錢不貴，可惜蔬菜類較少，不然其他都不錯
 Jason志 ,https://www.google.com/maps/contrib/103212498095205600579/reviews?hl=zh-TW,2,True,252,"小菜東西自己挑自己拿，但小菜感覺份量很少
挑太慢態度會不好。
去骨要先講
技術不是很好去骨去沒乾淨
小菜沒有很入味，很清淡。
雞肉還不錯吃，有入味
但可能是老店關係，感覺對新客人都很冷淡
結帳的女店員態度有待加強，
去骨的技術也是，請加油好嗎？"
 Bill Wang ,https://www.google.com/maps/contrib/111134296969108186826/reviews?hl=zh-TW,3,True,63,服務態度蠻好，小菜3樣50蠻便宜的，口味也調的不錯！但雞肉類完全不建議購買，韌的像橡皮筋==咬不動，連平常大鋼牙的人都嫌“輪”
 席陌雪 ,https://www.google.com/maps/contrib/111154590067057518897/reviews?hl=zh-TW,5,False,10,我覺得很好吃，肉雖然很硬但皮脆，本身不喜歡吃太嫩的肌肉，喜歡這種彈牙的，調味也能接受，但地圖上顯示營業，去了卻沒營業，希望暫停營業的時候可以貼個公告這樣
