user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Emily Shih ,https://www.google.com/maps/contrib/107498752592670805566/reviews?hl=zh-TW,4,True,217,"⭕️久仰大名，路過特地彎來購買。每個捲捲都很肥，算是濕型肉捲，用量大方，口味濃重。

⭕️絕對可以滿足口腹之欲，但是千萬不要養成習慣，不然可能也會變胖胖。還好我家裡離這裡挺遠的，不然，一輩子都要走在減肥的路上。"
 Cathy Fan ,https://www.google.com/maps/contrib/113536837158607693188/reviews?hl=zh-TW,5,True,215,"舊永建小學旁的麵包店早午餐
不知道吃了幾多回
竟然沒有認真描述
葛胖這一家可愛的好宅店
完全不同一般店家的西生菜
油醋全綠葉沙拉🥗優
雞腿肋排或松阪豬主食😋優
西西里咖啡🫗好喝
環境優雅-豆腐頭很有用"
 葉美美 ,https://www.google.com/maps/contrib/105051965870810503350/reviews?hl=zh-TW,5,False,3,"1101017今日再點了雞腿套餐，皮酥脆肉多汁，真的是非常美味高CP值，但今日發現叉子上沾了很多食物的殘渣沒有洗乾淨，跟店員反應，態度很好，馬上整籃叉子收回清洗，但洗好放回之後再去拿取，就這麼幸運拿到的叉子一樣還是有食物殘渣……然後外帶兩個可麗露，其中一個外層顏色很黑，超愛葛胖可麗露的我，拿到這樣黑的可麗露有點傷心啊…
1101016可麗露外脆內柔軟，超級好吃，每一口都好幸福，吃完一個馬上又續了兩個。剛出爐的肉桂捲表層酥脆，夾層有核桃，香味適中，也是超美味。餐點部分，鴨胸越嚼越香，肋排非常軟嫩入味。蜂蜜豆漿很香濃不過甜，忍不住一下就喝光光。每一個品項都感覺得到用心，服務態度也很好，店狗好乖巧，順著頭摸到腰內肉部位時會抖一下，是個怕癢的可愛孩子。"
 Kelly Kao ,https://www.google.com/maps/contrib/108231515533394623732/reviews?hl=zh-TW,4,True,32,今天點了肉排蛋吐司套餐、拿鐵共190元，早午餐味道是還不錯，肉片挺厚札實，蛋是半熟，口感不錯，周六早上生意好，坐的位置是二、三樓，但這價格也有點高，和三三早餐店比較一下，口感差不多乀，但價格卻⋯⋯😅⋯⋯要坐久一點才划算了！
 李文浩 ,https://www.google.com/maps/contrib/110179201534397573140/reviews?hl=zh-TW,1,True,19,"櫃檯服務人員態度五星
飲料客製兩星
主餐品質一星

飲料點去冰，上桌的下面熱，上面冰塊，不提供吸管連攪拌棒都沒有

主餐肉跟蛋煎的外面都是焦渣"
 Albert Chen ,https://www.google.com/maps/contrib/110691241297377270398/reviews?hl=zh-TW,4,True,583,老婆突然喜歡吃肉桂捲，找到了這間店，來試試看。口味多樣，還不錯！
 Yi Lin ,https://www.google.com/maps/contrib/102331180934654828868/reviews?hl=zh-TW,4,False,74,"焦糖肉桂捲好吃，不甜膩，肉桂味超濃，讚讚！
可能天氣熱，整個下午都在跟蚊蟲戰鬥🫣"
 許瑞凌 ,https://www.google.com/maps/contrib/116968416146481528016/reviews?hl=zh-TW,5,True,420,早午餐都會送任一80元飲品，我點金盞花肉蛋三明治，非常好吃，二樓用餐環境很有氣氛～出餐速度很快！
 anna huang ,https://www.google.com/maps/contrib/102595658566855828594/reviews?hl=zh-TW,4,True,177,肉桂捲款式五花八門，價位一般（70元有餡料），吃起來像在吃麵包，很樸實，肉桂味不濃郁，對於害怕肉桂但想嚐鮮者十分合適，整體來說是間有機會經過會再購買的店家~
 Kim ,https://www.google.com/maps/contrib/114147431019643920273/reviews?hl=zh-TW,4,True,865,"--（瑞典扭結肉桂捲）80
--（蔓越莓司康）35
--（原味肉桂捲）
主打肉桂捲。

--（熱拿鐵）
普通、跟超商有點接近。
麵包為主！

--Oct/2022"
