user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 max Wang ,https://www.google.com/maps/contrib/106134628371570005161/reviews?hl=zh-TW,5,True,83,"🔺培根嫩蛋吐司💰45
🔺起司嫩蛋吐司💰45
吐司吃起來其實跟一般早餐店吐司差不多
建議吐司可以再烤焦一些
不過以寵物咖啡廳來說
能有這個價位的餐點已經是超便宜了~

🔺紅茶&奶茶（大）💰30
有看到其他評論說飲料不優
但個人認為飲料就是一般的紅茶奶茶
完完全全對的起這個價格💯

🔺脆薯💰35
薯條超推💯💯💯
是美式薯條的口感量給的也算多！！！
其他咖啡廳這樣的薯條可能要賣到70塊吧

🔺環境
整體裝潢風格以文青、復古、木質調為主
店內有很多書本增添了一些書香氣息
還有一些有關在地“木柵”的書！
身為木柵人覺得相當驚喜！！
打字機、唱片盤、藤椅、老舊電視等等
也給人一種眷村的懷舊風味

⚠️
可以攜帶寵物來用餐不過要裝袋（籠）
或是有牽繩呦~以不影響到其他客人為主

⚠️結論⚠️
以寵物咖啡廳來說平均所有品項的價格
都比其他家廳低了50塊upCP值真的爆表
用餐體驗也相當舒適
回訪機率1000%！！！
相當推薦各位來用餐
支持店家關懷動物的理念~"
 Tracy Wu ,https://www.google.com/maps/contrib/110452211329687281566/reviews?hl=zh-TW,5,True,512,"便宜好吃的早午餐店！有貓咪跟陸龜在店裡（超帥🤣）

吐司點了豬排跟鮪魚都很不錯～但豬排不是一般早餐店看到的一片豬排，比較像豬肉片（？）

薯條很熱門，11:30要點的時候已經沒有了，雞塊不錯👍🏻可頌甜甜圈很好吃！奶茶也還可以😋

環境很舒適，開到下午4點，木柵早午餐好去處～"
 タンヨウ（小牛） ,https://www.google.com/maps/contrib/110447780390155107655/reviews?hl=zh-TW,5,True,114,"住附近的話，是個早餐的好選擇
用餐環境乾淨，無油煙味
即使店家有養貓和烏龜，但不會有動物味
座位與座位之間距離舒適
是可以悠悠哉哉享受早晨時光的店家
餐點雖不是特別驚艷，但無踩雷"
 Sheng Yeh ,https://www.google.com/maps/contrib/111263965667630410295/reviews?hl=zh-TW,5,False,47,三隻貓貓超級可愛，也很乖。最豐腴最像水的叫House.像大理石色系叫弟弟.最愛吃的叫松露🥰還有大烏龜🐢來這裡根本無法認真吃東西，太多東西可以欣賞.點了壽喜燒牛肉胖、髒髒拿鐵，好吃又好喝😇
 Shawn Wen ,https://www.google.com/maps/contrib/115364472996032149765/reviews?hl=zh-TW,5,True,61,"從重新裝潢前就時常來吃囉！是個很適合放鬆心情的地方，尤其是平日上午來！

推薦蘿蔔糕，有蘿蔔的鮮甜感。喜歡吃辣的人，可以搭配辣醬吃，很讚👍

厚片吐司好吃，尤其是榛果可可和花生醬，只是自己很愛吃厚片，不一定客觀😆

金沙菇菇壓壓胖相當不錯，味道豐富稍微有層次，推薦想吃飽又吃好就一定要吃！😋

舒芙茶非常適合放鬆，可以喝一杯慢慢享受。還可以回沖，因此想放鬆心情的人可以來一杯！

大法國，香腸是我喜歡的口感，其它個人沒那麼喜歡。主要應該是因為前面點的東西，可能有些味道跟它搭起來沒這麼適合"
 Carrie Liu ,https://www.google.com/maps/contrib/111758547371606605001/reviews?hl=zh-TW,5,True,135,"晨跑完後從地圖上「店名先決」的選了這家喵好時，到店才發現是一家這麼特別的古物風文青小店，走到櫃檯才知道更是支持領養的微貓中途！

餐點的選擇很多，但我跑完希望有肉有碳水有菜，所以選了#老江用心豬排蛋搭冰紅茶,好吃到唏哩呼嚕一下子吃完！此時我跑溼了的身體已冷，再加點了一杯熱美式，也很香醇好喝～邊啜飲邊翻閱店內的好雜誌。

極美好的一個早晨：）"
 Angelia He ,https://www.google.com/maps/contrib/106057438885845823059/reviews?hl=zh-TW,5,True,177,餐點價格實惠，畢竟有冷氣還有一堆書可以看，感覺很棒，還有一隻安靜的陸龜陪你吃飯，餐點也好吃，很不錯。
 Yovana ,https://www.google.com/maps/contrib/110334749228636631140/reviews?hl=zh-TW,3,True,175,說實話有點失望，點了照燒豬肉吐司，豬肉不是像外面肉蛋吐司整片肉，是碎肉而且肥肉很多，肉也有些腥味。薯條炸的是蠻酥的，但油耗味很重，奶茶也不怎樣。以他們的價格不應該是這種品質
 Cutie Hello ,https://www.google.com/maps/contrib/115039018355866431266/reviews?hl=zh-TW,5,True,181,"很好吃，價位也不貴
有隻巨大烏龜爬來爬去
很適合帶小孩一起去用餐"
 Tu Annie ,https://www.google.com/maps/contrib/104113291898872308549/reviews?hl=zh-TW,5,True,46,炸魚排堡好吃，蔬菜的比例放得剛剛好，整體不會太過油膩。鮮奶茶也好喝，但牛奶的比例太多，建議可以在調整一下。
