user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Phoebe Wang ,https://www.google.com/maps/contrib/112014653858545973133/reviews?hl=zh-TW,5,True,142,關東煮和培根牛意麵都很好吃，意麵的料很多，感覺比單點關東煮還要划算。
 CHAO-LIN WANG ,https://www.google.com/maps/contrib/103978805540277400567/reviews?hl=zh-TW,5,True,157,"真材實料，下班後補充了不少幸福

到附近的木柵公園看完螢火蟲，看完大概快八點，剩下有開的店家已經不多了，於事運氣很好的來到這裡

點了關東煮、豬肉丼飯（迷你）與牛肉燴飯
飯類本身份量很足夠，味道也很入味；關東煮的日式味增醬很特別，湯頭也不像一般關東煮都是味精

但可惜的一點是本人不太耐辣，關東煮的湯與台式醬都有些許的辣度，但店內沒有水或其他飲品，所以跑到了隔壁7-11買茶解辣

覺得很好吃，會再二訪！（牆上推薦的關東煮料是真有其事，點了就知道"
 瘦哥吃不胖 ,https://www.google.com/maps/contrib/104240117015686550774/reviews?hl=zh-TW,4,True,9,外帶海鮮鍋燒意麵$145，料多豐盛
 Cookie Cheng ,https://www.google.com/maps/contrib/110767461028348403699/reviews?hl=zh-TW,5,True,137,"二訪發現經濟套餐很大碗！
比自己點的划算很多
原味關東煮湯蠻好喝的又很燙👍
又是很晚下班可以吃晚餐的好地方（或是吃宵夜！"
 S.K. Chang ,https://www.google.com/maps/contrib/111843093542593083337/reviews?hl=zh-TW,4,True,32,分量真的大，味道也很合胃口，店裡有店家的小孩跑來跑去有點危險，尤其大家都點湯湯水水的東西燙到那可不是開玩笑的
 曾宇婕 ,https://www.google.com/maps/contrib/109865151750505523887/reviews?hl=zh-TW,1,False,17,"最近水準真的不如以往
今天點小辣端上來根本就是清水加辣油隔壁桌客人也點小辣光湯的顏色就完全不一樣以前第一次吃很喜歡的餐廳以後大概不會再來了"
 Cynthia Chen ,https://www.google.com/maps/contrib/109098845026226124755/reviews?hl=zh-TW,4,True,30,"第一次點覺得湯頭好喝沾醬也好吃，每種菜肉單價也不貴，因此二訪。
但第二次吃就有感覺到湯頭偏鹹，是比較可惜的地方。"
 Wang Yu-Kai ,https://www.google.com/maps/contrib/109879731606843726701/reviews?hl=zh-TW,1,True,278,"湯頭味道還不錯，60元的豬肉丼看似很小但其實裡頭的料還算蠻多的，但男生可能一餐還是要加個關東煮才吃的比較飽。

5/13更新
前幾天去吃發現店內擺設變了，店員多烙了幾句日文，菜單上面的價格每個至少都漲5元，高麗菜小小一搓，風格口味也都沒什麼改變，cp值真的越來越低，也許能體諒營業時間很晚成本比較高，但後續真的會減少光顧的意願，後續也發現政大dcard在討論漲價這件事情，我看就留給後續其他消費者評判吧。

PS整間店改造後，聞到有飯店旅館的煙味！"
 Vincent LU ,https://www.google.com/maps/contrib/112606643570931877673/reviews?hl=zh-TW,5,True,133,"還不錯
$100鍋燒意麵份量不少，料很豐富
但人多的時候出餐會比較慢"
 王玟婷 ,https://www.google.com/maps/contrib/100558654465832596522/reviews?hl=zh-TW,4,False,6,銅板美食10元20元可以吃的飽足是不錯的選擇，有電視有冷氣寬敞的座位，很不錯的環境，但是沒有廁所供使用喔！
