user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Wang Yu-Kai ,https://www.google.com/maps/contrib/109879731606843726701/reviews?hl=zh-TW,5,True,278,平價美味又好吃，尤其是雞排和各式炒飯，跟華娜飯盒都是木新路這一段我會買的便當，有時現炸現炒建議可打電話先訂。
 施銘盛 ,https://www.google.com/maps/contrib/105021734576381775240/reviews?hl=zh-TW,5,False,73,111/9/24隔壁如意小吃今突休息，看評價第一次吃這家，什錦炒麵的麵分量比別家多，讓我有驚訝到，整體味道不錯，豬肝新鮮，蝦子只有一尾，後面有機會會改吃炒飯看看。
 周喨喨 ,https://www.google.com/maps/contrib/110106752786261648126/reviews?hl=zh-TW,5,False,6,今天我吃的是什錦炒飯（飯量與料多請酌加點菜）加一個金針肉絲湯這一家是道地的那種台灣炒飯台式口味不錯，肉不腥，炒飯好吃不油有入味到米飯，湯頭甘甜有大骨味，喝完不會味精感口乾，附最新菜單
 蔥花王 ,https://www.google.com/maps/contrib/103650124188875357126/reviews?hl=zh-TW,5,False,15,"比想像中還好吃！而且好便宜！
雞排飯70有大雞排+三樣菜+一顆蛋，白飯也很好吃份量很多～
炒麵80，用料豐富份量多，吃起來不黏膩有點湯汁很好吃，不會過鹹蠻特別的，很厲害的一家店！！"
 陳十二少 ,https://www.google.com/maps/contrib/108064802612160913148/reviews?hl=zh-TW,5,True,161,餐點如其名...可口！尤其每次看到老闆在烹調時的情景，就已經有感受到老闆的用心了。不過，還是要提醒，因為不錯吃，店內座位不多，建議外帶為佳，而且一定至少15分鐘前預訂，才不會等太久。
 Mimi Ru ,https://www.google.com/maps/contrib/118188795320740986350/reviews?hl=zh-TW,4,False,24,今天點了海鮮炒麵，便宜份量多，麵稍軟，算好吃吧！但負責接點餐的年長女性是老闆娘嗎？沒有評價説的很親切啊😅😅😅
 劉丁丁 ,https://www.google.com/maps/contrib/106279276512698774606/reviews?hl=zh-TW,5,False,3,"畢業多年後回去吃，老闆娘竟然還記得❤️
超用心！超好吃吃！推薦辣子雞丁(微辣）"
 周康永 ,https://www.google.com/maps/contrib/101333334328135545595/reviews?hl=zh-TW,5,False,1,平價美食cp值超高推薦肚子餓又不知道要吃什麼的人可以來嘗試一下
 Jeff Lu ,https://www.google.com/maps/contrib/101670720399662002891/reviews?hl=zh-TW,4,True,114,算是便宜實惠的一間店，雞排飯大概一個便當的大小，雖然雞排不大且肉不多，但以價位來說可以接受，豬肝湯則是比較推薦的品項，點一碗只要45元，但裡面有著滿滿的豬肝，建議在附近不知道要吃什麼的時候，可以來這裡點一些平價美食。
 N H ,https://www.google.com/maps/contrib/101578709086127170996/reviews?hl=zh-TW,5,True,862,"今天第一次吃，炒飯、便當類都很好吃，而且份量好多，完全吃撐！飯麵類餐點的價格便宜到誇張，跟本是15年以前的價格了！幾乎在65元～70元之間，而且份量大、用料多，都替老闆娘擔心有沒有賺錢⋯
便當有三樣菜附顆滷蛋+主食，真的很讚！"
 Hua HT ,https://www.google.com/maps/contrib/116117797176338550078/reviews?hl=zh-TW,5,True,481,"我面對大電風扇，裡面沒有蚊子，不會吃到滿身汗
飯上來的時候就沒有很熱了，可以直接吃，但是儘管吃很快了，吃到後面還是涼掉。飯很多
女店員笑咪咪
有小小的電視可以看"
