user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 FEN Cheng ,https://www.google.com/maps/contrib/114936642827391743119/reviews?hl=zh-TW,3,True,141,"第一次遇到店家是用line帳號點餐
（不知道還打電話過去，就被引導要改用line)
無需接觸，也不用怕站在攤位挑很久被瞪
還可以用linepay付款，很先進👍
炸物選擇很多，也有其他攤沒有的特別食材
不過本人炸物控，還是覺得炸的麵衣吃起來不是我的type
（我比較喜歡傳統鹽酥雞裹的地瓜粉）
冷掉會很硬，且胡椒實在太鹹了，建議大家選「少味」
飲料是用折扣碼換購的「百香果汁」
喝起來酸酸微甜，蠻解膩的，不過就是水了點😅

📍偶爾可回購"
 Fancy Liu ,https://www.google.com/maps/contrib/115163273204282634323/reviews?hl=zh-TW,5,True,46,"朋友推薦的鹹酥雞店，
特殊的點餐方式，非常適合疫情期間。

價格也十分公道+餐點美味，
青椒的作法還是日式炸物的作法（裹粉炸），真ㄍㄠˇㄍㄤ。

大年初三的夜晚，可以吃到鹹酥雞真幸福😊"
 Summer ,https://www.google.com/maps/contrib/104153203509089328953/reviews?hl=zh-TW,1,True,326,買了好幾次這是最糟糕的一次，我老公今日2月7日凌晨12點半時前往購買雞排、甜不辣、炸地瓜、糯米腸、魷魚，還有油到很誇張的銀絲卷，油到像是在喝油，家人已經吃了三塊後反應油到很想吐，當下把剩下的銀絲卷放進袋子裡面還能擠出這麼多油真是讓人倒足了胃口。
 林旻諭 ,https://www.google.com/maps/contrib/116590821378422644768/reviews?hl=zh-TW,4,True,62,"薯條份量有點少⋯⋯
但鹽酥雞跟高麗菜都很好吃！
月亮蝦餅吃起來粉粉的😣"
 黃奕軒 ,https://www.google.com/maps/contrib/117518199836278013774/reviews?hl=zh-TW,3,True,299,"個人覺得沒有淡水三家店的口味，完全不一樣的味道，是沒有到不好吃，但是味道完全不一樣，建議想吃淡水那個味道的，還是認命一點衝去淡水，不然真的會失望。
差最多的是無骨雞腿排，完全不知道是發生什麼誤會。"
 Ivy Huang ,https://www.google.com/maps/contrib/109608626418614381381/reviews?hl=zh-TW,1,False,5,不知是不是老闆換人，變得好難吃，甜不辣又硬又柴、雞排油耗味重、地瓜條黏在一起麵衣沒熟。拒絕再去
 Yovana ,https://www.google.com/maps/contrib/110334749228636631140/reviews?hl=zh-TW,4,True,175,雞排很好吃，油應該也有定期換，炸出來的顏色雖然沒有那麼深，但吃起來比較安心。價格算公道份量也OK
 eat. ,https://www.google.com/maps/contrib/111515857398492186763/reviews?hl=zh-TW,1,True,42,用外送平台下單，整單少了玉米筍跟起司條，卻多了個魷魚，看評價有少東西只能反應給客服，只好期望客服會退款了！先說說餐點的感想，青椒是我第一次吃到有裹粉的...真的非常不搭！！！加蒜頭直接炸會超級好吃，只能這樣給建議了，另外所有東西炸的時間都不夠久，外層裹粉的顏色都偏白，雞塊味道不錯但少了九層塔有點可惜～最後是大家說的油垢味，我是吃不太出來，所以綜合以上是不會再回購了！
 N H ,https://www.google.com/maps/contrib/101578709086127170996/reviews?hl=zh-TW,2,True,862,"近期再點2、3次，發現料也縮水太多⋯
七里香一份只有三顆、魷魚也比以前少了一半、最扯的是香腸吧！比地瓜薯條還細還短的香腸賣35元？
然後炸皮蛋怎麼會整顆炸都不切啊？離譜難吃
還有，生洋蔥也是隨便切切，看照片那個樣子是有切嗎？超隨便！甘梅地瓜也是都不切的⋯到底是要多省工⋯
脆皮雞排的質也不在了，整塊都是炸裹粉皮，而且炸粉和雞排肉分離，炸粉沒熟軟爛的狀態。
一直以來很常買但現在真的不想光顧了！
👎🏻👎🏻👎🏻👎🏻👎🏻"
 junoya ,https://www.google.com/maps/contrib/111919637304814250899/reviews?hl=zh-TW,5,True,139,"雞塊咖哩飯好吃還有湯圓跟飲料
重點是開到半夜2點真的是夜貓子的福音"
 棠霓鹿 ,https://www.google.com/maps/contrib/104981492152846366533/reviews?hl=zh-TW,5,True,19,"能預約取餐不用等在那非常友好
個人習慣提早5分鐘左右到
使用line訂了2次
餐點好的都跟預約時間差不多
在萬物皆漲的狀況下這家算佛
可以吃多樣炸物又可以吃的很飽
好評"
 Vincent Gao ,https://www.google.com/maps/contrib/117222501194508799919/reviews?hl=zh-TW,1,True,33,女店員老闆的態度蠻傲慢，是那種會容易對客人沒耐心，有點會使臉色...
 長毛叔叔Joseph Lai ,https://www.google.com/maps/contrib/116033471270854006254/reviews?hl=zh-TW,4,True,449,"看了先前的評價，似乎很差
但是東西滿好吃的啊
沒有那麼差耶…

不過店員的態度要親切一點會更好喔！"
 Allen Lin ,https://www.google.com/maps/contrib/111239016158167075442/reviews?hl=zh-TW,5,True,35,雞排很大價格很合理，建議不想排隊的可以打電話或用line點餐
 Ann Feng ,https://www.google.com/maps/contrib/115397615062446470837/reviews?hl=zh-TW,1,True,28,「乾到不行的雞排」。本來是多汁的到讓老闆堅持不能剪的雞排，自從換老闆以後，光顧了兩次，都非常令人失望，雞排相當乾且硬像是在吃肉乾，原本多汁的口味完全不見，甚至還比原本的價格貴了一點，新老闆頂著明記的招牌卻沒有相對用心，完全沒能繼承前老闆的精神。客人的嘴不是笨蛋，是好是壞，食物本身真的會說話。已經決定不再前往，也不會再給機會。
 Joe ,https://www.google.com/maps/contrib/107182557885826453663/reviews?hl=zh-TW,1,False,18,"用外送平台點餐
這次使用團購方式點餐結果給我都放在一起，是要吃大鍋飯哦？然後調味也是調錯，不辣變有辣要辣變沒辣"
 Jocelyn Yao ,https://www.google.com/maps/contrib/108247071942021821274/reviews?hl=zh-TW,4,True,166,外送到家，餐點還是熱的👍🏻
 林詩淵 ,https://www.google.com/maps/contrib/104539353745305314001/reviews?hl=zh-TW,5,True,92,附近的鹹酥雞吃來吃去還是這家最好吃！
 杏仁 ,https://www.google.com/maps/contrib/111694735076289985709/reviews?hl=zh-TW,4,True,269,"這家炸魷魚跟熱狗很推！！
魷魚Q彈新鮮不會有臭腥味
他們的皮都很好吃，酥脆不油
唯一美中不足是雞塊有點乾+芋頭系列都小乾
夜宵好夥伴😘🙊"
 Serene Huang ,https://www.google.com/maps/contrib/112606438430793592561/reviews?hl=zh-TW,5,False,6,"東西超好吃，食材新鮮，雞肉超juice～，蔬菜類都很新鮮漂亮，可以感覺的到店家在食材品質的把關，是良心炸物店！不像很多炸店因為用炸的關係，選用便宜的食材來降低成本，吃的很不安心！
而且上次在等的時間跟老闆聊天，才知道老闆真的很用❤️在把關，許多品項還是親自去市場購買挑選～炸雞店能做到如此用心真的不容易！但真的吃起來會讓人放心，在現在這麼多黑心店家的時代～
不懂為何有這麼多人睜眼說瞎話，刻意抹黑，但食物會說話，老闆加油💪🏻，我可不希望好不容易找到一家吃起來很安心的炸雞店最後沒有，我都不知道吃什麼了🥲"
 張嘉倫 ,https://www.google.com/maps/contrib/105738351096397098065/reviews?hl=zh-TW,5,True,142,"採用line點餐，取餐時間抓的非常好，不會有冷掉的問題
餐點還算好吃的，雞塊酥脆多汁、洋蔥圈真材實料"
 テイケイネイ（噗） ,https://www.google.com/maps/contrib/100747317838548552558/reviews?hl=zh-TW,5,True,36,"有炸甜粿！
而且過年時間有營業！
還很好吃！
拯救了我過年期間的嘴巴癢😚"
 Serena ,https://www.google.com/maps/contrib/114588226004789458604/reviews?hl=zh-TW,1,True,73,鹹酥雞跟魷魚完全沒配料沒有九層塔也沒蒜頭吃過最厚的炸百頁的皮只有甜不辣還可以不優感覺好像也沒加胡椒感覺就只是炸物店而已
 希望 ,https://www.google.com/maps/contrib/112836993426026025779/reviews?hl=zh-TW,5,True,86,很喜歡雞排跟炸青椒，覺得炸功還不錯目前沒吃到什麼不喜歡。炸起來酥酥脆脆。疫情很多店不開害我常常跑來。😨😨😨
 A Land ,https://www.google.com/maps/contrib/111708467879928218354/reviews?hl=zh-TW,5,False,4,覺得好吃，這次點了甜不辣和鹽酥雞和豬血糕。甜不辣的酥脆程度很重要！老闆炸得剛剛好！！會再去光顧！！
 黃甜貓 ,https://www.google.com/maps/contrib/101441739462537043916/reviews?hl=zh-TW,5,False,2,商品品項多，東西也很新鮮，推薦點地瓜跟甜不辣，魷魚也是傳統的那種魷魚腳很下酒，蔬菜類品項齊全，洋蔥圈是新鮮洋蔥很讚，炸高麗菜口味很獨特，肚子特別餓的話還有很多種炸餅類，想吃甜的推薦花好月圓或是傳統年糕，想吃的類型幾乎都有一種以上可以選擇，總歸來說是現今少有的好店！！大推喔！！
 sp W ,https://www.google.com/maps/contrib/114932947192518801159/reviews?hl=zh-TW,5,False,1,"👍👍👍真的好吃！感覺的到現任老闆的用心，她遇到等餐的客人，她會一直訊問，需要改進的地方，並馬上去調整！（還有叫外送公司的客人，才下訂就來電話來說突然有事強硬要先送！或是供給商送來的蔬菜，不是當天的新鮮菜品等等.....她都會盡快去處理）

我是一位正在做骨癌化療的病人，特別怕油膩的東西，别說吃了，一聞到油煙味，就會不自主反胃...
唯有他們家的炸物，炸蔬菜，炸脆皮年糕，炸/麻薯，炸起司條，炸三角薯餅，炸梅粉地瓜等等，我吃了都OK...真的是既酥脆又不油....完全沒油耗味

我雖沒吃過前一位老闆的東西，但我覺得他們炸的蠻好的！，小袋子可愛又剛剛好，可將所有炸食分開放（做的很細緻...)

不會像之前吃過的幾家店，反正鹹的一袋，甜的一袋，整個塑膠袋都很油，紙袋更是油到有些爛爛的...

真心希望他們能做的長久，大家給些意見，老闆非常重視客人的感受~如此我也能一直吃到他們用心的好味道！❤️❤️❤️"
 Adrenaline ,https://www.google.com/maps/contrib/102181053482474841448/reviews?hl=zh-TW,2,False,3,"Ubereats點餐後去除處理餐點時間，20分鐘送來，可惜餐點已變溫。分量偏少，還少了一份麻辣雞肉香腸。另外辣粉另放一袋需要自己加.......。
還是蠻失望的，沒想到跟網路上留言差不多，餐點容易涼掉...，也頗另人不解，畢竟其他家沒遇過這種狀況，可能現場買會比較好吃吧。"
 tina ding ,https://www.google.com/maps/contrib/102971565935532361386/reviews?hl=zh-TW,5,False,2,"👍真的很好吃耶！送到時起司條還能拉絲，完全不油……評論有點長希望大家能看完，謝謝！(感謝親切又神速的外送員)😙😙😙

🔴1.炸蔬菜像日式天婦羅，剛好家裡有白蘿蔔，銼點蘿蔔泥+日式醬油(也可加些芥末)
🔴2.配上一盒平價壽司(就是可自選10元~25元一個的那種)
🔴3.泡上一杯抹茶(綠茶粉+水)
不到200元，就吃了一套日式套餐……小資女的幸福啊！😂

外面平價店的現炸天婦羅就要160元(只有一片地瓜，一塊茄子，一塊牛蒡，一小撮金針菇，2個半根四季豆)，在家吹著冷氣，吃的超爽😆，CP值粉高耶！

老闆超大方，才點100多元，幾乎每次送其他炸物，免費請的東西……吃起來……心情就是特別不一樣，一口一個小確幸！❤❤❤"
 陳家家 ,https://www.google.com/maps/contrib/117149839521026349145/reviews?hl=zh-TW,1,False,14,"使用Foodpanda外送，店家疏失沒給到雞塊，致電反應，店家說：要調監視器才知道是不是真的，但為了減少糾紛還是算了沒關係，沒有一句道歉，後來請我向客服反應退款事宜。
除了雞皮好吃之外其他都非常普。"
 n1454 _ ,https://www.google.com/maps/contrib/104948415772639481182/reviews?hl=zh-TW,5,False,12,"有一次店員加錯把胡椒粉加成梅子粉
誤打誤撞超級好吃
以後不管點雞排還是甜不辣一律只加梅粉
感謝滿足我的獨特口味😋"
 Elisa Chang ,https://www.google.com/maps/contrib/110769607106097670164/reviews?hl=zh-TW,1,True,44,人就在攤位前為什麼只能用line點餐..
 Stanley Huang ,https://www.google.com/maps/contrib/116436229643312498640/reviews?hl=zh-TW,4,True,54,"兩年前剛換老闆常常放錯東西
現在更新了Line線上點餐，還可以用LinePay相當方便！炸物的品質也比較穩定了"
 瘋雨 ,https://www.google.com/maps/contrib/103026023663683645065/reviews?hl=zh-TW,1,False,1,叫我們線上點單結果點好了等了一個小時跑單，前面的時間根本白等，浪費時間，要求的還無法完成。
 霈霈 ,https://www.google.com/maps/contrib/115802017800777477478/reviews?hl=zh-TW,1,True,470,"換人經營後生意明顯下滑很多，男店員炸東西很不用心.不認真，一邊炸一邊滑手機。結果東西都一大坨黏在一起！大蒜片還酸掉，整體感覺很失望跟糟糕。如果無法用心經營，無法維繫前任營業者的水準，恐怕流失客人也是必然的結果。

2017.9.19(更新)
雷店.無誤!!
今天再次確認....店家如之前所形容般糟糕
這次炸東西是女店員.臉超臭
炸出來的東西還是一樣...非常的乾跟硬(難吃)
店家真該吃吃看自己炸出的東西...好了解到底有多難吃
這間店已列入拒絕往來戶.永不踏入..
拒絕往來店+1雷店+1"
 J.T. 522 ,https://www.google.com/maps/contrib/116707222110443364962/reviews?hl=zh-TW,2,False,2,訂購的餐點被晾在一旁不管，如果沒有去問的話又要白白的等著。
 Rice Lee ,https://www.google.com/maps/contrib/111806130855923657875/reviews?hl=zh-TW,2,True,28,"訂了2次Ubereat，2次餐點都少！
等了40分鐘結果是一場空的心情⋯⋯
實在無法給好評！！！
第一次就算了，隔一個禮拜再訂一次還是這樣！
拜託請確認餐點再拿給外送員好嗎？"
 Esther ,https://www.google.com/maps/contrib/106436173354567596801/reviews?hl=zh-TW,1,False,20,"四季豆：40元沒幾根（5根對切而已），超傻眼
雞排：粉太厚
蘿蔔糕：只有四小塊，傻眼
甜不辣：乾硬

第一次叫，但感受很差，從來沒有買過這種炸物，價格超不對等的

app訂了又被取消反覆很多次"
 Joeyoung ,https://www.google.com/maps/contrib/104824561279138768800/reviews?hl=zh-TW,2,True,37,"一直都滿常買的
但是最近品質越來越不好...
今天買來吃
可以感覺油很不ok
都會有一種臭臭的油味...
以後應該不會再去買了"
 tao Lu ,https://www.google.com/maps/contrib/106719093541175079771/reviews?hl=zh-TW,1,False,9,"這間地瓜條是我這輩子吃過最難吃的地瓜條
其他都還可以，都拜託不要給地瓜條機會
其餘薯條甜不辣什麼的，感覺都炸不夠久
一點都不脆"
 Huang Olivia ,https://www.google.com/maps/contrib/105213212125521247610/reviews?hl=zh-TW,5,False,13,超愛吃他們家的洋蔥與甜不辣，每次都要各點兩份。前陣子老闆還加裝電視來消遣等待的時間。品項很多，每次都可以換口味吃不膩！
 葉葉正心 ,https://www.google.com/maps/contrib/103550271864771976802/reviews?hl=zh-TW,1,False,1,今晚用外送平台訂了，兩份鹹酥雞，兩份熱狗，想說與家人分享，沒想到兩份雞肉，至少7~8塊都是沒熟的，當場沒食慾，真不知道為什麼會這樣子，不敢在光顧了。
 ying hang ,https://www.google.com/maps/contrib/106039202263532080861/reviews?hl=zh-TW,1,False,4,等了半天到我們發問才發現根本沒做，爾後態度極差，詢問我們是否全部分開裝再回答我們無法這樣
 吳櫻桃 ,https://www.google.com/maps/contrib/115006478396484926014/reviews?hl=zh-TW,5,True,44,"炸年糕超好吃

再回顧，炸年糕還是好吃！雞排也不錯！
但是其他的（地瓜薯條、四季豆、芋頭籤、甜不辣）不是沒熟就是沒味道⋯吃不下去！）"
 張家惟 ,https://www.google.com/maps/contrib/103410382942364913617/reviews?hl=zh-TW,1,False,12,"真的很扯
忙不過來就不要再接foodpanda的單
接一堆單然後都快兩個小時才拿到
拿到的時候餐已經涼了
是要吃什麼？
為了賺錢降低品質嗎？
真的忙就請大家自取
而不是一直接單然後每一筆都讓大家等2小時"
 鐘語姍 ,https://www.google.com/maps/contrib/103887459095977875955/reviews?hl=zh-TW,1,False,13,一份米血糕30元，只有五塊⋯
 Naomi Yang ,https://www.google.com/maps/contrib/115585988602200199470/reviews?hl=zh-TW,1,False,16,"外送分量少到讓人懷疑人生！
炸皮蛋一整顆不剪也很奇葩！"
 tammy wu ,https://www.google.com/maps/contrib/116113516334939591015/reviews?hl=zh-TW,5,False,6,"目前都是用FoodPanda訂餐，超好吃，才訂一百多塊老闆就送過°炸湯圓°炸雞塊°可愛三角炸薯餅！！！大大推薦……1.脆皮年糕♡2.炸麻糬♡3.馬芝拉起司條♡
送餐速度超快👍👍👍
炸物好吃，老闆大方親切٩(๑^o^๑)۶"
 Ke Kang Liu ,https://www.google.com/maps/contrib/114292682434694925739/reviews?hl=zh-TW,1,False,5,"花耶菜一份NTD40
內容：4顆,平均一顆花耶菜10元
這價格您不會覺得太貴嗎?
我是使用ubereat叫餐
如果事前知道只有4顆小小的花耶菜
絕對不會點你們的東

照片中這份要價NTD240"
 CT H ,https://www.google.com/maps/contrib/110029301124952063633/reviews?hl=zh-TW,5,False,13,"超好吃的！
每次去都不知道點什麼...
因為每樣都想吃啊
尤其是雞排、甜不辣、洋蔥
現在想起來又流口水了
重點是
老闆是正妹❤️
服務態度超好的唷！"
 馮芳娜 ,https://www.google.com/maps/contrib/106841206362446065311/reviews?hl=zh-TW,5,False,1,今天去現場點單，終於看到鄰居所說的女生了，她真的很拼一天做兩份工作唷，那女生可愛又親切很親民，偶爾還會多送東西吃，雖然今天現場等的時間有點久，但是那女生很有禮貌讓我覺得等的時間很值得，餐點包完就說不好意思讓妳久等了還跟客人說掰掰，她的笑容真的感覺超溫暖的啦，還有現場炸真的比較好吃，口感超棒的，尤其是雞排多汁鮮嫩，還有小湯圓啊麻糬啊熱熱的吃起來很暖胃，所以大家不要再線上訂單啦，大家去現場點真的口感不一樣唷！！
 鍾宗憲 ,https://www.google.com/maps/contrib/107303645374922110498/reviews?hl=zh-TW,1,False,10,剛買回來吃，吐，好噁心，沒有良心，太貴，太難吃，不知道用什麼油，你們餐飲業都這樣的嗎？買完還要去醫院，以後不會去，黑心的店
 Naomi ,https://www.google.com/maps/contrib/104099165458124813576/reviews?hl=zh-TW,1,True,26,用foodpanda叫來140元的雞塊（就是鹽酥雞）只有14塊？薯條炸到乾掉花椰菜只有兩小朵這份量真令人傻眼
 Ming Chang ,https://www.google.com/maps/contrib/112619790731137299752/reviews?hl=zh-TW,2,True,38,"蘿蔔糕一份才四塊就25元
雞排夭壽貴，都是粉，還要80
甜不辣給最多，卻是最難吃的
不會再叫第二次！"
