user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 n1454 _ ,https://www.google.com/maps/contrib/104948415772639481182/reviews?hl=zh-TW,5,False,12,"以前都是走過路過經過
今天天氣變涼即使已經買了自助餐
還是想喝熱熱的
所以這次走過路過不錯過
點了大腸臭臭鍋、豆腐海鮮鍋
湯頭很夠味～好喜歡(˶‾᷄⁻̫‾᷅˵)
外帶也不會等太久👍🏻👍🏻👍🏻👍🏻👍🏻"
 趙偉志 ,https://www.google.com/maps/contrib/107209585859709775929/reviews?hl=zh-TW,5,True,155,正常的小火鍋店，可能因為疫情緣故沒有附冰淇淋（但我吃了2年也沒有去用過，只是蒜蓉醬裡的蒜蓉好像變得比以前少了，但基本上這兩年來的變動個人感覺不大，以130一鍋算是很ok了
 Jamie Super 33 H ,https://www.google.com/maps/contrib/110502500759351967536/reviews?hl=zh-TW,1,True,134,王子麵外帶怎會加湯一起包包成這樣整坨麵爛掉看了心情有夠差
 丁祥生 ,https://www.google.com/maps/contrib/103387739604347944087/reviews?hl=zh-TW,4,True,469,好吃且價格合理，白飯及飲料可一直續
 楊志偉 ,https://www.google.com/maps/contrib/102888749069641723960/reviews?hl=zh-TW,1,True,131,本來是三媽的時候很好吃。昨天回購發現不是三媽了。但還是買了常吃的海鮮豆腐鍋。漲價就算了變的超難吃食材都是冷凍冰箱久藏的味道。沒辦法給0顆星。只好給一顆星。
 Kenny ,https://www.google.com/maps/contrib/116429712837628153991/reviews?hl=zh-TW,2,True,195,"櫃台的妹妹臉有夠臭
東西用丟的
好像欠她錢一樣
然後東西做好後
不主動附醬
也沒提醒客人要拿
開了二十年了愈來愈回去了...."
 Alisha Sung ,https://www.google.com/maps/contrib/114309128047160275279/reviews?hl=zh-TW,3,False,8,"外帶備註常出錯
今天的外送湯都灑出來
除了加價的蛋有一起煮外
其他備註都是白寫"
 棠霓鹿 ,https://www.google.com/maps/contrib/104981492152846366533/reviews?hl=zh-TW,5,True,19,"點的是泡菜鍋，沒有選擇肉加倍
鍋子是深的，吃到最後很飽，我連冰淇淋都吃不下
我並不是小鳥胃，正常食量的女孩子應該都可以吃的很飽
喜歡泡菜的味道，很入味
進店前看了一下評價有很多說店員態度不好的，雖然不是很熱情的招呼那種類型，
但是我說謝謝店員也會回我謝謝。
覺得滿正常的沒有態度特別差呀！
而且我注意到他們速度很快動作俐落
我餓了
喔我是因為天冷想吃鍋
路過看到價格進店的哈哈
這個價位吃到這樣的內容我覺得很OK
桌面乾淨、店內明亮、料多夠味
是CP值高的一間小火鍋"
 君 ,https://www.google.com/maps/contrib/113745034829283438445/reviews?hl=zh-TW,1,False,2,整個味道都變了，臭臭鍋也非常不好吃，店內還看到老鼠跑過，整個食慾都沒了
 賴皮 ,https://www.google.com/maps/contrib/106456759394959232878/reviews?hl=zh-TW,4,True,35,第一次來這裡吃~感覺是還不錯啦！主要是針對鍋方面…，這裡的鍋比一般的深又大一些，料也較多一點，但湯較少，後面可以加湯；但因為要自己煮，所以花了一點時間要等待(現場風大了點-_-#)【有一疑問:單子上註明沒開鍋，冰淇淋要加收30元。表示應該是要有冰淇淋的←_←但沒看到有T_T】
