user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 翁琬婷 ,https://www.google.com/maps/contrib/112626751630914398453/reviews?hl=zh-TW,5,True,19,"今日特餐-👉蒜味雙拼
我覺得吃過幾次，味道跟營養兼具~想吃辣旁邊有提供辣粉跟七味粉可以加！
環境舒適乾淨。"
 Ashe ,https://www.google.com/maps/contrib/108061088792451966799/reviews?hl=zh-TW,4,True,301,"今天點的是雙雞特餐
配菜部分都不錯，紫米還行，
啊！紫米太黏的部分有把餐盒黏到撕起來😅
然後肉太柴了🥲
簡介寫是舒肥，但完全沒有舒肥的軟嫩口感
不過一份特餐$100很棒！"
 Matt (拉麵 Geek) ,https://www.google.com/maps/contrib/112063779695610315084/reviews?hl=zh-TW,3,True,513,"以出發點是健康餐點的話，餐點的配置真的沒有符合這個設定
蔬菜類只有小小一格，種類也不豐富，主要份量還是靠米飯澱粉在撐
同樣吃健康餐，如果不是要嚴格控管油脂攝取，在價格區間相似的選項，附近另一家初壹食午輕食餐我覺得更適合

強尼兄弟的優點是肉類調理味道更好吃，也抱持低油低鈉的烹調
蔬菜皆是水煮
米飯煮得更有口感，不會過濕，紫米香氣也更凸顯
同時店面環境更舒適

但如果只是買外帶，或是真正追求營養均衡，熱量控管，強尼兄弟我覺得不是這邊的最佳選擇"
 ellenway Chan ,https://www.google.com/maps/contrib/111983613722988129883/reviews?hl=zh-TW,5,True,179,吃過很多次了，雞雙拼、雞牛雙拼、七味子魚都很入味好吃，肉質潤軟不柴，蔬菜也有調味，不是水煮，算是很好吃的健康餐盒，週間中午建議官網訂餐後再自取，不然會等一下喔。從111/2月起改週六營業、週日休，
 a Mi ,https://www.google.com/maps/contrib/116073404020658524251/reviews?hl=zh-TW,2,False,47,"食物的部分有用心，食品營養標示清楚、份量明確、味道也不差。雖然價格偏高但不至於無法接受。
服務人員態度尚可，沒有太多的介紹、沒什麼微笑，但不至於到不禮貌。
環境明亮乾淨，每個座位底下有提供插座。座位區舒適。廁所也整理得很乾淨。
店門口標示有提供WIFI，入內用餐後表示「不提供WIFI」，反映問題以後並無解決，亦無任何人來說明原因。
店內另有5星好評可提供折扣的告示牌。"
 丹丹 ,https://www.google.com/maps/contrib/100447510159311303091/reviews?hl=zh-TW,5,True,154,"老闆非常的親切
店內設計比較走簡約時尚風
餐點也比較健康
重點是他蛋糕是減糖系列
吃了也比較沒有罪惡感
然後他的飯是紫米飯
食材也非常的新鮮
重點是寫Google評論還有折$15
店內也很乾淨"
 yangtao ,https://www.google.com/maps/contrib/102686783344887637954/reviews?hl=zh-TW,5,True,314,健康餐算4.8分，調味清淡但不會無味，水煮幾乎無油，飯可換菜大加分，但第一次嘗試正常份量覺得菜偏少，之後會想試+20加菜，豬肉嫩且不乾，價格也不貴，蠻推薦的
 Jakson CH ,https://www.google.com/maps/contrib/104691863412028947927/reviews?hl=zh-TW,1,True,34,"餐點普通菜量少，買了好幾次取餐還在停留在古早時代的慢速。建議網路點好餐和現場點用餐尖峰時刻務必需要分流，不然現場點餐和取餐混在一起要等非常久。用網路預訂給的時間，到現場櫃台還要求一起排隊久候取餐?那網路給的取餐時間有什麼意義嗎？乾脆關掉全部改現場點餐就好。

打著創新健康餐，取餐卻還停留在傳統櫃台方式。現場點餐和網路尖峰時刻取餐量非常大，櫃台人員壓力山大，不要期待會有什麼好的態度跟臉色。8/24晚班櫃台，速度很慢服務應對口氣差已經不是第一次看到了。建議可以去看看附近店家生意好的櫃台取餐和結帳是怎麼做的。"
 Elizabeth L ,https://www.google.com/maps/contrib/110908720996114537869/reviews?hl=zh-TW,1,False,38,買過四五次，每次想要再給一次機會，體驗都很差，菜量不僅超少，地瓜和胡蘿蔔也黑黑的感覺不新鮮，雞肉腥味重，價錢也不便宜，出餐順序超有問題，號碼牌比內用的前面，但內用的先拿到是有什麼問題嗎？現在健康餐盒如雨後春筍般興起，根本沒必要花這種冤枉錢吃到這種品質的東西，再也不購買。
 大眼 ,https://www.google.com/maps/contrib/107305635465554388021/reviews?hl=zh-TW,4,False,18,"透過熊貓外帶自取，份量有點小，但飯可以換菜這部分很棒！

不知是否是環保餐盒的緣故，把餐盒放在桌上都會滲水/汁？><也因為外帶沒有馬上吃很怕環保餐盒太脆弱會破掉"
