user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 JF Y ,https://www.google.com/maps/contrib/111295864306200581988/reviews?hl=zh-TW,5,True,170,"餐點美味
服務態度也很好
吃完的餐盤秒收
價格也平易近人
富貴雙方超好吃必點！！！

兩人用餐金額500～700間
還會再訪😋😋😋"
 Vera ,https://www.google.com/maps/contrib/101634260225721075281/reviews?hl=zh-TW,4,True,"1,027",111/08/26初訪，脆皮豬腳外酥內軟超好吃，櫻花蝦油飯也夠味但不會太濕軟或偏硬，醉蝦Q彈鮮美，清蒸石斑魚也在水準上，蛤蠣雞湯好喝而且蛤蠣好大又鮮甜，烏魚子沙拉個人還好，牛腩也蠻推，環境乾淨，服務人員上菜快，也有按時換餐盤
 Leu Jihperng ,https://www.google.com/maps/contrib/115557490073823486000/reviews?hl=zh-TW,4,True,69,"曾經造訪兄弟飯店台菜，粤菜館，今天首次到14樓川菜館(桂花廳)，高樓層總算有户外景觀，空間明亮許外，某角度可遠眺101大樓及遠山。

可惜有長輩不能嚐辣味，今天都是不加辣或麻的香料。菜單選項非常多，下次再嚐試正宗川菜。

擔擔麵:
麵條Q彈，裹著胡麻酱，好吃。

豆絲炒牛肉：牛肉絲軟嫰，加入一些香菜梗，有如港點牛肉丸，不錯吃。

牛腩豆腐：牛腩/牛筋入口即化。

生菜蝦鬆：蝦子蠻大，簡單好吃。

川餅包乾扁四季豆：有趣的組合及吃法。應該也是高能量，馬上有飽足感。

小魚莧菜:OK"
 Mortimer Wei ,https://www.google.com/maps/contrib/104039167067909622341/reviews?hl=zh-TW,5,False,24,老師傅手路菜，好吃😋又不貴，CP值爆表，餐後還送甜湯，疫情期間，晚餐時間只有兩桌，餐飲業真「慘」，好餐廳值得推薦。
 沈啟鴻 ,https://www.google.com/maps/contrib/110495882046395298803/reviews?hl=zh-TW,4,True,"1,142",菜色不差依舊維持兄弟飯店應有的水準，可惜其中一道牛小排料理方式過油，吃起來很像炸過的很膩口。最好吃的是牛肉麵和雞湯。
 Emily Chen ,https://www.google.com/maps/contrib/116486953558873361604/reviews?hl=zh-TW,5,True,41,"素食套餐也相當美味~清爽不油膩.入味可口,適合團體聚餐．這次公司部門聚餐,深受同事一致好評的飯店等級料理"
 林丞軒 ,https://www.google.com/maps/contrib/110381754858157294702/reviews?hl=zh-TW,4,True,72,"趁著半價活動來的，
菜色大部分都普通家常，還不錯吃但也沒多驚豔，如果是原價會有其他更多選擇，但是環境跟服務態度都不錯值得讚賞！
單純評斷口味跟價格cp值話我只會給三星"
 Cindy ,https://www.google.com/maps/contrib/111487629770554652031/reviews?hl=zh-TW,5,True,871,"三五年沒去林經理的幽默風趣絲毫不減不僅如此名片馬上掏出還能記住客人
用餐間隨時說上用餐俚語令人愉快這樣的主管難怪客人絡繹不絕相信被他服務過的客人都讚譽有加希望公司能對他個人有所表現因為實在是不可多得的人才
還有值得稱讚的商業午餐更是不凡只是如果不用一般路邊商業午餐托盤呈現附餐菜色能用餐盤縱使簡單亦可恢復飯店令人驚艷應有的水準"
 律萱 ,https://www.google.com/maps/contrib/111519399309441770650/reviews?hl=zh-TW,5,True,248,"富貴雙方糖醋里肌豬肉捲餅好吃茄子還不錯
茶好喝蝦鬆料多實在每一口都能吃到滿滿的料
蒸餃料多實在喜歡甜點紫米芋頭西米露🤍
服務很好送餐速度也很快
希望未來主動附上紙巾"
 Charles ,https://www.google.com/maps/contrib/113250246979892731747/reviews?hl=zh-TW,5,True,397,"五星確定外帶也讚✅

必須推［1599四人外帶套餐實在完美］
有滿多選項可以挑選的，而且份量多又好吃，外帶的包裝跟結帳安排也很方便。蒜泥白肉、魚香烘蛋真是分開醬汁外帶也非常開胃下飯，水煮牛也蠻有水準個人就希望能再辣一點就更好了。

清蒸鱸魚蠻新鮮的相當滿意，而且還有酸辣湯、白飯跟烏梅汁！希望能延期再來選其他料理就好啦，例如白切雞跟螞蟻上樹🥳🥳🥳"
