user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Polly Chou ,https://www.google.com/maps/contrib/118353118450230022267/reviews?hl=zh-TW,2,True,550,"晚上約9點時是貓空少數仍提供餐點的茶館
會引導客人上半露天（大陽傘座位）的用餐區可看到蠻完整夜景～
鹹食口味普通不會難吃是可想像的熱炒店味道但很油很鹹吃完口超渴XD
甜食的部分就比較中下鬆餅比較軟而沒有表皮脆內層綿Q的感覺
且應定位為景觀餐廳因此餐點價格較高CP值偏低
另外店家有貓～怕小動物的人要注意唷
也因為是戶外座位的關係會有些蚊蟲以及其他桌客人會直接吸菸讓整個空間都是煙味QQ"
 Hi-C Obira (海西隨便拍) ,https://www.google.com/maps/contrib/110153672007554368063/reviews?hl=zh-TW,2,True,623,"風景很棒，裝修環境很好，但是服務態度就。。。看到“用餐須知”後稍微知道原因了
茶葉炒飯好吃，但是說真的沒有吃出茶葉味，但是是有些葉渣。
鐵板牛肉無可挑剔！
蟹黃豆腐煲好吃，但是蟹黃真的真的很水，但是還是好吃。
冷泡烏龍茶是讓我最失望的，售價100多，容器雖然好看但容量超級無敵少，感覺買茶裏王都比較值得，還無法續，感覺如果把價錢拉低的話是完全可以接受，但是賣個三位數還不如個2～30塊的CP值真的是讓我超級傻眼。"
 Jenny Liang ,https://www.google.com/maps/contrib/104348876973036977895/reviews?hl=zh-TW,4,True,754,和菜菜色及口味都很不錯，沒有用餐時間的限制，適合一群朋友來吃飯泡茶。
 MF CHIU ,https://www.google.com/maps/contrib/115142173893904479886/reviews?hl=zh-TW,4,True,213,"低消一人才150的樣子
一開始老闆就會提醒只營業到1點唷
原本只是要喝個茶
但食物看起來太誘人
就點了幾樣菜
炸豆腐、鳳梨蝦球、脆皮肥腸
都還不錯吃
冷泡茶的容器實在太特別了
整體來說不錯，下次會想再來吃飯"
 ling Chen ,https://www.google.com/maps/contrib/112476436652070631934/reviews?hl=zh-TW,5,True,238,老闆是鸚鵡愛好者。食物好吃、風景美、寵物友善。冷泡茶好好喝！還跟老闆請教了做法，買茶葉回家自己泡👍
 介智 ,https://www.google.com/maps/contrib/106409608630554068987/reviews?hl=zh-TW,5,True,46,"每到菜的份量足夠
四人點四到菜剛剛好，茶油拌飯好吃~
還有額外下午茶甜點或飲品"
 楊鎮淦 ,https://www.google.com/maps/contrib/100422418875091366879/reviews?hl=zh-TW,4,True,608,"不小心把照片刪除了！所以只能口述了！
這裡的服務人員真的很棒，也很貼心，是一個聚餐及好友聚會的地方。最主要還是風景優美
PS：終於把照片救回來了"
 蘇麗雪 ,https://www.google.com/maps/contrib/113675468576775712052/reviews?hl=zh-TW,5,True,15,"鄰近新店的下午茶好去處。
享受貓空愜意的午後時光。值得推薦！
雙人浪漫下午茶550元加一成服務費👍"
 Bee T ,https://www.google.com/maps/contrib/101706511804719812853/reviews?hl=zh-TW,5,True,22,"空間寬敞，靠窗可賞夜景，餐點好吃很下飯
價格便宜適合家人朋友聚餐喝茶。
平日來訪沒有什麼人太多態度不好的問題。"
 蔡凱婷 ,https://www.google.com/maps/contrib/114062531922032768161/reviews?hl=zh-TW,5,False,9,加服務費兩肉一豆腐一菜一茶總共一千二，很好吃很新鮮，就是燻雞口味偏鹹，不那麼鹹會更好。
