user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 林若甄 ,https://www.google.com/maps/contrib/105914212012227856911/reviews?hl=zh-TW,5,True,58,"他們菜色十分多樣！
除了畫面中的18道菜以及白天也免費提供的蔬菜湯以外，
老闆偶爾還會端出水餃放在上面，
可是每次都被秒殺，希望下次能吃到><!

首先！！！
這間店打破了一般人(非素食者)對素食「一律清淡」的印象。
他們的調味都很剛好，一點也不油膩，
重點是這些菜吃起來每個都很鮮脆！
是我覺得能讓平常會吃蔬菜的人更愛吃菜的那種！
由於實在太好吃，
平常都被嫌小食量的我又去盛第二次啦～～

他們炒菠菜的味道跟平常吃到得不太一樣，
我說不太出來是用什麼調味，但就是好喜歡><
而四季豆炒豆干是我的最愛！！
應該是用素蠔油炒的(?)，味道很鮮甜但又不會太重，
我願意為了它盛好幾次呀～～～

第二次有裝些蔬菜湯，
原想說解解渴而已，卻被熬出來的甜味給驚豔！
只能說【玉貴人】給了我滿滿的驚喜呢

還有很多加分的小地方～
只要有道菜快空了，廚房馬上就有人端熱騰騰的一盤出來，
而當客人用餐結束且離開座位，老闆就會來擦桌子，
處處都能感受到他們經營這間店的用心！

雖然晚上$130對某些學生族可能小貴，
但整體來說是間滿分的店，十分推薦大家來吃唷！"
 Abby Chiang ,https://www.google.com/maps/contrib/114732621021571442037/reviews?hl=zh-TW,5,True,162,"想補充青菜和豆腐類的營養，晚餐130吃到飽是不錯的選擇。用餐環境挺好，也挺喜歡裡面的書法題字。

雖然對我來說有的味道較淡，有的較鹹，有的較油，但依每個人的喜好，可能感受不同。整體而言，還是挺優的👍"
 ELLE W ,https://www.google.com/maps/contrib/114060051641503278015/reviews?hl=zh-TW,4,True,387,素食秤重自助餐，店面乾乾淨淨，內用有音樂，座位舒適，有提供免費湯，還有白米飯、紫米飯做選擇，但選項不是很多就是了！晚餐130元吃到飽很划算！
 Mars Lu ,https://www.google.com/maps/contrib/114322431680386793824/reviews?hl=zh-TW,5,True,69,"晚上變成吃到飽自助餐
只要130元
CP質真的很高
餐點內容也是蠻豐富的
老闆會看東西快沒了的時候
趕緊生出新的一樣
還有街口支付很方便"
 Jade C ,https://www.google.com/maps/contrib/106465110537541742961/reviews?hl=zh-TW,5,True,138,吃完才想到要拍😆食材新鮮、食物美味好吃！而且經常補菜、出新菜，老闆人超好又親切。一人130元吃到飽，在台北市中心要找到cp值這樣高的素食餐館恐怕沒有第二家
 Justine Chiou ,https://www.google.com/maps/contrib/114799472582981816158/reviews?hl=zh-TW,5,True,47,"中午已包好的素食便當$80附有一碗湯，調味不錯。如果有更多豆腐當成蛋白質來源就更好了。

晚上有$130吃到飽，無蛋料理。剛好遇到類似烤麩的菜色，還蠻喜歡的。當天的蛋白質來源是素雞與烤麩。三杯杏鮑菇很好吃，其餘菜色尚可，一般的炒青菜。竹筍湯很有料。"
 劉昌瑋 ,https://www.google.com/maps/contrib/102798907596133029720/reviews?hl=zh-TW,5,False,3,店內乾淨明亮，各道菜都相當好吃，還有輕音樂，晚餐吃到飽才130，有菜有飯還有湯！超棒！會再度光臨的
 鄭穎穎 ,https://www.google.com/maps/contrib/112888394415074378705/reviews?hl=zh-TW,5,False,11,"無蛋無奶，還能做到每天的菜色變化
每天還有限量20個結緣便當50元🍱
趕時間的話拿了就可以走，營養均衡
尤其是主菜炸杏鮑菇，伍告齁甲，驚為天人🤩
希望大家有機會可以來嚐嚐看
中午人很多，建議早點來～～"
 Hung YaYun ,https://www.google.com/maps/contrib/102695690290030205169/reviews?hl=zh-TW,5,True,50,"素食吃到飽$130

飯：提供白米跟五穀米自選
湯：當天是海帶味增湯自取，味增味道很夠，海帶份量也多，非常有誠意👍🏽
菜：約20種，其中菜品吃完廚房馬上補，用餐期間也不斷上菜，且新鮮好吃，調味合宜😋

最讓人覺得佛心的，就是還有提供麻辣臭豆腐可以自取，鹹香微辣十分開胃下飯，且豆腐洗了飽滿湯汁，非常入味，完全可以單飛😍

真的是美味又實在😄"
 蔡芮郁 / 芮芮去哪裡 ,https://www.google.com/maps/contrib/106422463849055579580/reviews?hl=zh-TW,5,True,302,"晚餐130元，菜色很豐盛！
且不油、不鹹吃起來很安心～👍🏻"
 Frances Tai ,https://www.google.com/maps/contrib/103063140881165873278/reviews?hl=zh-TW,5,True,25,老闆及廚師團隊很用心製作美味五星級蔬食料理，店內的擺設也富有巧思，天天吃都不會膩~
 一拳超人 ,https://www.google.com/maps/contrib/113950195012858805907/reviews?hl=zh-TW,5,True,64,雖然一個月才來吃一次但是每次來都可以吃出老闆在菜色上面的用心也可以吃出滿滿幸福
 terry lin ,https://www.google.com/maps/contrib/106518458387670977349/reviews?hl=zh-TW,5,False,11,"嘗試了中午素食便當（80元）非常好吃
在這個地段這個價位很佛心。"
 倫敦樹 ,https://www.google.com/maps/contrib/115464367083307365915/reviews?hl=zh-TW,5,True,319,"晚餐130/人，用餐當天提供20道菜，allyoucaneat.
各式現炒青菜，豆腐，豆包，偏天然蔬食，素料只有素雞一款。炸玉米餅是唯一炸物，紫米飯，蔬菜湯。
味道不錯，跟一般素食自助餐相比，沒那麼油。
現在台北外食，小小一份燙青菜要價四十元，需要補充每日足量蔬菜和蛋白質，這裡是好選擇。
晚餐五點開始，大約六點，菜全部上齊。"
 Hama Ayu ,https://www.google.com/maps/contrib/111196179223292793481/reviews?hl=zh-TW,4,True,442,"食。蔬食
-
造訪時間：2020/12
-
鄰近捷運南京復興站，巷弄內的人氣蔬食自助餐，用餐時段人潮眾多。
店內用餐空間雖不大，但座位數尚為充足。
-
本次嚐鮮的是晚餐時段
特別的地方是，店內晚餐時段提供的是
100元吃到飽（用餐時間50分鐘）
提供了紫米飯/甜湯/鹹湯/及季節時蔬
-
菜色非常豐富多元，提供無蛋奶。五辛的料理！
個人非常喜歡店家提供的炒蔬菜系列，不會過油，吃的到蔬菜原有的甜味，口味上也很清淡，吃起來不會有過重的負擔！
同時店內也有提供伴飯類小菜，如素鬆/豆棗等搭配。
-
飯類提供紫米飯，吃起來有淡淡香氣，不會添加過多油分讓吃起來很膩口！
-
用餐時段雖用餐人潮多，但補菜到速度也很快，出菜的同時也會說明本次出餐的菜色，讓想要品嚐的饕客嚐鮮，這點非常貼心，同時也提醒取餐饕客留意熱食靠近，是一個很貼心的服務。
-
整體用餐感覺良好，可以吃到不同種類的蔬菜，讓平常攝取蔬菜量較少的饕客，一次吃到多元營養，讓整體的營養很豐富！
且晚餐吃到飽的價格，非常的便宜！
喜歡吃蔬食的同學，可以來參考看看！"
 聆心 ,https://www.google.com/maps/contrib/115983956734492827406/reviews?hl=zh-TW,4,True,171,精緻好吃的素食連免費的配湯都是上等的熬牛蒡湯總會有幾道是上乘水準的料理👍五榖米飯品質好也調配的溫煦順口的好吃
 Yu Lan ,https://www.google.com/maps/contrib/102346500672434365439/reviews?hl=zh-TW,1,False,7,雖說是吃到飽，但如果你食量太大，老闆會找理由在櫃檯當場修理你喔。ps.然後你放心，他會在你付完錢後，才會修理你。
 庫洛的爸 ,https://www.google.com/maps/contrib/102704516307680601970/reviews?hl=zh-TW,5,True,394,"在台北是鬧區裡面居然可以用$100晚餐素食吃到飽太佛心了
餐點不像一般吃到飽的水準！
不管是食材還是硬體設備都讓人可以稱讚👍
而且老闆娘也很熱心服務態度都很好
而且菜色都是以原形食物居多
五點之後陸陸續續開始出菜
不是中午剩下來的菜色
口味不會太重偏清淡
而且有味道也不會太油膩
如果可以希望大家可以自備餐具
建議價格可以改成$130吃到飽
以維護一樣的品質
、服務永續經營
........................................
已經漲價變成$120了
在這個地方用餐
這價格都可以接受
環境用餐品質都還是維持一定的水準

因為菜色沒有特別標示
建議如果有特別調味
譬如說辣椒或是芥末...
可以放個小牌子提醒客人"
 Yu Min Queen ,https://www.google.com/maps/contrib/109306578944125970649/reviews?hl=zh-TW,5,True,196,"吃過兩次了，兩次品質都非常好！很滿意～
菜色雖然沒有很多樣化，但都很新鮮可口，口味稍微偏鹹了點，整體是好吃的。
炸物素料偏少，大多以蔬菜為主，比較健康，上菜速度也快，鹹湯沒喝，但甜湯兩次都讓我喜歡，還有氧氣水可以飲用。
客人品質大多很好，吃飯時特別安靜，工作人員和藹可親，用餐環境乾淨舒適，值得推薦。👍

（疫情期間，夾菜要記得戴口罩喔😷！）"
 hsu chung an ,https://www.google.com/maps/contrib/116968382969661137086/reviews?hl=zh-TW,5,True,161,晚餐100元吃到飽相當划算平價環境優美背景音樂好聽紅豆地瓜甜湯好好喝飯粥炒麵也好吃菜色有咖哩馬鈴薯豆包青椒豆干豆腐青菜紅羅蔔等等二十幾樣在市中心能這樣吃大推
 高小飛 ,https://www.google.com/maps/contrib/117801109482074589017/reviews?hl=zh-TW,5,True,30,"真的很佛心
不會因為便宜就亂煮
非常有媽媽的味道喔！好吃"
 王渝涵 ,https://www.google.com/maps/contrib/112862067304980316561/reviews?hl=zh-TW,5,True,74,便宜好吃健康，晚餐時段100元吃到飽，提供紫米飯/湯/甜湯，菜會陸陸續續上來，當天去吃也有15道可以選擇，菜點調味很好，餐廳環境也整潔。
 佐佐木（SASAKI） ,https://www.google.com/maps/contrib/104162879942836971462/reviews?hl=zh-TW,4,True,192,"台北市吃午餐系列二十六

玉貴人蔬食

晚餐是100元吃到飽

各種蔬食隨你吃

對我這一種食量大的人來說

非常划算

每次去吃自助餐

就算素食的隨便夾一夾也要150

100元隨便吃

真的一定吃回本

而且蔬食還會更換

所以吃到一半會上新菜

飯也是五穀飯

整個很健康吃起來沒有負擔

而且味道調理的還不錯

算是近期最喜歡吃的一間

唯一缺點純素食者

可能不能來吃

因為不是純素食

所以料理方式也不同於一般的素食料理

三杯麻油米酒等調味也讓蔬食更美味

還有鹹甜兩種湯也是隨你喝

CP值破表

Ps小孩要60元真的很虧大概只吃15元吧

美味70
天然80
份量100
價格80
回訪機率75%
3.8⭐️

#手機食先
#相機食先
#早餐
#早午餐
#台北早午餐
#台北美食
#台灣美食
#台北市美食
#台湾旅行
#台湾
#中華料理
#台湾料理
#鉄板焼き
#sandwich
#ifoodit
#ifood
#中山區美食
#韓国料理
#巷弄美食
#小吃
#台北美食地圖🌍#taiwanesefood
#goodfood
#nicefood
#buffet
#路邊攤
#noodles
#蔬食
#vegetarian
#vegetables"
 ChiaKuan Chen ,https://www.google.com/maps/contrib/116290249733185444958/reviews?hl=zh-TW,5,True,48,"晚餐吃到飽調整為130，
但是味道品質仍然沒話說值得推薦！"
 王和德 ,https://www.google.com/maps/contrib/105733647639500230961/reviews?hl=zh-TW,5,False,25,"好吃，便宜哦！健康
吃素食的好去處。
佛心來的"
