user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lin Cindy ,https://www.google.com/maps/contrib/114212420431662429627/reviews?hl=zh-TW,3,True,31,"今天跟爸媽三人來吃吃看這家餐廳是有重新裝潢過的整體的感覺很舒服😌還有放輕音樂風景也超好🥳

茶香醉雞很好吃😋我很喜歡紹興酒的味道很～濃（下面是高麗菜）

茶油麵線不錯很香麵線口感棒兩人份本來覺得只會有一點點沒想到蠻多的😊

客家小炒有點油😐而且醬味有點重會吃不到原本食材味

細皮嫩肉其實我覺得就是炸豆腐我本來還以為是像老皮嫩肉的形式覺得炸的不老。但是！有點油😑

茶葉煎蛋其實我覺得像烘蛋比較澎中間的蛋熟度剛好可是烘蛋就是會有點油🥲所以要自己考慮一下💭

炒高麗菜可以有甜味也有脆但不是很～明顯

今天點阿嬤菜脯雞湯一開始喝的時候覺得菜脯味很清甜不會死鹹但是很有風味還有回甘☺️
！缺點！湯沒什麼雞肉味&雞腿有嫩但是沒幾塊大部分是雞胸非常～～～～的柴（感覺雞肉是冷凍的？）

今天星期五還附了茶凍是桂花口味很好吃😍🥰

整體來說氣氛很好風景好食物還好今天吃下來不含服務費1650"
 Elma Xie ,https://www.google.com/maps/contrib/111921965015909900508/reviews?hl=zh-TW,5,False,14,平日前來貓空剛好看到這家餐廳！看了一下菜單與評論覺得不錯，結果一上來真的是很溫馨明亮的店，景觀還不錯看得到101，老闆跟老闆娘人都很好！！大家吃完都覺得Cp值很高，料理的話避風塘排骨、左宗棠雞、鳳梨蝦球等料理真的很好吃！歡迎大家可以前往品嚐！推薦！
 Karen Guo ,https://www.google.com/maps/contrib/110354988203931528490/reviews?hl=zh-TW,5,False,2,"真的很好吃，我們兩人週間下午五點出頭進來只有一桌，很幸運可以坐到窗邊，景色真的很美很遼闊、也剛好吃到後來有夕陽可以看～點了茶油麵線、炒水蓮、茶香醉雞、茶葉煎蛋、炸豆腐，對兩個人來說份量真的滿多的，但真的很好吃！！
炸豆腐很酥脆搭配胡椒鹽非常香~
醉雞很入味、茶油麵線跟茶葉煎蛋的茶味都很香很好吃（朋友表示都想問能不能另外購買茶油了XD）炒水蓮也很大一份吃得很滿足
最後老闆送了茶凍給我們吃也很清爽（平日其實評價就會送茶凍的，但我還沒寫老闆就送來了😂😂而且真的很好吃也寫的很快樂XD"
 Change ,https://www.google.com/maps/contrib/111809764280685230541/reviews?hl=zh-TW,2,True,203,農遊卷一桌只能使用5張，這是什麼規定？不爽農遊卷就不要跟農遊卷合作，老皮嫩肉好吃，其餘的不合口味。
 彭旭維 ,https://www.google.com/maps/contrib/114638823932776385604/reviews?hl=zh-TW,5,True,105,"貓空半日遊
開車到指南宮參拜祈福，然後在搭一站纜車到貓空站！但有一個問題，雖然只坐一站，但纜車需要等待空車，或是少一點的人來搭乘，所以要有心理準備等待在假日。
從貓空纜車總站走到餐廳約莫十分鐘，空氣很好，剛好散步一下也就餓了！
山中茶，不一定要喝茶，我們就是來吃飯的。因為肚子餓了。哈哈哈
四個人剛好點五道菜配白飯，恰恰好。
畢竟是觀光區，是熱炒但價格不會便宜，但也應該，因為運送成本相對高。
份量不算大，但都很入味好吃很下飯！
九層塔蛋，好吃蛋軟嫩，必點的料理。
檸檬雞，酥炸雞肉有果一層甜皮，甜鹹的口感，小推一下只是份量不多。
鹹豬肉：道地的味道，喜歡豬肉可以點
水蓮：炒的火候恰好，可以點。

超推薦，酥炸地瓜搭配酸梅粉，酥脆外皮，咬下地瓜燙口入味，配上梅粉甜滋滋！一口接一口！很推欸🫰🏻

店員好似就兩夫妻服務，會有點忙不過來的感覺，要請大家有點耐心了。

推"
 Alex ,https://www.google.com/maps/contrib/117570945445357445661/reviews?hl=zh-TW,5,True,59,"素食友善餐廳！

景觀很棒！還能看得到101！老闆跟老闆娘人都很好！糖醋素魚+炸地瓜超推薦！

對了！茶油麵線應該是貓空地區排前幾名的吧！"
 A-fang Lo ,https://www.google.com/maps/contrib/109475132632226471399/reviews?hl=zh-TW,5,False,7,"因為女兒生日上山來慶祝！第一次來山中茶餐廳，不踩雷，食物好吃、cp值很高！裝潢布置是女孩兒們喜歡的蒂芬妮藍(明亮又漂亮)。老闆娘很親切，除了招待我們家一人一個茶凍(好吃)，因為女兒很喜歡，想說走時加購一個外帶，沒想到老闆娘又多送給女兒一個茶凍(很感動喔....)。這裡也是景觀餐廳，邊吃飯邊遠望101和觀音山及淡水河~看著夕陽餘暉，天空從橘色到紫色，真是美麗又幸福的夜晚！
希望山中茶餐廳能高朋滿座唷~有機會會再來光顧的！"
 瀚云Doris ,https://www.google.com/maps/contrib/110902775996830596239/reviews?hl=zh-TW,5,True,61,"風景佳：
幸運坐窗邊，遠眺101與貓空纜車之景，很愜意。

餐點好吃：
醉雞酒香入味，略有厚度的口感剛剛好。
客家小炒帶有鍋氣的香，忍不住一直吃。
菜哺蛋外皮酥香、熟度適中還吃到了滑蛋質地，我很喜歡。
香菇冬瓜雞湯，鹹冬瓜片帶出湯品的精髓風味，還不錯哦

服務好：
服務的阿姨或送餐的先生，態度皆十分親切"
 Katrina Chang ,https://www.google.com/maps/contrib/106868875958999832220/reviews?hl=zh-TW,4,False,27,"店家很明亮，喜歡靠窗的位子可以看到纜車跟101
餐點都很好吃最有印象的是茶葉煎蛋，金莎排骨，茶油麵線很香、茶葉炒飯是我喜歡的粒粒分明、蒜頭雞也很好喝、餐後有附每人一個茶凍很香
飯後我們點選鐵觀音350茶水是每人100，沒有時間限制可以好好的悠閑吃飯喝茶聊天

結帳沒有額外收取服務費、但每人低消是200"
 Ricky Tsai ,https://www.google.com/maps/contrib/116594895886594330173/reviews?hl=zh-TW,4,True,89,風景優美，服務極佳，雞肉有點普通可能過於期待，但是蜜汁咕咾肉讓我驚艷，咬下外皮竟然是脆的，裡面又嫩，其餘菜也都有水準
 蘇維尼 ,https://www.google.com/maps/contrib/108251413860999986836/reviews?hl=zh-TW,5,True,75,"❤️餐點：醉雞、水璉、茶凍超好吃！口味非常到位。
很適合帶挑嘴的爸媽、長輩前來用餐
🧡老闆說：他們是「水源餐廳」退役的廚師，自行創業，裝潢行銷都一手包辦！
💛氣氛：一望無際的夕陽美景，環境乾淨明亮舒適
💚服務：老闆娘很客氣、老闆酷酷的、兒子掌廚
💙溫度：冷氣很亮、山間餐廳室內竟然沒蚊蟲！很舒服
💜交通：貓空終點站，走五分鐘山坡就會看到！在2樓"
 Yuan You Shen ,https://www.google.com/maps/contrib/111401842104360498883/reviews?hl=zh-TW,5,True,103,一對老夫妻經營的店，料理美味；咕咾肉、螺絲捲、茶呼煎蛋超好吃，環境優美乾淨，非常適合帶小孩用餐
 Roy Chao ,https://www.google.com/maps/contrib/118345460929572744577/reviews?hl=zh-TW,4,True,28,"風景絕佳、菜色豐富，而且價位很實在，重點是菜也都很好吃！這次點了「茶葉炒飯」「酥炸雙菇」「鳳梨苦瓜雞湯」都很好吃😋
雞湯超讚！在冷冷的山上喝碗好喝的熱湯超讚的👍"
 吳光良 ,https://www.google.com/maps/contrib/108411555448008817192/reviews?hl=zh-TW,5,True,44,手藝一流，服務也一流，不好意思太好吃了，不小心打破一塊盤子，闆娘人很好，還招待無敵好吃的茶凍，每次來訪都一定要來吃唷😊
