user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 黃俧達 ,https://www.google.com/maps/contrib/104602351069173094903/reviews?hl=zh-TW,3,True,261,"一般的平價小火鍋，有多種口味可選,味道就類似三媽，純粹是以吃飽為主；提供飲料與免費冰淇淋；老闆娘服務態度很好，也會跟熟的客人寒暄"
 律萱 ,https://www.google.com/maps/contrib/111519399309441770650/reviews?hl=zh-TW,5,True,248,"滷肉飯偏鹹沒什麼肉
飲料喝到飽有百香果汁跟仙草甘茶
一定要試試仙草甘茶！！超好喝不像想像中的那種怪味，反而是鮮甜清爽又甜而不膩的感覺。冰淇淋有4種口味：草莓、香草、椰子有一個吃起來像葡萄。今天的香草不像香草，一股杏仁味（？倒是椰子像香草，應該是放錯了。
整體環境算舒服，服務也很不錯，餐點超喜歡起司牛奶鍋，豬肉好吃，魚片也不會有腥味，菜很多，火鍋料一般般，整體吃起來很飽很滿足。"
 林翠玲 ,https://www.google.com/maps/contrib/104497852925040195403/reviews?hl=zh-TW,5,True,88,老闆娘及老闆服務親切，可以簡單也可以豐富的享用一頓小火鍋
 May Chen ,https://www.google.com/maps/contrib/112506883939750095173/reviews?hl=zh-TW,5,True,175,"內用有滷肉飯吃到飽雖然都是渣渣沒什麼肉⋯
免費的飲料有仙草甘茶還不賴⋯
店裡還有冰淇淋吃到飽一間平價的小火鍋店～平日很多育達的學生@@可能會沒有位子"
 Egg林 ,https://www.google.com/maps/contrib/101056199966686313193/reviews?hl=zh-TW,5,False,9,"1.內用有滷肉，好吃。
3.冰淇淋也比其他小火鍋店的高級，口味很棒~~
3.老闆娘很可愛，會以為自己的筆是客人自備的XDD
4飲料仙草甘茶很特別"
 TAKESHI S ,https://www.google.com/maps/contrib/112558932640912706851/reviews?hl=zh-TW,5,True,323,只有一個字（棒），我最愛他的魯肉飯，每次來都吃三碗
 kelly Chang ,https://www.google.com/maps/contrib/105899853654848153076/reviews?hl=zh-TW,5,True,132,"便宜好吃，還有冰淇淋可以無限吃,CP值高"
 Blanche Yang ,https://www.google.com/maps/contrib/117159537504935698843/reviews?hl=zh-TW,5,True,61,"便宜而且蠻好吃的，湯頭可以選擇的種類豐富(有提供素食鍋可以選擇)
推薦牛奶鍋、薏仁鍋、南瓜鍋
肉類有雞、豬、羊可以選擇
魯肉飯丶白飯丶飲料丶冰淇淋都是吃到飽
火鍋的酌料自行隨意搭配
有沙茶、蒜味醬油、白醋、豆瓣醬...等
平常日晚上會很多育達的學生會去用餐
座位稍微有點擠，全部坐滿可以容納大概30人左右
這邊很推薦冰淇淋常常有特殊的口味可以吃
波羅蜜、荔枝、榴槤、檸檬、芋頭都超級好吃的
店內有一間座式廁所"
 MAK君の散策 ,https://www.google.com/maps/contrib/109465773318845340142/reviews?hl=zh-TW,5,True,180,"外帶含飲料很划算喔
料多又大碗"
 林津津 ,https://www.google.com/maps/contrib/103340092233124508055/reviews?hl=zh-TW,5,False,8,"時常使用外送平台叫他們的鍋
有時外送員都會出包
打給店家都非常熱心處理很感謝！
鍋也好吃👍"
 pi pi ,https://www.google.com/maps/contrib/111030978363615045058/reviews?hl=zh-TW,1,True,121,"這裡的食材及內容物可能言過其實了。
冰淇淋的品質更劣。反式脂肪含量超高。
鍋料也少。
以物價上漲來看。這價格還是吃一碗有品質的麵飯比較實在。😠"
 陳慈信 ,https://www.google.com/maps/contrib/113631178702919662248/reviews?hl=zh-TW,4,True,274,便宜好吃衛生還可以飲料冰淇淋魯肉飯吃到飽
 314005 ,https://www.google.com/maps/contrib/115357436721167558282/reviews?hl=zh-TW,3,True,596,肉燥只有肉屑加醬油，白飯則有點偏乾硬，仙草茶則是有淡淡的仙草味，鍋的種類繁多，價錢則是150元起。
 Victoria Chen ,https://www.google.com/maps/contrib/108053998327430713424/reviews?hl=zh-TW,5,True,50,"餐點好吃沒話說，店家貼心客氣且服務到位

若透過UberEats訂購，備註事項沒填清楚，店家無法透過系統聯繫，所以只能選擇取消訂單

我是去電聯繫店家，透過直接聯繫溝通，重新建立訂單，順利完成外送點餐

建議點外送訂餐的朋友，由於外送系統限制，店家難以回復相關訊息，為順利點餐盡量避免備註，例如換菜、醬包多加*等，比較不會因無法回復而造成訂單取消

*可對換的菜要先問，不然像我備註到價格不等的菜，店家也不能回復，只能取消訂單；醬包系統有寫明只附一包，就不用再備註要了

本次點餐溝通過程，店家服務親切又貼心，發現老闆他們對google這類服務不熟，又盡力想做好，以上細節分享給大家"
 Angel Wang ,https://www.google.com/maps/contrib/100541454955209878036/reviews?hl=zh-TW,4,True,42,"老闆娘人很好，即便很忙也都是好好的講話。
只是大概是店面比較小，所以這家8鍋比其他家的8鍋的自助檯的內容較少，座位也稍微少了一點。
但整體上是ok的哦👍"
 Leo Wu ,https://www.google.com/maps/contrib/112202419797130009229/reviews?hl=zh-TW,4,True,33,雖然從開始營業到現在，中間有漲了價錢，但還是算有物超所值的小火鍋店，湯頭的選擇很多，白飯、飲料、冰淇淋吃到飽，也可另外加點一些火鍋料搭配，且下午沒休息，適合全家大小一起吃。
 Meow ,https://www.google.com/maps/contrib/100038217795943209397/reviews?hl=zh-TW,5,True,453,冰淇淋滷肉飯飲料免費續
 阿智 ,https://www.google.com/maps/contrib/111657243009477293297/reviews?hl=zh-TW,5,False,24,滷肉飯跟冰淇淋自助
 Potted plant dog ,https://www.google.com/maps/contrib/114149675282787293315/reviews?hl=zh-TW,5,False,10,服務佳平價且美味還有肉燥飯吃到飽
 TV Home ,https://www.google.com/maps/contrib/114550792888898628473/reviews?hl=zh-TW,5,True,166,麻辣鍋，很給力😋
 E laine ,https://www.google.com/maps/contrib/102369640269469585827/reviews?hl=zh-TW,5,True,46,"今天使用Ubereats訂餐
速度很快也沒有因為只有點一鍋而取消訂單（感動）
網頁上明確有註明不客製化
但我還是附上註明希望能將火鍋料換成綠色蔬菜
店家很貼心的幫我換菜還特地寫紙條說菜只能換成高麗菜
而且量超多（都快滿出來）
真的很感動耶😭謝謝你們的貼心照成麻煩真的不好意思"
 Helen ,https://www.google.com/maps/contrib/112349267221617576972/reviews?hl=zh-TW,3,True,367,平價，滷肉飯和飲料可續
 Ray Chen ,https://www.google.com/maps/contrib/106406081093114220946/reviews?hl=zh-TW,5,True,166,"不錯吃的平價個人小火鍋店
店家內用外送生意都很不錯
但內用不會等太久
這次吃牛奶鍋還不錯
白飯好吃還可以加肉燥
也有提供素食鍋和素沙茶
有飲料也有冰淇淋"
 陳龍龍 ,https://www.google.com/maps/contrib/116840536995906025591/reviews?hl=zh-TW,5,False,3,"一直都好想吃這間小火鍋，收藏在口袋名單中超久囉！
每次經過都看它生意超級好，尤其愈接近用餐尖峰時間人愈多，在台北市當地被喻為擁有超高cp值的店家，免費的飲料冰淇淋還有香噴噴的魯肉飯白飯都是無限吃到飽，最便宜也只要120元就能吃得到呦！給他大推大推推推推👍👍👍"
 Wayne N ,https://www.google.com/maps/contrib/115021582008295500428/reviews?hl=zh-TW,1,False,9,態度不好，且這是很糟糕的體驗，外帶多一份豆瓣醬要收五元，而因為我跟老闆要了一個小的密封袋裝辣椒醬，老闆就把外帶的辣椒包偷偷取消了...我打電話詢問才知道此事。真的沒有必要這樣偷偷跟客戶計較為敵，沾醬對我們吃火鍋來說是用餐的另一種口感，造成如此吝嗇的觀感不值得。
 朱湘鈴 ,https://www.google.com/maps/contrib/112934950909277701132/reviews?hl=zh-TW,1,False,8,"動筷子前發現鍋內有頭髮...告知老闆後老闆主動幫忙換鍋，但...換了第二次的鍋內一樣有頭髮....
用餐感受極差😩"
 ying wang ,https://www.google.com/maps/contrib/100520659705041047829/reviews?hl=zh-TW,1,False,54,用熊貓訂餐，已顯示餐點製作中，再過10分鐘，顯示訂單被取消！那請問一開始幹嘛接單？
 Mountain山娘 ,https://www.google.com/maps/contrib/107253481617129696786/reviews?hl=zh-TW,3,False,45,平價有附冰淇淋滷肉飯的店，但因低價品質尚可。
 李祖賢 ,https://www.google.com/maps/contrib/100581712833137702158/reviews?hl=zh-TW,4,True,501,東西還不錯吃飲料滷肉飯冰都是吃到飽去了幾次都還ok只是有一個阿婆店員請她加湯她就一直唸為什麼湯滾了不熄火就是一直滾才會沒有湯所以這家的湯不能喝的就是了
 Homeway Wu ,https://www.google.com/maps/contrib/117604117770790765938/reviews?hl=zh-TW,5,True,54,便宜好吃，魯肉飯丶白飯丶飲料丶冰淇淋吃到飽，很佛心的店，平常日很多育達的學生會去用餐，好吃
 Sandy Shih ,https://www.google.com/maps/contrib/118280646231681075583/reviews?hl=zh-TW,5,False,8,"滷肉飯吃到飽超棒！滷肉飯好吃
都不知道是來吃鍋還是吃滷肉飯😂
臭臭鍋口味有很多有選擇障礙者請換一家"
 資深少女Inuomi ,https://www.google.com/maps/contrib/111008220125352212348/reviews?hl=zh-TW,4,True,129,口味多樣！滷肉飯也好吃，還有冰淇淋！但送的蛋只有手掌一半大小...
 陳小花 ,https://www.google.com/maps/contrib/111928439682231562561/reviews?hl=zh-TW,3,True,261,論八鍋，輔大真的比較優。
 林昆毅 ,https://www.google.com/maps/contrib/101831998285817271256/reviews?hl=zh-TW,5,True,29,光顧好幾次，CP值高
 陳davice ,https://www.google.com/maps/contrib/105155514421936076662/reviews?hl=zh-TW,3,True,137,不錯吃的小火鍋，推
 卡奇 ,https://www.google.com/maps/contrib/104418227306616941435/reviews?hl=zh-TW,4,False,19,聽說8鍋有王子麵吃到飽才來的結果這間並沒有跟五味大呼過癮有9成像
 郭芳艶 ,https://www.google.com/maps/contrib/104552271374945008459/reviews?hl=zh-TW,5,False,4,食材新鮮衞生乾淨
 Joe Chien ,https://www.google.com/maps/contrib/102314642952010293117/reviews?hl=zh-TW,1,True,93,"歡迎光臨，
接待進來，
遞過菜單，
點完餐點，
才跟我說，
沒有白飯，
是耍我嗎，
我就是要，
吃很多飯，
才來八鍋，
我這個人，
很好處理。"
 Mumin Tsao ,https://www.google.com/maps/contrib/116640577044166810759/reviews?hl=zh-TW,5,True,140,便宜cp值高，滷肉飯好吃且吃到飽
 陳阿瑋 ,https://www.google.com/maps/contrib/102434350012324162414/reviews?hl=zh-TW,5,True,312,服務不錯，能在台北吃到平價的火鍋，真的很開心，看比賽還能吃小火鍋，一大享受阿
 李清鈺 ,https://www.google.com/maps/contrib/106345246526333693546/reviews?hl=zh-TW,1,False,8,我非常確定我等了有三十分鐘，然後才跟我說我的單給錯了人了，感覺非常不好
 大孟（大孟） ,https://www.google.com/maps/contrib/112273831761936827052/reviews?hl=zh-TW,4,True,177,"今天的番茄雞肉鍋好吃~
可以加滷汁，還蠻特別的
不過店員有點冷漠...."
 廖HInA ,https://www.google.com/maps/contrib/103830204894653586764/reviews?hl=zh-TW,3,True,27,客人吃完都不收，湯頭粉沒攪散，但白飯好吃
 Wu鳥賊 ,https://www.google.com/maps/contrib/114965868152823014636/reviews?hl=zh-TW,4,True,138,"cp值高。
有1小時的用餐時間限制，對想慢慢享受的人來說趕了點。"
 FuLin的日記 ,https://www.google.com/maps/contrib/106889745261015117071/reviews?hl=zh-TW,3,True,521,"東西太少
其他家都有王子麵等等的沒蔥
不過老闆娘笑容不錯"
 Archer Liu (甲蟲汁) ,https://www.google.com/maps/contrib/110265014284392737032/reviews?hl=zh-TW,4,True,26,白飯，滷肉汁，飲料，冰淇淋無限吃，適合吃粗飽。可惜沒有涼麵。
 Allison Chu ,https://www.google.com/maps/contrib/106032907975714556497/reviews?hl=zh-TW,2,False,14,味道和CP值普通，價格略高於其他臭臭鍋店。
 Bill Liao ,https://www.google.com/maps/contrib/114863270707667801427/reviews?hl=zh-TW,5,True,539,CP值不錯。店內乾淨衛生，老闆服務還是不錯。
 林倢伃 ,https://www.google.com/maps/contrib/114377783540006945451/reviews?hl=zh-TW,5,True,96,鍋是放瓦斯上加熱，料也滿多的，飯粒分明，很好吃!
 cpu286 my ,https://www.google.com/maps/contrib/104135520370202422244/reviews?hl=zh-TW,4,True,72,滷肉飯及冰淇淋，飲料吃到飽，CP值高
 廖鴻禎 ,https://www.google.com/maps/contrib/104130959644304382859/reviews?hl=zh-TW,1,True,15,態度很脫線，做事半吊子......就像(提神飲料)廣告台詞，你累了嗎？
 tony S ,https://www.google.com/maps/contrib/105032947779327973758/reviews?hl=zh-TW,2,True,187,東西很少、環境髒小，可能是全台灣最爛８鍋
 辛宗憲 ,https://www.google.com/maps/contrib/112945986105716808118/reviews?hl=zh-TW,5,False,9,東西好吃價格公道服務態度好出餐速度快
 WEI FU KAO ,https://www.google.com/maps/contrib/105943956227321211972/reviews?hl=zh-TW,4,True,62,雖然沒太大的特色，但是平價也好吃
 王太 ,https://www.google.com/maps/contrib/112971955663408701738/reviews?hl=zh-TW,5,False,9,外帶基本都很快，便宜又好吃
 Ariel Lin ,https://www.google.com/maps/contrib/105252136202280702866/reviews?hl=zh-TW,3,True,77,不難吃，但是生意非常非常好，用餐時間要等超久
 張家瑜 ,https://www.google.com/maps/contrib/109659676224006006300/reviews?hl=zh-TW,5,True,38,變貴了～但是飯可以吃很飽
 李懷珍 ,https://www.google.com/maps/contrib/111825227584548218788/reviews?hl=zh-TW,4,True,19,魯肉飯跟冰淇淋吃到飽
 翔 ,https://www.google.com/maps/contrib/117706439957942655615/reviews?hl=zh-TW,1,True,33,沒營業
 Ching-Yao Hu ,https://www.google.com/maps/contrib/106280277204724390980/reviews?hl=zh-TW,5,True,300,cp值頗高，適合重口味。
 Charles Fu (Charles Fu) ,https://www.google.com/maps/contrib/100299631798998684103/reviews?hl=zh-TW,5,True,34,食材新鮮湯頭好喝
 Abby Lee ,https://www.google.com/maps/contrib/100723622804739334846/reviews?hl=zh-TW,4,True,105,滷汁白飯飲料冰淇淋吃到飽
 劉豐源 ,https://www.google.com/maps/contrib/113144688390154068351/reviews?hl=zh-TW,5,True,180,平價小火鍋推薦!!
 孫阿雞 ,https://www.google.com/maps/contrib/108597426057580128870/reviews?hl=zh-TW,4,True,147,平價美味，而且店內非常非常乾淨！
 生娟楊 ,https://www.google.com/maps/contrib/105110810713072942409/reviews?hl=zh-TW,5,True,482,"推…😋😋😋
我吃的南瓜豬肉鍋👍"
 YHP ,https://www.google.com/maps/contrib/107608377141589268562/reviews?hl=zh-TW,1,True,201,料變少很多
 林裕斌 ,https://www.google.com/maps/contrib/105711558525780505792/reviews?hl=zh-TW,4,False,2,Cp值蠻高的，適合極餓的人
 Lee DY ,https://www.google.com/maps/contrib/104289477395329224860/reviews?hl=zh-TW,4,False,14,麻油湯底很棒
 許志緯 ,https://www.google.com/maps/contrib/112833150573221174033/reviews?hl=zh-TW,5,True,254,服務快速乾淨桌面清理快速乾淨
 Kamiyu Lu ,https://www.google.com/maps/contrib/100265241437591581166/reviews?hl=zh-TW,4,True,222,重點是冰淇淋
 Richard Huang ,https://www.google.com/maps/contrib/105747387832740222486/reviews?hl=zh-TW,5,True,88,物美、價廉，平價消費老少咸宜。
 陳登輝 ,https://www.google.com/maps/contrib/112766821188873382806/reviews?hl=zh-TW,5,False,12,食材新鮮，很好吃
 郝惠鳳 ,https://www.google.com/maps/contrib/109898342964419180817/reviews?hl=zh-TW,3,True,673,一般平價臭臭鍋
