user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳君育 ,https://www.google.com/maps/contrib/110175169960494399989/reviews?hl=zh-TW,4,False,443,"1️⃣在外頭就感覺冷氣強，雖烹調區在室內，座位區（皆為4人座）依然涼爽。
2️⃣相關連鎖店特色都是有多種醬料可混搭，酸菜雖註明極酸，但本人覺得還好。（一點都不酸…）
3️⃣豬血湯味道與吉林店略有差異，酸菜酸被壓制，靠韭菜提味，雖自行再加入不少酸菜，清爽鮮還是出不來。
4️⃣當日豬血與丁香魚都有種金屬味，也非不新鮮，但影響味覺。
5️⃣炒米粉意外有Q度，雖配置、調味都陽春，個人反倒有「記憶」到。
6️⃣麻油拌飯約是把魯肉飯的肉燥替換成麻油，雖不上火，但適合涼天是真的。"
 張尼歐 ,https://www.google.com/maps/contrib/117917688486736257820/reviews?hl=zh-TW,4,True,317,推薦最經典的豬血湯，加點滷肉飯或是炒米粉很搭配，怎麼吃都好吃，座位乾淨寬敞，如果純簡單享受，平均大概100元左右就可以吃到很滿足了，當然想要豪華的招牌豬血湯或是加點小菜，就看個人喜好決定了。
 林怡如 ,https://www.google.com/maps/contrib/104250624068884586981/reviews?hl=zh-TW,3,True,63,"外帶滷豆皮一份$40

滷豆皮使用炸好的乾豆皮，食用時可感受到醋味。交通便捷，過個馬路便是公車站（南京寧安街口）

本想再加購一份滷白菜，結果缺貨（ｉДｉ）滷豆皮不是用濕豆包而是真正的炸豆皮，不像豆包濕軟，豆皮經油炸後自成一格，雖吸收滷汁卻不失其乾而嫩的口感。這是我初次品嚐炸豆皮，完全顛覆我對其乾巴巴的胡亂想像（本人是外貌協會的理事長🙈）

大鼎豬血湯南京東路店滷豆皮的調味比起一般滷味店醋味更明顯，甜和鹹味相對淡許多（老實說我是螞蟻人🐜）。側邊有豆芽點綴；上頭有柴魚片增輝，很是熱鬧！只是個人覺得還是有點小貴(･ัω･ั)（以原物料、料理技術、人事店租等成本綜整計算）

老闆娘倒是挺熱情的，主客間無距離感

欸欸欸！菜單上的「魯」豆皮是錯別字唷！國文老師看到不知道會不會生七七((T.T；)"
 臺北醫學大學 食品安全學系楊惠婷 副教授 ,https://www.google.com/maps/contrib/117001429491458463994/reviews?hl=zh-TW,5,True,99,好吃好吃還是很好吃！今天到這一家來吃的是炒米粉、大腸豬血湯（可以選擇少油）、魯豆皮，還配上店家提供的酸菜跟韭菜醬油配上辣椒醬，大腸煮的非常軟糯，口感非常的好，炒米粉的味道更是無法言喻的美味，新鮮的豆芽菜配上我獨特的肉燥以及口感Q彈的米粉，這家真的是我心目中好吃米粉的前三名，這次來吃是因為中午肚子餓不小心走去附近一家涼麵店吃飯以後覺得非常的不滿足，所以又輾轉地跑來這裡喝湯吃炒米粉，吃完以後整個覺得完全彌補了涼麵帶來的失落感！滷豆皮的味道也是沒話說，整體而言就是一個實在！東西好！處理得非常的細心的台灣道地小吃！好吃😋！下次打算嘗試豬腳等美食，因為店裡面充滿了退庫的香氣，價格適中豬血湯的湯頭很清甜！
 Ashley Change ,https://www.google.com/maps/contrib/102231774729852177630/reviews?hl=zh-TW,3,True,299,看很久終於有空來吃，或許是期望太高，點了肉鬆筍絲滷肉飯跟豬血湯。滷肉飯的料若要配飯其實是有點不夠的，飯也沒有很軟。豬血湯是招牌，但…我的認知是豬血若新鮮用筷子一掰就會斷開，但這個豬血我無法用筷子輕鬆斷開，吃起來沒有覺得不新鮮，卻也沒有很新鮮的感覺，只能說應該是不會來吃第二次…
 chi chi ,https://www.google.com/maps/contrib/113576669966705004521/reviews?hl=zh-TW,4,True,668,環境環境算乾淨，座位不少。有套餐供選擇，很划算。醬料區自由搭配，也很多元。豬血湯比較偏鹹跟油一點，豬血嫩，滷肉飯，滷汁不會死鹹。青菜竟然還有灑胡椒很特別。
 Yi-Ting Lai ,https://www.google.com/maps/contrib/104275643077860386429/reviews?hl=zh-TW,3,True,940,"優：座位多，環境不髒亂

缺：只收現金

推：燙青菜(份量多，且同時澆灌滷肉和油蔥，味道口感豐富又有層次)

ok：滷雞腿(椒鹽、滷汁香、酸菜的味道疊加很迷人，可惜肉質偏柴)

不推：腿庫肉(肥肉膠質比例偏低，瘦肉偏柴)"
 Nick Chang ,https://www.google.com/maps/contrib/101682525678749186060/reviews?hl=zh-TW,5,True,224,"少數台北我會推薦的店
大鼎的滷汁很好吃所以飯類都很推
我不常喝豬血湯一般怕腥味
但這間的豬血不會
會一直再訪"
 Katty Chien ,https://www.google.com/maps/contrib/109658308264396801517/reviews?hl=zh-TW,3,True,655,"2022/03/10來吃晚餐：

本來要到隔壁吃餛飩湯的，臨時看到好久沒吃的“豬血湯”就進來吃飯了！

店家主打的招牌是“豬血湯”，但並沒有想像中的厲害耶！一碗90元的“大腸豬血湯”，真的不大碗，雖然有不少的大腸和豬血，但大腸偏軟爛，湯頭也不是傳統道地有很重沙茶味道，個人覺得真的還好而已喔！

另外點的油豆腐和燙豆芽菜也都一般般，結果~我今天最喜歡的竟是“炒米粉”耶！😅😅😅"
 Chien ,https://www.google.com/maps/contrib/109327618317789333371/reviews?hl=zh-TW,4,True,116,"湯很好喝～很清～～～豬血也好吃～
滷肉飯味道不錯～～
但是以小吃來說價格有點高～"
