user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳小彥 ,https://www.google.com/maps/contrib/103603050689434456217/reviews?hl=zh-TW,4,True,44,2022/4招牌烤肉飯$100，肉上面灑七味粉還好不會很辣，烤肉味道不錯，肉是比較小片的那種，下次再試其他口味。2022/4老滷雞腿飯$80，肉質不錯，感覺更划算。
 ChienWei Hsu ,https://www.google.com/maps/contrib/102082096966164211138/reviews?hl=zh-TW,5,True,165,這次是透過UberEats外送平台買「招牌烤肉飯」。烤肉真有碳香味，調味也很適當，加上飯是用雞油拌的，一口飯配上一口烤肉，真的是人間美味。如果可以現場買還是比較便宜一點，如果離店家太遠了，可以透過外送平台來品嚐這美味的烤肉飯。
 悠寶 ,https://www.google.com/maps/contrib/104529697923417154591/reviews?hl=zh-TW,4,True,840,"公司訂的午餐~~泡菜燒肉
同事說飯量偏少~對我不太愛吃飯的人來說
這樣飯量有點多😅
配菜有冬粉/少量高麗菜/豆干
燒肉炭烤香氣很香~味道也夠
飯軟硬東偏中等

⭐悠悠飲食參考：
甜：手搖飲半糖>偶爾3分糖
鹹：蠻重鹹的
辣：中辣"
 真心 ,https://www.google.com/maps/contrib/114456042159659767523/reviews?hl=zh-TW,2,True,75,"店家生意非常好，早上十點經過已看店家在準備外送的便當，量非常的大，我想應該是非常好吃，好奇嘗鮮外帶了個招牌烤肉飯100元，貼心的店家在點餐處寫著免費加飯，第一次買也不知飯量有多少，也就沒要求加飯，必竟現在的人飯量似乎都吃不多.
就這樣抱著期待的心情，到家打開一看，立刻被菜色給震住了,豆芽菜，豆乾，高麗菜，荷苞蛋，這配色還真是清一色的大地色咖啡色，烤肉有點像是薄肉片，口味偏甜，醬汁弄濕整盒飯.這還真不合我的胃蕾"
 DCW Tsai ,https://www.google.com/maps/contrib/112676296149441198864/reviews?hl=zh-TW,5,True,"1,024",招牌烤肉飯便當蠻好吃的！肉片入味份量也足！要是配菜能有兩種青菜（目前只有高麗菜）就更棒了。
 Cathy ,https://www.google.com/maps/contrib/110356700270794928244/reviews?hl=zh-TW,5,True,259,"這間烤肉飯真的非常好吃
以前吃過烤肉飯卡拉雞飯都超級推薦
圖片中都是雞絲飯不同時間買的$80
免費加飯菜有三種通常有豆乾燙高麗菜跟白菜上面還會加一顆荷包蛋
堪稱CP值很高

但是它會淋一個醬汁所以味道偏重
若不要淋記得提前告知店家！"
 Ting ,https://www.google.com/maps/contrib/102258675870784443169/reviews?hl=zh-TW,4,True,80,"蠻不錯吃的且不算貴肉蠻多的
真的貨真價實的碳烤烤肉超級香
點了兩三次都覺得不錯👍"
 發財貓貓 ,https://www.google.com/maps/contrib/115365372085241730933/reviews?hl=zh-TW,4,True,"1,585","醬燒卡啦雞
主菜不錯，醬汁微鹹，
肉嫩好咬，還蠻下飯，
副菜普通，沒啥特別，
有淋醬汁，味道偏淡，
一星兩分，貓給七分。"
 Vera ,https://www.google.com/maps/contrib/101634260225721075281/reviews?hl=zh-TW,4,True,"1,027","111/8/12醬燒雞排$100不錯吃，微辣，大推
烤肉飯$100頗貴，但豆干跟高麗菜滿好吃，豆干很嫩，高麗菜很鮮甜，烤碎豬片調味不錯，可惜都是薄碎肉且肉量偏少"
 陳雯雯 ,https://www.google.com/maps/contrib/110248790416093861255/reviews?hl=zh-TW,2,True,148,DM上標榜卡拉雞是先炸後烤，結果買到一個完全沒烤的是？然後把肉翻面發現皮也整個泡軟爛了，對得起這個價位嗎==
