user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 方外人 ,https://www.google.com/maps/contrib/106266295114666586814/reviews?hl=zh-TW,5,True,84,這是我們第一次來用餐，餐廳不大卻很溫馨，佈置得蠻雅緻的，女老闆爽朗風趣且親切，很有耐心幫大家介紹餐飲，店內最近改成全素，讓我們不用怕有蛋或蔥蒜的問題，一行共有十一個人，分別點馬告魚香、歐式歐妮、椒麻蕃茄等三種拌麵，川味椒麻、十三香、檸香蔬等拌飯，每樣的味道都有其獨特，麵條Q彈好吃，也很有嚼勁，馬告的香味倒很特別，拌飯很入味且口感佳，喜歡吃辣的饕客，不要忘記本店的辣椒🌶️，雖不是魔鬼辣，但辣得非常香又美味，另外加點骰植肉佛陀碗，滿滿的蔬食，配上紅藜麥很可口，培根牛植物肉排堡，看那醬汁的流溢，口水也隨之出來，連葷食者都會喜歡，本來很多人都想點，就是老闆忘了訂麵包，小小的遺憾，就期待下次囉！店內樣樣都值得去嚐鮮，餐廳採自助式，故不收服務費，所以飯麵的單價令人滿意，CP值超高，在還沒結束餐飯時，已經在討論下一回預定的菜單了，似乎讓人有欲罷不能的感覺，推優質的素食餐廳喔！
 珍妮佛 ,https://www.google.com/maps/contrib/118108200272589775470/reviews?hl=zh-TW,5,False,10,"是間很有溫度的餐廳！老闆說了這間店的故事後，我們被打動到，在疫情時撐過後，還是很有熱情的經營這家店，調整成全素的經營模式。

來說一下餐點，被驚艷到，一開始沒特別看到是素食餐點就打電話預約，到現場後，完全顛覆想像，老闆用心介紹，點了培根植物肉漢堡、椒麻麵、還有巧克力蛋糕，漢堡口感相當好吃有飽足感，椒麻麵的調味很過癮整個很入味，最後不得不說一下這個蛋糕真心好吃！！

下次有去聽演唱會願意再提前預約吃這家，吃飽再開心出發～～～"
 何若蘭 ,https://www.google.com/maps/contrib/111502776965779547466/reviews?hl=zh-TW,5,True,14,闆娘好可愛，真性情的人。第一次來吃，就點了闆娘推薦的「濃厚花生厚排堡」，哇噻，那個花生醬，真心推薦一定要吃，而且都是現做的，唯一的缺點就是「大」，可能對男生是剛好，但我可是拿著叉子分解著吃呢（反正最後也在我的肚子整合了）；今天七夕再來個老奶奶檸檬蛋糕作happyending。
 HsuHua ,https://www.google.com/maps/contrib/106001881906401713821/reviews?hl=zh-TW,5,True,12,"很特別的素食料理，很好吃
川味拌飯很香，有花椒香，但是找不到花椒在哪，很厲害👍
漢堡的素培根也很特別，薯條炸得超好吃！
一定要來吃吃看！"
 SALLY Chang ,https://www.google.com/maps/contrib/107257604801249770677/reviews?hl=zh-TW,4,True,489,"距離捷運台北小巨蛋站四號出口不遠，店內座位不多，大約能容納20人，採用自助區自行取用餐具。點了椒麻堅果拌飯與脆薯皆相當美味，下次來訪想嘗試其他品項。

.椒麻堅果拌飯：🌟🌟🌟🌟
相當重口味的一道，上頭的素蝦子吃起來像是脆口的甜不辣，不會有討厭的素料味，豆皮也不會太多導致脹氣，拌飯是像炒飯的模式，不會很油，吃完沒有負擔相當不錯。

.脆薯：🌟🌟🌟🌟🌟
相當令人驚艷的一道，炸得相當酥脆不會過硬，裏頭馬鈴薯香氣迷人鬆軟可口，搭配番茄醬非常美味。如果番茄醬不夠可至自助區自行添加。"
 May Ho ,https://www.google.com/maps/contrib/105028729756358924332/reviews?hl=zh-TW,5,True,223,"老闆很親切，店內座位約20個，採半自助式，不收服務費。
餐點份量足夠，漢堡內的蔬菜量也很有誠意，拌麵口感不錯，炸物種類豐富，主餐價格約160元，加點飲料或炸物小點可折20元，是會讓人願意再回訪的餐廳。"
 ELVI TravelBag X ELVI行李箱 ,https://www.google.com/maps/contrib/107828731257873510152/reviews?hl=zh-TW,5,True,97,"吃不出是蔬食的蔬食料理😍老闆也超用心、超親切！一直親力親為招呼客人，這次試了培根牛漢堡和番茄拌麵和炸物拼盤。真的超級好吃！位置也都好找！大推喔！
OneofthebestvegetarianrestaurantinTaipei.Youwon’tevennoticeit’svegetarian!Highlyrecommendit😍"
 yulin ,https://www.google.com/maps/contrib/114595933502146650886/reviews?hl=zh-TW,5,True,415,"漢堡超大，上桌的時候嚇了一跳😂蛋沙拉超美味！裏面夾著一片素排，但並不會突兀，不特別說可能不會察覺是素肉。是一家親切好相處的蔬食店。
內用座位大約二十個，店小小的，有不少童趣的油畫裝飾，可以看見老闆很享受於生活，是全心喜歡這家店，老闆個性外向開朗，讓人會想再來多吃幾次"
 薑薑兒 ,https://www.google.com/maps/contrib/110248443199543410973/reviews?hl=zh-TW,5,True,235,"漢堡的份量～

真的～好～～～～～飽呀！

吃完走了很久還是覺得撐！

花生口味的漢堡口感很棒，又濃又香！

蛋沙拉的也很不錯，只不過因為沙拉的質地讓吃起來會有點「手忙腳亂」🤣"
 冠冠 ,https://www.google.com/maps/contrib/107623726272000331521/reviews?hl=zh-TW,5,False,9,本身不是素食者，但是讓我想享的食物吃起來沒有素味，漢堡、拌飯和麵都超好吃，份量也很足夠，還有香蕉蛋糕必點，沒有吃到會遺憾終生，爆炸好吃👍👍👍👍推推推
 洪靜瑛 ,https://www.google.com/maps/contrib/102822073319931317667/reviews?hl=zh-TW,4,True,90,"餐點不錯，有符合期待～
椒麻堅果伴飯的確有辣，自行確認是否吃的了辣，否則……整肚子會粉辣喔！
應該是整個物價上漲的關係，我個人覺得價格不便宜"
 林晏 ,https://www.google.com/maps/contrib/116024845718293886720/reviews?hl=zh-TW,4,True,106,"甜點很特別，趁熱吃很讚
川蜀麻辣拌飯味道不錯
香濃手工蛋沙拉漢堡的菜給的很大方👍
淡藍海洋風味捲…..印象就是一堆菜菜

話說素蝦視覺上跟真的蝦子好像😆

加點的綜合炸物拼盤嚐起來味道其實都差不多（差別在形狀跟顏色🤔"
