user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Joanne ,https://www.google.com/maps/contrib/113826914008014835343/reviews?hl=zh-TW,5,True,28,"很有氣質很精緻的店
日本店長安靜有禮貌，話不多

蘋果肉桂拿鐵超級好喝，味道香醇柔和，甜度剛好。非常喜歡
食物乾乾淨淨，肉醬義大利麵味道適中帶點微辣，明太子義大利麵味道濃郁，份量中午吃剛好"
 Sabrina Wu ,https://www.google.com/maps/contrib/116881051076468576658/reviews?hl=zh-TW,5,True,18,"上禮拜晚上跟朋友偶然在地圖上找到這家店，一進門就覺得氣氛很好，跟一般酒吧吵雜的環境不一樣，店內放爵士樂，讓人聽了舒服自在。我個人點了馬丁尼，和店員說想喝甜的，對方還很貼心的幫我用百香果調味✨✨

馬丁尼層次感很好，不會太澀太苦，果香濃郁，很好入口，其他調酒都有品嚐幾口，也都還不錯。兩位調酒師（店員？）服務態度很好，除了氣氛舒適外，店內的裝潢設計也很棒，是間很有格調的店，希望下次能帶朋友一起過來再喝一杯😌😌"
 Fecia Cu ,https://www.google.com/maps/contrib/102650912863061253447/reviews?hl=zh-TW,4,True,397,"無酒精飲料推薦檸檬特調飲
薯條可以再酥一點醬料給太少
日本店長讓我期待炸雞是日式口味結果很台
漢堡排吃了不會踩雷但也沒特別驚喜～
值得一提的是鑽石型高吧椅非常難坐～
建議換椅子"
 Sasa Kuo ,https://www.google.com/maps/contrib/111720011224289431167/reviews?hl=zh-TW,5,True,185,"來過兩次了
第一次只是不知道要去哪喝很順道的進來
第二次就是特意過來的了

覺得是台北少數做經典調酒做得這麼道地的
是有日本人經營的，很放鬆悠閒的氛圍
不會吵鬧，沙發也很好坐
現在太多商業的酒吧了像這種比較沒放鬆舒服"
 I-chen Huang ,https://www.google.com/maps/contrib/113444910362317224815/reviews?hl=zh-TW,5,False,11,週日下午因找不到座位，走出一間吵雜如菜市場的某連鎖咖啡廳後，茫然不知道要去哪裡找到有插頭可以安靜做事喝個咖啡的地方時，剛好路過這裡。看到有賣咖啡點心，外頭座位旁也有插頭就直接走進來。一進來整個很驚喜，環境音樂優美，裡面沒什麼客人，很多插頭可以用。店員是日本人，講話很溫柔服務也很好，點了冰滴咖啡跟檸檬起司蛋糕，都不錯。價位跟高價連鎖咖啡廳沒差多少，但一個菜市場般吵雜，一個優美舒壓，心情天差地別~
 Chen MikeLynn ,https://www.google.com/maps/contrib/104873794364909706201/reviews?hl=zh-TW,5,True,47,"感受日本🇯🇵老闆的細膩
平日晚餐小食再搭個酒，蠻適合"
 T絕寶貝 ,https://www.google.com/maps/contrib/109678922406598299735/reviews?hl=zh-TW,5,True,113,"前一站吃完晚餐直接搜了附近的酒吧不到8.就來了成了第一組客人
完全沒做功課XD
但意外蠻喜歡這間的氛圍
氣氛剛剛好不會太吵但也不致於會不敢大聲說話
一入座服務生就給了我們每人一個熱毛巾擦手很貼心看第一眼還以為是巧克力捲🤣
因為很喜歡奶酒所以請調酒師推了我一個巧克力風味的調酒$380
很好喝！酒感大概中等伴隨著巧克力醬還有旁邊附的小餅乾很搭～～
第二杯是貝禮詩奶酒
酒感蠻輕的然後奶味很香～適合不太常喝酒的人～上面有搭一坨鮮奶油很少女🥰
口感也很順價錢應該也是300多
我們總共四個人所以還另外點了兩份薯條（$200*2）和一份綜合炸物（約$200？）
薯條很好吃而且很多！綜合炸物也還不錯不過我們四個人比較難分感覺兩個人的話會比較剛好～附的醬也不錯～
我們大約待了三個多小時整體的感覺都蠻好的調酒師也很親切！
然後廁所很酷XD是隱藏在酒櫃牆裡～一開始還找不到怎麼進去🤣🤣🤣"
 Asta Chen ,https://www.google.com/maps/contrib/114409073736387373923/reviews?hl=zh-TW,5,True,19,調酒水準很高服務很好薯條很好吃會想再來
 365 Shuukan ,https://www.google.com/maps/contrib/101775900003889774402/reviews?hl=zh-TW,4,False,5,氣氛非常好，有情調、調酒也很有水準！下次會試試看食物的味道
 Seth Hsu ,https://www.google.com/maps/contrib/114712025108983037916/reviews?hl=zh-TW,4,True,39,"很有氣氛的酒吧。
酒很好喝，老闆中文不是很通順，但老闆特調的較酒單的好喝"
 Nai Pang Chou ,https://www.google.com/maps/contrib/118121562308730874500/reviews?hl=zh-TW,5,True,32,"非常有特色有質感的店
炸物跟熔岩巧克力都超級好吃
長島冰茶也有一種特別的韻味"
 Kay Chen ,https://www.google.com/maps/contrib/101842923418991319490/reviews?hl=zh-TW,4,True,19,"很舒服很讓人放鬆小酌的酒藏
可以喝到一些平常喝不到的酒款
調酒師的功力也很厲害
很仔細的介紹你想瞭解的酒類的個性及口感
很適合下班來小酌放鬆聊天的地方"
 Pi-Jen Li ,https://www.google.com/maps/contrib/112912060005108975007/reviews?hl=zh-TW,3,True,53,"去過幾次，2022/4月底再去，換成QRcodemenu，線上點餐，但事實上無法點餐還是要跟服務人員當面點🤷🏻‍♀️。
櫃檯換了新人，感覺茫然，無法清楚介紹品項差別，說要幫忙找日本酒保詢問，結果日本酒保英文不好，問了兩杯調酒差別，只說剛好湧進很多客人應接不暇，他什麼都可以做⋯所以我隨意的點了一杯。
結果送上來，發現服務人員點錯⋯是好喝的，就沒計較了，最後也是結完帳後才跟他反應。
感想是，感覺已經是不太能放鬆的bar了⋯有點可惜，應該沒有機會再去了。"
 林丹尼 ,https://www.google.com/maps/contrib/103221095772642130270/reviews?hl=zh-TW,5,True,70,"帥氣的日本老闆
遠觀酷酷，相處貼心
這杯尼格羅尼變奏版
深得我心🥃"
 Ann Wang ,https://www.google.com/maps/contrib/102146413988818445806/reviews?hl=zh-TW,5,False,24,調的每一杯都合胃口很滿意，喜歡舒適安靜的氛圍，不知不覺點了五杯👍
 Hugo Huang ,https://www.google.com/maps/contrib/105922833217735897719/reviews?hl=zh-TW,2,False,6,幾個台灣Bartender態度有夠差，愛理不理，幾乎都在跟熟客聊天。低消每人500元，我們每個人都喝差不多一千了還跟我們說沒達低消還不能離開，自己搞不清楚客人喝了多少錢，態度還這麼差。
 Gear ,https://www.google.com/maps/contrib/116093962994591202104/reviews?hl=zh-TW,4,True,332,"氣氛還行，因為店員日本人，我不會日文
溝通根本有障礙，反而不會互相打擾
我喝我的他忙他的

ps餐點的蘑菇清湯很好喝
火腿拼盤只能單人造訪點，很可惜"
 黃培祐 ,https://www.google.com/maps/contrib/112835043426590663740/reviews?hl=zh-TW,4,True,19,"點了漢堡排和打拋豬肉套餐以及雞軟骨，剛好趕上啤酒買一送一的時段，以上點的東西都還不錯，適合下班後吃個東西聊聊小聚一下。

但後續點的Ginsoda和Highball沒有氣泡，這是比較失望的部分，所以只給四顆星。"
 James Ma ,https://www.google.com/maps/contrib/106115690868541085748/reviews?hl=zh-TW,5,True,207,"點餐前的熱毛巾在這暖暖的天氣真的感受的到溫暖~環境舒適且安靜，很適合小酌與聊天~可惜幫朋友點的環遊世界忘記提醒要加入生命之水，但喝起來的感覺還是非常棒；我自己是點長島、很順口，喝完的微醺感非常輕鬆。

1098/29再訪新增
奶油起司餅價格雖然不斐,但絕對值得搭配調酒（尤其是屬螞蟻愛起司的）讓調酒的層次又有不同的感受"
 Jacqueswilldo ,https://www.google.com/maps/contrib/115621205587531647983/reviews?hl=zh-TW,3,True,302,謝謝當日Kamisan和Amily的好服務放鬆調酒皆有其水準用心製作值得再訪。
