user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 ライ ,https://www.google.com/maps/contrib/112174004488626443166/reviews?hl=zh-TW,4,True,548,"營業時間6:00AM~11:00PM
可載具可行動支付
內用區一二樓都有位置～
男櫃檯點餐服務店員非常有禮貌👍🏻
不過等餐時間需等蠻久的～"
 yt z ,https://www.google.com/maps/contrib/111427206106224574578/reviews?hl=zh-TW,4,True,56,"晚上吃了生菜包烤雞肉，覺得可以再燙一點口感會比較好，味道很贊，不愧是日系漢堡店
晚上下班來這邊吃晚餐，意外的在二樓聽見一連串的詩歌演奏曲，都不想離開了((笑
我的腸胃還算強健，但看到有人喝了拉肚子的評論之後，期許店家能夠再接再厲"
 方淑雪 ,https://www.google.com/maps/contrib/115365258265189536181/reviews?hl=zh-TW,1,True,99,等餐要等到下樓去尋找，服務生在工作檯上找了一圈，從檯子內撈出了我的咕咕雞堡，並且對我說：「不好意思⋯因為單子出的比較慢，所以在裡面看不到⋯⋯不好意思。」然後⋯東西給了我後自己再拿上樓。那我可以這樣說：「不好意思，你們家的咕咕雞堡好難吃哦！服務品質又差！我拒絕付錢。」可以嗎！？不會再來這家摩斯，不值得浪費時間與金錢的地方。
 黃耀賢 ,https://www.google.com/maps/contrib/102732313070544857792/reviews?hl=zh-TW,5,True,14,6月時因想加購蒟蒻買一送一所以臨時決定儲值兩次，但是離開後發現被扣款了三次，回去跟店員說店長會安撫情緒：錢不會不見，確認後就會退款。最後也成功退款，過程中店員態度都很好👍危機處理能力值得讚賞👍
 Lin ,https://www.google.com/maps/contrib/117659537079724247250/reviews?hl=zh-TW,3,True,283,"雞塊非常的燙現炸感有
但是這次薯條吃的出來不算現炸沒熱就算了還很乾
（比麥當勞不熱）
整體還行啦

但是對於摩斯只能用台新卡還有app很爛的事情真的希望改善～"
 張 ,https://www.google.com/maps/contrib/103303299745032730707/reviews?hl=zh-TW,1,False,15,8/3下午3:28點餐時外場唯一一位女服務員無法開口說話不招呼客人我可以理解但載具沒刷好也不願意告知一下就在那邊看我以為我在自助結帳欸不知道哪裡招惹她了我真的很難過我很久沒吃摩斯了不知道現在的店員是這樣的態度當然我相信她這樣的是例外只是我只是來消費的我又不是來接受店員負面情緒的我知道在這邊講對那位女店員不痛不癢但我還是想告訴大家如果想體驗自助點餐結帳的歡迎來這裡找這位女店員！：）
 Nicole Lu ,https://www.google.com/maps/contrib/111094519884398100363/reviews?hl=zh-TW,5,False,6,2022/10/24晚上的收銀工讀生態度非常好，且很勤奮。不過很不幸運地遇見一位態度非常差、剁剁逼人的中年老婦女，婦女刻薄的態度及言語意在使工讀生難堪，不過工讀生還是勇敢地面對苛薄婦女，並繼續以平靜穩重的心情面對下個客人，這不容易。希望這段話能鼓勵到那位工讀生！辛苦了～
 國正Gavin Kuo - Cheng Lin ,https://www.google.com/maps/contrib/107149247101004833661/reviews?hl=zh-TW,5,True,224,上午10：00與好友相約在這，用餐座位在二樓，也許還沒到擁擠人潮的時段，非常輕鬆又愉悅的待了一個多小時。
 張瑀倢 ,https://www.google.com/maps/contrib/110716107854701333379/reviews?hl=zh-TW,1,False,1,8/3下午3:25收銀的女店員態度有夠差，請大家小心這位店員，遇到她心情真的會糟到不行，點餐過程非常不耐煩，不知道是有人逼她來上班還是怎樣，我們後面也沒客人，結帳不講清楚，載具沒刷到不知道在不耐煩什麼，怎麼刷載具怎麼刷linepay每家店都不一樣，解釋一下是會怎樣嗎，結完帳還轉頭跟另一位店員抱怨：「無語、不會刷就不要刷」等等，請問到底在不耐煩什麼，不想工作就請不要出來影響別人心情，我點餐過程沒有任何不禮貌、不耐煩或態度很差的行為，遇到這種店員我才無語，真的很無奈又生氣，我應該不需要承擔店員自己的負面情緒吧，拔完智齒已經很不舒服了，還遇到這種店員，我是欠她什麼啊，不會好好講話就不要出來做服務業。
 王小明 ,https://www.google.com/maps/contrib/104010555336369115665/reviews?hl=zh-TW,5,True,662,一般來說摩斯的內用區難免會有油煙味，但是這間門市的2樓座位區別有洞天，用餐環境相當舒適!
 顏美玉 ,https://www.google.com/maps/contrib/118285530083031303318/reviews?hl=zh-TW,1,False,9,吃了這麼多年的摩斯，今天點了藜麥海洋珍珠堡，一口咬下去就是焦黑味，然後看裡面的東西是炸焦的，非常失望也生氣，製作這個難道都沒有品管嗎？以後不想買了！
 秉芳 ,https://www.google.com/maps/contrib/118095590579586075738/reviews?hl=zh-TW,5,False,5,學區旁的兩層樓mosBurger，避開上下課人潮，是個休憩的好地點，二樓整層座位區，明亮舒適的大空間，且位處交通路口，等待接送小朋友的時後，有個好選擇。
 黎遠玲 ,https://www.google.com/maps/contrib/116209957189813043365/reviews?hl=zh-TW,4,False,4,第一次跟朋友約在這，這環境寬大~沒有壓迫感，餐點也不錯吃，這次點了套餐加地瓜沙拉，全吃完~很放鬆的環境~推推~
 Neal Lu ,https://www.google.com/maps/contrib/116448535179537298349/reviews?hl=zh-TW,5,False,14,中山最乾淨的摩斯，還可以充電，但廁所是大樓的，沒那麼乾淨就是了，但整體還不錯，二樓可以看民權大馬路人來人往
 鄭元豪 ,https://www.google.com/maps/contrib/110964027727572262536/reviews?hl=zh-TW,3,True,67,一個女店員態度真的差到不行，還在我面前被同事提醒態度好一點，結果那位女店員還不耐煩的繼續碎嘴，第一次遇到這種服務態度欸，完全開眼界！
 Cathy Y. ,https://www.google.com/maps/contrib/107732961202310737146/reviews?hl=zh-TW,2,True,44,雞塊常常是溫的，有點噁，不是應該點了才現炸媽？品質控管有問題？
 謝昌寶 ,https://www.google.com/maps/contrib/102944049768571779962/reviews?hl=zh-TW,3,False,19,服務親切環境整潔！適合外食族外帶餐點！價格平民！
 李岡翰 ,https://www.google.com/maps/contrib/109563309405230193366/reviews?hl=zh-TW,5,True,244,二樓很適合聊天，聽音樂，而且不會吵和擠
 Jamie Chang ,https://www.google.com/maps/contrib/118431963118711975340/reviews?hl=zh-TW,1,False,2,"外帶時店員把熱紅茶跟漢堡裝在同一袋
因為擔心是否紅茶會倒出來都很小心的拿著
結果半路發現蓋子根本沒蓋好
整個漢堡上全都是倒出的紅茶
真心覺得店員SOP未能完善
不知道那個客人可以接受吃到都是紅茶的漢堡"
 fong ,https://www.google.com/maps/contrib/104344781697119166344/reviews?hl=zh-TW,3,True,"1,734","海洋米漢堡，只能說，回不去了，跟以前不能比。

玉米濃湯，味道鮮甜好喝。"
 Kevin Chiang ,https://www.google.com/maps/contrib/110110997043852434654/reviews?hl=zh-TW,4,True,116,這家我常來外帶米漢堡，最大特色是做餐速度非常快品質也很好，通常點單後五分鐘內就能取餐。
 熊熊阿極 ,https://www.google.com/maps/contrib/116484923708419689785/reviews?hl=zh-TW,1,False,7,明明有蒟蒻飲不給我點然後下一個客人有？
 Li Sung ,https://www.google.com/maps/contrib/113152709550049215016/reviews?hl=zh-TW,5,True,35,"還不錯的摩斯
離捷運站出口對面而已"
 陳銘哲 ,https://www.google.com/maps/contrib/114414705998656938001/reviews?hl=zh-TW,3,True,136,"靠牆椅的高度明顯太高
廁所是跟隔壁大樓共用，沒有摩斯水準"
 tsai Yaya ,https://www.google.com/maps/contrib/115374722129314009781/reviews?hl=zh-TW,3,True,150,這天點完餐點後，等了快15分...要不是有問，不然不知還要等多久🤔
 maggie chang ,https://www.google.com/maps/contrib/103708460918936625813/reviews?hl=zh-TW,4,True,231,"二樓位子頗多，視野也挺好的。
離捷運站中山國小站很近。"
 Miya Huang ,https://www.google.com/maps/contrib/115306302301397261457/reviews?hl=zh-TW,4,True,404,用餐時段一位難求，期間限定的荔枝優格雞腿堡，酸酸甜甜但荔枝味被優格酸味蓋住了吃不太出來，蜜汁雞腿軟嫩多汁，不過蜜汁和優格醬有點互相搶戲
 陳乃榛 ,https://www.google.com/maps/contrib/113723407660606191097/reviews?hl=zh-TW,3,True,32,櫃檯服務很好，送內用的店員態度很差.....
