user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jiawen Wang ,https://www.google.com/maps/contrib/112648592771203065502/reviews?hl=zh-TW,1,False,16,"點了蟹螯，結果上面全是泥沙...也沒敲開
自己扒開之後，不小心弄到手流血，結果服務人員說我們沒有OK蹦，然後就轉身離開了，同樣是餐飲業的，現場沒有，廚房也有吧..."
 邱吉娜 ,https://www.google.com/maps/contrib/101362898162837841709/reviews?hl=zh-TW,4,True,154,"昨天去買但想吃起ㄙ🦐問店員有沒有
他說只有Uber才有
啊我昨天除了單點外還點了母親節套…"
 小老百姓 ,https://www.google.com/maps/contrib/118162672765915745636/reviews?hl=zh-TW,3,True,214,"外帶的餐盒真的算方便
餐點品質就是中規中矩一般
有時就是為了方便
很ok啦～"
 廖乙璇 ,https://www.google.com/maps/contrib/107878274005504433958/reviews?hl=zh-TW,3,True,85,物價上升太嚴重，握壽司以前一盤2個30元，現在一盤1個40元（鮪魚），還好我本來就吃的少，所以差沒多少，如果大胃王來吃的話，就會大失血🤣…
 陳秀華 ,https://www.google.com/maps/contrib/109869321123180206686/reviews?hl=zh-TW,5,True,191,服務周到，下次會再去用餐
 gary lin ,https://www.google.com/maps/contrib/106075832550582219202/reviews?hl=zh-TW,3,True,202,晚上八點左右去逛家樂福順路去吃，生魚類或高級點的都沒什麼看到，都要用點的，門外立牌上主打的缺貨，進門時也沒說，吃到一半要點就是缺貨，而檯面上在轉的很多感覺飯都乾掉了不知道在檯上轉了多久了
 johnson liu ,https://www.google.com/maps/contrib/113015623232195776124/reviews?hl=zh-TW,3,True,417,跟其它分店的服務、食材、種類、差異不大，還有方便外帶餐盒...
 陳麗娟 ,https://www.google.com/maps/contrib/113664714483067237702/reviews?hl=zh-TW,1,False,97,進門玻璃沒有貼上“進出小心”警語，8/23-那天害我老公一頭撞上，反應之後也沒見人道歉處理，真的只能自認倒楣！本來的好印象就消失了！
 Calvin Gong (龔小豪) ,https://www.google.com/maps/contrib/112213826238094888929/reviews?hl=zh-TW,5,True,44,用餐時已經超過晚上8點，但轉盤上的餐點仍舊非常多樣，不會讓人有要趕著收店要人離開的感覺，愜意用餐👍…
 me me ,https://www.google.com/maps/contrib/105319332646369820629/reviews?hl=zh-TW,5,False,42,剛去用餐開店只有一個外場，已經忙到不可開交了，面對阿婆的百般刁難仍然面不改色👍🏼廚房也出來處理，但刁婆當然不領情，還自稱每天都來吃☠️🤣OMG太可怕，總之真的辛苦了🙇…
 黃小青 ,https://www.google.com/maps/contrib/109875654260908561000/reviews?hl=zh-TW,4,True,24,服務太多不錯，但也許是地點關係，吃起來就是感覺不太一樣……
 Earl ,https://www.google.com/maps/contrib/113471005461342108590/reviews?hl=zh-TW,2,True,42,"單點
炸蝦與旗魚鬆細卷，馬上拿出來
炸蝦冷的…"
 Penny (柴犬皮皮 我不皮) ,https://www.google.com/maps/contrib/101340486579685226446/reviews?hl=zh-TW,4,True,155,"5:30用餐🍴，客人80%滿，比起以前，感覺品質沒顧好☹️桌上筷子沒了、也沒有DM、隔板易晃動也髒髒的....

壽司明顯縮水，有的原本2個一盤現在變成1個一盤😢😢3片鮭魚生魚片變成2片生魚…"
 郭紀威 ,https://www.google.com/maps/contrib/109674949391753256890/reviews?hl=zh-TW,1,True,32,"在下午四點的離峰時間用餐點了一份叫“辛味噌蟹絲干貝的東西”店員說""這一份六十喔""(望向前方那盤黑色$90的北海道干貝...btw也是坨難以名狀的東西)等了十多分鐘後終於上來但卻沒有上面那坨“蟹絲”?!第一次詢問還跟我說這就是您點的干貝喔再次確認菜單照片後二次詢問才說蟹絲干貝先點現烤需要稍等又過了十多分鐘結果上來的東西頂上那坨跟照片不像也就算了不是說先點現烤嗎?為什麼飯是冰的(冷飯我懂)干貝也是冰的(現烤?!?!)…"
 Jing Yeh ,https://www.google.com/maps/contrib/105173338801277241240/reviews?hl=zh-TW,4,True,"1,143","今天一位女店長（沒有看到名字）服務超好，一直關心我們有沒有的需要點餐或是餐點有沒有送達
同事有需要幫忙也會立刻伸手幫忙
今天吃的新的兩種餐點很好吃，每次都會點的餐點一樣很好吃，完食！"
 Lawrence ,https://www.google.com/maps/contrib/115179416903817695778/reviews?hl=zh-TW,1,True,36,"吃過最差的一家分店
1.蟹腳破殼破的很碎
2.好多個在台上在跑的蓋子有污漬…"
 Candy ,https://www.google.com/maps/contrib/102253772010356244498/reviews?hl=zh-TW,1,True,324,現在連濕紙巾都沒給，明明快三點去吃看旋轉台上都沒有我要吃的，跟員工點，回應是目前尖峰時刻，做完會直接放在旋轉台上再請我們拿，等了10-15分鐘還是沒有於是又跟員工講一次，回答一樣，我說已經等了15分鐘都沒有，於是他直接去拿給我，完全不懂這樣的意義是什麼，不是我們要去支持中山北還南京東的日本旋轉壽司，是爭鮮食材不新鮮，服務也完全不周到，根本沒客滿，員工人員也很多還說是尖峰時刻，令人難以理解。
 Sean Ke ,https://www.google.com/maps/contrib/105279429447199123848/reviews?hl=zh-TW,4,True,979,有種看起來像龍蝦沙拉、但仔細看是魚卵的口味，口感還是沒有龍蝦沙拉來的好。店內座位多。
 Tony Lin ,https://www.google.com/maps/contrib/107978763536141771486/reviews?hl=zh-TW,3,True,54,感覺東西變貴了，很多握壽司都變成一盤一個，若兩個人吃，可能去藏壽司或Hama壽司還比較划算一點...........
 陳語珊 ,https://www.google.com/maps/contrib/115562061682450851587/reviews?hl=zh-TW,3,False,137,還好，湯跟茶碗蒸棒，但以前都30，現變相加價，偶爾吃就好！
 汽車音響弘群（弘群汽車音響） ,https://www.google.com/maps/contrib/110504558578913530888/reviews?hl=zh-TW,5,True,571,漲價了鮭魚生魚片一盤60握壽司鮭魚一盤40其他不變用盤子區分價格
 顏成輝（想飛） ,https://www.google.com/maps/contrib/114426180932250835786/reviews?hl=zh-TW,2,False,84,這種店就是一般般啦尚可
