user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Pop Bun ,https://www.google.com/maps/contrib/105009134714139884822/reviews?hl=zh-TW,4,True,133,"位於捷運大橋頭站旁的油飯店
也許是因為位於台北市
整體價位稍微偏高點
份量也比較少一些

點了以下餐點
滷肉飯30
油飯35
荷包蛋一顆20
肉羹湯55

荷包蛋一顆20雖然比外面貴了些
不過蛋的品質感覺是有比較好的
蛋黃是橘黃色的
且半熟蛋黃吃起來也算香濃

滷肉飯的滷汁肉燥都是肥肉的
加上煎的洽洽的半熟荷包蛋
戳破荷包蛋讓蛋汁流入飯中合體
蛋汁混著滷汁吃起來解了一點肥肉的膩
多了一些蛋香好吃

油飯可以選擇要不要加甜辣醬
也會再淋上少許滷汁
米粒的部分香Q好吃
加了一顆半熟蛋一起食用

肉羹湯喝起來算清甜
有些許胡椒、香油提味
還有蘿蔔、香菇

營業時間到14:00

如果一個人來大概就點個飯加蛋再配個湯
整體吃下來雖然份量不多
不過還算舒服不會過於負擔
想吃中式早餐的時候是不錯的選擇"
 Darren Chiu ,https://www.google.com/maps/contrib/107136823218848712606/reviews?hl=zh-TW,2,True,350,這油飯店蠻有名的，來吃的都是在地客為主，環境乾淨，老闆娘動作利落！單點了一碗招牌油飯，想看看味道如何。說真的我會說這是一碗純糯米紅醬飯，油飯本身並無明顯花生，油蔥酥，香菇，紅蔥頭，蝦米...等提香的配料，就是一碗糯米飯加上自調配紅醬然後淋上了滷汁，口味並無特別之處.....很抱歉這是純個人口味可能沒吃過這類的，口味每個人不同，但不可否認是間知名的店家！
 Laura Kong ,https://www.google.com/maps/contrib/109818213956866856617/reviews?hl=zh-TW,4,True,221,"簡單整潔的老店，路過原只是想外帶油飯，但正巧看到老闆從廚房端出一盆熱騰騰的炒豆乾絲，就決定再加購三樣便當配菜～果然好吃😋
那油飯加醬當然也是好吃好吃～一種較淡口味的路線，吃來清爽些。"
 tony M ,https://www.google.com/maps/contrib/107408121168901389236/reviews?hl=zh-TW,3,True,386,老店古早味，那個年代的台味早餐。慕名前來，店內還算乾淨有冷氣，點了招牌油飯香氣口感色澤普通，因量大製作工序不夠，滷白菜很台味但很鹹，肉羹湯不是勾芡是清湯型，味道還行，至於荷包蛋煎的相當不錯，蛋黃流出濃郁，火候剛好，拌飯最宜！整體3.5-3.8顆星！
 209dailymood ,https://www.google.com/maps/contrib/104325701806712891218/reviews?hl=zh-TW,3,True,162,路過可吃型。油飯是帶一點麻油味的香氣，但是加了甜辣醬之後就完全沒感覺了，然後荷包蛋有點貴…20元一顆
 伊恩食客 ,https://www.google.com/maps/contrib/104025811949918672671/reviews?hl=zh-TW,3,True,445,"吃起來還蠻普通的

油飯$35
是沒有料的，就是單純的飯
會淋上一點點肉燥
阿姨會問要不要醬，吃起來是粉色的甜醬

控肉$50
不太推，瘦肉部份太硬了
肥肉部分魯的也不夠透
是QQ的口感不是入口即化

荷包蛋$20
有半熟，搭在飯上吃可以"
 Anna Chien ,https://www.google.com/maps/contrib/117606731677487169719/reviews?hl=zh-TW,5,True,884,"▲油飯：本身味道還好，上面加肉燥跟甜辣醬下去調味，整體就有了特色，甜辣醬不會辣，味道很協調。
▲荷包蛋：最正確的吃法一定要點顆蛋，好吃的醬油半熟蛋。
▲湯：一般好喝的湯。"
 Areyou Chen ,https://www.google.com/maps/contrib/111263977228551417630/reviews?hl=zh-TW,4,True,"1,430","油飯加上半熟蛋讓蛋汁流入飯粒之間，極為好吃。
大概中午一點多就賣完了……
滷肉飯就還好"
 羅士朋 ,https://www.google.com/maps/contrib/114492804665312025329/reviews?hl=zh-TW,3,True,49,特地繞過來吃，沒來過，比較偏像南部油飯，飯偏硬，人氣名店，但不是我的菜（老闆娘人很客氣）
 chu C ,https://www.google.com/maps/contrib/107379692717692328194/reviews?hl=zh-TW,5,True,175,"油飯好吃～不會很膩口。還能點小菜補充纖維質，對外食族來說很棒😍

但對初次去的人菜單不是那麼親切
（比如：其實可以做成油飯便當/小菜價位沒明寫）"
