user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jen Wu ,https://www.google.com/maps/contrib/100456542090347798418/reviews?hl=zh-TW,5,True,38,"老公下午在網上看到豐味亭異國素食料理餐廳南洋風味料理，心心念念想去吃，想想我們在家待了一天都沒出門，趁著晚上要去醫院處理婆婆的事，就去吃晚餐吧！

約了好多人，因為太臨時，大家都沒空，還好有找到正在家裡苦讀PMP壓力超大想出來放風一下的Jas，就這樣我們三個人開心的點了一桌菜，週日晚上吃起來～

五味醬涼拌花枝
雲南椒麻雞
泰式檸檬魚
泰式打拋菇
塔香醬燒茄子煲
豬油拌飯
新加坡肉骨茶米粉

不要懷疑以上都是素的😂"
 Areyou Chen ,https://www.google.com/maps/contrib/111263977228551417630/reviews?hl=zh-TW,4,True,"1,430","☆一家只看菜名你不會知道它是素食料理餐廳！
餐點名稱和一般餐廳沒有兩樣，吃起來不管花枝或魚或其他，口感也都是一樣，但實際上卻全部是素食，令人驚豔……足見店家的用心和廚藝的工藝。
不吃素食的我竟然從豬油拌飯，、檸檬魚、花枝……吃得一乾二淨。真的很不錯吃。
這裡除了現點料理，還有很多素食商品包，可以購回自己料酒。
場所整潔明亮，用餐還蠻舒適的，有二樓但挑高不高，需要小心一點……
服務態度很不錯，而且不收服務費。但也不提供水，小菜區菜名蠻多的，自取需要付費。
有行動支付，結帳方便！
總體來說，就素食而言真的很不錯吃……對一個很少吃素的我來說。"
 tin Wu ,https://www.google.com/maps/contrib/114265520771719472846/reviews?hl=zh-TW,4,True,181,"餐點還蠻好吃的，很多異國料理可以做選擇，重點是全部都是素食的，超棒！
豬油拌飯很好吃，很特別，馬氏參巴椰香炒菇，奶味蠻濃郁的，有點微辣，還不錯，泰式椰汁雞飯套餐也很好吃，只要是套餐類cp值都很高，大份量大滿足，整體只有炒菇的炒料豐富性不足，裡面只有杏鮑菇丁而已，豬油拌飯的飯量也沒很多，所以那時候只有點這兩個的我，真的是吃不飽😅
但是這邊還蠻適合朋友聚餐一起吃就是了🤣"
 kao yushi ,https://www.google.com/maps/contrib/101167066977398977487/reviews?hl=zh-TW,5,True,159,雖然是素食餐廳，但吃下了完全不會有素料的感覺，異國風味的料理超級下飯，原本只是陪茹素的朋友吃飯而挑選的餐廳，沒想到風味這麼棒。店面小小的可是乾淨雅緻，老闆也很親切，讓人會想再回訪吃吃其他沒吃到的菜色。
 吳佩璇 ,https://www.google.com/maps/contrib/102241992334916664867/reviews?hl=zh-TW,5,True,129,"菜單沒有看清楚真以為這不是素食店
品項太多了不知道從哪邊點起
酸白菜麵酸得夠味卻很清爽
泰式椒麻雞非常下飯
很適合帶剛踏入蔬食界的朋友一起來吃
下次會再來品嘗更多不同的料理"
 Christin 崔清華 (Chris) ,https://www.google.com/maps/contrib/107516229651781157886/reviews?hl=zh-TW,5,True,172,"從葷食轉為素食的超級店家👍
老闆非常用心，把每一項葷食的菜色，轉變為素食，也很細心的把料理分為：純素、蛋素以及奶素。
今天點的是泰式冬卡酸辣燉飯，微微的辣：裡面有香茅、南薑還有猴頭菇跟清甜的高麗菜，吃起來非常的清爽下飯！
在夏天是用餐的好選擇🙏🙏🙏
配湯的海帶芽湯一點也不馬虎，用料很大手筆地加上枸杞👍
在夏天喝起來帶有一點滑潤清爽感‼️
套餐$250非常值得！現在還有南洋風味罐頭買一送一的優惠，記得趕快前往品嚐"
 糖 ,https://www.google.com/maps/contrib/114492010099655815020/reviews?hl=zh-TW,5,True,763,"～最後點餐時間是八點～
看googlemap以為是8：30
服務員很親切～不知不覺在裡面買很多產品😅
紅麴燒肉飯還ok泡菜也還ok
感覺得到餐點的用心（飯上還加了我最討厭的香菜🌿）⚠️不敢吃的人請注意‼️
整個用餐體驗是好的"
 抹妹 ,https://www.google.com/maps/contrib/108647773372933950096/reviews?hl=zh-TW,5,True,471,"想給不只五顆星的好吃！！！！
認真這麼難得吃到這麼好吃的素食
（而且完全不會在意他是素的太好吃"
 Hui-Ping Chen ,https://www.google.com/maps/contrib/100992693023074524292/reviews?hl=zh-TW,4,True,83,或許是個人飲食較清淡，泰式酸辣口味有點重；可以都是時蔬、不要素火鍋料很棒，有機會還想試試更多餐點！
 zoe Jovovich ,https://www.google.com/maps/contrib/114126518302347971857/reviews?hl=zh-TW,4,True,253,"馬來風味辣炒空心菜不是微辣
對不吃辣的人來說應該至少中辣
薑味非常重，是薑的辣+胡椒辣的感覺
個人沒有很喜歡

烘蛋好吃，價格偏高"
