user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Nico ,https://www.google.com/maps/contrib/105722568166399575039/reviews?hl=zh-TW,5,True,315,"店面小小的，不過很古色古香，不同的座位區域都有不同的桌椅配置還蠻有趣的~我們坐的是靠窗的沙發雙人桌，雖然沙發比較低桌面也比較小，不過用餐感覺還是蠻舒適的😊
我點的是照燒雞腿套餐，雞腿肉很嫩很好吃，小菜也都是味道不錯的家常菜，只是一個套餐350，感覺價位有點偏高。
朋友點的是銷魂臘肉飯，我覺得也不錯，朋友是愛吃臘肉的人所以大讚他們的臘肉，還買了一些準備過年送人！
後來她跟老闆娘問單買臘肉的價格時，我們才注意到，原來這邊是臘肉專門店😆"
 林長揚 ,https://www.google.com/maps/contrib/114329217044337548282/reviews?hl=zh-TW,5,True,58,"【預見日好】

1.騎腳踏車，或是搭捷運從大橋頭捷運站1號出口慢慢散步過來會是很棒的選擇，能欣賞大稻埕的老街風光，又能期待等等要吃什麼。

2.店內的擺設與氣氛都十分古樸，週末午後來這裡用餐還能聽到詩歌/民歌的演唱，歌聲溫潤動人，非常好聽。無論是駐足在外欣賞，或是入內點茶用餐，都能讓人好好放鬆。

3.老闆很親切有趣；店內只收現金唷。

4.店內的臘肉調味超級棒，多層次的風味又不死鹹，讓人會想一口接一口。如果你在減重或是飲食控制的話千萬不要來，因為吃一口之後你的防線會崩潰，只會想要一直吃下去。

5.醉雞腿套餐、銷魂臘肉飯都大推，可以再多點個炒臘肉或是臘肉串，會吃得很滿足。

6.套餐附的桃膠烏梅美人飲世界好喝，喝完會想要再單點或外帶，很厲害。"
 Crystal Lin ,https://www.google.com/maps/contrib/111119714482846820862/reviews?hl=zh-TW,4,True,284,"這次總共點了二個套餐，分別是銷魂臘肉飯350元&醉雞飯350元

傳說中明朝秘傳配方製作的銷魂臘肉飯🍲
使用保溫效果極佳的陶鍋盛裝，豐盛的臘肉上頭堆疊著半生熟的蛋黃，用筷子將蛋黃戳破金黃色的蛋液渲染飽滿的米飯，濕潤飽滿卻又粒粒分明，非常講究產地、使用究好豬來製作臘肉，看了網站上的說明才知道原來大有來頭

「臘肉是用明朝糧秣官家傳秘方，使用十多種高級中藥辛香料，堅持不添加亞硝酸鹽、防腐劑、不煙燻以專業真空儀打造真空低溫環境，促使豬肉毛細孔張開，快速吸收獨家配方，配合肉品按摩2~3小時，再藉抽離真空關閉豬肉毛細孔，鎖住所有精華秘方，打造獨特鮮嫩口感及獨特風味」

不過因為是醃製的臘肉，吃起來比較偏鹹喔！除了主食餐點之外，也會附上三碟配菜，一紅兩綠顏色也搭配的非常吸睛，今日配菜是醃製泡菜、清爽的四季豆及海帶絲，也是很下飯的點綴配角。

超幸運點到最後一份醉雞腿飯，一整隻完整的雞腿不難看出份量很足夠，濃濃的紹興酒味完全入到厚實的雞腿裡頭，肉質也非常多汁軟嫩，米飯上有淋著肉燥，是道很下飯的料理，配菜有些不同，多了營養的黑豆，吃起來鹹甜鹹甜，不知不覺中就吃得一乾二凈，份量上女生吃也是挺飽足的

套餐的飲料-桃膠烏梅美人，其實就是烏梅汁，口味偏甜，如果能在加幾顆冰塊會更提升口感，只是一直很納悶怎麼會用塑膠杯裝，和整個用餐環境很不搭，挺令人出神😂"
 江路易 ,https://www.google.com/maps/contrib/116159347450088074720/reviews?hl=zh-TW,3,True,245,"2022年1月25號到訪,餐點雖然每份350，還算符合cp值,素食份量夠好吃也新鮮，內部老舊陳設雖然適合整體感覺，但是如果能再精緻一點更好，午餐時段生意很好，服務也很好"
 Gloria Chang ,https://www.google.com/maps/contrib/112990391830400162290/reviews?hl=zh-TW,4,True,20,"有山豬肉的臘肉飯
深藏功名的醉雞湯
濃郁有料的烏骨雞湯
簡單的簡餐的都事心意
最重要的是深處百年建築安靜又有深度的氛圍
週六下午剛好有現場演唱溫潤吉他伴隨溫暖的Vocal好好享受了下午時光"
 馬羅 ,https://www.google.com/maps/contrib/100656599067502478989/reviews?hl=zh-TW,3,True,"1,136",特地避開假日平日來，櫃檯人員的態度應對真的要改進，疫情期間相信生意有影響，是不是更應該加強服務，讓客戶可以再回來，臘肉真的不錯吃，但飯不太熱影響口感！
 Ginny ,https://www.google.com/maps/contrib/102563669711686316568/reviews?hl=zh-TW,4,True,343,"古色古香，建築有特色。
櫃檯的阿姨相當親切，就像自己的阿姨。用餐氛圍輕鬆，好像回到自己老家的感覺。舒服、餐點好吃！尤其烏梅汁更棒，清涼解渴！塔可飯也很適合炎夏，有趣的是塔可飯配上蘿蔔湯和烏梅汁別有一番風味～

夏天悶熱，電風扇不夠。人多有點吵雜。

待天氣涼些還會想再來！"
 DANA CHEN ,https://www.google.com/maps/contrib/117532453650713752423/reviews?hl=zh-TW,5,True,76,"看似簡單的餐背後有不簡單的功夫
臘肉的口感很獨特迴盪在口中遨遊
軟嫩剛好也不會有太鹹單吃都很讚
粒粒米飯也充分吸了滿滿臘肉香氣
這銷魂飯很值得特定跑一趟來品嚐"
 Renee Teng ,https://www.google.com/maps/contrib/113610047760888490827/reviews?hl=zh-TW,5,True,47,"星期四的中午，
安靜閒適的小店，餐點可口，餐後還有附甜點
店員還親切詢問是否要續飲料？
謝謝您！貴店救贖了我紛亂不平靜的心情~
這杯就留待下次來貴店再續🙏"
 黃Sunny ,https://www.google.com/maps/contrib/117095275836683305055/reviews?hl=zh-TW,4,True,135,"網路搜尋到有適合12位用餐的長桌
還是位在2樓最內的閣樓室包廂
加上有所謂的銷魂飯
所以帶朋友們來嚐嚐

加分：1、有不另收費包廂（12人）
2、烏梅汁是壺裝，可無限加
（因為是多人，所以壺裝）
3、店內外都蠻好拍照
4、服務人員蠻親切
5、不收服務費
建議：收費除了現金，
希望能增加linepay、刷卡...

餐點中，除了銷魂臘肉外
照燒雞、醉雞、何首烏雞腿湯
朋友們的反饋都蠻好
雞腿肉都蠻嫩的，雞湯濃郁好喝
小菜3樣，泡菜、豆腐..都蠻好吃"
 Kevin Lin ,https://www.google.com/maps/contrib/103100283189601033814/reviews?hl=zh-TW,4,True,72,"很棒的百年老屋木造二樓
下午茶可以甜點不會太甜
兩人下午茶不到四百
環境贊
期待下次來用餐"
 林芯羽 ,https://www.google.com/maps/contrib/111091914300921972382/reviews?hl=zh-TW,5,True,89,"臘肉飯非常好吃，極為推薦，醉雞也頗具水準，但真的不能夠錯過臘肉飯，蜂蜜拿鐵很好喝
老闆娘人很好，另外氛圍非常棒，老屋很美很有感覺，會想要在平日來坐坐感受寧靜"
 Alice Hsu ,https://www.google.com/maps/contrib/114286122525024794886/reviews?hl=zh-TW,1,False,32,"一份套餐$380（只能點套餐店員還問套餐嗎？）照燒雞腿排吃下去反胃，臘肉還好。
但是這樣以後再也不會光顧。
店員應答也不行，樓上冷氣沒有幾乎靠電風扇。
現場有唱歌。"
 楊政翰 ,https://www.google.com/maps/contrib/117267994345646188556/reviews?hl=zh-TW,5,False,16,辣味臘肉非常好吃，老板娘很親切很可愛！可單買生臘肉，老闆娘會詳細介紹如何烹調。
 hedy shih ,https://www.google.com/maps/contrib/116806355029970199160/reviews?hl=zh-TW,5,False,24,懷舊建築特色，中式料理餐點美味，闆娘和藹又親切~推推
 黃子珊 ,https://www.google.com/maps/contrib/113574337925031608668/reviews?hl=zh-TW,4,False,11,"只有吃燒臘飯，因為看評價只有推薦這道😂
價位偏高但菜色簡單，cp值不高😅
服務很好，人員親切，
有年代的建築，裝潢古色古香，適合拍照打卡📷"
 澳莉Oli ,https://www.google.com/maps/contrib/105181863779434357687/reviews?hl=zh-TW,5,True,180,"百年老屋「日好食堂」
用著明朝秘傳配方製作-銷魂臘肉飯🍲真的好好吃呀！這臘肉⋯有嚇到我
寫著本店招牌又是闆娘推薦，當然要點名臘肉套餐(平常不愛，覺得硬硬鹹鹹油油🤣)
吃一口後！出乎我意料之外的美味～
臘肉Q彈！而且毫不油膩！一口接一口，瞬間秒殺！
我真的好久沒有如此放縱的把一碗飯吃完！
難怪此臘肉是涵碧樓的指定入菜食材
那天毫不猶豫的把那ㄧ鍋扒完了，一粒米都沒剩🤣(莫非是明朝秘汁的魔力😏)
套餐的飲料-桃膠烏梅美人，也很👍🏻神搭配
坐在獨立的包廂，陽光撒下，好友相聚搭配著美食～
真的好幸福🥰，這家是放口袋了！下回想帶媽媽來
無論日子如何，都要日日過好日
來趟「日好食堂」，你們會感受到那份樸實簡單古色古香的情調

分享更多美食👉🏻IG:oa_olioli"
 amy lee ,https://www.google.com/maps/contrib/106412475633441981073/reviews?hl=zh-TW,5,True,33,古色古香.在這兒可以挖到老闆娘蒐集的古董.環境很特別.不要以為只有1樓.2樓別有洞天.店家推銷魂臘肉飯.是店裡招牌.很下飯.就是好吃的古早味.我點雞湯.口味可以.雞肉澀澀的.口感不是那麼好.價位在350元左右.老板娘及店內服務讚.來大稻埕吃飯.下午茶.是不錯的選擇喔！
 Alien Cat Lin ,https://www.google.com/maps/contrib/111756917607243812612/reviews?hl=zh-TW,4,True,247,臘肉飯好吃，配菜普通可見，但建築物本身很美！
