user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Emma ,https://www.google.com/maps/contrib/104322394721355591744/reviews?hl=zh-TW,3,True,47,"週日晚上在店家臉書詢問餐點事宜，店家回應迅速也很詳細，並也建議直接跟店家點外送比熊貓便宜，真的有貼心。可惜特別詢問是否有餐具，店家還是忘了放，只有餐巾紙😆
餐點的部份，可能我們兩人都大胃王，覺得雙人套餐份量有點太少（寫到這邊很怕店家叫我去吃滷肉飯不要吃海鮮…）。鮑魚Q彈好吃，美式醬料我們覺得味道有點偏淡。龍蝦也好吃，但外帶沒有蟹鉗很麻煩，建議店家可以幫忙外帶的顧客於龍蝦殼先剪一刀。最錯愕的是墨西哥烤餅皮，一份兩片，然後要價$80！建議點肉類主食再搭配餅皮，因為海鮮不好包、也不太適合（店家另外有肉類主食）。
覺得最好吃的是熔岩鮮蝦起司球，真的會爆漿、口感彈性又紮實👍"
 FangBao Wang ,https://www.google.com/maps/contrib/111793885978446190952/reviews?hl=zh-TW,5,True,96,"整體價格蠻平價，服務品質不打折，老闆人很好愛交朋友，大家可以來！
龍蝦套餐美味令人口齒留香❤️❤️
而且8點後還有啤酒暢飲活動實在是太划算了～～～
是會讓人想在訪的餐廳🍴🤤🤤"
 Chou Juliet ,https://www.google.com/maps/contrib/110070635888045386698/reviews?hl=zh-TW,4,True,359,"雙人套餐：龍蝦🦞、藍蟹、小花枝、魷魚圈、蛤蜊、干貝、炸雞、可爾必思、無糖綠茶。

龍蝦跟干貝非常好吃，熟度剛好肉質Q彈、螃蟹新鮮，雖然沒什麼肉、蛤蜊大顆多汁、其他沒什麼特別的，搭配的韓式醬料沒什麼味道，讓整體的味道變弱了。

點餐時很多品項都說沒有，但理由是要維持進貨品質，在做調整。"
 Xsingju X ,https://www.google.com/maps/contrib/110990836027273069485/reviews?hl=zh-TW,5,False,10,好吃👍🏻吃得好飽😋味道很不錯～吃泰式的不會很膩🥰
 DADA Huang ,https://www.google.com/maps/contrib/110211615644164019589/reviews?hl=zh-TW,5,True,962,"帆船異國手抓海鮮位在捷運小巨蛋站附近，除了有豐富的海鮮之外，也有各式肉類料理，最近的拍照打卡送龍蝦活動超吸引人。

海鮮和肉類料理新鮮美味，波士頓龍蝦肉質滑嫩細緻，口感紮實緊緻，搭配其他海鮮和肉類一起享用超滿足！特別推薦這裡多樣化的調味選擇：泰式、美式、中式、韓式、印式，味道吃起來不會重油重鹹，調味不搶過海鮮和肉品的鮮甜。

我們今天吃的是泰式海鮮和美式肉類料理，泰式醬汁酸甜開胃，美式醬汁是紐奧良醬，甜甜的帶點微辣滋味。餐點的底料是玉米和馬鈴薯，整份套餐吃下來很有飽足感。

墨西哥烤餅可以把喜歡的餡料通通包進去，烤餅的Q度很好咬，搭配餡料又香又好吃。

下次聚餐或約會想吃澎湃的龍蝦、海鮮和肉類，就來帆船異國手抓海鮮"
 JP C ,https://www.google.com/maps/contrib/109169789880203605570/reviews?hl=zh-TW,3,True,27,龍蝦蠻新鮮的，草蝦、干貝也不錯，還有炸雞也很棒。小花枝那一盤呢...可能選的醬料（中式）問題，整體口味偏淡。
 黃品潔 ,https://www.google.com/maps/contrib/101762258193698113873/reviews?hl=zh-TW,5,True,170,"✿✿✿IG：ypj__0316
-
#單人肉類套餐
#雙人套餐ᴺᵀ¹⁹⁸⁰
#酥炸鱈魚球ᴺᵀ¹⁸⁰
#雪碧ᴺᵀ⁷⁰
#可樂ᴺᵀ⁷⁰

帆船異國手抓海鮮是一個多元口味料理的餐廳
有豐富的海鮮還可以選擇5種不同國家的調味方式
醬料：韓式、泰式、美式、中式、印式
也有單人肉類套餐能體驗我選了豬雞套餐
肉吃起來很軟嫩有嚼勁🤤
還有哈司麵包、墨西哥餅皮擇一款
鱈魚球也是必點炸物一顆接一顆🐟
雙人套餐部分的底料是玉米、馬鈴薯🥔
整條大隻龍蝦🦞送上來超級驚艷！
龍蝦肉大塊飽滿吃的非常過癮👍🏻
肉質Q彈鮮美再新鮮不過🔥
白蝦、智利淡菜、草蝦、扇貝、干貝、藍蟹、鮑魚(任選2種)
透抽圈、魷魚圈、小花枝、海瓜子、小章魚、蛤蜊(任選3種)
海鮮每樣都甘甜可口🫶🏻
桌上都有電磁爐讓食物可以維持溫度
用餐環境空間寬敞舒適
店内、店外都有帆船、海洋風造景
有網美牆花牆和可愛的大龍蝦娃娃能拍照📷
愛吃海鮮的人千萬不要錯過！

✔︎店內活動：
凡點雙人或四人套餐拍照加打卡
可在加送一隻波士頓龍蝦

-
#潔の食#潔ᴱᴬᵀ台北
#帆船異國手抓海鮮#異國海鮮料理#taiwan
#海鮮餐廳#taipeifood#台北宵夜
#台北啤酒暢飲#網美打卡#網紅店
#台灣美食#松山區美食#松山區海鮮
#捷運小巨蛋美食#台北手抓海鮮 #龍蝦#帝王蟹#波斯頓龍蝦
#台北必吃美食#台北松山區#台北松山
#食記#相機先食#手機先食
────────────────────"
 郭奕穎 ,https://www.google.com/maps/contrib/117396922202062988545/reviews?hl=zh-TW,1,False,6,"點了雙人套餐$1980+10%服務費
吃了一口服務人員說醬料送錯
想說算了沒關係都吃了那就吃吧

結果又吃了幾口發現海鮮內容物也是錯的
點的是蛤蜊但來的是海瓜子
開始覺得有點誇張怎麼會錯這麼多🥲

跟服務人員反應之後說幫我們確認就沒下文
不知道該不該繼續吃
想說都吃過了好像也沒辦法再收走我們就先繼續吃
後來服務人員默默的補上了一盤蛤蜊
但上的時候完全沒有一句不好意思
也沒有說明這是補送的之類的
什麼都沒講就默默的補上
希望之後可以說明清楚會怎麼處理或是詢問一下🙂
而不是什麼都沒說明難道都是新人嗎

一直到結帳都沒聽到道歉或不好意思
不能說服務態度不好但就是讓人覺得有點尷尬跟無奈感覺沒有很想處理出包錯誤的樣子
用餐體驗沒有很好🥲

海鮮部分除了龍蝦很普之外其他都還不錯蝦子好吃
下次應該是不會再去了

*回覆店家
當時醬料弄錯的部分是有說不好意思我們也覺得沒關係沒錯

但後來反應連內容物也不對的時候一直到補送蛤蜊跟結帳整個用餐過程都沒有聽到店員表示或者開口說明任何處理方式
也許是我沒有說明清楚在這邊跟您補充

這並不是什麼大問題，但您的回覆態度比用餐體驗來得更加讓人不快。
（原本三顆星改為一顆星）"
 戴晴晴 ,https://www.google.com/maps/contrib/106592339362642079363/reviews?hl=zh-TW,5,False,28,"超大隻波士頓龍蝦🦞吃起來很過癮～
還有滿滿海鮮料！整盤超澎湃
鮑魚跟草蝦也好新鮮❤️"
 Kingston Chuang ,https://www.google.com/maps/contrib/109762742092183102249/reviews?hl=zh-TW,3,True,118,"據店員告知還在試營運，所以目前只能以現金結帳。
食物的材料算新鮮，料理方式算美味，但是對應價位上似乎欠缺一點特色，或是有一點不夠搭襯，質感上需要在有些提升會更好。不然可能會讓人只來一次，欠缺再來光顧的誘因。既然還在試營運，就表示接受各種建議與挑戰，才能調整未來的正式經營方式。
期待你們正式開幕給人帶來的完整體驗，或許還會有機會再來試試。
建議喜歡海鮮的食客可以來試試看，是否也有不同的感受囉。"
 wj c ,https://www.google.com/maps/contrib/116623146439330733197/reviews?hl=zh-TW,1,False,12,"點了印式雞味道真的非常像稀釋超多的營養午餐咖哩.....雞肉也很柴只有麵包是好吃的
《回覆店家》餐點價格360折價之後250只能說這樣的口味和價格我不會再回購但如果喜歡這種口味的人就非常推薦去消費

另外我只是敘述我認為的餐點口味和口感不太理解為何要因為平台抽成什麼的而影響評分標準？一顆星給的就是麵包"
 AMBER CHEN ,https://www.google.com/maps/contrib/113829699560055517753/reviews?hl=zh-TW,3,True,18,打卡送波士頓龍蝦，海鮮選擇美式，口味不是很搭，沒有提供餐巾紙而且吃完後沒有檸檬汁洗手去除腥味
 Bo-heng Liu ,https://www.google.com/maps/contrib/103635218471595706482/reviews?hl=zh-TW,5,True,7,"雙人龍蝦餐龍蝦超級Big,還有2隻大螃蟹跟不錯吃的海鮮，店內裝潢很棒、外觀很有美式風情，吃得超級過癮，大推～"
 yongsheng ,https://www.google.com/maps/contrib/111103798426143189527/reviews?hl=zh-TW,1,False,20,"小綜合海鮮$480完全吃不出價值
綜合海鮮裡面的海鮮只有蛤仔跟小卷
（店家更正：實際還有跟蛤蠣口感吃起來一樣的海瓜子/跟小卷口感吃起來一樣的透抽、魷魚圈、小章魚）
點了泰式口味完全不酸不辣只吃到滿口甜醬的味道

這裡有規定不能PO吃到一半的照片嗎？
我吃到一半覺得不好吃PO上來評論不行？
趕快告我拜託求你

剛看了一下其他一星的評論
這家店家只要有顧客評一星就會很激動開始反擊
阿就真的內心覺得不好吃怎麼了嗎
敢設地標不要怕別人評論可笑

你邏輯有問題喔？如果我要故意毀謗內容物就不會附圖了啦！要毀謗內容物還附圖
你是當我們民眾100%分的清楚什麼叫作蛤蠣海瓜子魷魚中卷小卷透抽章魚軟絲喔你去抓路人考每個人都能答對我隨便你

在此聲明我此篇一顆星評論到動機，完全針對$480與跟我吃出來的感受價值與口味差異過大，包括我點的泰式口味，吃出來完全沒有任何一點酸辣感，完全感受不到泰式口味這件事情而留言評論，你要我花$480可以，阿我花$480吃一個跟我點的口味完全不相符的東西任誰都不爽吧？還是你們店家認知的泰式口味叫做「甜膩口味」？

勸你把時間花在口味上的改進吧⋯難怪晚上用餐時段我去取餐的時候店內只有一組內用客人⋯⋯加油好嗎⋯⋯"
 T J ,https://www.google.com/maps/contrib/100823337287704439928/reviews?hl=zh-TW,5,True,21,"我們點雙人套餐
開胃炸物選鱈魚球外酥脆內嫩甜真的口齒留香
主菜波士頓龍蝦加上草蝦干貝小花枝透抽圈小章魚葛利滿滿澎湃一盤真的吃的很過癮不愛吃海鮮的我都津津有味吃的開心～
新鮮沒有一點辛味！下次再來～"
 潘芊佑_允禾 ,https://www.google.com/maps/contrib/112799169404155137177/reviews?hl=zh-TW,3,False,12,"打卡送整隻龍蝦挺不錯
不過調味普普而且有點把海鮮本身味道蓋住了
點兩人套餐頂多6.7分飽
第一次嚐鮮有點失望"
 陳彥丞 ,https://www.google.com/maps/contrib/104671759520450508608/reviews?hl=zh-TW,5,False,6,"老闆、店員很NICE！
美食份量很足！
價格相對親民！
還有隱藏版鐵板燒、招待會所供預約喲！"
