user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lily Chen ,https://www.google.com/maps/contrib/113029099296278062744/reviews?hl=zh-TW,5,True,601,"燙魷魚一份💰150
真的超級無敵好吃！！

招牌綜合口味沙茶+蒜頭+醬汁
老闆配好的比例完美啊～～～
可以調整辣度我都吃微辣

二樓可以內用有提供廁所
真的超推薦～～吃了好幾年了
大家來饒河夜市必吃😋❤️"
 郭寶妮（Bonnie KUO） ,https://www.google.com/maps/contrib/118370467313697417241/reviews?hl=zh-TW,5,True,85,"「魷魚口感新鮮又Q彈，
獨家沙茶調味，意外清爽又夠味！」

第一次品嚐現燙魷魚，被口感嚇到，非常脆口又大塊，加上些許沙茶、九層塔、蒜頭等調味，醬汁清爽又好吃，即使吃完整份也無負擔，愛吃辣的人推薦加辣很夠味！

老闆的口頭禪很有趣，雖然聽不懂，但好想知道是什麼喔😂"
 Michelle Cai ,https://www.google.com/maps/contrib/103339470660669728975/reviews?hl=zh-TW,5,True,929,"目前在饒河夜市吃到最值得的美食了
天啊！魷魚超好吃的
但我覺得厲害的是他們的醬料
雖然我不太敢吃辣
但是加辣超級好吃
吃到一把鼻涕一把眼淚也值得欸
而且他們有內用！有內用！有內用！
2樓有超寬敞的座位
不用擔心邊走邊吃也不用擔心要走去哪裡吃
大推推推推"
 曾彥智 ,https://www.google.com/maps/contrib/106723457380855356106/reviews?hl=zh-TW,4,True,300,"幾乎每次來價格都漲價
已經來到$150
份量來說差強人意
不過醬汁口味是好吃的
滿滿蒜香跟九層塔香
魷魚口感爽脆
吃完的醬汁還可以打包回家拌麵"
 Bruce Huang ,https://www.google.com/maps/contrib/103056699163012995025/reviews?hl=zh-TW,5,True,64,魷魚好吃Q彈又脆，蒜味+醬汁屬於重口味，如果敢吃辣的話，強烈建議一定要加，味道會更有層次，現在一份150元（2022/04/09）
 Debby Lin ,https://www.google.com/maps/contrib/114704781873066018979/reviews?hl=zh-TW,4,False,247,"2022/01/01
一份是$150
雖然一份滿貴的，但份量很滿意
味道算重口味，不錯吃
老闆親切：）"
 May Chiu ,https://www.google.com/maps/contrib/105007228482309409966/reviews?hl=zh-TW,4,True,550,"好吃~味道很可以~不會死鹹油膩。
老闆熱情招呼，只是他的口號講了什麼從排隊到買完單都還是聽不懂。哈"
 Yi Chun Lin ,https://www.google.com/maps/contrib/111019379084041991041/reviews?hl=zh-TW,5,True,292,"吃了10幾年的魷魚大王
怎麼吃都不膩
魷魚脆口、醬汁美味🥰
重點老闆熱情、服務有禮～
推推👍👍👍"
 劉芳怡 ,https://www.google.com/maps/contrib/104735995591175458496/reviews?hl=zh-TW,5,True,140,特製辣醬，味道不錯，二樓有內用區域，有阿姨一直清理，也有提供廁所，雖然是舊式廁所，但是很乾淨很香，也有提供衛生紙跟酒精，用心100分
 林芳麟 ,https://www.google.com/maps/contrib/100034942124424720615/reviews?hl=zh-TW,5,True,636,"非常好吃，
鹹香甜、九層塔香、蒜香
沒有鬚鬚，都是肉
薄的脆、厚度的Q
二樓可以內用，
份量蠻大的，讚"
