user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 W FC ,https://www.google.com/maps/contrib/110418978300505223638/reviews?hl=zh-TW,5,True,366,一鴨三吃忘了拍，烤鴨是近期吃過最好吃的且不會太肥過於油膩，非常的剛好！脆皮雞是最先上的菜，皮真的很脆，雞肉也都不會柴。龍虎斑的肉質很不錯，醬料部分不會蓋掉食物本身的鮮味！反而將本身的鮮味帶上來許多！甜點每一道都好吃，小孩一下子就把全部甜點吃光光了。糯米椒松板肉那道是個人的最愛，肉質軟嫩！基本上每一道都不會雷，服務生也會適時的補茶、換盤子、分菜，包廂很適合疫情嚴重時的聚會，停車方面在餐廳對面在建國高架下停車場，十分方便！整體來說是個非常適合聚會的用餐地點！有空一定會再訪。
 Larry Chen ,https://www.google.com/maps/contrib/117061527517266669257/reviews?hl=zh-TW,3,True,417,"服務人員講話冷冷的，港點口味中規中矩沒特別驚艷的，片鴨捲的甜麵醬每個都加太多，很鹹..鴨鬆也是有點重鹹且配料炒起來沒有很脆口，鴨湯是鹹菜鴨湯還不錯但也是有點太鹹
環境不錯，但這個價位的中式餐廳有更多更好的選擇"
 KWEN KWEN ,https://www.google.com/maps/contrib/112848879157238222888/reviews?hl=zh-TW,4,True,"1,024","環境舒適氣氛放鬆的粵菜館，座位寬敞不擁擠。但洗手間老舊有待加強。服務到位很不錯。
一開始的四樣開胃小菜芋頭、豬耳、泡菜、苦瓜都很好吃。點心類燒賣、蒸餃、腸粉、燒餅、蘿蔔絲酥餅也都很不錯不油不膩層次感做的非常好。
炒菜類的南瓜豆腐、臭豆腐、絲瓜、芥蘭都好吃順口香氣十足。
最後的烤鴨二吃，片鴨捲餅、鴨肉酸菜湯也都非常棒，鴨子烤的香脆醬料味道適中不過鹹，捲餅內的蔥切的很細香氣十足，鴨肉越嚼越香。最後鴨肉酸菜湯口感溫和，喝下去非常舒服回味無窮非常適合作為收尾。
此店的菜色無地雷非常厲害
每一道都好吃，吃完非常舒適身心舒暢。"
 PINGHAN TSAI ,https://www.google.com/maps/contrib/105637531808141086553/reviews?hl=zh-TW,5,True,74,包廂雖然有低消1200不過有點預定菜的話應該輕鬆可以達到，無相豆腐用切絲的臭豆腐用類似醋溜的手法十分開胃，當天港點印象最深的當屬叉燒酥了，鬆化的千層酥皮就算已經八分飽還想再吃一顆。熱炒類的糯米椒松阪豬也吃得到鑊氣，脆皮炸子雞和烤鴨三吃就比較正常發揮了。
 Tsung-Han Yu ,https://www.google.com/maps/contrib/112832667901268288089/reviews?hl=zh-TW,5,True,30,久仰的粵菜港點餐廳，環境清幽有獨立包廂，適合商務、家庭聚餐。蘿蔔絲泡高湯製成，香甜酥脆，好想自己吃一盤🤤其他經典菜色和點心都不錯，若預算較高，值得品嚐。
 Mei Chen ,https://www.google.com/maps/contrib/100375503759633780645/reviews?hl=zh-TW,5,True,419,"好吃😋尤其流沙包、菠蘿叉燒
深得我心❤️❤️叉燒酥、大腸煲
杏仁茶➕油條、也很好吃👍👍👍"
 Ariel Chiao ,https://www.google.com/maps/contrib/117363977073711200097/reviews?hl=zh-TW,5,False,5,包廂服務一流！用餐期間，三個小朋友完全不需要我自己顧👍
 Ken Kang ,https://www.google.com/maps/contrib/105035281634479049563/reviews?hl=zh-TW,5,True,17,"環境佳，餐點美味
每道菜都驚豔
超愛炒飯"
 joan chen ,https://www.google.com/maps/contrib/107274192774580890750/reviews?hl=zh-TW,5,True,667,"小菜番茄很入味不會過酸過甜很開胃
剝皮辣椒排骨味道清爽微微辣
蘿蔔絲餅裡面蘿蔔絲加上高湯去包，吃得到蘿蔔甜軟、外層酥脆
松子炒飯清爽蝦子彈牙
南瓜濃湯超級濃郁、搭配清爽炒飯真的很好吃
脆皮雞雖然沒有熱熱上桌，但是片真的脆到驚艷
流沙包從中間撕開絕對就是爆漿
這家港點都很不錯很有水準之上，價錢大概是飯店價錢
其他菜就貴一點
張三炒飯也很驚艷
烤鴨真的也很好吃😋"
 Annie Lin ,https://www.google.com/maps/contrib/105454210726226381221/reviews?hl=zh-TW,4,True,45,"幾年前後再訪覺得沒有前幾年來吃的好吃。
現在覺得口味較重，這次最喜歡的點心是芋頭餃，鹹度適中、芋頭軟綿、不吃油；覺得蘿蔔絲餅的內餡因為鹹度稍高所以少了些蘿蔔原本的清甜"
